NPC NAME,LVL,ZONE,MOTM,Bucket,LOOT 1,LOOT 2,LOOT 3,LOOT 4,LOOT 5,LOOT 6,LOOT 7,LOOT 8,LOOT 9,LOOT 10
Khati Sha the Twisted,70,Acrylia Caverns,YES,1,,,,,,,,,,
Lord Inquisitor Seru,66,Sanctus Seru,YES,1,,,,,,,,,,
Emperor Ssraeshza,66,Ssraeszha Temple,YES,1,,,,,,,,,,
Vyzh'Dra the Cursed,66,Ssraeszha Temple,YES,1,,,,,,,,,,
Va Xi Aten Ha Ra,66,Vex Thal,YES,1,,,`,,,,,,,
Aten Ha Ra,66,Vex Thal,YES,1,,,,,,,,,,
Diabo Xi Xin Thall,66,Vex Thal,YES,1,,,,,,,,,,
Diabo Xi Va Temariel,66,Vex Thal,YES,1,,,,,,,,,,
,,,,1.1,,,,,,,,,,
Shei Vinitras,63,Akheva Ruins,YES,2,,,,,,,,,,
Xerkizh the Creator,66,Ssraeszha Temple,YES,2,,,,,,,,,,
High Priest of Ssraeszha,66,Ssraeszha Temple,YES,2,,,,,,,,,,
Arch Lich Rhag'Zadune,63,Ssraeszha Temple,YES,2,,,,,,,,,,
Blood of Ssraeszha,63,Ssraeszha Temple,YES,2,,,,,,,,,,
Vyzh'Dra the Exiled,63,Ssraeszha Temple,YES,2,,,,,,,,,,
a burrower parasite,63,The Deep,YES,2,,,,,,,,,,
Thall Xundraux Diabo,66,Vex Thal,YES,2,,,,,,,,,,
"Kaas Thox Xi Aten ha Ra ""Dat""",66,Vex Thal,YES,2,,,,,,,,,,
"Kaas Thox Xi Aten ha Ra ""Set""",66,Vex Thal,YES,2,,,,,,,,,,
"Thall Va Xakra ""Dat""",60,Vex Thal,YES,2,,,,,,,,,,
"Thall Va Xakra ""Set""",60,Vex Thal,YES,2,,,,,,,,,,
Thall Va Kelun,66,Vex Thal,YES,2,,,,,,,,,,
Kaas Thox Xi Ans Dyek,66,Vex Thal,YES,2,,,,,,,,,,
Diabo Xi Va,66,Vex Thal,YES,2,,,,,,,,,,
Diabo Xi Xin,66,Vex Thal,YES,2,,,,,,,,,,
,,,,2.1,,,,,,,,,,
An Evolved Burrower,63,Acrylia Caverns,YES,3,,,,,,,,,,
The Itraer Vius,63,Akheva Ruins,YES,3,,,,,,,,,,
The Insanity Crawler,63,Akheva Ruins,YES,3,,,,,,,,,,
The Va'Dyn,63,Akheva Ruins,YES,3,,,,,,,,,,
Grieg Veneficus,65,Grieg's End,YES,3,,,,,,,,,,
Servitor of Luclin,65,Grieg's End,YES,3,,,,,,,,,,
Lcea Katta,60,Katta Castellum,YES,3,,,,,,,,,,
a glyph covered serpent,63,Ssraeszha Temple,YES,3,,,,,,,,,,
Rhag'Zhezum (Rhag1),63,Ssraeszha Temple,?,3,,,,,,,,,,
Rhag'Mozdezh (Rhag2),63,Ssraeszha Temple,?,3,,,,,,,,,,
Thought Horror Overfiend,63,The Deep,YES,3,,,,,,,,,,
Doomshade,66,Umbral Plains,YES,3,,,,,,,,,,
Rumblecrush,66,Umbral Plains,YES,3,,,,,,,,,,
,,,,3.1,,,,,,,,,,
Sheleric Vis,62,Akheva Ruins,?,4,,,,,,,,,,
General Jared Blaystich,55,Echo Caverns,YES,4,,,,,,,,,,
Praetorian Myral,60,Grieg's End,YES,4,,,,,,,,,,
Nathyn Illuminious,64,Katta Castellum,YES,4,,,,,,,,,,
Praesertum Bikun,66,Sanctus Seru,YES,4,,,,,,,,,,
Praesertum Matpa,66,Sanctus Seru,YES,4,,,,,,,,,,
Praesertum Rhugol,66,Sanctus Seru,YES,4,,,,,,,,,,
Praesertum Vantorus,66,Sanctus Seru,YES,4,,,,,,,,,,
Spirit of Radir,60,Umbral Plains,?,4,,,,,,,,,,
Spirit of Tawro,60,Umbral Plains,?,4,,,,,,,,,,
Zelnithak,60,Umbral Plains,YES,4,,,,,,,,,,
Netherbian Swarmlord,60,Umbral Plains,?,4,,,,,,,,,,
,,,,4.1,,,,,,,,,,
a spiritual arcanist,70,Acrylia Caverns,YES,NA,Not Randomed,,,,,,,,,
Warder of Life,65,Acrylia Caverns,?,NA,Not Randomed,,,,,,,,,
Warder of Death,65,Acrylia Caverns,?,NA,Not Randomed,,,,,,,,,
Tashakhi,68,Acrylia 1.0,NO,N/A,,,,,,,,,,
A Possessed Underking,66,Acrylia 1.0,NO,N/A,,,,,,,,,,
High Priest Gakkernog,63,Acrylia 1.0,NO,N/A,,,,,,,,,,
a restless burrower,63,Acrylia 1.0,NO,N/A,,,,,,,,,,
Witchdoctor Gnorgtarg,62,Acrylia 1.0,NO,N/A,,,,,,,,,,
Foreman Gworknop,62,Acrylia 1.0,NO,N/A,,,,,,,,,,
A Possessed Warmaster,62,Acrylia 1.0,NO,N/A,,,,,,,,,,
A Possessed Warlord,62,Acrylia 1.0,NO,N/A,,,,,,,,,,
an escaped burrower ,60,Acrylia 1.0,NO,N/A,,,,,,,,,,
