Name,Level,Class,Race,Type
an_enslaved_Shik`Nar06,45,Warrior,Shik'Nar,NPC
an_enslaved_Shik`Nar05,46,Warrior,Shik'Nar,NPC
an_enslaved_Shik`Nar04,44,Shaman,Shik'Nar,NPC
a_grimling_bloodguard09,46,Shaman,Grimling,NPC
an_enslaved_Shik`Nar03,46,Shaman,Shik'Nar,NPC
Spiritist_Kama_Resan00,60,Warrior,Vah Shir,NPC
an_enslaved_Shik`Nar02,44,Shaman,Shik'Nar,NPC
Spiritist_Andro_Shimi00,60,Warrior,Vah Shir,NPC
a_skeletal_minion00,44,Warrior,Vah Shir Skeleton,NPC
an_elite_grimling_deathguard09,62,Shaman,Grimling,NPC
an_elite_grimling_deathguard08,62,Shaman,Grimling,NPC
a_sanctum_deathpriest08,52,Shaman,Grimling,NPC
a_sanctum_corpsemaster06,55,Necromancer,Grimling,NPC
a_grimling_soulsoother30,46,Cleric,Grimling,NPC
a_grimling_bloodguard12,44,Warrior,Grimling,NPC
a_sanctum_deathpriest06,54,Shaman,Grimling,NPC
a_grimling_soulsoother11,45,Shaman,Grimling,NPC
a_spirit_caller01,46,Necromancer,Grimling,NPC
a_spirit_guard01,45,Warrior,Grimling,NPC
a_spirit_caller00,44,Necromancer,Grimling,NPC
a_spirit_speaker00,46,Shaman,Grimling,NPC
a_spirit_guard00,45,Warrior,Grimling,NPC
a_savage_Shik`Nar13,44,Shaman,Shik'Nar,NPC
a_grimling_soulsoother10,44,Shaman,Grimling,NPC
a_savage_Shik`Nar12,45,Shaman,Shik'Nar,NPC
a_savage_Shik`Nar11,46,Warrior,Shik'Nar,NPC
a_grimling_bloodguard16,46,Warrior,Grimling,NPC
a_grimling_deathspeaker15,44,Necromancer,Grimling,NPC
a_grimling_deathspeaker14,46,Necromancer,Grimling,NPC
a_grimling_bloodguard21,46,Warrior,Grimling,NPC
a_grimling_deathspeaker13,46,Necromancer,Grimling,NPC
a_grimling_bloodguard18,44,Warrior,Grimling,NPC
a_savage_Shik`Nar10,46,Shaman,Shik'Nar,NPC
a_savage_Shik`Nar09,44,Warrior,Shik'Nar,NPC
a_savage_Shik`Nar08,44,Warrior,Shik'Nar,NPC
a_savage_Shik`Nar07,45,Shaman,Shik'Nar,NPC
a_savage_Shik`Nar06,45,Warrior,Shik'Nar,NPC
a_savage_Shik`Nar05,45,Shaman,Shik'Nar,NPC
a_savage_Shik`Nar04,45,Shaman,Shik'Nar,NPC
a_grimling_soulsoother08,46,Shaman,Grimling,NPC
a_grimling_deathspeaker10,46,Necromancer,Grimling,NPC
a_grimling_bloodguard19,46,Warrior,Grimling,NPC
a_grimling_soulsoother07,45,Cleric,Grimling,NPC
a_grimling_deathspeaker09,45,Necromancer,Grimling,NPC
a_grimling_bloodguard27,44,Warrior,Grimling,NPC
a_grimling_bloodguard04,46,Warrior,Grimling,NPC
a_grimling_bloodguard01,45,Warrior,Grimling,NPC
a_grimling_soulsoother00,44,Shaman,Grimling,NPC
a_savage_Shik`Nar02,46,Warrior,Shik'Nar,NPC
a_savage_Shik`Nar00,45,Warrior,Shik'Nar,NPC
a_savage_Shik`Nar01,46,Shaman,Shik'Nar,NPC
a_savage_Shik`Nar03,44,Shaman,Shik'Nar,NPC
a_grimling_deathspeaker06,45,Necromancer,Grimling,NPC
a_grimling_soulsoother06,44,Cleric,Grimling,NPC
a_grimling_soulsoother05,46,Cleric,Grimling,NPC
a_grimling_deathspeaker03,45,Necromancer,Grimling,NPC
a_sanctum_bloodguard02,54,Warrior,Grimling,NPC
a_sanctum_deathpriest03,51,Shaman,Grimling,NPC
a_sanctum_deathpriest02,54,Shaman,Grimling,NPC
a_sanctum_bloodguard01,51,Warrior,Grimling,NPC
an_enslaved_Shik`Nar09,46,Warrior,Shik'Nar,NPC
a_spell_jammer05,60,Warrior,Grimling,NPC
a_spell_jammer04,60,Warrior,Grimling,NPC
a_spell_jammer03,60,Warrior,Grimling,NPC
a_spell_jammer02,60,Warrior,Grimling,NPC
a_spell_jammer01,60,Warrior,Grimling,NPC
a_spell_jammer00,60,Warrior,Grimling,NPC
an_enslaved_Shik`Nar01,46,Shaman,Shik'Nar,NPC
an_enslaved_Shik`Nar00,44,Warrior,Shik'Nar,NPC
a_grimling_soulsoother02,45,Cleric,Grimling,NPC
a_grimling_bloodguard00,44,Warrior,Grimling,NPC
a_grimling_soulsoother01,44,Cleric,Grimling,NPC
a_grimling_deathspeaker01,44,Necromancer,Grimling,NPC
Vhalek_Shah00,52,Beastlord,Vah Shir,NPC
a_grimling_deathspeaker17,44,Necromancer,Grimling,NPC
a_grimling_soulsoother15,46,Cleric,Grimling,NPC
a_grimling_soulsoother14,44,Shaman,Grimling,NPC
a_grimling_bloodguard22,44,Warrior,Grimling,NPC
a_grimling_deathspeaker16,46,Necromancer,Grimling,NPC
a_grimling_soulsoother13,44,Shaman,Grimling,NPC
a_grimling_soulsoother12,44,Shaman,Grimling,NPC
a_grimling_deathspeaker12,46,Necromancer,Grimling,NPC
a_grimling_bloodguard14,46,Warrior,Grimling,NPC
a_grimling_bloodguard13,46,Warrior,Grimling,NPC
a_grimling_deathspeaker08,44,Necromancer,Grimling,NPC
a_grimling_deathspeaker05,44,Necromancer,Grimling,NPC
a_grimling_soulsoother28,46,Cleric,Grimling,NPC
a_grimling_deathspeaker00,44,Necromancer,Grimling,NPC
a_skeletal_minion09,44,Warrior,Vah Shir Skeleton,NPC
a_skeletal_minion08,45,Necromancer,Vah Shir Skeleton,NPC
a_skeletal_minion07,45,Necromancer,Vah Shir Skeleton,NPC
a_skeletal_minion05,46,Necromancer,Vah Shir Skeleton,NPC
an_elite_grimling_deathguard07,62,Warrior,Grimling,NPC
an_elite_grimling_deathguard06,62,Shaman,Grimling,NPC
an_elite_grimling_deathguard05,62,Warrior,Grimling,NPC
an_elite_grimling_deathguard04,62,Shaman,Grimling,NPC
an_elite_grimling_deathguard03,62,Shaman,Grimling,NPC
an_elite_grimling_deathguard02,62,Warrior,Grimling,NPC
an_elite_grimling_deathguard01,62,Warrior,Grimling,NPC
an_elite_grimling_deathguard00,62,Shaman,Grimling,NPC
a_grimling_soulsoother20,46,Cleric,Grimling,NPC
a_grimling_bloodguard25,46,Warrior,Grimling,NPC
a_grimling_ritualist00,50,Shaman,Grimling,NPC
a_grimling_bloodguard24,44,Warrior,Grimling,NPC
a_grimling_deathspeaker04,44,Necromancer,Grimling,NPC
a_grimling_soulsoother19,44,Shaman,Grimling,NPC
a_grimling_soulsoother18,45,Cleric,Grimling,NPC
a_grimling_bloodguard03,44,Warrior,Grimling,NPC
a_grimling_soulsoother09,44,Cleric,Grimling,NPC
a_grimling_bloodguard02,46,Warrior,Grimling,NPC
a_grimling_soulsoother04,46,Shaman,Grimling,NPC
a_grimling_deathspeaker02,45,Necromancer,Grimling,NPC
a_grimling_soulsoother03,45,Cleric,Grimling,NPC
a_grimling_bloodguard26,46,Warrior,Grimling,NPC
a_grimling_soulsoother33,44,Cleric,Grimling,NPC
a_grimling_bloodguard20,44,Warrior,Grimling,NPC
Defiled_Minion03,1,Warrior,Shade,NPC
Defiled_Minion00,1,Warrior,Shade,NPC
a_sanctum_deathpriest07,52,Shaman,Grimling,NPC
a_grimling_soulsoother38,45,Cleric,Grimling,NPC
an_evolved_burrower00,63,Warrior,Shik'Nar,NPC
a_grimling_soulsoother37,44,Shaman,Grimling,NPC
a_grimling_bloodguard07,46,Warrior,Grimling,NPC
a_grimling_bloodguard10,45,Warrior,Grimling,NPC
a_grimling_spiritslaver01,54,Cleric,Grimling,NPC
a_grimling_soulsoother34,45,Cleric,Grimling,NPC
a_sanctum_corpsemaster11,51,Necromancer,Grimling,NPC
a_grimling_soulsoother31,46,Cleric,Grimling,NPC
a_sanctum_bloodguard14,53,Warrior,Grimling,NPC
a_sanctum_bloodguard13,52,Warrior,Grimling,NPC
a_sanctum_deathpriest12,51,Shaman,Grimling,NPC
a_sanctum_deathpriest11,55,Shaman,Grimling,NPC
a_sanctum_corpsemaster10,55,Necromancer,Grimling,NPC
a_sanctum_deathpriest10,55,Shaman,Grimling,NPC
a_sanctum_bloodguard12,52,Warrior,Grimling,NPC
a_sanctum_bloodguard11,52,Warrior,Grimling,NPC
a_sanctum_bloodguard10,54,Warrior,Grimling,NPC
a_sanctum_bloodguard09,55,Warrior,Grimling,NPC
a_grimling_prison_guard01,52,Warrior,Grimling,NPC
a_sanctum_corpsemaster09,51,Necromancer,Grimling,NPC
a_grimling_prison_guard00,54,Necromancer,Grimling,NPC
a_sanctum_corpsemaster08,55,Necromancer,Grimling,NPC
a_sanctum_bloodguard08,51,Warrior,Grimling,NPC
a_sanctum_deathpriest09,51,Shaman,Grimling,NPC
a_sanctum_corpsemaster07,51,Necromancer,Grimling,NPC
a_sanctum_deathpriest05,54,Shaman,Grimling,NPC
a_sanctum_deathpriest04,51,Shaman,Grimling,NPC
a_sanctum_corpsemaster05,55,Necromancer,Grimling,NPC
a_sanctum_corpsemaster04,52,Necromancer,Grimling,NPC
a_sanctum_corpsemaster03,55,Necromancer,Grimling,NPC
a_sanctum_deathpriest01,54,Shaman,Grimling,NPC
a_sanctum_bloodguard07,52,Warrior,Grimling,NPC
a_sanctum_corpsemaster02,53,Necromancer,Grimling,NPC
a_grimling_deathguard02,54,Warrior,Grimling,NPC
a_grimling_deathguard01,53,Warrior,Grimling,NPC
a_grimling_deathpriest00,55,Cleric,Grimling,NPC
a_grimling_deathguard00,54,Warrior,Grimling,NPC
a_sanctum_bloodguard06,51,Warrior,Grimling,NPC
a_sanctum_bloodguard05,55,Warrior,Grimling,NPC
a_grimling_soulsoother16,44,Cleric,Grimling,NPC
a_grimling_bloodguard31,46,Warrior,Grimling,NPC
a_sanctum_bloodguard04,51,Warrior,Grimling,NPC
a_sanctum_deathpriest00,51,Shaman,Grimling,NPC
a_sanctum_bloodguard03,54,Warrior,Grimling,NPC
a_sanctum_bloodguard00,53,Warrior,Grimling,NPC
a_sanctum_corpsemaster01,55,Necromancer,Grimling,NPC
a_grimling_deathspeaker11,44,Necromancer,Grimling,NPC
a_sanctum_corpsemaster00,52,Necromancer,Grimling,NPC
a_grimling_bloodguard30,45,Warrior,Grimling,NPC
a_grimling_bloodguard29,45,Warrior,Grimling,NPC
a_grimling_bloodguard23,44,Warrior,Grimling,NPC
a_grimling_deathspeaker07,46,Necromancer,Grimling,NPC
a_grimling_spiritslaver00,53,Cleric,Grimling,NPC
a_grimling_bloodguard17,46,Warrior,Grimling,NPC
a_grimling_bloodguard15,45,Warrior,Grimling,NPC
an_enslaved_Shik`Nar08,46,Shaman,Shik'Nar,NPC
a_grimling_bloodguard08,46,Warrior,Grimling,NPC
a_grimling_bloodguard06,44,Warrior,Grimling,NPC
a_skeletal_minion11,44,Warrior,Vah Shir Skeleton,NPC
a_skeletal_minion10,45,Necromancer,Vah Shir Skeleton,NPC
a_skeletal_minion06,44,Necromancer,Vah Shir Skeleton,NPC
a_skeletal_minion04,45,Warrior,Vah Shir Skeleton,NPC
a_skeletal_minion03,44,Warrior,Vah Shir Skeleton,NPC
a_skeletal_minion02,45,Warrior,Vah Shir Skeleton,NPC
Defiled_Minion02,1,Warrior,Shade,NPC
a_skeletal_minion01,45,Warrior,Vah Shir Skeleton,NPC
Defiled_Minion01,1,Warrior,Shade,NPC
a_grimling_bloodguard11,45,Shaman,Grimling,NPC
a_grimling_bloodguard05,44,Warrior,Grimling,NPC
an_enslaved_Shik`Nar07,45,Warrior,Shik'Nar,NPC
