Name,Level,Class,Race,Type
Eye_of_Veeshan00,70,Warrior,Fae Drake,NPC
The_Spiroc_Lord00,63,Ranger,Aviak,NPC
Noble_Dojorn00,63,Warrior,Efreeti,NPC
#Overseer_of_Air00,63,Warrior,Efreeti,NPC
Kihun_Solstin00,61,Magician,Human,NPC
a_blade_storm01,61,Warrior,Dervish,NPC
The_Spiroc_Guardian00,60,Druid,Aviak,NPC
Gorgalosk00,60,Warrior,Gorgon,NPC
a_windrider_drake03,60,Wizard,Drake,NPC
a_windrider_drake02,60,Wizard,Drake,NPC
a_windrider_drake01,60,Wizard,Drake,NPC
a_windrider_drake00,60,Wizard,Drake,NPC
*#Master_of_Elements0001,60,Magician,Elemental,NPC
*#Master_of_Elements0000,60,Magician,Elemental,NPC
#Master_of_Elements00,60,Magician,Elemental,NPC
an_avenging_gazer00,59,Wizard,Evil Eye,NPC
a_blade_storm00,59,Warrior,Dervish,NPC
heart_harpie00,58,Shadow Knight,Harpy,NPC
a_spiroc_vanquisher02,58,Warrior,Aviak,NPC
a_spiroc_vanquisher01,58,Warrior,Aviak,NPC
a_spiroc_vanquisher00,58,Warrior,Aviak,NPC
a_fatestealer_drake05,58,Wizard,Drake,NPC
a_fatestealer_drake04,58,Wizard,Drake,NPC
a_fatestealer_drake03,58,Wizard,Drake,NPC
a_fatestealer_drake02,58,Wizard,Drake,NPC
a_fatestealer_drake01,58,Wizard,Drake,NPC
a_fatestealer_drake00,58,Wizard,Drake,NPC
a_watchful_guard03,56,Enchanter,Evil Eye,NPC
a_watchful_guard02,56,Enchanter,Evil Eye,NPC
a_sprited_harpie01,56,Shadow Knight,Harpy,NPC
a_heartsbane_drake07,56,Wizard,Drake,NPC
a_heartsbane_drake06,56,Wizard,Drake,NPC
a_heartsbane_drake05,56,Wizard,Drake,NPC
a_heartsbane_drake04,56,Wizard,Drake,NPC
a_heartsbane_drake03,56,Wizard,Drake,NPC
a_heartsbane_drake02,56,Wizard,Drake,NPC
a_heartsbane_drake01,56,Wizard,Drake,NPC
a_heartsbane_drake00,56,Wizard,Drake,NPC
a_gorgalask01,56,Warrior,Gorgon,NPC
Wizard_Schrock00,55,Warrior,Efreeti,NPC
Torgon_Blademaster00,55,Warrior,Efreeti,NPC
The_Storm_Mistress00,55,Magician,Djinn,NPC
Thalik_Silenthand00,55,Warrior,Efreeti,NPC
Strandar_Pinemist00,55,Warrior,Efreeti,NPC
Sarkis_Ebonblade00,55,Warrior,Efreeti,NPC
Ranger_Spirit00,55,Warrior,Efreeti,NPC
Medicine_Man_Veetra00,55,Warrior,Efreeti,NPC
Magus_Frinon00,55,Warrior,Efreeti,NPC
Key_Master00,55,Shopkeeper,Dwarf,NPC
Josin_Faithbringer00,55,Warrior,Efreeti,NPC
Holwin00,55,Warrior,Efreeti,NPC
Enchanter_Jolas00,55,Warrior,Efreeti,NPC
Drakis_Bloodcaster00,55,Warrior,Efreeti,NPC
Dason_Goldblade00,55,Warrior,Efreeti,NPC
Cilin_Spellsinger00,55,Warrior,Efreeti,NPC
a_watchful_guard04,55,Enchanter,Evil Eye,NPC
a_watchful_guard01,55,Enchanter,Evil Eye,NPC
a_sprited_harpie02,55,Shadow Knight,Harpy,NPC
a_shimmering_meteor04,55,Warrior,Will-O-Wisp,NPC
a_shimmering_meteor03,55,Warrior,Will-O-Wisp,NPC
a_shimmering_meteor02,55,Warrior,Will-O-Wisp,NPC
a_shimmering_meteor01,55,Warrior,Will-O-Wisp,NPC
a_shimmering_meteor00,55,Warrior,Will-O-Wisp,NPC
a_gorgalask03,55,Warrior,Gorgon,NPC
#The_Gale_Caller00,55,Enchanter,Pegasus,NPC
a_watchful_guard00,54,Enchanter,Evil Eye,NPC
a_sprited_harpie03,54,Shadow Knight,Harpy,NPC
a_sprited_harpie00,54,Shadow Knight,Harpy,NPC
a_greater_sphinx06,54,Enchanter,Sphinx,NPC
a_greater_sphinx05,54,Enchanter,Sphinx,NPC
a_greater_sphinx04,54,Enchanter,Sphinx,NPC
a_greater_sphinx03,54,Enchanter,Sphinx,NPC
a_greater_sphinx02,54,Enchanter,Sphinx,NPC
a_greater_sphinx01,54,Enchanter,Sphinx,NPC
a_greater_sphinx00,54,Enchanter,Sphinx,NPC
a_gorgalask02,54,Warrior,Gorgon,NPC
a_gorgalask00,54,Warrior,Gorgon,NPC
an_undine_spirit07,53,Cleric,Will-O-Wisp,NPC
an_undine_spirit06,53,Cleric,Will-O-Wisp,NPC
an_undine_spirit05,53,Cleric,Will-O-Wisp,NPC
an_undine_spirit04,53,Cleric,Will-O-Wisp,NPC
an_undine_spirit03,53,Cleric,Will-O-Wisp,NPC
an_undine_spirit02,53,Cleric,Will-O-Wisp,NPC
an_undine_spirit01,53,Cleric,Will-O-Wisp,NPC
an_undine_spirit00,53,Cleric,Will-O-Wisp,NPC
an_azarack05,53,Rogue,Imp,NPC
an_azarack04,53,Rogue,Imp,NPC
an_azarack03,53,Rogue,Imp,NPC
an_azarack02,53,Rogue,Imp,NPC
an_azarack01,53,Rogue,Imp,NPC
an_azarack00,53,Rogue,Imp,NPC
a_thunder_spirit_princess00,53,Bard,Fairy,NPC
a_gust_of_wind00,53,Warrior,Elemental,NPC
a_crystaline_cloud03,53,Warrior,Elemental,NPC
a_crystaline_cloud02,53,Warrior,Elemental,NPC
a_crystaline_cloud01,53,Warrior,Elemental,NPC
a_crystaline_cloud00,53,Warrior,Elemental,NPC
an_essence_harvester02,52,Warrior,Pegasus,NPC
an_essence_harvester01,52,Warrior,Pegasus,NPC
an_essence_harvester00,52,Warrior,Pegasus,NPC
a_spiroc_walker00,52,Ranger,Aviak,NPC
a_spiroc_revolter00,52,Ranger,Aviak,NPC
