Name,Level,Class,Race,Type
A_wailing_Centi02,50,Warrior,Tegi,NPC
A_chanting_Centi03,52,Warrior,Tegi,NPC
A_chanting_Centi02,52,Warrior,Tegi,NPC
A_chanting_Centi01,52,Warrior,Tegi,NPC
A_wailing_Centi01,50,Warrior,Tegi,NPC
A_wailing_Centi00,50,Warrior,Tegi,NPC
A_chanting_Centi00,50,Warrior,Tegi,NPC
Sheleric_Vis03,62,Warrior,Akheva,NPC
Sheleric_Vis02,62,Warrior,Akheva,NPC
Xaui_Tatrua00,60,Cleric,Shade,NPC
Vius_Tatrua00,60,Cleric,Shade,NPC
A_rubble_rouser01,58,Warrior,Stonegrabber,NPC
A_rubble_rouser00,58,Warrior,Stonegrabber,NPC
A_mind_burrower16,53,Warrior,Worm,NPC
A_mind_burrower15,54,Warrior,Worm,NPC
A_mind_burrower14,55,Warrior,Worm,NPC
A_mind_burrower13,53,Warrior,Worm,NPC
A_mind_burrower12,55,Warrior,Worm,NPC
A_mind_burrower11,55,Warrior,Worm,NPC
The_Va`Dyn00,63,Warrior,Stonegrabber,NPC
A_Centi_Dator44,47,Shadow Knight,Tegi,NPC
A_Centi_Dator43,49,Warrior,Tegi,NPC
A_Centi_Dator42,47,Warrior,Tegi,NPC
A_Centi_Dator41,47,Shadow Knight,Tegi,NPC
Rygan_Anisher27,52,Warrior,Shade,NPC
Rygan_Anisher26,52,Warrior,Shade,NPC
Rygan_Anisher25,51,Warrior,Shade,NPC
Rygan_Anisher24,51,Warrior,Shade,NPC
Rygan_Anisher23,49,Warrior,Shade,NPC
Rygan_Anisher22,51,Warrior,Shade,NPC
Rygan_Anisher21,51,Warrior,Shade,NPC
Rygan_Anisher20,48,Warrior,Shade,NPC
Rygan_Anisher19,52,Warrior,Shade,NPC
The_Protector00,48,Necromancer,Shade,NPC
Centi_Thall01,51,Shadow Knight,Tegi,NPC
Centi_Thall00,51,Shadow Knight,Tegi,NPC
A_Centi_Datiar00,48,Necromancer,Shade,NPC
Rygan_Anisher18,48,Warrior,Shade,NPC
Rygan_Anisher17,48,Warrior,Shade,NPC
Rygan_Anisher16,51,Warrior,Shade,NPC
Rygan_Anisher15,48,Warrior,Shade,NPC
Rygan_Anisher14,48,Warrior,Shade,NPC
Rygan_Anisher13,50,Warrior,Shade,NPC
Rygan_Anisher12,50,Warrior,Shade,NPC
Transient_Patroller05,49,Necromancer,Tegi,NPC
Transient_Patroller04,50,Necromancer,Tegi,NPC
Transient_Patroller03,49,Necromancer,Tegi,NPC
Transient_Patroller02,50,Necromancer,Tegi,NPC
Transient_Patroller01,48,Necromancer,Tegi,NPC
Transient_Patroller00,47,Necromancer,Tegi,NPC
A_Centi_Dator40,51,Wizard,Tegi,NPC
A_Centi_Dator39,48,Wizard,Tegi,NPC
A_mind_burrower10,53,Warrior,Worm,NPC
A_mind_burrower09,53,Warrior,Worm,NPC
Rygan_Anisher11,52,Warrior,Shade,NPC
Rygan_Anisher10,52,Warrior,Shade,NPC
Rygan_Anisher09,50,Warrior,Shade,NPC
Rygan_Anisher08,51,Warrior,Shade,NPC
A_Centi_Dator38,48,Monk,Tegi,NPC
A_Centi_Atulus08,51,Warrior,Tegi,NPC
A_Centi_Atulus07,49,Warrior,Tegi,NPC
A_Centi_Atulus06,50,Warrior,Tegi,NPC
A_Centi_Dator37,48,Monk,Tegi,NPC
A_Centi_Dator36,49,Monk,Tegi,NPC
A_Centi_Atulus05,50,Warrior,Tegi,NPC
A_Centi_Dator35,51,Monk,Tegi,NPC
A_Centi_Dator34,49,Monk,Tegi,NPC
Shaded_stones10,50,Warrior,Stonegrabber,NPC
Shaded_stones09,50,Warrior,Stonegrabber,NPC
Shaded_stones08,50,Warrior,Stonegrabber,NPC
Shaded_stones07,50,Warrior,Stonegrabber,NPC
Shaded_stones06,50,Warrior,Stonegrabber,NPC
Shaded_stones05,50,Warrior,Stonegrabber,NPC
A_Centi_Atulus04,49,Warrior,Tegi,NPC
A_Centi_Atulus03,52,Warrior,Tegi,NPC
A_mind_burrower08,53,Warrior,Worm,NPC
A_mind_burrower07,54,Warrior,Worm,NPC
A_mind_burrower06,53,Warrior,Worm,NPC
A_mind_burrower05,55,Warrior,Worm,NPC
Transient_Centi01,45,Shadow Knight,Tegi,NPC
A_Centi_Dator33,50,Warrior,Tegi,NPC
A_Centi_Dator32,47,Warrior,Tegi,NPC
A_Centi_Dator31,47,Warrior,Tegi,NPC
A_Centi_Dator30,50,Warrior,Tegi,NPC
A_Centi_Dator29,50,Warrior,Tegi,NPC
A_Centi_Dator28,47,Warrior,Tegi,NPC
Rygan_Anisher07,51,Warrior,Shade,NPC
Rygan_Anisher06,50,Warrior,Shade,NPC
Rygan_Anisher05,50,Warrior,Shade,NPC
Rygan_Anisher04,51,Warrior,Shade,NPC
Rygan_Anisher03,52,Warrior,Shade,NPC
