Name,Level,Class,Race,Type
Zeek00,61,Cleric,Halfling,NPC
a_giant_rat04,2,Warrior,Rat,NPC
ice_boned_skeleton11,14,Warrior,Ancient Skeleton,NPC
a_greater_skeleton09,13,Warrior,Ancient Skeleton,NPC
a_necro_theurgist04,17,Necromancer,Gnome,NPC
a_ghoul03,16,Warrior,Ghoul,NPC
ice_boned_skeleton06,12,Warrior,Ancient Skeleton,NPC
a_greater_skeleton07,12,Warrior,Ancient Skeleton,NPC
ice_boned_skeleton05,13,Warrior,Ancient Skeleton,NPC
a_necro_acolyte03,15,Necromancer,Human,NPC
a_willowisp02,10,Warrior,Will-O-Wisp,NPC
a_necro_theurgist02,17,Necromancer,Gnome,NPC
a_greater_skeleton06,13,Warrior,Ancient Skeleton,NPC
a_willowisp01,9,Warrior,Will-O-Wisp,NPC
a_necro_acolyte02,16,Necromancer,Gnome,NPC
a_greater_skeleton04,11,Warrior,Ancient Skeleton,NPC
a_necro_acolyte01,15,Necromancer,Gnome,NPC
a_ghoul02,14,Warrior,Ghoul,NPC
a_ghoul01,17,Warrior,Ghoul,NPC
a_necro_apprentice02,14,Necromancer,Dark Elf,NPC
a_necro_theurgist00,19,Necromancer,Gnome,NPC
a_necro_acolyte00,16,Necromancer,Human,NPC
ice_boned_skeleton00,14,Warrior,Ancient Skeleton,NPC
a_burnt_zombie00,12,Warrior,Zombie,NPC
a_greater_skeleton02,11,Warrior,Ancient Skeleton,NPC
a_lesser_mummy11,11,Warrior,Zombie,NPC
a_necro_apprentice01,15,Necromancer,Human,NPC
a_greater_skeleton01,13,Warrior,Ancient Skeleton,NPC
a_dread_bone06,8,Warrior,Ancient Skeleton,NPC
a_lesser_mummy10,12,Warrior,Zombie,NPC
a_lesser_mummy09,12,Warrior,Zombie,NPC
a_dread_bone05,10,Warrior,Ancient Skeleton,NPC
a_dread_bone04,10,Warrior,Ancient Skeleton,NPC
a_sturdy_skeleton04,8,Warrior,Ancient Skeleton,NPC
a_lesser_mummy08,10,Warrior,Zombie,NPC
a_dread_bone03,9,Warrior,Ancient Skeleton,NPC
a_necro_neophyte11,9,Necromancer,Dark Elf,NPC
a_necro_initiate00,10,Necromancer,Human,NPC
a_lesser_mummy07,12,Warrior,Zombie,NPC
a_sturdy_skeleton03,9,Warrior,Ancient Skeleton,NPC
a_dread_bone02,10,Warrior,Ancient Skeleton,NPC
a_lesser_mummy06,12,Warrior,Zombie,NPC
a_putrid_skeleton08,7,Warrior,Ancient Skeleton,NPC
a_lesser_mummy05,12,Warrior,Zombie,NPC
a_lesser_mummy04,12,Warrior,Zombie,NPC
a_necro_apprentice00,14,Necromancer,Gnome,NPC
a_dread_bone01,9,Warrior,Ancient Skeleton,NPC
a_sturdy_skeleton02,9,Warrior,Ancient Skeleton,NPC
a_lesser_mummy03,10,Warrior,Zombie,NPC
a_lesser_mummy02,10,Warrior,Zombie,NPC
a_zombie01,7,Warrior,Zombie,NPC
a_sturdy_skeleton01,7,Warrior,Ancient Skeleton,NPC
a_large_plague_rat03,8,Warrior,Rat,NPC
a_necro_neophyte10,7,Necromancer,Dark Elf,NPC
a_necro_neophyte09,8,Necromancer,Gnome,NPC
a_putrid_skeleton07,5,Warrior,Ancient Skeleton,NPC
a_putrid_skeleton06,7,Warrior,Ancient Skeleton,NPC
a_plague_rat05,4,Warrior,Rat,NPC
a_necro_neophyte08,7,Necromancer,Human,NPC
a_large_plague_rat02,9,Warrior,Rat,NPC
a_giant_rat00,3,Warrior,Rat,NPC
a_necro_neophyte05,8,Necromancer,Gnome,NPC
a_putrid_skeleton04,7,Warrior,Ancient Skeleton,NPC
a_putrid_skeleton03,7,Warrior,Ancient Skeleton,NPC
a_giant_rat03,3,Warrior,Rat,NPC
a_necro_neophyte02,7,Necromancer,Gnome,NPC
a_putrid_skeleton02,7,Warrior,Ancient Skeleton,NPC
a_large_plague_rat00,8,Warrior,Rat,NPC
a_necro_neophyte01,8,Necromancer,Dark Elf,NPC
