Name,Level,Class,Race,Type
a_goblin_lookout06,7,Warrior,Goblin,NPC
a_goblin_lookout05,7,Warrior,Goblin,NPC
a_goblin_lookout03,7,Warrior,Goblin,NPC
a_goblin_lookout02,8,Warrior,Goblin,NPC
a_muddite_elder10,14,Warrior,Golem,NPC
a_goblin_lookout04,8,Warrior,Goblin,NPC
a_muddite_recordkeeper00,12,Warrior,Golem,NPC
a_muddite_minor09,11,Warrior,Golem,NPC
a_chasm_minotaur01,18,Warrior,Minotaur,NPC
a_chasm_minotaur00,18,Warrior,Minotaur,NPC
a_muddite_minor03,12,Warrior,Golem,NPC
a_muddite_elder09,15,Warrior,Golem,NPC
a_muddite_elder04,14,Warrior,Golem,NPC
a_muddite_elder00,15,Warrior,Golem,NPC
a_muddite_minor08,12,Warrior,Golem,NPC
a_muddite_elder08,14,Warrior,Golem,NPC
a_muddite_elder07,16,Warrior,Golem,NPC
a_muddite_minor02,11,Warrior,Golem,NPC
a_gorge_minotaur07,14,Warrior,Minotaur,NPC
a_muddite_minor01,11,Warrior,Golem,NPC
a_muddite_elder06,14,Warrior,Golem,NPC
a_muddite_elder05,15,Warrior,Golem,NPC
a_muddite_minor07,10,Warrior,Golem,NPC
an_evil_eye04,17,Enchanter,Evil Eye,NPC
a_muddite_minor00,10,Warrior,Golem,NPC
a_muddite_elder03,14,Warrior,Golem,NPC
a_gorge_minotaur06,14,Warrior,Minotaur,NPC
a_gorge_minotaur04,16,Warrior,Minotaur,NPC
Pox_Soth00,50,Warrior,Ogre,NPC
Mistenee_Jann00,50,Warrior,Dark Elf,NPC
Brellgour_Lynx00,50,Warrior,Dark Elf,NPC
Sellernee_Churntide00,50,Warrior,Human,NPC
Bessudra_Hesen00,50,Warrior,Human,NPC
Diggs_Duggun00,61,Rogue,Dwarf,NPC
Lord_Soptyvr00,30,Enchanter,Evil Eye,NPC
a_muddite_minor06,12,Warrior,Golem,NPC
a_muddite_elder01,14,Warrior,Golem,NPC
a_gorge_minotaur03,16,Warrior,Minotaur,NPC
a_gorge_minotaur02,14,Warrior,Minotaur,NPC
Lord_Sviir00,20,Enchanter,Evil Eye,NPC
an_evil_eye01,18,Enchanter,Evil Eye,NPC
a_gorge_minotaur01,16,Warrior,Minotaur,NPC
a_gorge_minotaur00,14,Warrior,Minotaur,NPC
a_goblin_lookout01,6,Warrior,Goblin,NPC
a_goblin_lookout00,8,Warrior,Goblin,NPC
a_muddite_elder02,15,Warrior,Golem,NPC
a_gorge_minotaur05,14,Warrior,Minotaur,NPC
an_evil_eye02,19,Enchanter,Evil Eye,NPC
a_muddite_minor04,10,Warrior,Golem,NPC
