Name,Level,Class,Race,Type
a_gnoll28,7,Warrior,Gnoll,NPC
a_gnoll27,6,Warrior,Gnoll,NPC
a_gnoll23,5,Warrior,Gnoll,NPC
an_elite_gnoll_guard06,12,Warrior,Gnoll,NPC
a_gnoll_guardsman05,10,Warrior,Gnoll,NPC
a_gnoll_pup00,1,Warrior,Gnoll,NPC
a_scrawny_gnoll06,3,Warrior,Gnoll,NPC
a_gnoll02,5,Warrior,Gnoll,NPC
a_gnoll01,6,Warrior,Gnoll,NPC
a_scrawny_gnoll00,4,Warrior,Gnoll,NPC
a_gnoll_guardsman14,10,Warrior,Gnoll,NPC
a_gnoll_guardsman11,7,Warrior,Gnoll,NPC
a_gnoll_guardsman10,9,Warrior,Gnoll,NPC
a_gnoll_guardsman09,9,Warrior,Gnoll,NPC
an_elite_gnoll_guard05,11,Warrior,Gnoll,NPC
a_gnoll_commander01,15,Warrior,Gnoll,NPC
a_gnoll_commander00,15,Warrior,Gnoll,NPC
a_gnoll_guardsman08,10,Warrior,Gnoll,NPC
a_gnoll_guardsman07,11,Warrior,Gnoll,NPC
babydragon00,10,Warrior,Dragon,NPC
a_gnoll_guardsman04,5,Warrior,Gnoll,NPC
Scout_Malityn00,10,Warrior,Human,NPC
a_gnoll_guardsman03,10,Warrior,Gnoll,NPC
a_gnoll_guardsman02,9,Warrior,Gnoll,NPC
a_razorgill07,4,Warrior,Piranha,NPC
a_razorgill06,5,Warrior,Piranha,NPC
a_razorgill05,8,Warrior,Piranha,NPC
a_razorgill04,6,Warrior,Piranha,NPC
a_razorgill03,7,Warrior,Piranha,NPC
a_razorgill02,7,Warrior,Piranha,NPC
a_razorgill01,6,Warrior,Piranha,NPC
a_razorgill00,8,Warrior,Piranha,NPC
a_burly_gnoll01,7,Warrior,Gnoll,NPC
a_burly_gnoll00,7,Warrior,Gnoll,NPC
a_gnoll33,6,Warrior,Gnoll,NPC
a_gnoll32,6,Warrior,Gnoll,NPC
a_gnoll31,6,Warrior,Gnoll,NPC
a_scrawny_gnoll20,5,Warrior,Gnoll,NPC
an_elite_gnoll_guard08,13,Warrior,Gnoll,NPC
an_elite_gnoll_guard07,13,Warrior,Gnoll,NPC
a_scrawny_gnoll01,5,Warrior,Gnoll,NPC
a_gnoll16,7,Warrior,Gnoll,NPC
a_patrolling_gnoll01,6,Warrior,Gnoll,NPC
a_gnoll15,7,Warrior,Gnoll,NPC
a_gnoll14,5,Warrior,Gnoll,NPC
a_gnoll13,6,Warrior,Gnoll,NPC
an_elite_gnoll_guard04,12,Warrior,Gnoll,NPC
an_elite_gnoll_guard03,11,Warrior,Gnoll,NPC
an_elite_gnoll_guard02,13,Warrior,Gnoll,NPC
an_elite_gnoll_guard01,12,Warrior,Gnoll,NPC
an_elite_gnoll_guard00,11,Warrior,Gnoll,NPC
a_giant_snake06,8,Warrior,Snake,NPC
a_giant_snake05,8,Warrior,Snake,NPC
a_giant_snake04,8,Warrior,Snake,NPC
a_giant_snake03,9,Warrior,Snake,NPC
a_giant_snake02,8,Warrior,Snake,NPC
a_giant_snake01,7,Warrior,Snake,NPC
a_giant_snake00,8,Warrior,Snake,NPC
a_gnoll12,5,Warrior,Gnoll,NPC
a_gnoll11,5,Warrior,Gnoll,NPC
a_scrawny_gnoll12,4,Warrior,Gnoll,NPC
Refugee_Splitpaw00,15,Shaman,Gnoll,NPC
a_patrolling_gnoll13,7,Warrior,Gnoll,NPC
a_patrolling_gnoll12,6,Warrior,Gnoll,NPC
