Name,Level,Class,Race,Type
A_firestorm_elemental00,60,Warrior,Elemental,NPC
A_jord_tyv02,61,Rogue,Giant,NPC
A_jord_tyv01,61,Rogue,Giant,NPC
A_vind_militis31,64,Warrior,Giant,NPC
A_vind_priest02,63,Cleric,Giant,NPC
A_jord_militis20,63,Warrior,Giant,NPC
A_jord_militis07,63,Warrior,Giant,NPC
#Brynju_Thunderclap00,67,Warrior,Giant,NPC
A_vind_militis15,63,Warrior,Giant,NPC
A_vann_militis23,63,Warrior,Giant,NPC
A_vind_geistlig01,61,Cleric,Giant,NPC
a_vind_briesl06,60,Warrior,Elemental,NPC
a_raging_storm02,60,Warrior,Elemental,NPC
A_vann_kriger30,64,Warrior,Giant,NPC
A_vind_geistlig00,61,Cleric,Giant,NPC
A_vann_kriger29,64,Warrior,Giant,NPC
A_vind_militis05,63,Warrior,Giant,NPC
A_vann_kriger28,64,Warrior,Giant,NPC
A_vind_vill03,61,Druid,Giant,NPC
A_vann_priest03,63,Cleric,Giant,NPC
a_vind_briesl05,60,Warrior,Elemental,NPC
A_vind_militis04,63,Warrior,Giant,NPC
A_vann_kriger26,64,Warrior,Giant,NPC
A_vind_militis03,63,Warrior,Giant,NPC
A_vann_hellig09,63,Paladin,Giant,NPC
A_vann_kriger27,64,Warrior,Giant,NPC
A_vind_militis02,63,Warrior,Giant,NPC
A_vann_hellig08,63,Paladin,Giant,NPC
A_vann_kriger25,64,Warrior,Giant,NPC
A_vind_druid00,63,Druid,Giant,NPC
A_vann_kriger24,64,Warrior,Giant,NPC
a_vind_briesl04,60,Warrior,Elemental,NPC
A_vind_militis21,64,Warrior,Giant,NPC
A_vind_vill02,61,Druid,Giant,NPC
A_vind_militis20,64,Warrior,Giant,NPC
A_vann_kriger23,64,Warrior,Giant,NPC
A_vind_militis01,63,Warrior,Giant,NPC
A_vann_kriger22,64,Warrior,Giant,NPC
A_vann_kriger21,64,Warrior,Giant,NPC
a_vind_briesl02,60,Warrior,Elemental,NPC
A_vann_hellig05,63,Paladin,Giant,NPC
A_vann_kriger20,64,Warrior,Giant,NPC
A_vind_vill01,61,Druid,Giant,NPC
A_vind_vill00,61,Druid,Giant,NPC
Keeper_of_Past_Lore00,68,Magician,Shade,NPC
A_vann_kriger19,64,Warrior,Giant,NPC
A_vann_kriger18,64,Warrior,Giant,NPC
A_vind_geistlig04,61,Cleric,Giant,NPC
a_vind_briesl01,60,Warrior,Elemental,NPC
A_vind_militis29,63,Warrior,Giant,NPC
A_vann_priest02,63,Cleric,Giant,NPC
A_vind_militis00,63,Warrior,Giant,NPC
a_vind_briesl03,60,Warrior,Elemental,NPC
a_vind_briesl00,60,Warrior,Elemental,NPC
A_vind_militis14,63,Warrior,Giant,NPC
A_vind_militis13,63,Warrior,Giant,NPC
A_vann_kriger16,64,Warrior,Giant,NPC
A_vind_militis12,63,Warrior,Giant,NPC
A_vind_militis11,63,Warrior,Giant,NPC
Wybjorn00,64,Warrior,Stormrider,NPC
A_vind_militis10,63,Warrior,Giant,NPC
A_brann_stav02,61,Wizard,Giant,NPC
A_vind_geistlig03,61,Cleric,Giant,NPC
A_vann_kriger13,64,Warrior,Giant,NPC
A_brann_kriger26,64,Warrior,Giant,NPC
A_vind_militis09,63,Warrior,Giant,NPC
A_vann_kriger12,64,Warrior,Giant,NPC
A_vann_militis00,63,Warrior,Giant,NPC
A_vind_militis08,63,Warrior,Giant,NPC
A_vind_militis07,63,Warrior,Giant,NPC
A_vann_priest00,63,Cleric,Giant,NPC
A_brann_militis08,63,Warrior,Giant,NPC
A_brann_militis07,63,Warrior,Giant,NPC
A_brann_kriger22,64,Warrior,Giant,NPC
A_brann_militis06,63,Warrior,Giant,NPC
A_brann_militis05,63,Warrior,Giant,NPC
a_braan_frienai02,60,Warrior,Elemental,NPC
A_vann_kriger11,64,Warrior,Giant,NPC
A_brann_militis04,63,Warrior,Giant,NPC
A_vann_kriger10,64,Warrior,Giant,NPC
a_raging_storm01,60,Warrior,Elemental,NPC
A_brann_stav00,61,Wizard,Giant,NPC
A_vann_kriger09,64,Warrior,Giant,NPC
A_storm_guardian03,64,Warrior,Dervish,NPC
A_brann_geistlig00,61,Cleric,Giant,NPC
