Name,Level,Class,Race,Type
wurm01,41,Warrior,Wurm,NPC
plaguebone_skeleton01,34,Warrior,Sarnak Skeleton,NPC
a_sarnak_knight02,35,Warrior,Sarnak,NPC
a_forest_giant_arbor04,35,Warrior,Giant,NPC
a_tatterback_ape05,34,Warrior,Gorilla,NPC
a_forest_giant_verdant02,39,Warrior,Giant,NPC
greater_plague_skeleton09,40,Warrior,Sarnak Skeleton,NPC
a_tatterback_ape08,37,Warrior,Gorilla,NPC
a_forest_giant_ancient02,42,Warrior,Giant,NPC
a_cinder_hornet25,37,Warrior,Wasp,NPC
a_forest_giant_arbor02,37,Warrior,Giant,NPC
a_forest_giant_ancient01,43,Warrior,Giant,NPC
a_tottering_gorilla18,40,Warrior,Gorilla,NPC
a_cinder_hornet16,38,Warrior,Wasp,NPC
a_forest_giant_arbor00,38,Warrior,Giant,NPC
a_scoriae_hornet06,44,Warrior,Wasp,NPC
a_forest_giant_ancient00,44,Warrior,Giant,NPC
a_forest_giant_verdant01,42,Warrior,Giant,NPC
a_cinder_hornet33,39,Warrior,Wasp,NPC
an_ash_hornet09,33,Warrior,Wasp,NPC
a_tatterback_ape12,34,Warrior,Gorilla,NPC
a_sarnak_knight05,37,Warrior,Sarnak,NPC
a_sarnak_champion01,37,Warrior,Sarnak,NPC
a_forest_giant_arbor06,38,Warrior,Giant,NPC
a_tatterback_gorilla14,47,Warrior,Gorilla,NPC
a_sarnak_enthusiast06,33,Shaman,Sarnak,NPC
greater_war_boned_skeleton06,45,Monk,Sarnak Skeleton,NPC
a_sarnak_knight04,36,Warrior,Sarnak,NPC
a_cinder_hornet19,39,Warrior,Wasp,NPC
plaguebone_skeleton05,35,Warrior,Sarnak Skeleton,NPC
a_sarnak_knight07,36,Warrior,Sarnak,NPC
a_forest_giant_arbor09,38,Warrior,Giant,NPC
wurm05,37,Warrior,Wurm,NPC
a_tatterback_gorilla01,44,Warrior,Gorilla,NPC
a_sarnak_zealot00,45,Shaman,Sarnak,NPC
a_tatterback_gorilla15,47,Warrior,Gorilla,NPC
a_moldering_gorilla10,40,Warrior,Gorilla,NPC
greater_plague_skeleton05,41,Warrior,Sarnak Skeleton,NPC
a_cinder_hornet31,38,Warrior,Wasp,NPC
an_ash_hornet13,34,Warrior,Wasp,NPC
a_cinder_hornet30,39,Warrior,Wasp,NPC
a_sarnak_champion13,38,Warrior,Sarnak,NPC
a_tottering_gorilla01,37,Warrior,Gorilla,NPC
Naxot_Deepwater00,25,Warrior,Iksar,NPC
a_moldering_gorilla02,41,Warrior,Gorilla,NPC
a_tottering_gorilla06,41,Warrior,Gorilla,NPC
a_tatterback_gorilla05,46,Warrior,Gorilla,NPC
a_tottering_gorilla05,40,Warrior,Gorilla,NPC
Juikanazza_Deepfinder00,50,Warrior,Iksar,NPC
a_tatterback_gorilla07,47,Warrior,Gorilla,NPC
a_moldering_gorilla01,43,Warrior,Gorilla,NPC
a_tottering_gorilla04,40,Warrior,Gorilla,NPC
a_sarnak_knight09,33,Warrior,Sarnak,NPC
greater_plague_skeleton01,43,Warrior,Sarnak Skeleton,NPC
a_moldering_gorilla00,40,Warrior,Gorilla,NPC
Fiella_Fallstine00,50,Warrior,Human,NPC
a_tottering_gorilla03,39,Warrior,Gorilla,NPC
Doacaan_Drakay00,50,Warrior,Human,NPC
a_sarnak_enthusiast02,33,Shaman,Sarnak,NPC
a_cinder_hornet12,37,Warrior,Wasp,NPC
a_sarnak_imitator00,55,Enchanter,Sarnak,NPC
a_cinder_hornet11,36,Warrior,Wasp,NPC
a_cinder_hornet10,37,Warrior,Wasp,NPC
a_tatterback_gorilla08,44,Warrior,Gorilla,NPC
a_cinder_hornet09,37,Warrior,Wasp,NPC
a_scoriae_hornet01,43,Warrior,Wasp,NPC
greater_war_boned_skeleton03,44,Monk,Sarnak Skeleton,NPC
a_cinder_hornet08,37,Warrior,Wasp,NPC
a_tatterback_gorilla13,46,Warrior,Gorilla,NPC
an_ember_hornet01,41,Warrior,Wasp,NPC
an_ash_hornet06,35,Warrior,Wasp,NPC
a_sarnak_extremist10,40,Shaman,Sarnak,NPC
a_sarnak_zealot08,44,Shaman,Sarnak,NPC
an_ash_hornet04,37,Warrior,Wasp,NPC
a_cinder_hornet07,38,Warrior,Wasp,NPC
a_scoriae_hornet03,42,Warrior,Wasp,NPC
greater_plague_skeleton13,42,Warrior,Sarnak Skeleton,NPC
an_ash_hornet03,33,Warrior,Wasp,NPC
an_ash_hornet02,37,Warrior,Wasp,NPC
greater_war_boned_skeleton02,42,Monk,Sarnak Skeleton,NPC
an_ash_hornet01,34,Warrior,Wasp,NPC
a_scoriae_hornet05,43,Warrior,Wasp,NPC
a_tatterback_gorilla09,43,Warrior,Gorilla,NPC
a_cinder_hornet05,38,Warrior,Wasp,NPC
a_scoriae_hornet02,42,Warrior,Wasp,NPC
a_sarnak_knight08,37,Warrior,Sarnak,NPC
a_cinder_hornet04,38,Warrior,Wasp,NPC
greater_war_boned_skeleton01,45,Monk,Sarnak Skeleton,NPC
a_cinder_hornet02,39,Warrior,Wasp,NPC
an_ember_hornet00,41,Warrior,Wasp,NPC
a_sarnak_knight01,34,Warrior,Sarnak,NPC
a_moldering_gorilla03,42,Warrior,Gorilla,NPC
a_sarnak_champion00,41,Warrior,Sarnak,NPC
a_sarnak_champion03,37,Warrior,Sarnak,NPC
a_sarnak_enthusiast01,37,Shaman,Sarnak,NPC
a_tottering_gorilla16,40,Warrior,Gorilla,NPC
greater_plague_skeleton17,42,Warrior,Sarnak Skeleton,NPC
an_ash_hornet07,35,Warrior,Wasp,NPC
a_moldering_gorilla07,42,Warrior,Gorilla,NPC
a_sarnak_champion06,39,Warrior,Sarnak,NPC
a_tatterback_ape17,37,Warrior,Gorilla,NPC
a_sarnak_zealot04,44,Shaman,Sarnak,NPC
plaguebone_skeleton09,33,Warrior,Sarnak Skeleton,NPC
a_cinder_hornet18,39,Warrior,Wasp,NPC
a_tottering_gorilla15,41,Warrior,Gorilla,NPC
a_tottering_gorilla19,40,Warrior,Gorilla,NPC
greater_barbed_skeleton04,36,Warrior,Sarnak Skeleton,NPC
plaguebone_skeleton08,33,Warrior,Sarnak Skeleton,NPC
a_tatterback_ape16,38,Warrior,Gorilla,NPC
a_sarnak_champion11,37,Warrior,Sarnak,NPC
a_tatterback_ape07,36,Warrior,Gorilla,NPC
greater_plague_skeleton15,40,Warrior,Sarnak Skeleton,NPC
a_sarnak_extremist06,40,Shaman,Sarnak,NPC
a_sarnak_knight11,33,Warrior,Sarnak,NPC
a_tatterback_ape11,38,Warrior,Gorilla,NPC
a_sarnak_enthusiast03,35,Shaman,Sarnak,NPC
a_sarnak_knight10,35,Warrior,Sarnak,NPC
greater_barbed_skeleton09,38,Warrior,Sarnak Skeleton,NPC
a_sarnak_extremist02,40,Shaman,Sarnak,NPC
a_tatterback_ape09,34,Warrior,Gorilla,NPC
a_sarnak_avenger04,42,Warrior,Sarnak,NPC
wurm08,39,Warrior,Wurm,NPC
Fellgoona_Trogue00,50,Warrior,Ogre,NPC
a_tatterback_ape04,34,Warrior,Gorilla,NPC
Nadira00,45,Monk,Human,NPC
an_ash_hornet10,35,Warrior,Wasp,NPC
