Name,Level,Class,Race,Type
a_decaying_dwarf_skeleton10,1,Warrior,Ancient Skeleton,NPC
Izbal_Brightblaze00,38,Shopkeeper,Dwarf,NPC
Inudul_Dumirgun00,40,Shopkeeper,High Elf,NPC
a_bat17,1,Warrior,Bat,NPC
Urazun_Thranon00,40,Shopkeeper,Dwarf,NPC
a_goblin_whelp15,1,Warrior,Goblin,NPC
Iglan_Thranon00,32,Shopkeeper,Dwarf,NPC
a_decaying_dwarf_skeleton19,1,Warrior,Ancient Skeleton,NPC
a_crazed_goblin01,27,Warrior,Goblin,NPC
Nalda_Griststone00,38,Shopkeeper,Dwarf,NPC
a_wandering_greenblood02,9,Warrior,Ogre,NPC
a_giant_scarab02,8,Warrior,Beetle,NPC
a_snake01,1,Warrior,Snake,NPC
Kaila_Rucksack00,41,Shopkeeper,Dwarf,NPC
a_decaying_dwarf_skeleton28,1,Warrior,Ancient Skeleton,NPC
a_wandering_greenblood01,8,Warrior,Ogre,NPC
Guard_Srinn00,40,Warrior,Dwarf,NPC
Guard_Kizzburr00,25,Warrior,Dwarf,NPC
a_large_skunk03,2,Warrior,Skunk,NPC
Guard_Dunn00,45,Warrior,Dwarf,NPC
a_dwarf_skeleton08,7,Warrior,Ancient Skeleton,NPC
Guard_Gabel00,40,Warrior,Dwarf,NPC
Nyzil_Bloodforge00,45,Warrior,Dwarf,NPC
a_large_skunk15,2,Warrior,Skunk,NPC
a_decaying_dwarf_skeleton25,1,Warrior,Ancient Skeleton,NPC
Guard_Zyburr00,40,Warrior,Dwarf,NPC
Guard_Mandin00,40,Warrior,Dwarf,NPC
a_goblin_whelp14,1,Warrior,Goblin,NPC
Guard_Belg00,40,Warrior,Dwarf,NPC
a_giant_scarab00,9,Warrior,Beetle,NPC
a_snake14,1,Warrior,Snake,NPC
a_decaying_dwarf_skeleton01,1,Warrior,Ancient Skeleton,NPC
Crytil_Dunfire00,9,Rogue,Dwarf,NPC
a_large_skunk13,2,Warrior,Skunk,NPC
Sigmas_Boran00,35,Warrior,Dwarf,NPC
Tagnis_Ginfarr00,35,Warrior,Dwarf,NPC
a_bat12,1,Warrior,Bat,NPC
a_goblin_whelp08,1,Warrior,Goblin,NPC
Dalbar_Tarbrind00,35,Warrior,Dwarf,NPC
a_decaying_dwarf_skeleton53,1,Warrior,Ancient Skeleton,NPC
a_snake27,1,Warrior,Snake,NPC
a_decaying_dwarf_skeleton50,1,Warrior,Ancient Skeleton,NPC
Delin_Ironblend00,35,Warrior,Dwarf,NPC
Den_Ironblend00,35,Warrior,Dwarf,NPC
a_rock_spiderling09,2,Warrior,Spider,NPC
Vedico_Windwisper00,45,Bard,Half Elf,NPC
a_dwarf_skeleton07,5,Warrior,Ancient Skeleton,NPC
a_decaying_dwarf_skeleton42,1,Warrior,Ancient Skeleton,NPC
a_goblin18,5,Warrior,Goblin,NPC
a_dwarf_skeleton05,6,Warrior,Ancient Skeleton,NPC
a_dwarf_skeleton04,6,Warrior,Ancient Skeleton,NPC
a_dwarf_skeleton03,5,Warrior,Ancient Skeleton,NPC
a_decaying_dwarf_skeleton45,1,Warrior,Ancient Skeleton,NPC
Walnan00,47,Magician,High Elf,NPC
Peg_Leg00,14,Rogue,Dwarf,NPC
a_large_skunk00,2,Warrior,Skunk,NPC
Margyl_Darklin00,9,Rogue,Dwarf,NPC
a_goblin_whelp05,1,Warrior,Goblin,NPC
Stump_Rundl00,12,Rogue,Dwarf,NPC
a_snake04,1,Warrior,Snake,NPC
a_goblin_whelp04,1,Warrior,Goblin,NPC
a_Krag_chick02,4,Warrior,Aviak,NPC
an_aqua_goblin00,11,Warrior,Goblin,NPC
a_large_skunk23,2,Warrior,Skunk,NPC
a_goblin_whelp02,1,Warrior,Goblin,NPC
Felen_Razdal00,40,Shopkeeper,High Elf,NPC
a_bat28,1,Warrior,Bat,NPC
Guard_Kyte00,24,Warrior,Dwarf,NPC
a_decaying_dwarf_skeleton08,1,Warrior,Ancient Skeleton,NPC
Guard_Gonin00,25,Warrior,Dwarf,NPC
Gibi_Bilgum00,35,Warrior,Dwarf,NPC
Alun_Bilgum00,35,Warrior,Dwarf,NPC
a_goblin_warrior02,8,Warrior,Goblin,NPC
a_Krag_chick10,4,Warrior,Aviak,NPC
Guard_Sornn00,40,Warrior,Dwarf,NPC
a_goblin_warrior01,7,Warrior,Goblin,NPC
a_goblin14,6,Warrior,Goblin,NPC
a_goblin_warrior00,8,Warrior,Goblin,NPC
Guard_Armandin00,50,Warrior,Dwarf,NPC
a_Krag_chick00,3,Warrior,Aviak,NPC
Guard_Grae00,50,Warrior,Dwarf,NPC
