Name,Level,Class,Race,Type
aqua_goblin_shaman04,17,Shaman,Goblin,NPC
aqua_goblin_tidal_lord11,24,Warrior,Goblin,NPC
aqua_goblin_mariner15,14,Warrior,Goblin,NPC
aqua_goblin_mariner14,14,Warrior,Goblin,NPC
Hrellmoor_Gull00,50,Warrior,Gnome,NPC
Brynnawen_Drathen00,50,Warrior,Dwarf,NPC
Corrallia_Moru00,50,Warrior,Erudite,NPC
Brysell_Geogo00,50,Warrior,Barbarian,NPC
Symperbell_Moor00,50,Warrior,Human,NPC
Coan_Selendru00,50,Warrior,Human,NPC
Jinalis_Andir00,61,Magician,Erudite,NPC
Dwigus_Lowater00,36,Warrior,Goblin,NPC
Bilge_Farfathom00,30,Shaman,Goblin,NPC
a_sandbar_serpent01,10,Warrior,Snake,NPC
aqua_goblin_tidal_lord03,22,Warrior,Goblin,NPC
an_undertow_skeleton00,15,Warrior,Ancient Skeleton,NPC
aqua_goblin_shaman06,15,Shaman,Goblin,NPC
a_boat01,50,Warrior,Boat,NPC
a_cauldron_rat04,4,Warrior,Rat,NPC
a_boat00,50,Warrior,Boat,NPC
a_sandbar_serpent03,14,Warrior,Snake,NPC
aqua_goblin_bosun00,18,Warrior,Goblin,NPC
a_shoal_serpent03,5,Warrior,Snake,NPC
aqua_goblin_tidal_lord18,24,Warrior,Goblin,NPC
a_cauldron_rat03,6,Warrior,Rat,NPC
Jetsam00,12,Warrior,Rat,NPC
Elmion_Hendrys00,20,Ranger,Wood Elf,NPC
Nyrien_Lyrdarniel00,20,Cleric,High Elf,NPC
a_cauldron_rat01,5,Warrior,Rat,NPC
Ghilanbiddle_Nylwadil00,20,Wizard,Gnome,NPC
aqua_goblin_shaman03,16,Shaman,Goblin,NPC
aqua_goblin_mariner02,14,Warrior,Goblin,NPC
aqua_goblin_tidal_lord06,23,Warrior,Goblin,NPC
aqua_goblin_mariner01,12,Warrior,Goblin,NPC
a_scalded_rat03,9,Warrior,Rat,NPC
an_undertow_skeleton01,14,Warrior,Ancient Skeleton,NPC
aqua_goblin_mariner00,14,Warrior,Goblin,NPC
a_shoal_serpent06,6,Warrior,Snake,NPC
#Agent_of_Change00,105,Warrior,Ancient Wolf,NPC
Nisha_Lightbrook00,70,Cleric,High Elf,NPC
aqua_goblin_shaman09,15,Shaman,Goblin,NPC
Twedwr_Darkblade00,40,Shopkeeper,Dwarf,NPC
Cylen_Darkblade00,40,Shopkeeper,Dwarf,NPC
Treanik_Ireblade00,65,Warrior,Ogre,NPC
Henai_Silentwalker00,65,Rogue,Halfling,NPC
aqua_goblin_bosun01,17,Warrior,Goblin,NPC
#Llara00,32,Warrior,Wood Elf,NPC
an_orc_scout03,12,Warrior,Orc,NPC
aqua_goblin_tidal_lord13,24,Warrior,Goblin,NPC
a_sandbar_serpent00,14,Warrior,Snake,NPC
a_shoal_serpent04,5,Warrior,Snake,NPC
aqua_goblin_mariner03,13,Warrior,Goblin,NPC
aqua_goblin_tidal_lord12,22,Warrior,Goblin,NPC
a_cauldron_rat00,5,Warrior,Rat,NPC
aqua_goblin_tidal_lord14,24,Warrior,Goblin,NPC
aqua_goblin_tidal_lord09,22,Warrior,Goblin,NPC
aqua_goblin_bosun08,18,Warrior,Goblin,NPC
a_scalded_rat01,8,Warrior,Rat,NPC
a_shoal_serpent02,8,Warrior,Snake,NPC
aqua_goblin_tidal_lord08,22,Warrior,Goblin,NPC
aqua_goblin_shaman05,15,Shaman,Goblin,NPC
aqua_goblin_tidal_lord04,23,Warrior,Goblin,NPC
Conium_Darkblade00,40,Shopkeeper,Dwarf,NPC
a_scalded_rat00,8,Warrior,Rat,NPC
aqua_goblin_mariner16,13,Warrior,Goblin,NPC
aqua_goblin_shaman02,17,Shaman,Goblin,NPC
aqua_goblin_tidal_lord05,22,Warrior,Goblin,NPC
aqua_goblin_mariner13,13,Warrior,Goblin,NPC
aqua_goblin_tidal_lord02,24,Warrior,Goblin,NPC
aqua_goblin_shaman01,17,Shaman,Goblin,NPC
aqua_goblin_mariner04,14,Warrior,Goblin,NPC
a_cauldron_rat02,5,Warrior,Rat,NPC
aqua_goblin_bosun03,19,Warrior,Goblin,NPC
aqua_goblin_tidal_lord01,23,Warrior,Goblin,NPC
aqua_goblin_shaman00,16,Shaman,Goblin,NPC
a_shoal_serpent00,8,Warrior,Snake,NPC
an_undertow_skeleton02,13,Warrior,Ancient Skeleton,NPC
aqua_goblin_mariner06,12,Warrior,Goblin,NPC
an_orc_scout02,11,Warrior,Orc,NPC
an_orc_scout00,10,Warrior,Orc,NPC
a_sandbar_serpent02,10,Warrior,Snake,NPC
aqua_goblin_mariner17,14,Warrior,Goblin,NPC
aqua_goblin_tidal_lord00,24,Warrior,Goblin,NPC
aqua_goblin_mariner09,14,Warrior,Goblin,NPC
Gundalthur_Izuran00,39,Paladin,Dwarf,NPC
Grimpl_Rustedcog00,42,Rogue,Gnome,NPC
an_orc_scout01,11,Warrior,Orc,NPC
