Name,Level,Class,Race,Type
a_lifestealer_mosquito02,56,Warrior,Mosquito,NPC
a_lifestealer_mosquito01,58,Warrior,Mosquito,NPC
a_lifestealer_mosquito00,56,Warrior,Mosquito,NPC
a_swirling_ooze20,55,Warrior,Goo,NPC
a_pool_of_slime11,57,Warrior,Goo,NPC
a_pool_of_slime10,57,Warrior,Goo,NPC
a_swirling_ooze19,55,Warrior,Goo,NPC
a_pool_of_slime09,57,Warrior,Goo,NPC
a_swirling_ooze18,55,Warrior,Goo,NPC
a_swirling_ooze17,55,Warrior,Goo,NPC
a_pool_of_slime08,57,Warrior,Goo,NPC
a_swirling_ooze16,55,Warrior,Goo,NPC
a_swirling_ooze15,55,Warrior,Goo,NPC
a_swirling_ooze14,55,Warrior,Goo,NPC
a_pool_of_slime07,57,Warrior,Goo,NPC
a_swirling_ooze13,55,Warrior,Goo,NPC
a_swirling_ooze12,55,Warrior,Goo,NPC
a_swirling_ooze11,55,Warrior,Goo,NPC
a_swirling_ooze10,55,Warrior,Goo,NPC
a_swirling_ooze09,55,Warrior,Goo,NPC
a_pool_of_slime06,57,Warrior,Goo,NPC
a_swirling_ooze08,55,Warrior,Goo,NPC
a_Thul_Tae_Ew_defender05,58,Warrior,Lizard Man,NPC
a_Thul_Tae_Ew_justicar08,58,Cleric,Lizard Man,NPC
a_Thul_Tae_Ew_defender04,58,Warrior,Lizard Man,NPC
a_Thul_Tae_Ew_zealot04,58,Shaman,Lizard Man,NPC
a_Thul_Tae_Ew_zealot03,58,Shaman,Lizard Man,NPC
a_Thul_Tae_Ew_justicar07,58,Cleric,Lizard Man,NPC
a_Thul_Tae_Ew_bloodcaller01,58,Necromancer,Lizard Man,NPC
a_Thul_Tae_Ew_defender03,58,Warrior,Lizard Man,NPC
a_Tae_Ew_bloodcaller05,55,Necromancer,Lizard Man,NPC
a_Tae_Ew_justicar09,55,Cleric,Lizard Man,NPC
a_Tae_Ew_lifestealer04,57,Necromancer,Lizard Man,NPC
a_Tae_Ew_protector14,57,Warrior,Lizard Man,NPC
a_Tae_Ew_justicar08,55,Cleric,Lizard Man,NPC
a_Tae_Ew_defender11,55,Warrior,Lizard Man,NPC
a_Thul_Tae_Ew_justicar06,58,Cleric,Lizard Man,NPC
a_Tae_Ew_defender10,55,Warrior,Lizard Man,NPC
a_Tae_Ew_protector13,57,Warrior,Lizard Man,NPC
a_Thul_Tae_Ew_zealot02,58,Shaman,Lizard Man,NPC
a_Tae_Ew_defender09,55,Warrior,Lizard Man,NPC
a_Tae_Ew_fanatic01,57,Shaman,Lizard Man,NPC
a_Tae_Ew_bloodcaller04,55,Necromancer,Lizard Man,NPC
a_Thul_Tae_Ew_justicar05,58,Cleric,Lizard Man,NPC
a_Tae_Ew_fanatic00,57,Shaman,Lizard Man,NPC
a_Thul_Tae_Ew_defender02,58,Warrior,Lizard Man,NPC
a_Tae_Ew_zealot03,55,Shaman,Lizard Man,NPC
a_Tae_Ew_bloodcaller03,55,Necromancer,Lizard Man,NPC
a_Tae_Ew_justicar07,55,Cleric,Lizard Man,NPC
a_Tae_Ew_protector12,57,Warrior,Lizard Man,NPC
a_Tae_Ew_zealot02,55,Shaman,Lizard Man,NPC
a_Thul_Tae_Ew_zealot01,58,Shaman,Lizard Man,NPC
a_Tae_Ew_justicar06,55,Cleric,Lizard Man,NPC
a_Tae_Ew_protector11,57,Warrior,Lizard Man,NPC
a_Tae_Ew_lifestealer03,54,Necromancer,Lizard Man,NPC
a_Tae_Ew_protector10,54,Warrior,Lizard Man,NPC
a_Tae_Ew_defender08,53,Warrior,Lizard Man,NPC
a_Tae_Ew_lifestealer02,54,Necromancer,Lizard Man,NPC
a_Thul_Tae_Ew_justicar04,56,Cleric,Lizard Man,NPC
_________00,1,Warrior,Cazic-Thule,NPC
a_Thul_Tae_Ew_defender01,58,Warrior,Lizard Man,NPC
a_Tae_Ew_protector09,57,Warrior,Lizard Man,NPC
a_Thul_Tae_Ew_justicar03,58,Cleric,Lizard Man,NPC
a_Tae_Ew_protector08,57,Warrior,Lizard Man,NPC
a_Tae_Ew_protector07,57,Warrior,Lizard Man,NPC
a_Tae_Ew_bloodcaller02,55,Necromancer,Lizard Man,NPC
a_Tae_Ew_protector06,57,Warrior,Lizard Man,NPC
a_Tae_Ew_defender07,55,Warrior,Lizard Man,NPC
a_Thul_Tae_Ew_justicar02,58,Cleric,Lizard Man,NPC
a_Tae_Ew_defender06,55,Warrior,Lizard Man,NPC
a_Tae_Ew_protector05,57,Warrior,Lizard Man,NPC
a_Tae_Ew_justicar05,55,Cleric,Lizard Man,NPC
a_Tae_Ew_lifestealer01,57,Necromancer,Lizard Man,NPC
a_Tae_Ew_justicar04,55,Cleric,Lizard Man,NPC
a_pool_of_slime05,57,Warrior,Goo,NPC
a_pool_of_slime04,57,Warrior,Goo,NPC
a_pool_of_slime03,57,Warrior,Goo,NPC
a_swirling_ooze07,55,Warrior,Goo,NPC
a_pool_of_slime02,57,Warrior,Goo,NPC
a_swirling_ooze06,55,Warrior,Goo,NPC
a_pool_of_slime01,57,Warrior,Goo,NPC
an_ooze05,53,Warrior,Goo,NPC
a_swirling_ooze05,55,Warrior,Goo,NPC
a_swirling_ooze04,55,Warrior,Goo,NPC
a_swirling_ooze03,55,Warrior,Goo,NPC
a_pool_of_slime00,57,Warrior,Goo,NPC
a_swirling_ooze02,55,Warrior,Goo,NPC
an_ooze04,53,Warrior,Goo,NPC
an_ooze03,53,Warrior,Goo,NPC
a_swirling_ooze01,55,Warrior,Goo,NPC
an_ooze02,53,Warrior,Goo,NPC
an_ooze01,53,Warrior,Goo,NPC
an_ooze00,53,Warrior,Goo,NPC
a_swirling_ooze00,55,Warrior,Goo,NPC
a_large_greenblood_piranha03,54,Warrior,Piranha,NPC
a_greenblood_piranha05,53,Warrior,Piranha,NPC
a_large_greenblood_piranha02,54,Warrior,Piranha,NPC
a_large_greenblood_piranha01,54,Warrior,Piranha,NPC
a_greenblood_piranha04,52,Warrior,Piranha,NPC
a_large_greenblood_piranha00,54,Warrior,Piranha,NPC
a_greenblood_piranha03,53,Warrior,Piranha,NPC
a_greenblood_piranha02,53,Warrior,Piranha,NPC
a_greenblood_piranha01,53,Warrior,Piranha,NPC
a_greenblood_piranha00,52,Warrior,Piranha,NPC
a_Tae_Ew_proselyte04,53,Shaman,Lizard Man,NPC
a_Tae_Ew_proselyte03,53,Shaman,Lizard Man,NPC
a_Tae_Ew_proselyte02,53,Cleric,Lizard Man,NPC
a_Thul_Tae_Ew_lifestealer00,60,Necromancer,Lizard Man,NPC
a_Thul_Tae_Ew_bloodcaller00,58,Necromancer,Lizard Man,NPC
a_fierce_tiger_raptor01,56,Warrior,Raptor,NPC
a_fierce_jungle_raptor02,56,Warrior,Raptor,NPC
a_fierce_tiger_raptor00,56,Warrior,Raptor,NPC
a_fierce_jungle_raptor01,56,Warrior,Raptor,NPC
a_fierce_jungle_raptor00,56,Warrior,Raptor,NPC
a_frenzied_tiger_raptor00,58,Warrior,Raptor,NPC
a_Thul_Tae_Ew_zealot00,58,Shaman,Lizard Man,NPC
a_Thul_Tae_Ew_justicar01,58,Cleric,Lizard Man,NPC
a_Thul_Tae_Ew_defender00,58,Warrior,Lizard Man,NPC
a_Thul_Tae_Ew_protector01,60,Warrior,Lizard Man,NPC
a_Thul_Tae_Ew_protector00,60,Warrior,Lizard Man,NPC
a_Thul_Tae_Ew_fanatic00,60,Shaman,Lizard Man,NPC
a_Thul_Tae_Ew_justicar00,58,Cleric,Lizard Man,NPC
a_Tae_Ew_zealot01,55,Shaman,Lizard Man,NPC
a_Tae_Ew_justicar03,55,Cleric,Lizard Man,NPC
a_Tae_Ew_defender05,55,Warrior,Lizard Man,NPC
a_Tae_Ew_defender04,55,Warrior,Lizard Man,NPC
a_Tae_Ew_warrior07,53,Warrior,Lizard Man,NPC
a_Tae_Ew_lifestealer00,57,Necromancer,Lizard Man,NPC
a_Tae_Ew_zealot00,55,Shaman,Lizard Man,NPC
a_Tae_Ew_protector04,57,Warrior,Lizard Man,NPC
a_Tae_Ew_lifedrinker02,54,Necromancer,Lizard Man,NPC
a_Tae_Ew_disciple04,54,Cleric,Lizard Man,NPC
a_Tae_Ew_warrior06,53,Warrior,Lizard Man,NPC
a_Tae_Ew_protector03,57,Warrior,Lizard Man,NPC
#a_Tae_Ew_warmaster00,57,Warrior,Lizard Man,NPC
a_Tae_Ew_defender03,55,Warrior,Lizard Man,NPC
a_Tae_Ew_bloodcaller01,55,Necromancer,Lizard Man,NPC
a_Tae_Ew_bloodcaller00,55,Necromancer,Lizard Man,NPC
a_Tae_Ew_defender02,55,Warrior,Lizard Man,NPC
a_Tae_Ew_justicar02,55,Cleric,Lizard Man,NPC
a_Tae_Ew_justicar01,55,Cleric,Lizard Man,NPC
a_Tae_Ew_protector02,57,Warrior,Lizard Man,NPC
a_Tae_Ew_protector01,57,Warrior,Lizard Man,NPC
a_Tae_Ew_protector00,57,Warrior,Lizard Man,NPC
a_Tae_Ew_justicar00,55,Cleric,Lizard Man,NPC
a_Tae_Ew_disciple03,54,Cleric,Lizard Man,NPC
a_Tae_Ew_proselyte01,53,Cleric,Lizard Man,NPC
a_Tae_Ew_defender01,55,Warrior,Lizard Man,NPC
a_Tae_Ew_lifedrinker01,54,Necromancer,Lizard Man,NPC
a_Tae_Ew_defender00,55,Warrior,Lizard Man,NPC
a_Tae_Ew_warder06,54,Warrior,Lizard Man,NPC
a_shiverback02,54,Warrior,Gorilla,NPC
a_shiverback01,54,Warrior,Gorilla,NPC
a_Tae_Ew_lifedrinker00,54,Necromancer,Lizard Man,NPC
a_Tae_Ew_warrior05,53,Warrior,Lizard Man,NPC
a_Tae_Ew_warrior04,53,Warrior,Lizard Man,NPC
a_Tae_Ew_warder05,54,Warrior,Lizard Man,NPC
an_enraged_shiverback00,56,Warrior,Gorilla,NPC
a_shiverback00,54,Warrior,Gorilla,NPC
a_Tae_Ew_warder04,54,Warrior,Lizard Man,NPC
a_Tae_Ew_warder03,54,Warrior,Lizard Man,NPC
a_Tae_Ew_warrior03,53,Warrior,Lizard Man,NPC
a_Tae_Ew_warder02,54,Warrior,Lizard Man,NPC
a_Tae_Ew_disciple02,54,Cleric,Lizard Man,NPC
a_Tae_Ew_disciple01,54,Shaman,Lizard Man,NPC
a_Tae_Ew_warrior02,53,Warrior,Lizard Man,NPC
a_Tae_Ew_disciple00,54,Shaman,Lizard Man,NPC
a_Tae_Ew_warrior01,53,Warrior,Lizard Man,NPC
a_Tae_Ew_proselyte00,53,Cleric,Lizard Man,NPC
a_Tae_Ew_warrior00,53,Warrior,Lizard Man,NPC
a_Tae_Ew_warder01,54,Warrior,Lizard Man,NPC
a_Tae_Ew_warder00,54,Warrior,Lizard Man,NPC
a_Tae_Ew_Justicar17,1,Warrior,Lizard Man,NPC
a_Tae_Ew_Justicar16,1,Warrior,Lizard Man,NPC
a_Tae_Ew_Justicar15,1,Warrior,Lizard Man,NPC
a_Tae_Ew_Justicar14,1,Warrior,Lizard Man,NPC
Tahia_Felwah01,1,Warrior,High Elf,NPC
a_jungle_stalker04,54,Warrior,Spider,NPC
a_jungle_hunter02,53,Warrior,Spider,NPC
a_fierce_jungle_raptor04,56,Warrior,Raptor,NPC
a_jungle_stalker03,54,Warrior,Spider,NPC
a_Thulian_High_Ritualist00,60,Shaman,Lizard Man,NPC
a_swirling_ooze34,56,Warrior,Goo,NPC
#a_Thul_Tae_Ew_High_Priest00,60,Warrior,Lizard Man,NPC
an_enraged_Tae_Ew_fanatic04,51,Warrior,Lizard Man,NPC
an_enraged_Tae_Ew_fanatic03,51,Warrior,Lizard Man,NPC
an_enraged_Tae_Ew_fanatic02,51,Warrior,Lizard Man,NPC
an_enraged_Tae_Ew_fanatic01,51,Warrior,Lizard Man,NPC
an_enraged_Tae_Ew_fanatic00,51,Warrior,Lizard Man,NPC
an_Amygdalan_protector03,56,Warrior,Amygdalan,NPC
an_Amygdalan_protector02,56,Warrior,Amygdalan,NPC
an_Amygdalan_protector01,56,Warrior,Amygdalan,NPC
an_Amygdalan_protector00,56,Warrior,Amygdalan,NPC
a_living_void00,1,Warrior,Goo,NPC
#Agent_of_Change00,105,Warrior,Ancient Wolf,NPC
a_Tae_Ew_warder16,54,Warrior,Lizard Man,NPC
#Tae_Ew_Watcher00,56,Warrior,Lizard Man,NPC
a_lifestealer_mosquito07,53,Warrior,Mosquito,NPC
#Ikpug_Giblod00,65,Warrior,Ogre,NPC
Gimlik_Cogboggle00,1,Warrior,Gnome,NPC
a_swirling_ooze32,55,Warrior,Goo,NPC
a_swirling_ooze31,55,Warrior,Goo,NPC
an_ooze09,53,Warrior,Goo,NPC
a_swirling_ooze30,55,Warrior,Goo,NPC
an_ooze08,53,Warrior,Goo,NPC
an_ooze07,53,Warrior,Goo,NPC
an_ooze06,53,Warrior,Goo,NPC
a_swirling_ooze29,55,Warrior,Goo,NPC
a_swirling_ooze28,55,Warrior,Goo,NPC
a_frenzied_tiger_raptor03,58,Warrior,Raptor,NPC
a_frenzied_jungle_raptor01,58,Warrior,Raptor,NPC
a_frenzied_tiger_raptor02,58,Warrior,Raptor,NPC
a_fierce_jungle_raptor06,56,Warrior,Raptor,NPC
a_tiger_raptor03,52,Warrior,Raptor,NPC
a_tiger_raptor02,52,Warrior,Raptor,NPC
#a_Thul_Tae_Ew_crusader00,60,Shadow Knight,Lizard Man,NPC
a_Tae_Ew_defender15,55,Warrior,Lizard Man,NPC
a_Thul_Tae_Ew_justicar09,58,Cleric,Lizard Man,NPC
a_Thul_Tae_Ew_judicator00,60,Cleric,Lizard Man,NPC
a_Tae_Ew_zealot05,55,Shaman,Lizard Man,NPC
a_Tae_Ew_protector15,57,Warrior,Lizard Man,NPC
a_Thul_Tae_Ew_bloodcaller02,58,Necromancer,Lizard Man,NPC
a_Tae_Ew_bloodcaller07,55,Necromancer,Lizard Man,NPC
a_Thul_Tae_Ew_Warder03,1,Necromancer,Lizard Man,NPC
a_Thul_Tae_Ew_Warder02,1,Necromancer,Lizard Man,NPC
a_Thul_Tae_Ew_Warder01,1,Necromancer,Lizard Man,NPC
a_Thul_Tae_Ew_Warder00,1,Necromancer,Lizard Man,NPC
a_jungle_stalker06,54,Warrior,Spider,NPC
a_jungle_raptor02,52,Warrior,Raptor,NPC
a_fierce_jungle_raptor05,56,Warrior,Raptor,NPC
a_jungle_stalker05,54,Warrior,Spider,NPC
a_jungle_hunter01,53,Warrior,Spider,NPC
a_Tae_Ew_defender14,55,Warrior,Lizard Man,NPC
a_jungle_raptor01,54,Warrior,Raptor,NPC
a_tiger_raptor01,54,Warrior,Raptor,NPC
a_Tae_Ew_warder15,54,Warrior,Lizard Man,NPC
a_Tae_Ew_warrior10,53,Warrior,Lizard Man,NPC
a_tiger_raptor00,54,Warrior,Raptor,NPC
a_jungle_raptor00,52,Warrior,Raptor,NPC
a_Tae_Ew_spiritcaller02,53,Necromancer,Lizard Man,NPC
a_Tae_Ew_defender13,55,Warrior,Lizard Man,NPC
a_Tae_Ew_warder14,54,Warrior,Lizard Man,NPC
a_Tae_Ew_warrior09,53,Warrior,Lizard Man,NPC
a_Tae_Ew_spiritcaller01,53,Necromancer,Lizard Man,NPC
a_Tae_Ew_proselyte06,53,Cleric,Lizard Man,NPC
a_Tae_Ew_proselyte05,53,Cleric,Lizard Man,NPC
a_Tae_Ew_bloodcaller06,55,Necromancer,Lizard Man,NPC
a_Tae_Ew_lifedrinker04,54,Necromancer,Lizard Man,NPC
a_large_hunter00,56,Warrior,Spider,NPC
a_jungle_hunter00,53,Warrior,Spider,NPC
a_jungle_stalker02,54,Warrior,Spider,NPC
a_jungle_stalker01,54,Warrior,Spider,NPC
a_jungle_stalker00,54,Warrior,Spider,NPC
a_Tae_Ew_warder13,54,Warrior,Lizard Man,NPC
a_Tae_Ew_warder12,54,Warrior,Lizard Man,NPC
a_Tae_Ew_disciple08,54,Shaman,Lizard Man,NPC
a_Tae_Ew_warder11,54,Warrior,Lizard Man,NPC
a_Tae_Ew_lifedrinker03,54,Necromancer,Lizard Man,NPC
a_Tae_Ew_disciple07,54,Cleric,Lizard Man,NPC
a_Tae_Ew_warder10,54,Warrior,Lizard Man,NPC
a_Tae_Ew_zealot04,55,Shaman,Lizard Man,NPC
a_Tae_Ew_defender12,55,Warrior,Lizard Man,NPC
a_Tae_Ew_disciple06,54,Shaman,Lizard Man,NPC
a_Tae_Ew_spiritcaller00,53,Necromancer,Lizard Man,NPC
a_Tae_Ew_warder09,54,Warrior,Lizard Man,NPC
a_Tae_Ew_warrior08,53,Warrior,Lizard Man,NPC
