Name,Level,Class,Race,Type
a_bile_golem14,46,Warrior,Goo,NPC
a_bottomless_devourer08,54,Warrior,Devourer,NPC
a_helot_spirit03,51,Monk,Sarnak Spirit,NPC
a_mortiferous_golem00,51,Warrior,Iksar Golem,NPC
a_sepulcher_skeleton52,48,Warrior,Iksar Skeleton,NPC
an_undertaker_skeleton06,50,Warrior,Iksar Skeleton,NPC
a_pyre_golem14,42,Warrior,Iksar Golem,NPC
a_bile_golem09,49,Warrior,Goo,NPC
a_sepulcher_skeleton51,46,Warrior,Iksar Skeleton,NPC
a_sepulcher_skeleton50,48,Warrior,Iksar Skeleton,NPC
a_hexbone_skeleton07,50,Shadow Knight,Iksar Skeleton,NPC
a_sepulcher_skeleton49,47,Warrior,Iksar Skeleton,NPC
a_bile_golem03,46,Warrior,Goo,NPC
a_sepulcher_skeleton47,49,Warrior,Sarnak Skeleton,NPC
an_undead_oblation00,45,Necromancer,Ancient Skeleton,NPC
a_hexbone_skeleton06,52,Shadow Knight,Iksar Skeleton,NPC
a_sepulcher_skeleton03,45,Warrior,Sarnak Skeleton,NPC
an_undertaker_skeleton05,52,Warrior,Iksar Skeleton,NPC
a_sepulcher_skeleton46,49,Warrior,Iksar Skeleton,NPC
a_sepulcher_skeleton45,46,Warrior,Iksar Skeleton,NPC
#Embalming_Fluid00,52,Warrior,Goo,NPC
a_hexbone_skeleton05,52,Shadow Knight,Iksar Skeleton,NPC
a_sepulcher_skeleton44,50,Warrior,Iksar Skeleton,NPC
a_hexbone_skeleton04,51,Shadow Knight,Iksar Skeleton,NPC
a_pulsating_bile00,52,Warrior,Goo,NPC
a_sepulcher_skeleton43,52,Warrior,Sarnak Skeleton,NPC
a_bottomless_devourer06,52,Warrior,Devourer,NPC
a_sepulcher_spirit02,52,Monk,Iksar Spirit,NPC
a_helot_skeleton05,48,Shadow Knight,Iksar Skeleton,NPC
an_undertaker_skeleton10,51,Warrior,Sarnak Skeleton,NPC
a_sepulcher_spirit01,51,Monk,Iksar Spirit,NPC
#Corruptor_Hex00,49,Necromancer,Iksar Skeleton,NPC
a_hamal_skeleton01,50,Necromancer,Ancient Skeleton,NPC
a_pulsating_bile01,50,Warrior,Goo,NPC
a_bile_golem07,49,Warrior,Goo,NPC
a_sepulcher_skeleton37,49,Warrior,Iksar Skeleton,NPC
a_sepulcher_skeleton36,49,Warrior,Iksar Skeleton,NPC
an_elementalbone_skeleton01,46,Shadow Knight,Iksar Skeleton,NPC
a_helot_skeleton03,50,Necromancer,Ancient Skeleton,NPC
a_sepulcher_skeleton35,48,Warrior,Iksar Skeleton,NPC
a_sepulcher_skeleton34,49,Warrior,Sarnak Skeleton,NPC
a_hexbone_skeleton03,50,Shadow Knight,Iksar Skeleton,NPC
a_helot_spectre04,50,Monk,Sarnak Spirit,NPC
an_elementalbone_skeleton00,46,Shadow Knight,Iksar Skeleton,NPC
a_sepulcher_skeleton33,51,Warrior,Sarnak Skeleton,NPC
a_helot_spectre03,49,Monk,Sarnak Spirit,NPC
a_sepulcher_skeleton32,48,Warrior,Sarnak Skeleton,NPC
a_sepulcher_skeleton31,48,Warrior,Iksar Skeleton,NPC
a_helot_spectre02,49,Monk,Sarnak Spirit,NPC
a_sepulcher_skeleton30,49,Warrior,Iksar Skeleton,NPC
a_greater_plaguebone02,40,Shadow Knight,Iksar Skeleton,NPC
a_sepulcher_spectre02,46,Monk,Iksar Spirit,NPC
a_sepulcher_skeleton15,46,Warrior,Iksar Skeleton,NPC
a_sepulcher_skeleton14,46,Warrior,Sarnak Skeleton,NPC
a_bottomless_devourer00,47,Warrior,Devourer,NPC
The_Fabled_Crypt_Devourer00,65,Warrior,Devourer,NPC
a_pyre_golem13,46,Warrior,Iksar Golem,NPC
a_pyre_golem12,46,Warrior,Iksar Golem,NPC
a_bile_golem02,46,Warrior,Goo,NPC
a_pyre_golem11,47,Warrior,Iksar Golem,NPC
a_pyre_golem10,45,Warrior,Iksar Golem,NPC
a_sepulcher_skeleton13,45,Warrior,Iksar Skeleton,NPC
a_sepulcher_skeleton12,42,Warrior,Iksar Skeleton,NPC
a_sepulcher_skeleton11,43,Warrior,Sarnak Skeleton,NPC
a_greater_war_boned_skeleton05,42,Shadow Knight,Iksar Skeleton,NPC
a_sepulcher_skeleton56,45,Warrior,Sarnak Skeleton,NPC
a_greater_war_boned_skeleton04,42,Shadow Knight,Iksar Skeleton,NPC
a_sepulcher_skeleton10,42,Warrior,Sarnak Skeleton,NPC
a_sepulcher_skeleton09,44,Warrior,Iksar Skeleton,NPC
a_sepulcher_skeleton08,46,Warrior,Iksar Skeleton,NPC
a_pyre_golem09,42,Warrior,Iksar Golem,NPC
a_pyre_golem08,43,Warrior,Iksar Golem,NPC
a_sepulcher_skeleton07,43,Warrior,Iksar Skeleton,NPC
a_sepulcher_skeleton06,43,Warrior,Sarnak Skeleton,NPC
a_bile_golem01,46,Warrior,Goo,NPC
a_greater_plaguebone00,41,Shadow Knight,Iksar Skeleton,NPC
a_bottomless_feaster00,45,Warrior,Devourer,NPC
a_sepulcher_skeleton05,42,Warrior,Iksar Skeleton,NPC
a_greater_war_boned_skeleton03,46,Shadow Knight,Iksar Skeleton,NPC
a_sepulcher_skeleton04,44,Warrior,Iksar Skeleton,NPC
a_greater_war_boned_skeleton02,45,Shadow Knight,Iksar Skeleton,NPC
a_bottomless_feaster01,43,Warrior,Devourer,NPC
a_bile_golem15,46,Warrior,Goo,NPC
a_sepulcher_skeleton02,45,Warrior,Iksar Skeleton,NPC
a_bile_golem00,44,Warrior,Goo,NPC
a_sepulcher_skeleton01,45,Warrior,Iksar Skeleton,NPC
a_hamal_skeleton09,51,Necromancer,Ancient Skeleton,NPC
a_greater_war_boned_skeleton01,46,Shadow Knight,Iksar Skeleton,NPC
a_helot_spectre01,52,Monk,Sarnak Spirit,NPC
a_mortiferous_golem12,54,Warrior,Iksar Golem,NPC
a_mortiferous_golem11,50,Warrior,Iksar Golem,NPC
a_mortiferous_golem10,52,Warrior,Iksar Golem,NPC
a_hexbone_skeleton10,51,Shadow Knight,Iksar Skeleton,NPC
a_mortiferous_golem09,53,Warrior,Iksar Golem,NPC
a_mortiferous_golem08,54,Warrior,Iksar Golem,NPC
a_mortiferous_golem07,51,Warrior,Iksar Golem,NPC
a_sepulcher_spectre04,54,Monk,Iksar Spirit,NPC
a_mortiferous_golem06,54,Warrior,Iksar Golem,NPC
a_mortiferous_golem05,52,Warrior,Iksar Golem,NPC
#The_Crypt_Feaster00,52,Warrior,Devourer,NPC
a_mortiferous_golem04,52,Warrior,Iksar Golem,NPC
an_undertaker_skeleton17,50,Warrior,Iksar Skeleton,NPC
a_mortiferous_golem03,51,Warrior,Iksar Golem,NPC
a_hamal_skeleton08,51,Necromancer,Ancient Skeleton,NPC
#Skeletal_Channeler00,50,Wizard,Iksar Skeleton,NPC
a_hexbone_skeleton09,50,Shadow Knight,Iksar Skeleton,NPC
a_helot_spectre00,50,Monk,Sarnak Spirit,NPC
#Agent_of_Change00,105,Warrior,Ancient Wolf,NPC
an_undertaker_skeleton16,52,Warrior,Iksar Skeleton,NPC
Gandan_Tailfist00,52,Monk,Iksar,NPC
an_undertaker_skeleton15,50,Warrior,Iksar Skeleton,NPC
an_undertaker_skeleton03,51,Warrior,Iksar Skeleton,NPC
an_undertaker_skeleton14,51,Warrior,Iksar Skeleton,NPC
a_helot_spirit02,52,Monk,Sarnak Spirit,NPC
an_undertaker_skeleton13,50,Warrior,Iksar Skeleton,NPC
an_undertaker_skeleton11,50,Warrior,Iksar Skeleton,NPC
a_sepulcher_skeleton26,52,Warrior,Sarnak Skeleton,NPC
a_sepulcher_spirit03,51,Monk,Iksar Spirit,NPC
an_elementalbone_skeleton02,47,Shadow Knight,Iksar Skeleton,NPC
a_hamal_skeleton07,52,Necromancer,Ancient Skeleton,NPC
a_bottomless_devourer05,50,Warrior,Devourer,NPC
a_hexbone_skeleton01,51,Shadow Knight,Iksar Skeleton,NPC
an_undertaker_skeleton02,51,Warrior,Iksar Skeleton,NPC
a_hamal_skeleton06,51,Necromancer,Ancient Skeleton,NPC
a_bottomless_devourer03,51,Warrior,Devourer,NPC
a_bottomless_devourer07,54,Warrior,Devourer,NPC
a_sepulcher_skeleton25,51,Warrior,Sarnak Skeleton,NPC
a_bottomless_devourer02,52,Warrior,Devourer,NPC
a_mortiferous_golem02,51,Warrior,Iksar Golem,NPC
an_undertaker_skeleton01,50,Warrior,Iksar Skeleton,NPC
a_mortiferous_golem01,50,Warrior,Iksar Golem,NPC
#Tivnesh00,50,Warrior,Iksar Skeleton,NPC
a_sepulcher_skeleton24,49,Warrior,Sarnak Skeleton,NPC
a_sepulcher_spectre09,46,Monk,Iksar Spirit,NPC
a_bile_golem08,46,Warrior,Goo,NPC
an_elementalbone_skeleton05,50,Shadow Knight,Iksar Skeleton,NPC
a_sepulcher_spectre08,44,Monk,Iksar Spirit,NPC
an_undertaker_skeleton09,54,Warrior,Sarnak Skeleton,NPC
a_bile_golem05,46,Warrior,Goo,NPC
an_undertaker_skeleton08,54,Warrior,Sarnak Skeleton,NPC
a_sepulcher_skeleton23,49,Warrior,Sarnak Skeleton,NPC
an_elementalbone_skeleton04,52,Shadow Knight,Iksar Skeleton,NPC
an_undertaker_skeleton00,50,Warrior,Iksar Skeleton,NPC
a_sepulcher_spirit00,50,Monk,Iksar Spirit,NPC
a_pyre_golem21,42,Warrior,Iksar Golem,NPC
a_hamal_skeleton05,52,Necromancer,Ancient Skeleton,NPC
a_pyre_golem20,46,Warrior,Iksar Golem,NPC
an_undertaker_skeleton07,50,Warrior,Iksar Skeleton,NPC
a_pyre_golem19,43,Warrior,Iksar Golem,NPC
a_helot_skeleton00,51,Necromancer,Ancient Skeleton,NPC
#Pain-Wracked_Skeleton00,51,Necromancer,Iksar Skeleton,NPC
#Skeletal_Procurator00,52,Shadow Knight,Iksar Skeleton,NPC
a_hamal_skeleton04,51,Necromancer,Ancient Skeleton,NPC
a_pyre_golem18,42,Warrior,Iksar Golem,NPC
a_pyre_golem25,46,Warrior,Iksar Golem,NPC
a_bile_golem04,48,Warrior,Goo,NPC
a_pyre_golem24,43,Warrior,Iksar Golem,NPC
a_sepulcher_skeleton22,49,Warrior,Sarnak Skeleton,NPC
a_pyre_golem23,44,Warrior,Iksar Golem,NPC
a_sepulcher_spectre07,43,Monk,Iksar Spirit,NPC
a_pyre_golem22,44,Warrior,Iksar Golem,NPC
a_sepulcher_spectre06,42,Monk,Iksar Spirit,NPC
a_greater_war_boned_skeleton09,43,Shadow Knight,Iksar Skeleton,NPC
a_sepulcher_skeleton63,45,Warrior,Iksar Skeleton,NPC
a_pyre_golem15,42,Warrior,Iksar Golem,NPC
a_sepulcher_skeleton62,43,Warrior,Sarnak Skeleton,NPC
an_undead_oblation05,50,Necromancer,Ancient Skeleton,NPC
