Name,Level,Class,Race,Type
a_Di`Zok_Follower00,49,Warrior,Sarnak,NPC
sorcerer_of_Di`Zok05,54,Wizard,Sarnak,NPC
an_Enslaved_Iksar_Miner01,55,Warrior,Iksar Skeleton,NPC
a_Chokidai_Sniffer03,45,Warrior,Chokidai,NPC
Di`Zok_royal_guard11,53,Warrior,Sarnak,NPC
a_Chokidai_Sniffer01,45,Warrior,Chokidai,NPC
a_Di`Zok_Recruit01,45,Warrior,Sarnak,NPC
#Di`Zok_Noble00,52,Warrior,Sarnak,NPC
a_Greater_Guardian00,55,Warrior,Sarnak Golem,NPC
a_Di`Zok_Partisan03,49,Warrior,Sarnak,NPC
a_Shai`din_Nightfear00,49,Necromancer,Sarnak,NPC
a_Di`Zok_Conscript01,47,Warrior,Sarnak,NPC
a_Reanimated_Partisan02,49,Warrior,Sarnak Skeleton,NPC
Watch_Sergeant_Riz`oul00,52,Warrior,Sarnak,NPC
a_Di`Zok_Underling03,43,Warrior,Sarnak,NPC
a_sarnak_myrmidon00,52,Warrior,Sarnak,NPC
a_Reanimated_Partisan01,49,Warrior,Sarnak Skeleton,NPC
a_sarnak_janissary01,46,Warrior,Sarnak,NPC
a_sarnak_janissary00,47,Warrior,Sarnak,NPC
a_Reanimated_Partisan00,49,Warrior,Sarnak Skeleton,NPC
a_sarnak_templar00,46,Shaman,Sarnak,NPC
a_Shai`din_Conscript00,44,Shadow Knight,Sarnak,NPC
a_Di`Zok_Follower01,49,Warrior,Sarnak,NPC
a_Di`Zok_Recruit00,45,Warrior,Sarnak,NPC
a_Chokidai_Whelp05,42,Warrior,Chokidai,NPC
a_Di`Zok_Underling00,43,Warrior,Sarnak,NPC
a_Tortured_Iksar_Miner08,56,Warrior,Iksar Skeleton,NPC
a_Tortured_Iksar_Miner07,56,Warrior,Iksar Skeleton,NPC
a_Tortured_Iksar_Miner06,56,Warrior,Iksar Skeleton,NPC
a_Chokidai_Sniffer04,45,Warrior,Chokidai,NPC
a_Wizened_Herb_Collector00,56,Warrior,Sarnak,NPC
a_Di`Zok_Underling02,43,Warrior,Sarnak,NPC
a_Scarred_Overseer00,55,Warrior,Sarnak,NPC
a_Di`Zok_Underling01,43,Warrior,Sarnak,NPC
a_Reanimated_Dragoon00,53,Warrior,Sarnak Skeleton,NPC
a_Chokidai_Sniffer02,45,Warrior,Chokidai,NPC
a_Lesser_Guardian01,53,Warrior,Sarnak Golem,NPC
an_Apprentice_Herbalist00,53,Shaman,Sarnak,NPC
a_Lesser_Guardian00,53,Warrior,Sarnak Golem,NPC
a_Chokidai_Whelp02,42,Warrior,Chokidai,NPC
a_Chokidai_Whelp03,42,Warrior,Chokidai,NPC
a_Chokidai_Wardog01,53,Warrior,Chokidai,NPC
a_Chokidai_Herbsniffer02,55,Warrior,Chokidai,NPC
a_Di`Zok_Conscript06,47,Warrior,Sarnak,NPC
judicator_of_Di`Zok20,54,Shaman,Sarnak,NPC
a_Chokidai_Herbsniffer01,55,Warrior,Chokidai,NPC
judicator_of_Di`Zok19,48,Shaman,Sarnak,NPC
Grand_Herbalist_Mak`ha00,56,Warrior,Sarnak,NPC
Di`Zok_royal_guard20,54,Warrior,Sarnak,NPC
judicator_of_Di`Zok18,53,Shaman,Sarnak,NPC
Battle_Master_Ska`tu00,54,Warrior,Sarnak Skeleton,NPC
Di`Zok_royal_guard19,53,Warrior,Sarnak,NPC
a_Di`Zok_Follower02,49,Warrior,Sarnak,NPC
Di`Zok_royal_guard12,52,Warrior,Sarnak,NPC
Observer_Aq`touz00,52,Warrior,Sarnak,NPC
judicator_of_Di`Zok17,53,Shaman,Sarnak,NPC
judicator_of_Di`Zok16,52,Shaman,Sarnak,NPC
sorcerer_of_Di`Zok04,52,Wizard,Sarnak,NPC
a_Di`Zok_Legionnaire04,49,Warrior,Sarnak,NPC
Di`Zok_royal_guard10,53,Warrior,Sarnak,NPC
judicator_of_Di`Zok15,53,Shaman,Sarnak,NPC
a_Chokidai_Fleshripper02,49,Warrior,Chokidai,NPC
a_sarnak_pitboss01,55,Warrior,Sarnak,NPC
judicator_of_Di`Zok14,52,Shaman,Sarnak,NPC
a_sarnak_pitboss00,55,Warrior,Sarnak,NPC
judicator_of_Di`Zok05,53,Shaman,Sarnak,NPC
judicator_of_Di`Zok04,53,Shaman,Sarnak,NPC
a_Reanimated_Berserker01,55,Warrior,Sarnak Skeleton,NPC
sorcerer_of_Di`Zok03,54,Wizard,Sarnak,NPC
Councilman_Buzdarloan_III00,60,Warrior,Sarnak,NPC
a_Reanimated_Berserker00,55,Warrior,Sarnak Skeleton,NPC
Di`Zok_royal_guard09,52,Warrior,Sarnak,NPC
a_Di`Zok_Cryptmaster03,53,Necromancer,Sarnak,NPC
Di`Zok_royal_guard08,52,Warrior,Sarnak,NPC
a_Di`Zok_Cryptmaster02,53,Necromancer,Sarnak,NPC
sorcerer_of_Di`Zok02,54,Wizard,Sarnak,NPC
a_Shai`din_Soultrapper02,44,Necromancer,Sarnak,NPC
Di`Zok_royal_guard07,52,Warrior,Sarnak,NPC
a_Reanimated_Champion00,51,Warrior,Sarnak Skeleton,NPC
sorcerer_of_Di`Zok01,53,Wizard,Sarnak,NPC
Di`Zok_royal_guard06,52,Warrior,Sarnak,NPC
Di`Zok_royal_guard05,52,Warrior,Sarnak,NPC
Di`Zok_royal_guard04,52,Warrior,Sarnak,NPC
Councilman_Ysabrial_III00,60,Warrior,Sarnak,NPC
judicator_of_Di`Zok03,48,Shaman,Sarnak,NPC
judicator_of_Di`Zok02,54,Shaman,Sarnak,NPC
a_Chokidai_Growler01,44,Warrior,Chokidai,NPC
sorcerer_of_Di`Zok00,54,Wizard,Sarnak,NPC
Di`Zok_royal_guard03,53,Warrior,Sarnak,NPC
Di`Zok_royal_guard02,52,Warrior,Sarnak,NPC
Di`Zok_royal_guard01,52,Warrior,Sarnak,NPC
Di`Zok_royal_guard00,53,Warrior,Sarnak,NPC
a_Shai`din_Hemlock01,49,Necromancer,Sarnak,NPC
an_off_duty_Accountant01,56,Wizard,Sarnak,NPC
judicator_of_Di`Zok01,53,Shaman,Sarnak,NPC
judicator_of_Di`Zok00,54,Shaman,Sarnak,NPC
an_off_duty_Researcher02,53,Wizard,Sarnak,NPC
#Echo_of_Chardok00,67,Warrior,Sarnak Skeleton,NPC
a_shivering_slave01,8,Warrior,Ratman,NPC
an_off_duty_Scribe00,55,Wizard,Sarnak,NPC
an_off_duty_Accountant00,56,Wizard,Sarnak,NPC
a_Chokidai_Whelp01,42,Warrior,Chokidai,NPC
an_off_duty_Slavemaster01,53,Warrior,Sarnak,NPC
Di`Zok_elite_guard02,55,Warrior,Sarnak,NPC
an_escaped_slave01,8,Warrior,Iksar,NPC
a_crystal_shard_golem00,57,Warrior,Sarnak Golem,NPC
Di`Zok_elite_guard01,55,Warrior,Sarnak,NPC
an_off_duty_Overseer02,55,Warrior,Sarnak,NPC
an_Ancient_Guardian00,56,Warrior,Sarnak Golem,NPC
an_off_duty_Pitboss02,55,Warrior,Sarnak,NPC
Di`Zok_elite_guard00,55,Warrior,Sarnak,NPC
an_off_duty_Pitboss01,55,Warrior,Sarnak,NPC
an_off_duty_Pitboss00,55,Warrior,Sarnak,NPC
an_off_duty_Researcher01,53,Wizard,Sarnak,NPC
an_off_duty_Overseer01,55,Warrior,Sarnak,NPC
an_off_duty_Researcher00,53,Wizard,Sarnak,NPC
an_off_duty_Overseer00,55,Warrior,Sarnak,NPC
an_off_duty_Slavemaster00,53,Warrior,Sarnak,NPC
Kennel_Master_Al`ele00,56,Warrior,Sarnak,NPC
an_Imperial_Wardog00,56,Warrior,Chokidai,NPC
a_Chokidai_Mangler04,51,Warrior,Chokidai,NPC
a_Tortured_Iksar_Miner05,56,Warrior,Iksar Skeleton,NPC
a_Tortured_Iksar_Miner04,56,Warrior,Iksar Skeleton,NPC
a_Chokidai_Growler05,44,Warrior,Chokidai,NPC
a_Shai`din_Soultrapper01,44,Necromancer,Sarnak,NPC
a_Shai`din_Partisan02,49,Shadow Knight,Sarnak,NPC
a_Tortured_Iksar_Miner01,56,Warrior,Iksar Skeleton,NPC
a_Tortured_Iksar_Miner00,56,Warrior,Iksar Skeleton,NPC
a_Chokidai_Terror02,55,Warrior,Chokidai,NPC
a_sarnak_whipcracker01,55,Warrior,Sarnak,NPC
The_Fabled_Prince_Selrach_Di`Z,75,Warrior,Sarnak,NPC
a_sarnak_dog_handler04,55,Warrior,Sarnak,NPC
a_Chokidai_Mauler02,56,Warrior,Chokidai,NPC
a_sarnak_dog_handler03,55,Warrior,Sarnak,NPC
a_Chokidai_Pitfighter00,55,Warrior,Chokidai,NPC
a_sarnak_dog_handler02,55,Warrior,Sarnak,NPC
a_sarnak_dog_handler01,55,Warrior,Sarnak,NPC
a_Chokidai_Mauler01,56,Warrior,Chokidai,NPC
a_Chokidai_Mauler00,56,Warrior,Chokidai,NPC
a_sarnak_dog_handler00,55,Warrior,Sarnak,NPC
a_sarnak_whipcracker00,55,Warrior,Sarnak,NPC
a_Chokidai_Sunderfiend00,56,Warrior,Chokidai,NPC
a_Chokidai_Terror01,55,Warrior,Chokidai,NPC
a_sarnak_pitboss03,55,Warrior,Sarnak,NPC
a_sarnak_pitboss02,55,Warrior,Sarnak,NPC
a_Chokidai_Terror00,55,Warrior,Chokidai,NPC
#Sarnak_Investigator00,41,Warrior,Sarnak,NPC
a_Chokidai_Wardog00,53,Warrior,Chokidai,NPC
a_Chokidai_Fleshripper00,49,Warrior,Chokidai,NPC
a_Chokidai_Mangler12,51,Warrior,Chokidai,NPC
a_Chokidai_Bloodhound00,53,Warrior,Chokidai,NPC
a_Chokidai_Mangler11,51,Warrior,Chokidai,NPC
Ancient_Guardian00,57,Warrior,Sarnak Golem,NPC
a_Treasury_Guard07,51,Warrior,Sarnak,NPC
a_Treasury_Guard06,51,Warrior,Sarnak,NPC
a_Chokidai_Mangler09,51,Warrior,Chokidai,NPC
a_sarnak_manager00,55,Wizard,Sarnak,NPC
Foreman_Ku`lul00,57,Warrior,Sarnak,NPC
a_Treasury_Guard05,51,Warrior,Sarnak,NPC
a_Veteran_Drillmaster00,55,Warrior,Sarnak,NPC
a_Slaveblock_Guard00,51,Warrior,Sarnak,NPC
a_Chokidai_Mangler03,51,Warrior,Chokidai,NPC
a_Treasury_Guard04,51,Warrior,Sarnak,NPC
an_Enslaved_Iksar_Miner05,55,Warrior,Iksar Skeleton,NPC
a_Treasury_Guard03,51,Warrior,Sarnak,NPC
an_Enslaved_Iksar_Miner04,55,Warrior,Iksar Skeleton,NPC
a_Treasury_Guard01,51,Warrior,Sarnak,NPC
a_Chokidai_Mangler06,51,Warrior,Chokidai,NPC
a_Treasury_Guard00,51,Warrior,Sarnak,NPC
a_Chokidai_Mangler00,51,Warrior,Chokidai,NPC
a_Chokidai_Herbsniffer00,55,Warrior,Chokidai,NPC
an_Imperial_Advisor00,55,Necromancer,Sarnak,NPC
an_Imperial_Defender03,55,Warrior,Sarnak,NPC
#Agent_of_Change00,105,Warrior,Ancient Wolf,NPC
an_Imperial_Defender02,55,Warrior,Sarnak,NPC
an_Ancient_Guardian02,56,Warrior,Sarnak Golem,NPC
an_Imperial_Defender01,55,Warrior,Sarnak,NPC
an_Imperial_Defender00,55,Warrior,Sarnak,NPC
a_Shai`din_Partisan04,49,Shadow Knight,Sarnak,NPC
a_Di`Zok_Researcher01,55,Wizard,Sarnak,NPC
an_apprentice_lorekeeper00,56,Wizard,Sarnak,NPC
a_Shai`din_Savant02,55,Necromancer,Sarnak,NPC
#Tani_Cogswin00,30,Warrior,Gnome,NPC
a_Shai`din_Savant01,55,Necromancer,Sarnak,NPC
a_Shai`din_Savant00,55,Necromancer,Sarnak,NPC
a_Di`Zok_Librarian00,55,Wizard,Sarnak,NPC
a_Royal_Library_Guard01,55,Warrior,Sarnak,NPC
a_Di`Zok_Researcher00,55,Wizard,Sarnak,NPC
a_Royal_Library_Guard00,55,Warrior,Sarnak,NPC
a_Di`Zok_Sage00,55,Wizard,Sarnak,NPC
Vault_Master_Shu`zo00,99,Banker,Sarnak,NPC
a_Chokidai_Fleshripper01,49,Warrior,Chokidai,NPC
Haggle_Baron_Dry`dn00,40,Shopkeeper,Sarnak,NPC
a_Di`Zok_Legionnaire02,49,Warrior,Sarnak,NPC
a_Di`Zok_Legionnaire01,49,Warrior,Sarnak,NPC
a_Chokidai_Rootdigger02,55,Warrior,Chokidai,NPC
a_Shai`din_Bonecollector02,47,Necromancer,Sarnak,NPC
an_Apprentice_Herbalist01,53,Shaman,Sarnak,NPC
a_Shai`din_Bonecollector01,47,Necromancer,Sarnak,NPC
a_Shai`din_Hemlock00,49,Necromancer,Sarnak,NPC
#Di`Zok_Hallucinator00,52,Enchanter,Sarnak,NPC
a_Chokidai_Rootdigger01,55,Warrior,Chokidai,NPC
a_sarnak_slavedriver00,51,Warrior,Sarnak,NPC
a_Chokidai_Whelp04,42,Warrior,Chokidai,NPC
an_Ancient_Guardian01,56,Warrior,Sarnak Golem,NPC
a_Di`Zok_Recruit03,45,Warrior,Sarnak,NPC
Grave_Master_Zo`lun00,54,Warrior,Sarnak,NPC
a_Chokidai_Bonesnapper01,55,Warrior,Chokidai,NPC
an_imperial_construct01,55,Warrior,Sarnak Golem,NPC
an_imperial_construct00,55,Warrior,Sarnak Golem,NPC
a_Shai`din_Partisan00,49,Shadow Knight,Sarnak,NPC
Di`Zok_royal_guard29,53,Warrior,Sarnak,NPC
a_Shai`din_Nightfear01,49,Necromancer,Sarnak,NPC
a_Chokidai_Tearer00,49,Warrior,Chokidai,NPC
a_sullen_slave00,8,Warrior,Froglok,NPC
a_Di`Zok_Legionnaire03,49,Warrior,Sarnak,NPC
a_sad_slave00,8,Warrior,Iksar,NPC
a_grumpy_slave00,8,Warrior,Iksar,NPC
a_shivering_slave02,8,Warrior,Ratman,NPC
a_Di`Zok_Gravebinder00,51,Necromancer,Sarnak,NPC
a_dirty_slave00,8,Warrior,Iksar,NPC
a_Shai`din_Bonecollector00,47,Necromancer,Sarnak,NPC
a_terrified_slave01,8,Warrior,Iksar,NPC
a_Reanimated_Champion01,51,Warrior,Sarnak Skeleton,NPC
a_Di`Zok_Conscript09,47,Warrior,Sarnak,NPC
a_Di`Zok_Cryptmaster04,53,Necromancer,Sarnak,NPC
a_Shai`din_Partisan01,49,Shadow Knight,Sarnak,NPC
an_escaped_slave04,8,Warrior,Iksar,NPC
an_escaped_slave03,8,Warrior,Froglok,NPC
an_escaped_slave02,8,Warrior,Ratman,NPC
a_Di`Zok_Cryptmaster00,53,Necromancer,Sarnak,NPC
a_Shai`din_Partisan03,49,Shadow Knight,Sarnak,NPC
an_escaped_slave00,8,Warrior,Iksar,NPC
a_miserable_slave00,8,Warrior,Froglok,NPC
a_Tortured_Iksar_Miner10,56,Warrior,Iksar Skeleton,NPC
a_Shai`din_Soultrapper00,44,Necromancer,Sarnak,NPC
a_Tortured_Iksar_Miner09,56,Warrior,Iksar Skeleton,NPC
a_Shai`din_Conscript05,44,Shadow Knight,Sarnak,NPC
an_Enslaved_Iksar_Miner00,55,Warrior,Iksar Skeleton,NPC
a_Chokidai_Growler00,44,Warrior,Chokidai,NPC
a_sarnak_slavedriver09,51,Warrior,Sarnak,NPC
a_sarnak_slavedriver06,51,Warrior,Sarnak,NPC
a_sarnak_overseer02,55,Warrior,Sarnak,NPC
a_sarnak_slavedriver02,51,Warrior,Sarnak,NPC
sorcerer_of_Di`Zok06,53,Wizard,Sarnak,NPC
a_sarnak_foreman01,56,Warrior,Sarnak,NPC
a_sarnak_slavemaster05,53,Warrior,Sarnak,NPC
a_Chokidai_Sniffer05,45,Warrior,Chokidai,NPC
a_Veteran_Underboss00,56,Warrior,Sarnak,NPC
a_sarnak_slavemaster04,53,Warrior,Sarnak,NPC
an_iksar_collaborator00,55,Warrior,Iksar,NPC
a_sarnak_pitboss05,55,Warrior,Sarnak,NPC
a_Chokidai_Bloodhound04,53,Warrior,Chokidai,NPC
an_off_duty_Pitboss04,55,Warrior,Sarnak,NPC
an_off_duty_Pitboss03,55,Warrior,Sarnak,NPC
a_Chokidai_Rootdigger03,55,Warrior,Chokidai,NPC
a_Chokidai_Growler03,44,Warrior,Chokidai,NPC
a_Di`Zok_Captain00,55,Warrior,Sarnak,NPC
a_Shai`din_Conscript04,44,Shadow Knight,Sarnak,NPC
a_Tortured_Iksar_Miner03,56,Warrior,Iksar Skeleton,NPC
a_Tortured_Iksar_Miner02,56,Warrior,Iksar Skeleton,NPC
a_Di`Zok_Partisan04,49,Warrior,Sarnak,NPC
a_sarnak_slavedriver08,51,Warrior,Sarnak,NPC
a_Di`Zok_Partisan02,49,Warrior,Sarnak,NPC
a_Chokidai_Mangler10,51,Warrior,Chokidai,NPC
a_Di`Zok_Conscript07,47,Warrior,Sarnak,NPC
a_Shai`din_Soultrapper04,44,Necromancer,Sarnak,NPC
a_sarnak_slavedriver07,51,Warrior,Sarnak,NPC
a_Di`Zok_Conscript00,47,Warrior,Sarnak,NPC
a_smelly_slave01,8,Warrior,Iksar,NPC
a_Di`Zok_Dragoon00,53,Warrior,Sarnak,NPC
a_Chokidai_Mangler05,51,Warrior,Chokidai,NPC
a_Di`Zok_Legionnaire00,49,Warrior,Sarnak,NPC
a_Chokidai_Growler04,44,Warrior,Chokidai,NPC
