Name,Level,Class,Race,Type
a_gyrating_goo18,45,Warrior,Goo,NPC
a_savage_mutant00,40,Warrior,Wretch,NPC
a_human_skeleton00,43,Wizard,Ancient Skeleton,NPC
a_mist_golem04,42,Warrior,Iksar Golem,NPC
a_greater_war_boned_skeleton09,45,Monk,Sarnak Skeleton,NPC
a_fog_golem11,43,Warrior,Iksar Golem,NPC
a_deranged_madman04,46,Warrior,Recuso,NPC
a_greater_plaguebone00,43,Warrior,Sarnak Skeleton,NPC
a_wraith07,43,Warrior,Sarnak Spirit,NPC
an_army_behemoth07,42,Warrior,Iksar Golem,NPC
a_gyrating_goo07,44,Warrior,Goo,NPC
a_gyrating_goo05,45,Warrior,Goo,NPC
a_phantom05,41,Warrior,Iksar Spirit,NPC
a_gyrating_goo04,47,Warrior,Goo,NPC
a_fog_golem10,42,Warrior,Iksar Golem,NPC
a_gyrating_goo00,47,Warrior,Goo,NPC
Lhranc00,60,Shadow Knight,Iksar Spirit,NPC
an_army_behemoth01,42,Warrior,Iksar Golem,NPC
a_greater_war_boned_skeleton08,46,Monk,Iksar Skeleton,NPC
a_wraith06,46,Warrior,Sarnak Spirit,NPC
a_berserk_fiend03,46,Warrior,Wretch,NPC
#Lady_Ixtariz00,50,Shadow Knight,Iksar Skeleton,NPC
a_phantom04,42,Warrior,Sarnak Spirit,NPC
a_greater_war_boned_skeleton07,44,Monk,Sarnak Skeleton,NPC
a_wraith05,45,Warrior,Iksar Spirit,NPC
a_gyrating_goo17,47,Warrior,Goo,NPC
an_army_behemoth06,39,Warrior,Iksar Golem,NPC
a_greater_war_boned_skeleton06,44,Monk,Iksar Skeleton,NPC
an_army_behemoth05,39,Warrior,Iksar Golem,NPC
a_greater_war_boned_skeleton05,45,Monk,Sarnak Skeleton,NPC
a_deranged_madman02,45,Warrior,Recuso,NPC
a_berserk_fiend02,45,Warrior,Wretch,NPC
a_savage_mutant04,39,Warrior,Wretch,NPC
a_greater_war_boned_skeleton04,45,Monk,Iksar Skeleton,NPC
a_wraith04,42,Warrior,Iksar Spirit,NPC
a_gyrating_goo16,46,Warrior,Goo,NPC
a_mist_golem03,44,Warrior,Iksar Golem,NPC
a_phantom03,43,Warrior,Sarnak Spirit,NPC
a_deranged_madman01,45,Warrior,Recuso,NPC
a_wraith03,45,Warrior,Iksar Spirit,NPC
a_gyrating_goo15,46,Warrior,Goo,NPC
a_gyrating_goo14,45,Warrior,Goo,NPC
a_wraith02,45,Warrior,Iksar Spirit,NPC
a_black_reaver02,52,Warrior,Golem,NPC
a_wraith00,47,Warrior,Sarnak Spirit,NPC
a_vapor_golem07,38,Warrior,Iksar Golem,NPC
a_greater_war_boned_skeleton01,44,Monk,Iksar Skeleton,NPC
#Spectral_Beguiler00,49,Enchanter,Sarnak Spirit,NPC
a_berserk_fiend01,43,Warrior,Wretch,NPC
a_mist_golem05,46,Warrior,Iksar Golem,NPC
