Name,Level,Class,Race,Type
a_wyvern13,39,Warrior,Wyvern,NPC
a_wyvern12,39,Warrior,Wyvern,NPC
a_wyvern11,40,Warrior,Wyvern,NPC
a_wyvern10,38,Warrior,Wyvern,NPC
a_siren_seductress00,39,Enchanter,Siren,NPC
a_siren_enticer03,36,Enchanter,Siren,NPC
a_wyvern09,41,Warrior,Wyvern,NPC
a_wyvern08,40,Warrior,Wyvern,NPC
a_wyvern02,42,Warrior,Wyvern,NPC
a_wyvern25,41,Warrior,Wyvern,NPC
#Yvolcarn00,52,Warrior,Wyvern,NPC
a_wyvern00,40,Warrior,Wyvern,NPC
a_wyvern01,41,Warrior,Wyvern,NPC
Roogy_Shellcracker00,36,Shopkeeper,Othmir,NPC
a_haunted_seachest03,40,Warrior,Mimic,NPC
a_haunted_seachest02,40,Warrior,Mimic,NPC
a_shark05,36,Warrior,Shark,NPC
a_cobalt_trigger12,2,Warrior,Fish,NPC
a_cobalt_trigger11,2,Warrior,Fish,NPC
a_cobalt_trigger10,2,Warrior,Fish,NPC
Qarrgy_Scallopgobbler00,47,Ranger,Othmir,NPC
Bungre_Crawcrusher00,47,Ranger,Othmir,NPC
Blumblum_Swigwater00,35,Shopkeeper,Othmir,NPC
Bloogy_Shellcracker00,35,Shopkeeper,Othmir,NPC
an_Othmir_Warrior14,46,Warrior,Othmir,NPC
an_Othmir_Warrior13,45,Warrior,Othmir,NPC
an_Othmir_Warrior12,43,Warrior,Othmir,NPC
Chief_Kalan00,56,Shaman,Othmir,NPC
an_Othmir_Pup04,28,Warrior,Othmir,NPC
a_wyvern24,40,Warrior,Wyvern,NPC
an_Othmir_Pup03,30,Warrior,Othmir,NPC
an_Othmir_Pup02,28,Warrior,Othmir,NPC
an_Othmir_Pup01,31,Warrior,Othmir,NPC
an_Othmir_Pup00,31,Warrior,Othmir,NPC
a_siren_enticer10,38,Enchanter,Siren,NPC
a_siren_enticer09,37,Enchanter,Siren,NPC
a_siren_seductress02,42,Enchanter,Siren,NPC
a_siren_enchantress03,45,Enchanter,Siren,NPC
a_shellfish_collector06,35,Warrior,Othmir,NPC
a_shellfish_collector05,37,Warrior,Othmir,NPC
a_shark04,38,Warrior,Shark,NPC
a_wyvern27,38,Warrior,Wyvern,NPC
a_shark03,38,Warrior,Shark,NPC
a_wyvern17,40,Warrior,Wyvern,NPC
a_shark02,34,Warrior,Shark,NPC
a_shark01,35,Warrior,Shark,NPC
an_Othmir_Shaman06,44,Shaman,Othmir,NPC
an_Othmir_Shaman05,42,Shaman,Othmir,NPC
an_Othmir_Shaman04,46,Shaman,Othmir,NPC
an_Othmir_Shaman03,44,Shaman,Othmir,NPC
an_Othmir_Shaman02,45,Shaman,Othmir,NPC
an_Othmir_Shaman01,42,Shaman,Othmir,NPC
an_Othmir_Shaman00,46,Shaman,Othmir,NPC
a_wyvern07,39,Warrior,Wyvern,NPC
a_wyvern06,39,Warrior,Wyvern,NPC
a_wyvern05,41,Warrior,Wyvern,NPC
a_wyvern04,42,Warrior,Wyvern,NPC
a_wyvern03,40,Warrior,Wyvern,NPC
a_shellfish_collector02,36,Warrior,Othmir,NPC
a_shellfish_collector01,36,Warrior,Othmir,NPC
a_shellfish_collector00,36,Warrior,Othmir,NPC
a_siren_enticer07,37,Enchanter,Siren,NPC
a_siren_enticer06,38,Enchanter,Siren,NPC
a_siren_enticer05,34,Enchanter,Siren,NPC
a_coldwater_barracuda05,22,Warrior,Fish,NPC
a_coldwater_barracuda04,21,Warrior,Fish,NPC
a_coldwater_barracuda03,22,Warrior,Fish,NPC
a_siren_enchantress01,44,Enchanter,Siren,NPC
a_siren_seductress01,40,Enchanter,Siren,NPC
an_Othmir_Warrior10,46,Warrior,Othmir,NPC
an_Othmir_Warrior09,42,Warrior,Othmir,NPC
an_Othmir_Warrior08,43,Warrior,Othmir,NPC
an_Othmir_Warrior07,42,Warrior,Othmir,NPC
an_Othmir_Warrior06,42,Warrior,Othmir,NPC
an_Othmir_Warrior05,45,Warrior,Othmir,NPC
an_Othmir_Warrior04,46,Warrior,Othmir,NPC
an_Othmir_Warrior03,42,Warrior,Othmir,NPC
an_Othmir_Warrior02,42,Warrior,Othmir,NPC
an_Othmir_Warrior01,42,Warrior,Othmir,NPC
an_Othmir_Warrior00,43,Warrior,Othmir,NPC
a_shark00,38,Warrior,Shark,NPC
a_siren_enticer02,37,Enchanter,Siren,NPC
a_cobalt_trigger09,2,Warrior,Fish,NPC
a_cobalt_trigger08,2,Warrior,Fish,NPC
a_cobalt_trigger07,2,Warrior,Fish,NPC
a_cobalt_trigger06,2,Warrior,Fish,NPC
a_cobalt_trigger05,2,Warrior,Fish,NPC
a_cobalt_trigger04,2,Warrior,Fish,NPC
a_coldwater_barracuda01,23,Warrior,Fish,NPC
a_cobalt_trigger03,2,Warrior,Fish,NPC
a_cobalt_trigger02,2,Warrior,Fish,NPC
a_siren_enticer01,38,Enchanter,Siren,NPC
a_siren_enticer00,34,Enchanter,Siren,NPC
a_coldwater_barracuda00,25,Warrior,Fish,NPC
a_cobalt_trigger01,2,Warrior,Fish,NPC
a_cobalt_trigger00,2,Warrior,Fish,NPC
High_Priest_Margle00,65,Warrior,Othmir,NPC
#Yoppa_Greenthumb00,65,Warrior,Ogre,NPC
Cedrick00,65,Warrior,Human,NPC
an_outcast_siren00,46,Enchanter,Siren,NPC
a_siren_enticer12,35,Enchanter,Siren,NPC
