Name,Level,Class,Race,Type
Foul_Pusling15,60,Warrior,Pusling,NPC
Foul_Pusling14,60,Warrior,Pusling,NPC
Corrupted_Pusling06,60,Warrior,Pusling,NPC
Corrupted_Pusling05,60,Warrior,Pusling,NPC
Foul_Pusling13,60,Warrior,Pusling,NPC
Bubonian_Mystic22,60,Shaman,Bubonian Underling,NPC
Foul_Pusling12,60,Warrior,Pusling,NPC
Bubonian_War_Rat42,60,Warrior,Bubonian Underling,NPC
Foul_Pusling11,60,Warrior,Pusling,NPC
Bubonian_War_Rat41,60,Warrior,Bubonian Underling,NPC
Bubonian_Mystic21,60,Shaman,Bubonian Underling,NPC
Corrupted_Pusling04,60,Warrior,Pusling,NPC
Bubonian_War_Rat40,60,Warrior,Bubonian Underling,NPC
Foul_Pusling10,60,Warrior,Pusling,NPC
Foul_Pusling09,60,Warrior,Pusling,NPC
Corrupted_Pusling03,60,Warrior,Pusling,NPC
Foul_Pusling07,60,Warrior,Pusling,NPC
Foul_Pusling06,60,Warrior,Pusling,NPC
Foul_Pusling05,60,Warrior,Pusling,NPC
Corrupted_Pusling02,60,Warrior,Pusling,NPC
Foul_Pusling01,60,Warrior,Pusling,NPC
a_corpse_scavenger01,46,Warrior,Pusling,NPC
Bubonian_Mystic16,60,Shaman,Bubonian Underling,NPC
Bubonian_War_Rat34,60,Warrior,Bubonian Underling,NPC
Corrupted_Pusling01,60,Warrior,Pusling,NPC
Bubonian_Mystic15,60,Shaman,Bubonian Underling,NPC
Bubonian_War_Rat32,60,Warrior,Bubonian Underling,NPC
Bubonian_War_Rat31,60,Warrior,Bubonian Underling,NPC
#_Carprin_Deatharn00,70,Warrior,Knight of Pestilence,NPC
Bubonian_Great_Mystic01,62,Shaman,Bubonian Underling,NPC
Bubonian_War_Rat44,60,Warrior,Bubonian Underling,NPC
Bubonian_Mystic02,60,Shaman,Bubonian Underling,NPC
Bubonian_War_Rat06,60,Warrior,Bubonian Underling,NPC
Bubonian_Mystic01,60,Shaman,Bubonian Underling,NPC
Bubonian_War_Rat05,60,Warrior,Bubonian Underling,NPC
Bubonian_Great_Mystic00,62,Shaman,Bubonian Underling,NPC
Corrupted_Knight16,60,Warrior,Knight of Pestilence,NPC
Corrupted_Knight15,60,Warrior,Knight of Pestilence,NPC
Bubonian_War_Rat19,60,Warrior,Bubonian Underling,NPC
Deathbone_Magus04,60,Necromancer,Lepertoloth,NPC
Death_Knight08,60,Shadow Knight,Knight of Pestilence,NPC
Death_Knight07,60,Shadow Knight,Knight of Pestilence,NPC
Bubonian_War_Rat17,60,Warrior,Bubonian Underling,NPC
Corrupted_Pusling00,60,Warrior,Pusling,NPC
Foul_Pusling04,60,Warrior,Pusling,NPC
Foul_Pusling03,60,Warrior,Pusling,NPC
Foul_Pusling02,60,Warrior,Pusling,NPC
Foul_Pusling00,60,Warrior,Pusling,NPC
Bubonian_War_Rat12,60,Warrior,Bubonian Underling,NPC
Bubonian_Mystic08,60,Shaman,Bubonian Underling,NPC
Bubonian_War_Rat04,60,Warrior,Bubonian Underling,NPC
Bubonian_Warlord00,62,Warrior,Bubonian Underling,NPC
Bubonian_War_Rat01,60,Warrior,Bubonian Underling,NPC
Bubonian_Mystic00,60,Shaman,Bubonian Underling,NPC
Corrupted_Knight17,60,Warrior,Knight of Pestilence,NPC
Pestilence_Priest05,60,Cleric,Lepertoloth,NPC
Corrupted_Knight13,60,Warrior,Knight of Pestilence,NPC
Corrupted_Pusling25,60,Warrior,Pusling,NPC
Corrupted_Pusling22,60,Warrior,Pusling,NPC
Foul_Pusling27,60,Warrior,Pusling,NPC
Corrupted_Pusling21,60,Warrior,Pusling,NPC
Bubonian_War_Rat33,60,Warrior,Bubonian Underling,NPC
Corrupted_Pusling17,60,Warrior,Pusling,NPC
Corrupted_Pusling16,60,Warrior,Pusling,NPC
Foul_Pusling23,60,Warrior,Pusling,NPC
Corrupted_Pusling15,60,Warrior,Pusling,NPC
Corrupted_Pusling14,60,Warrior,Pusling,NPC
Foul_Pusling22,60,Warrior,Pusling,NPC
Corrupted_Pusling11,60,Warrior,Pusling,NPC
Foul_Pusling21,60,Warrior,Pusling,NPC
Foul_Pusling20,60,Warrior,Pusling,NPC
Foul_Pusling17,60,Warrior,Pusling,NPC
Bubonian_War_Rat00,60,Warrior,Bubonian Underling,NPC
Corrupted_Knight00,60,Warrior,Knight of Pestilence,NPC
a_corpse_scavenger00,46,Warrior,Pusling,NPC
a_scrounging_rat00,46,Warrior,Bubonian Underling,NPC
Deathbone_Magus03,60,Necromancer,Lepertoloth,NPC
Deathbone_Magus02,60,Necromancer,Lepertoloth,NPC
Corrupted_Knight18,60,Warrior,Knight of Pestilence,NPC
Firebone_Magus04,60,Wizard,Lepertoloth,NPC
Elite_Corrupted_Knight00,61,Warrior,Knight of Pestilence,NPC
Deathbone_Magus01,60,Necromancer,Lepertoloth,NPC
Pestilence_Priest06,60,Cleric,Lepertoloth,NPC
Death_Knight09,60,Shadow Knight,Knight of Pestilence,NPC
Corrupted_Knight14,60,Warrior,Knight of Pestilence,NPC
Death_Knight02,60,Shadow Knight,Knight of Pestilence,NPC
Firebone_Magus03,60,Wizard,Lepertoloth,NPC
Pestilence_Priest04,60,Cleric,Lepertoloth,NPC
Deathbone_Magus00,60,Necromancer,Lepertoloth,NPC
Corrupted_Knight12,60,Warrior,Knight of Pestilence,NPC
Corrupted_Knight11,60,Warrior,Knight of Pestilence,NPC
Pestilence_Priest03,60,Cleric,Lepertoloth,NPC
Deathbone_Archmagus00,61,Necromancer,Lepertoloth,NPC
Pestilence_Priest02,60,Cleric,Lepertoloth,NPC
Elite_Death_Knight00,61,Shadow Knight,Knight of Pestilence,NPC
Corrupted_Knight10,60,Warrior,Knight of Pestilence,NPC
Pestilence_Priest01,60,Cleric,Lepertoloth,NPC
Corrupted_Knight09,60,Warrior,Knight of Pestilence,NPC
Corrupted_Knight08,60,Warrior,Knight of Pestilence,NPC
Corrupted_Knight07,60,Warrior,Knight of Pestilence,NPC
Corrupted_Knight06,60,Warrior,Knight of Pestilence,NPC
Pestilence_Priest00,60,Cleric,Lepertoloth,NPC
Firebone_Magus02,60,Wizard,Lepertoloth,NPC
Corrupted_Knight05,60,Warrior,Knight of Pestilence,NPC
Corrupted_Knight02,60,Warrior,Knight of Pestilence,NPC
Death_Knight01,60,Shadow Knight,Knight of Pestilence,NPC
Firebone_Magus01,60,Wizard,Lepertoloth,NPC
Death_Knight00,60,Shadow Knight,Knight of Pestilence,NPC
Corrupted_Knight01,60,Warrior,Knight of Pestilence,NPC
Corrupted_Pusling24,60,Warrior,Pusling,NPC
Bubonian_Mystic06,60,Shaman,Bubonian Underling,NPC
Bubonian_War_Rat25,60,Warrior,Bubonian Underling,NPC
Corrupted_Pusling23,60,Warrior,Pusling,NPC
Bubonian_War_Rat53,60,Warrior,Bubonian Underling,NPC
Bubonian_War_Rat52,60,Warrior,Bubonian Underling,NPC
Bubonian_War_Rat51,60,Warrior,Bubonian Underling,NPC
Bubonian_Mystic23,60,Shaman,Bubonian Underling,NPC
Bubonian_War_Rat50,60,Warrior,Bubonian Underling,NPC
Bubonian_Mystic20,60,Shaman,Bubonian Underling,NPC
Bubonian_War_Rat49,60,Warrior,Bubonian Underling,NPC
Bubonian_War_Rat48,60,Warrior,Bubonian Underling,NPC
Bubonian_Great_Mystic02,62,Shaman,Bubonian Underling,NPC
Bubonian_War_Rat47,60,Warrior,Bubonian Underling,NPC
Bubonian_War_Rat46,60,Warrior,Bubonian Underling,NPC
Bubonian_Mystic19,60,Shaman,Bubonian Underling,NPC
Bubonian_War_Rat45,60,Warrior,Bubonian Underling,NPC
Bubonian_Mystic18,60,Shaman,Bubonian Underling,NPC
Bubonian_War_Rat43,60,Warrior,Bubonian Underling,NPC
Bubonian_War_Rat39,60,Warrior,Bubonian Underling,NPC
Bubonian_War_Rat38,60,Warrior,Bubonian Underling,NPC
Bubonian_War_Rat37,60,Warrior,Bubonian Underling,NPC
Bubonian_Mystic17,60,Shaman,Bubonian Underling,NPC
Bubonian_Mystic14,60,Shaman,Bubonian Underling,NPC
Bubonian_Mystic05,60,Shaman,Bubonian Underling,NPC
Bubonian_War_Rat36,60,Warrior,Bubonian Underling,NPC
#Spectre_of_Corruption00,70,Warrior,Banshee,NPC
Bubonian_War_Rat35,60,Warrior,Bubonian Underling,NPC
Bubonian_War_Rat30,60,Warrior,Bubonian Underling,NPC
Eviscerator_Fwexar00,65,Warrior,Bubonian,NPC
Bubonian_Mystic13,60,Shaman,Bubonian Underling,NPC
Bubonian_War_Rat29,60,Warrior,Bubonian Underling,NPC
Bubonian_War_Rat28,60,Warrior,Bubonian Underling,NPC
Bubonian_War_Rat27,60,Warrior,Bubonian Underling,NPC
Bubonian_War_Rat26,60,Warrior,Bubonian Underling,NPC
Corrupted_Knight04,60,Warrior,Knight of Pestilence,NPC
Bubonian_War_Rat24,60,Warrior,Bubonian Underling,NPC
Death_Knight06,60,Shadow Knight,Knight of Pestilence,NPC
Bubonian_War_Rat23,60,Warrior,Bubonian Underling,NPC
Bubonian_War_Rat22,60,Warrior,Bubonian Underling,NPC
Bubonian_War_Rat21,60,Warrior,Bubonian Underling,NPC
Bubonian_War_Rat20,60,Warrior,Bubonian Underling,NPC
Bubonian_War_Rat18,60,Warrior,Bubonian Underling,NPC
Bubonian_War_Rat16,60,Warrior,Bubonian Underling,NPC
Bubonian_Mystic12,60,Shaman,Bubonian Underling,NPC
Bubonian_War_Rat15,60,Warrior,Bubonian Underling,NPC
Bubonian_War_Rat14,60,Warrior,Bubonian Underling,NPC
Bubonian_Mystic11,60,Shaman,Bubonian Underling,NPC
Bubonian_War_Rat13,60,Warrior,Bubonian Underling,NPC
Death_Knight05,60,Shadow Knight,Knight of Pestilence,NPC
Bubonian_War_Rat11,60,Warrior,Bubonian Underling,NPC
Death_Knight04,60,Shadow Knight,Knight of Pestilence,NPC
Bubonian_Mystic10,60,Shaman,Bubonian Underling,NPC
Bubonian_War_Rat10,60,Warrior,Bubonian Underling,NPC
Bubonian_War_Rat09,60,Warrior,Bubonian Underling,NPC
Bubonian_War_Rat08,60,Warrior,Bubonian Underling,NPC
Bubonian_Mystic09,60,Shaman,Bubonian Underling,NPC
Bubonian_War_Rat07,60,Warrior,Bubonian Underling,NPC
Bubonian_Mystic07,60,Shaman,Bubonian Underling,NPC
Death_Knight03,60,Shadow Knight,Knight of Pestilence,NPC
Bubonian_War_Rat03,60,Warrior,Bubonian Underling,NPC
Bubonian_Mystic04,60,Shaman,Bubonian Underling,NPC
Bubonian_War_Rat02,60,Warrior,Bubonian Underling,NPC
Corrupted_Knight03,60,Warrior,Knight of Pestilence,NPC
Bubonian_Mystic03,60,Shaman,Bubonian Underling,NPC
Firebone_Magus00,60,Wizard,Lepertoloth,NPC
Foul_Pusling08,60,Warrior,Pusling,NPC
#Banord_Paffa00,1,Warrior,Diseased Fiend,NPC
