Name,Level,Class,Race,Type
Guard_Colin00,30,Warrior,Guard,NPC
a_puma10,7,Warrior,Puma,NPC
a_shadow_wolf28,5,Warrior,Ancient Wolf,NPC
a_willowisp24,11,Warrior,Will-O-Wisp,NPC
Jimble_Woodentoe00,12,Ranger,Halfling,NPC
Innkeep_Seke00,45,Shopkeeper,Human,NPC
a_hill_giant00,37,Warrior,Giant,NPC
Kizdean_Gix00,18,Shadow Knight,Dark Elf,NPC
Parus_the_Strong00,45,Shopkeeper,Human,NPC
a_darkweed_snake02,9,Warrior,Snake,NPC
Innkeep_Redthorn00,45,Shopkeeper,Human,NPC
a_willowisp08,9,Warrior,Will-O-Wisp,NPC
a_black_bear00,4,Warrior,Bear,NPC
a_black_wolf10,1,Warrior,Ancient Wolf,NPC
a_young_kodiak02,11,Warrior,Bear,NPC
Ranon_Strongarm00,45,Shopkeeper,Human,NPC
Opal_Woodchopper00,45,Shopkeeper,Human,NPC
a_rattlesnake00,6,Warrior,Snake,NPC
Modren_Fishcatcher00,6,Warrior,Barbarian,NPC
a_shadow_wolf16,3,Warrior,Ancient Wolf,NPC
Maula_Fishcatcher00,45,Shopkeeper,Barbarian,NPC
Noresa_Sparkle00,16,Shopkeeper,Human,NPC
a_shadow_wolf02,3,Warrior,Ancient Wolf,NPC
Timtok_Tonsmith00,31,Warrior,Dwarf,NPC
an_asp02,7,Warrior,Snake,NPC
a_puma07,5,Warrior,Puma,NPC
a_black_wolf33,1,Warrior,Ancient Wolf,NPC
Ranvigoz_Tonsmith00,31,Warrior,Dwarf,NPC
a_black_wolf42,1,Warrior,Ancient Wolf,NPC
a_black_wolf12,1,Warrior,Ancient Wolf,NPC
orc_legionnaire00,14,Warrior,Orc,NPC
a_willowisp13,10,Warrior,Will-O-Wisp,NPC
a_Broken_Claw_bandit05,12,Berserker,Ogre,NPC
a_willowisp12,9,Warrior,Will-O-Wisp,NPC
a_willowisp11,11,Warrior,Will-O-Wisp,NPC
a_willowisp10,9,Warrior,Will-O-Wisp,NPC
a_willowisp09,11,Warrior,Will-O-Wisp,NPC
a_shadow_wolf30,4,Warrior,Ancient Wolf,NPC
a_willowisp06,9,Warrior,Will-O-Wisp,NPC
a_puma06,6,Warrior,Puma,NPC
Entock_Malso00,60,Shopkeeper,Erudite,NPC
a_black_wolf31,1,Warrior,Ancient Wolf,NPC
a_young_puma03,5,Warrior,Puma,NPC
a_large_piranha05,12,Warrior,Piranha,NPC
a_Dervish_Cutthroat04,11,Rogue,Human,NPC
a_black_wolf29,1,Warrior,Ancient Wolf,NPC
a_large_piranha04,12,Warrior,Piranha,NPC
a_shadow_wolf14,5,Warrior,Ancient Wolf,NPC
a_large_piranha03,12,Warrior,Piranha,NPC
a_black_wolf30,1,Warrior,Ancient Wolf,NPC
a_black_wolf25,1,Warrior,Ancient Wolf,NPC
a_large_piranha01,11,Warrior,Piranha,NPC
a_large_piranha00,11,Warrior,Piranha,NPC
a_black_wolf69,1,Warrior,Ancient Wolf,NPC
Altunic_Jartin00,20,Shopkeeper,Human,NPC
a_black_wolf24,1,Warrior,Ancient Wolf,NPC
a_black_wolf23,1,Warrior,Ancient Wolf,NPC
a_willowisp18,9,Warrior,Will-O-Wisp,NPC
a_young_kodiak01,11,Warrior,Bear,NPC
a_shadow_wolf31,3,Warrior,Ancient Wolf,NPC
a_willowisp17,11,Warrior,Will-O-Wisp,NPC
a_large_rattlesnake00,7,Warrior,Snake,NPC
a_black_bear01,3,Warrior,Bear,NPC
a_large_rattlesnake03,5,Warrior,Snake,NPC
Soulbinder_Jubbl00,65,Warrior,Froglok,NPC
a_Dervish_Cutthroat06,10,Rogue,Human,NPC
a_shadow_wolf20,4,Warrior,Ancient Wolf,NPC
a_plains_cat04,9,Warrior,Puma,NPC
a_Dervish_Cutthroat03,11,Warrior,Orc,NPC
a_shadow_wolf08,5,Warrior,Ancient Wolf,NPC
a_shadow_wolf00,4,Warrior,Ancient Wolf,NPC
a_Dervish_Cutthroat01,10,Warrior,Barbarian,NPC
a_willowisp16,10,Warrior,Will-O-Wisp,NPC
a_Dervish_Cutthroat00,11,Warrior,Barbarian,NPC
a_black_wolf54,1,Warrior,Ancient Wolf,NPC
a_puma11,5,Warrior,Puma,NPC
a_black_wolf20,1,Warrior,Ancient Wolf,NPC
a_darkweed_snake00,9,Warrior,Snake,NPC
a_young_puma00,4,Warrior,Puma,NPC
a_giant_spider01,9,Warrior,Spider,NPC
a_black_wolf68,1,Warrior,Ancient Wolf,NPC
a_plains_cat00,7,Warrior,Puma,NPC
a_black_wolf21,1,Warrior,Ancient Wolf,NPC
a_willowisp02,9,Warrior,Will-O-Wisp,NPC
a_willowisp15,10,Warrior,Will-O-Wisp,NPC
a_young_kodiak03,11,Warrior,Bear,NPC
a_plains_cat01,7,Warrior,Puma,NPC
a_willowisp05,11,Warrior,Will-O-Wisp,NPC
a_willowisp01,10,Warrior,Will-O-Wisp,NPC
a_wandering_zombie00,19,Warrior,Zombie,NPC
a_cat02,34,Warrior,Cat,NPC
a_cat01,34,Warrior,Cat,NPC
a_dog00,34,Warrior,Dog,NPC
a_cat00,34,Warrior,Cat,NPC
a_gnoll00,34,Warrior,Gnoll Pup,NPC
a_willowisp19,11,Warrior,Will-O-Wisp,NPC
a_shadow_wolf22,4,Warrior,Ancient Wolf,NPC
Lynea_the_pet_collector00,50,Unknown70,Half Elf,NPC
a_willowisp14,11,Warrior,Will-O-Wisp,NPC
Kathi_Norman00,25,Warrior,Human,NPC
a_black_wolf00,1,Warrior,Ancient Wolf,NPC
Badlen_Gellentine00,50,Warrior,Gnome,NPC
a_willowisp03,11,Warrior,Will-O-Wisp,NPC
Greemi_Draygoon00,50,Warrior,Ogre,NPC
a_willowisp00,10,Warrior,Will-O-Wisp,NPC
a_willowisp20,11,Warrior,Will-O-Wisp,NPC
a_black_wolf55,1,Warrior,Ancient Wolf,NPC
a_shadow_wolf21,4,Warrior,Ancient Wolf,NPC
Selendia_Geogo00,50,Warrior,Barbarian,NPC
Lisill_Sithmoor00,50,Warrior,Human,NPC
a_black_wolf51,1,Warrior,Ancient Wolf,NPC
Druanna_Vorana00,50,Warrior,Human,NPC
