Name,Level,Class,Race,Type
a_dwarven_slave03,3,Paladin,Dwarf,NPC
orc_centurion42,6,Warrior,Orc,NPC
an_elven_slave01,3,Warrior,Wood Elf,NPC
orc_centurion41,7,Warrior,Orc,NPC
orc_centurion40,3,Warrior,Orc,NPC
orc_centurion16,5,Warrior,Orc,NPC
orc_centurion13,5,Warrior,Orc,NPC
orc_pawn02,1,Warrior,Orc,NPC
orc_centurion35,5,Warrior,Orc,NPC
orc_centurion32,5,Warrior,Orc,NPC
orc_centurion26,4,Warrior,Orc,NPC
orc_pawn01,1,Warrior,Orc,NPC
orc_pawn03,1,Warrior,Orc,NPC
a_dwarven_slave02,1,Paladin,Dwarf,NPC
a_dwarven_smith01,5,Warrior,Dwarf,NPC
a_dwarven_smith00,3,Warrior,Dwarf,NPC
orc_centurion39,7,Warrior,Orc,NPC
orc_centurion38,4,Warrior,Orc,NPC
orc_centurion37,5,Warrior,Orc,NPC
orc_centurion36,7,Warrior,Orc,NPC
orc_trainer00,11,Warrior,Orc,NPC
orc_centurion18,9,Warrior,Orc,NPC
orc_centurion06,8,Warrior,Orc,NPC
orc_centurion34,3,Warrior,Orc,NPC
an_orc_thaumaturgist00,12,Necromancer,Orc,NPC
orc_centurion05,7,Warrior,Orc,NPC
orc_pawn11,1,Warrior,Orc,NPC
orc_legionnaire02,12,Warrior,Orc,NPC
orc_legionnaire00,12,Warrior,Orc,NPC
orc_emissary02,12,Warrior,Orc,NPC
orc_legionnaire11,12,Warrior,Orc,NPC
orc_centurion30,9,Warrior,Orc,NPC
orc_centurion29,9,Warrior,Orc,NPC
orc_legionnaire05,12,Warrior,Orc,NPC
orc_centurion11,9,Warrior,Orc,NPC
orc_pawn13,1,Warrior,Orc,NPC
orc_centurion10,7,Warrior,Orc,NPC
orc_emissary01,12,Warrior,Orc,NPC
orc_legionnaire03,12,Warrior,Orc,NPC
orc_legionnaire01,12,Warrior,Orc,NPC
orc_centurion22,6,Warrior,Orc,NPC
orc_oracle02,14,Shaman,Orc,NPC
orc_legionnaire10,10,Warrior,Orc,NPC
orc_legionnaire09,11,Warrior,Orc,NPC
orc_legionnaire08,12,Warrior,Orc,NPC
orc_pawn06,1,Warrior,Orc,NPC
royal_guard00,15,Rogue,Orc,NPC
Emperor_Crush00,18,Warrior,Orc,NPC
orc_centurion02,7,Warrior,Orc,NPC
orc_oracle01,12,Shaman,Orc,NPC
orc_emissary00,13,Warrior,Orc,NPC
orc_legionnaire04,16,Warrior,Orc,NPC
orc_centurion28,7,Warrior,Orc,NPC
orc_oracle00,12,Shaman,Orc,NPC
orc_centurion27,5,Warrior,Orc,NPC
orc_legionnaire06,12,Warrior,Orc,NPC
orc_centurion23,6,Warrior,Orc,NPC
orc_centurion21,7,Warrior,Orc,NPC
orc_centurion17,4,Warrior,Orc,NPC
orc_centurion15,9,Warrior,Orc,NPC
orc_centurion19,6,Warrior,Orc,NPC
orc_pawn12,1,Warrior,Orc,NPC
orc_legionnaire07,12,Warrior,Orc,NPC
orc_centurion09,4,Warrior,Orc,NPC
orc_centurion08,4,Warrior,Orc,NPC
orc_pawn09,1,Warrior,Orc,NPC
Orc_Warden00,14,Warrior,Orc,NPC
Orc_Scoutsman00,12,Warrior,Orc,NPC
orc_pawn07,1,Warrior,Orc,NPC
orc_centurion04,9,Warrior,Orc,NPC
orc_slaver04,10,Warrior,Orc,NPC
orc_slaver03,6,Warrior,Orc,NPC
orc_slaver02,8,Warrior,Orc,NPC
orc_centurion25,9,Warrior,Orc,NPC
orc_slaver01,11,Warrior,Orc,NPC
an_elven_slave05,3,Warrior,Wood Elf,NPC
an_elven_slave03,3,Ranger,Wood Elf,NPC
an_elven_slave00,2,Warrior,Wood Elf,NPC
orc_slaver05,6,Warrior,Orc,NPC
orc_centurion44,8,Warrior,Orc,NPC
an_elven_slave04,3,Ranger,Wood Elf,NPC
a_dwarven_slave01,3,Warrior,Dwarf,NPC
orc_slaver00,10,Warrior,Orc,NPC
an_elven_priest00,5,Cleric,High Elf,NPC
orc_centurion43,3,Warrior,Orc,NPC
orc_centurion33,6,Warrior,Orc,NPC
orc_centurion31,3,Warrior,Orc,NPC
orc_pawn05,1,Warrior,Orc,NPC
orc_centurion24,3,Warrior,Orc,NPC
orc_centurion20,4,Warrior,Orc,NPC
orc_centurion12,6,Warrior,Orc,NPC
orc_pawn04,1,Warrior,Orc,NPC
Retlon_Brenclog00,15,Magician,Gnome,NPC
orc_pawn00,1,Warrior,Orc,NPC
orc_centurion07,3,Warrior,Orc,NPC
orc_centurion03,4,Warrior,Orc,NPC
orc_centurion01,5,Warrior,Orc,NPC
a_dwarven_slave00,1,Warrior,Dwarf,NPC
orc_centurion00,3,Warrior,Orc,NPC
an_elven_slave02,3,Warrior,Wood Elf,NPC
orc_centurion14,3,Warrior,Orc,NPC
orc_pawn10,1,Warrior,Orc,NPC
