Name,Level,Class,Race,Type
a_crystal_crawler00,33,Warrior,Spider,NPC
#Lenik_Gemborn00,130,Warrior,Coldain,NPC
Historian_Baenek00,40,Cleric,Coldain,NPC
Captain_Dunstan_Coldheart00,35,Warrior,Coldain,NPC
Scout_Grandan00,30,Warrior,Coldain,NPC
Guard_Kristen00,35,Warrior,Coldain,NPC
Guard_Kithon00,35,Warrior,Coldain,NPC
Guard_Kevin00,35,Warrior,Coldain,NPC
Derron_Coldmist00,27,Warrior,Coldain,NPC
Fuller_Velweaver00,29,Warrior,Coldain,NPC
Flint_Velweaver00,31,Warrior,Coldain,NPC
Soren_Coldheart00,30,Warrior,Coldain,NPC
Cassia_Gemshard00,28,Warrior,Coldain,NPC
Tacy_MistHeart00,27,Warrior,Coldain,NPC
Nadalia_Coldmist00,31,Warrior,Coldain,NPC
Vevina_Velweaver00,31,Warrior,Coldain,NPC
a_stalag_terror01,29,Warrior,Tentacle Terror,NPC
a_crystal_crawler12,28,Warrior,Spider,NPC
a_crystal_webmaster03,32,Warrior,Spider,NPC
a_crystal_spiderling01,12,Warrior,Spider,NPC
a_crystal_spiderling00,12,Warrior,Spider,NPC
a_crystal_crawler11,31,Warrior,Spider,NPC
a_crystal_crawler10,33,Warrior,Spider,NPC
a_crystal_crawler09,30,Warrior,Spider,NPC
a_crystal_crawler08,33,Warrior,Spider,NPC
a_crystal_crawler07,33,Warrior,Spider,NPC
a_crystal_crawler06,29,Warrior,Spider,NPC
a_crystal_crawler05,28,Warrior,Spider,NPC
a_crystal_crawler04,32,Warrior,Spider,NPC
a_crystal_crawler03,30,Warrior,Spider,NPC
a_crystal_crawler02,30,Warrior,Spider,NPC
a_crystal_webmaster02,32,Warrior,Spider,NPC
a_crystal_crawler01,31,Warrior,Spider,NPC
a_crystal_webmaster01,34,Warrior,Spider,NPC
a_crystal_webmaster00,33,Warrior,Spider,NPC
Kramble_Gemshard00,99,Banker,Coldain,NPC
Milliace_Gemshard00,30,Shopkeeper,Coldain,NPC
Praps_Gemshard00,30,Shopkeeper,Coldain,NPC
Hardat_Gemshard00,30,Shopkeeper,Coldain,NPC
Gilliad_Coldheart00,30,Shopkeeper,Coldain,NPC
Grabble_Coldheart00,30,Shopkeeper,Coldain,NPC
a_velium_crawler06,30,Warrior,Dragon,NPC
a_velium_crawler05,30,Warrior,Dragon,NPC
a_velium_crawler04,30,Warrior,Dragon,NPC
a_velium_crawler03,30,Warrior,Dragon,NPC
a_velium_crawler01,30,Warrior,Dragon,NPC
a_Coldain_miner02,31,Warrior,Coldain,NPC
a_Coldain_miner01,30,Warrior,Coldain,NPC
a_Coldain_miner00,29,Warrior,Coldain,NPC
Guard_Evercold00,35,Warrior,Coldain,NPC
Guard_Slacey00,35,Warrior,Coldain,NPC
Guard_Justik00,35,Warrior,Coldain,NPC
Guard_Solistak00,35,Warrior,Coldain,NPC
Guard_Hollander00,35,Warrior,Coldain,NPC
Guard_Grabadin00,35,Warrior,Coldain,NPC
a_Ry`Gorr_watchman19,28,Warrior,Orc,NPC
a_Ry`Gorr_miner17,27,Warrior,Orc,NPC
a_Ry`Gorr_miner16,25,Warrior,Orc,NPC
The_Fabled_Ry`Gorr_Herbalist00,40,Shaman,Orc,NPC
a_Ry`Gorr_miner15,29,Warrior,Orc,NPC
a_Ry`Gorr_miner14,28,Warrior,Orc,NPC
a_Ry`Gorr_miner13,25,Warrior,Orc,NPC
a_Ry`Gorr_oracle04,29,Shaman,Orc,NPC
a_Ry`Gorr_miner12,26,Warrior,Orc,NPC
a_Ry`Gorr_miner08,25,Warrior,Orc,NPC
a_Ry`Gorr_miner07,28,Warrior,Orc,NPC
a_Ry`Gorr_miner06,27,Warrior,Orc,NPC
a_Ry`Gorr_oracle03,29,Shaman,Orc,NPC
a_Ry`Gorr_watchman16,30,Warrior,Orc,NPC
a_Ry`Gorr_watchman15,28,Warrior,Orc,NPC
a_Ry`Gorr_watchman14,31,Warrior,Orc,NPC
a_Ry`Gorr_watchman13,30,Warrior,Orc,NPC
a_Ry`Gorr_watchman12,28,Warrior,Orc,NPC
a_Ry`Gorr_watchman10,29,Warrior,Orc,NPC
a_Ry`Gorr_watchman09,28,Warrior,Orc,NPC
a_Ry`Gorr_watchman08,27,Warrior,Orc,NPC
a_Ry`Gorr_watchman07,28,Warrior,Orc,NPC
a_Ry`Gorr_watchman06,28,Warrior,Orc,NPC
a_Ry`Gorr_watchman05,30,Warrior,Orc,NPC
a_Ry`Gorr_miner05,29,Warrior,Orc,NPC
#a_terror_carver00,38,Warrior,Tentacle Terror,NPC
#a_gem_collector00,35,Warrior,Geonid,NPC
#a_focus_gem00,37,Warrior,Geonid,NPC
a_geonid05,33,Warrior,Geonid,NPC
a_geonid04,36,Warrior,Geonid,NPC
a_geonid03,35,Warrior,Geonid,NPC
a_geonid02,36,Warrior,Geonid,NPC
a_geonid01,33,Warrior,Geonid,NPC
a_geonid00,31,Warrior,Geonid,NPC
a_stalag_terror15,35,Warrior,Tentacle Terror,NPC
a_stalag_terror14,33,Warrior,Tentacle Terror,NPC
a_stalag_terror13,38,Warrior,Tentacle Terror,NPC
a_stalag_terror12,36,Warrior,Tentacle Terror,NPC
a_stalag_terror11,32,Warrior,Tentacle Terror,NPC
a_stalag_terror10,34,Warrior,Tentacle Terror,NPC
a_stalag_terror09,33,Warrior,Tentacle Terror,NPC
a_stalag_terror08,34,Warrior,Tentacle Terror,NPC
#a_life_leech00,38,Warrior,Tentacle Terror,NPC
