Name,Level,Class,Race,Type
a_coerced_Erudite08,29,Necromancer,Erudite,NPC
a_coerced_Teir`Dal00,28,Shadow Knight,Dark Elf,NPC
an_Iksar_prisoner00,28,Shadow Knight,Iksar,NPC
a_kly_acolyte05,27,Shaman,Sarnak,NPC
a_kly_follower19,29,Warrior,Sarnak,NPC
a_kly_follower18,29,Warrior,Sarnak,NPC
a_kly_cohort08,31,Warrior,Sarnak,NPC
a_kly_believer06,29,Shaman,Sarnak,NPC
a_kly_evoker13,26,Wizard,Sarnak,NPC
a_kly_cohort07,29,Warrior,Sarnak,NPC
a_kly_acolyte04,27,Shaman,Sarnak,NPC
a_kly_follower17,26,Warrior,Sarnak,NPC
a_kly_invoker05,29,Wizard,Sarnak,NPC
a_kly_follower16,28,Warrior,Sarnak,NPC
a_kly_evoker12,29,Wizard,Sarnak,NPC
a_kly_evoker10,27,Wizard,Sarnak,NPC
a_kly_follower14,28,Warrior,Sarnak,NPC
a_kly_believer05,29,Shaman,Sarnak,NPC
a_kly_follower13,26,Warrior,Sarnak,NPC
a_kly_follower12,28,Warrior,Sarnak,NPC
a_coerced_dwarf01,28,Cleric,Dwarf,NPC
a_kly_believer04,30,Shaman,Sarnak,NPC
a_kly_evoker08,27,Wizard,Sarnak,NPC
gyrating_goo02,27,Warrior,Goo,NPC
a_kly_believer03,30,Shaman,Sarnak,NPC
a_kly_follower11,29,Warrior,Sarnak,NPC
a_kly_follower10,28,Warrior,Sarnak,NPC
a_coerced_Teir`Dal03,27,Cleric,Dark Elf,NPC
a_ravenous_nibbler01,29,Warrior,Devourer,NPC
a_kly_follower09,28,Warrior,Sarnak,NPC
smoldering_goo02,28,Warrior,Goo,NPC
the_Kly_Overseer00,35,Wizard,Sarnak,NPC
a_coerced_gnome01,25,Warrior,Gnome,NPC
a_kly_acolyte03,28,Shaman,Sarnak,NPC
gyrating_goo12,28,Warrior,Goo,NPC
a_kly_acolyte02,27,Shaman,Sarnak,NPC
gyrating_goo11,29,Warrior,Goo,NPC
a_kly_cohort03,29,Warrior,Sarnak,NPC
a_coerced_gnome00,26,Warrior,Gnome,NPC
a_kly_follower08,29,Warrior,Sarnak,NPC
a_ravenous_nibbler18,27,Warrior,Devourer,NPC
a_kly_follower07,25,Warrior,Sarnak,NPC
a_kly_evoker06,28,Wizard,Sarnak,NPC
a_ravenous_nibbler17,25,Warrior,Devourer,NPC
a_kly_acolyte01,27,Shaman,Sarnak,NPC
gyrating_goo03,28,Warrior,Goo,NPC
smoldering_goo01,27,Warrior,Goo,NPC
a_coerced_Teir`Dal01,26,Shadow Knight,Dark Elf,NPC
a_ravenous_nibbler09,27,Warrior,Devourer,NPC
a_coerced_Erudite02,25,Shadow Knight,Erudite,NPC
a_ravenous_nibbler16,26,Warrior,Devourer,NPC
a_ravenous_nibbler15,29,Warrior,Devourer,NPC
a_ravenous_nibbler12,26,Warrior,Devourer,NPC
a_ravenous_nibbler11,29,Warrior,Devourer,NPC
a_kly_cohort01,33,Warrior,Sarnak,NPC
a_coerced_Erudite01,25,Shadow Knight,Erudite,NPC
a_kly_follower05,28,Warrior,Sarnak,NPC
a_coerced_dwarf07,25,Rogue,Dwarf,NPC
a_ravenous_nibbler30,28,Warrior,Devourer,NPC
a_ravenous_nibbler10,25,Warrior,Devourer,NPC
a_ravenous_nibbler29,27,Warrior,Devourer,NPC
a_coerced_goblin02,25,Shaman,Goblin,NPC
a_coerced_goblin12,28,Warrior,Goblin,NPC
a_kly_invoker01,30,Wizard,Sarnak,NPC
a_ravenous_nibbler28,25,Warrior,Devourer,NPC
a_coerced_gnome05,27,Magician,Gnome,NPC
a_kly_follower03,28,Warrior,Sarnak,NPC
a_kly_invoker00,33,Wizard,Sarnak,NPC
a_coerced_Iksar04,26,Necromancer,Iksar,NPC
a_kly_evoker04,29,Wizard,Sarnak,NPC
a_coerced_dwarf06,29,Cleric,Dwarf,NPC
a_coerced_dwarf05,29,Cleric,Dwarf,NPC
a_coerced_Teir`Dal02,26,Necromancer,Dark Elf,NPC
a_ravenous_nibbler27,25,Warrior,Devourer,NPC
a_ravenous_nibbler26,29,Warrior,Devourer,NPC
a_coerced_dwarf04,25,Cleric,Dwarf,NPC
a_kly_evoker03,28,Wizard,Sarnak,NPC
a_kly_follower02,26,Warrior,Sarnak,NPC
a_coerced_Iksar03,25,Necromancer,Iksar,NPC
a_kly_follower01,25,Warrior,Sarnak,NPC
a_kly_cohort09,31,Warrior,Sarnak,NPC
smoldering_goo04,28,Warrior,Goo,NPC
a_coerced_Erudite04,28,Necromancer,Erudite,NPC
smoldering_goo06,25,Warrior,Goo,NPC
a_kly_evoker01,27,Wizard,Sarnak,NPC
a_ravenous_nibbler25,26,Warrior,Devourer,NPC
a_kly_believer00,30,Shaman,Sarnak,NPC
a_ravenous_nibbler24,26,Warrior,Devourer,NPC
a_kly_evoker00,25,Wizard,Sarnak,NPC
a_kly_follower20,28,Warrior,Sarnak,NPC
a_ravenous_nibbler23,26,Warrior,Devourer,NPC
a_kly_acolyte00,29,Shaman,Sarnak,NPC
a_coerced_dwarf03,27,Rogue,Dwarf,NPC
a_kly_cohort04,29,Warrior,Sarnak,NPC
a_kly_follower00,25,Warrior,Sarnak,NPC
a_kly_cohort02,31,Warrior,Sarnak,NPC
a_kly_cohort00,31,Warrior,Sarnak,NPC
a_coerced_Iksar01,28,Monk,Iksar,NPC
a_coerced_Erudite03,26,Shadow Knight,Erudite,NPC
a_kly_cohort12,32,Warrior,Sarnak,NPC
gyrating_goo06,26,Warrior,Goo,NPC
gyrating_goo05,26,Warrior,Goo,NPC
a_coerced_Erudite00,28,Shadow Knight,Erudite,NPC
a_coerced_Teir`Dal08,27,Necromancer,Dark Elf,NPC
a_kly_invoker02,30,Wizard,Sarnak,NPC
a_tormented_tradesman00,24,Warrior,Iksar Skeleton,NPC
a_ravenous_nibbler05,28,Warrior,Devourer,NPC
a_ravenous_nibbler34,26,Warrior,Devourer,NPC
a_coerced_Iksar06,27,Monk,Iksar,NPC
a_ravenous_nibbler02,29,Warrior,Devourer,NPC
a_coerced_Erudite06,29,Necromancer,Erudite,NPC
a_kly_evoker05,25,Wizard,Sarnak,NPC
a_kly_cohort05,31,Warrior,Sarnak,NPC
a_kly_cohort11,30,Warrior,Sarnak,NPC
a_kly_follower04,28,Warrior,Sarnak,NPC
a_ravenous_nibbler19,26,Warrior,Devourer,NPC
a_coerced_Teir`Dal04,26,Cleric,Dark Elf,NPC
a_ravenous_nibbler14,29,Warrior,Devourer,NPC
a_coerced_goblin04,26,Warrior,Goblin,NPC
a_coerced_gnome03,25,Magician,Gnome,NPC
a_coerced_Erudite07,26,Necromancer,Erudite,NPC
a_coerced_gnome08,25,Warrior,Gnome,NPC
a_ravenous_nibbler00,27,Warrior,Devourer,NPC
a_ravenous_nibbler06,27,Warrior,Devourer,NPC
a_coerced_Erudite05,28,Necromancer,Erudite,NPC
a_ravenous_nibbler04,27,Warrior,Devourer,NPC
a_kly_cohort10,30,Warrior,Sarnak,NPC
