Name,Level,Class,Race,Type
a_tribal_gatherer15,28,Ranger,Galorian,NPC
a_Rockhopper16,41,Warrior,Rockhopper,NPC
a_Rockhopper09,41,Warrior,Rockhopper,NPC
a_Rockhopper15,39,Warrior,Rockhopper,NPC
a_Rockhopper08,39,Warrior,Rockhopper,NPC
a_Rockhopper07,41,Warrior,Rockhopper,NPC
a_Rockhopper13,42,Warrior,Rockhopper,NPC
a_Rockhopper06,41,Warrior,Rockhopper,NPC
a_Rockhopper12,43,Warrior,Rockhopper,NPC
a_Rockhopper05,41,Warrior,Rockhopper,NPC
#A_Rockhopper_1400,41,Warrior,Rockhopper,NPC
a_wolf00,32,Warrior,Wolf,NPC
a_Rockhopper04,39,Warrior,Rockhopper,NPC
a_Rockhopper02,40,Warrior,Rockhopper,NPC
a_Rockhopper00,43,Warrior,Rockhopper,NPC
a_tribal_gatherer17,30,Warrior,Galorian,NPC
Tribal_Leader00,42,Warrior,Galorian,NPC
a_Rockhopper03,38,Warrior,Rockhopper,NPC
a_lightcrawler11,27,Warrior,Lightcrawler,NPC
a_Rockhopper01,40,Warrior,Rockhopper,NPC
a_lightcrawler09,23,Warrior,Lightcrawler,NPC
a_wolf14,36,Warrior,Wolf,NPC
a_stonegrabber07,40,Warrior,Stonegrabber,NPC
a_zelniak24,27,Warrior,Zelniak,NPC
a_zelniak22,29,Warrior,Zelniak,NPC
a_zelniak21,31,Warrior,Zelniak,NPC
Legionnaire_Bael00,52,Warrior,Human,NPC
Legionnaire_Baen00,44,Warrior,Human,NPC
a_zelniak20,29,Warrior,Zelniak,NPC
a_stonegrabber05,39,Warrior,Stonegrabber,NPC
a_zelniak16,30,Warrior,Zelniak,NPC
a_stonegrabber04,43,Warrior,Stonegrabber,NPC
a_stonegrabber03,42,Warrior,Stonegrabber,NPC
a_fungi_shroom11,30,Warrior,Shrieker,NPC
a_stonegrabber02,39,Warrior,Stonegrabber,NPC
a_fungi_shroom10,27,Warrior,Shrieker,NPC
a_stonegrabber01,41,Warrior,Stonegrabber,NPC
Tribal_Lookout02,36,Warrior,Galorian,NPC
a_stonegrabber00,39,Warrior,Stonegrabber,NPC
a_fungi_shroom04,29,Warrior,Shrieker,NPC
Antoni_McCorley00,44,Warrior,Barbarian,NPC
Charl_Sleedar00,44,Warrior,High Elf,NPC
a_fungi_shroom01,26,Warrior,Shrieker,NPC
a_fungi_shroom00,29,Warrior,Shrieker,NPC
Wils_Otton00,44,Warrior,Wood Elf,NPC
Jon_Otton00,44,Warrior,Wood Elf,NPC
Lendal_Roble00,44,Warrior,Human,NPC
Artah_Medrino00,44,Warrior,Barbarian,NPC
Serena_Togges00,44,Warrior,Wood Elf,NPC
Glenda_Melonfus00,44,Warrior,Wood Elf,NPC
Denns_Rootenpaw00,44,Warrior,Gnome,NPC
Daved_Dexter00,44,Shopkeeper,Human,NPC
