Name,Level,Class,Race,Type
a_drachnid_recluse14,39,Ranger,Drachnid,NPC
a_petrifier_cockatrice04,39,Warrior,Cockatrice,NPC
a_voracious_brute25,37,Warrior,Yeti,NPC
a_mountain_giant_brae20,30,Warrior,Giant,NPC
a_mountain_giant_craig06,37,Warrior,Giant,NPC
a_petrifier_cockatrice00,38,Warrior,Cockatrice,NPC
a_drachnid_webmaster07,37,Ranger,Drachnid,NPC
a_petrifier_cockatrice12,40,Warrior,Cockatrice,NPC
a_mountain_giant_brae19,34,Warrior,Giant,NPC
a_tundra_yeti24,33,Warrior,Yeti,NPC
a_stoneleer_cockatrice01,30,Warrior,Cockatrice,NPC
a_drachnid_webmaster06,33,Ranger,Drachnid,NPC
a_drachnid_silkmistress10,36,Ranger,Drachnid,NPC
a_drachnid_silkmistress03,35,Ranger,Drachnid,NPC
a_drachnid_webmaster00,37,Ranger,Drachnid,NPC
a_tundra_yeti29,31,Warrior,Yeti,NPC
a_mountain_giant_craig05,33,Warrior,Giant,NPC
Brother_Balatin00,31,Monk,Ancient Skeleton,NPC
a_drachnid_silkstrander01,34,Ranger,Drachnid,NPC
a_drachnid_webmaster12,33,Ranger,Drachnid,NPC
a_mountain_giant_brae18,30,Warrior,Giant,NPC
plaguebone_skeleton00,34,Warrior,Iksar Skeleton,NPC
a_petrifier_cockatrice10,40,Warrior,Cockatrice,NPC
a_voracious_brute00,39,Warrior,Yeti,NPC
a_mountain_giant_craig04,37,Warrior,Giant,NPC
a_tundra_yeti27,34,Warrior,Yeti,NPC
a_mountain_giant_brae17,33,Warrior,Giant,NPC
a_stonegazer_cockatrice06,36,Warrior,Cockatrice,NPC
a_stonegazer_cockatrice11,33,Warrior,Cockatrice,NPC
a_tundra_yeti26,34,Warrior,Yeti,NPC
a_tundra_yeti25,32,Warrior,Yeti,NPC
a_drolvarg_rager10,40,Warrior,Drolvarg,NPC
a_stonegazer_cockatrice05,35,Warrior,Cockatrice,NPC
a_mountain_giant_brae16,34,Warrior,Giant,NPC
a_voracious_brute23,38,Warrior,Yeti,NPC
a_drolvarg_rager19,40,Warrior,Drolvarg,NPC
a_voracious_brute22,37,Warrior,Yeti,NPC
a_drachnid_silkmistress05,33,Ranger,Drachnid,NPC
a_drachnid_webstrander02,33,Ranger,Drachnid,NPC
a_stonegazer_cockatrice01,34,Warrior,Cockatrice,NPC
a_drolvarg_gnasher02,36,Warrior,Drolvarg,NPC
a_drachnid_silkmistress04,37,Ranger,Drachnid,NPC
a_tundra_yeti30,32,Warrior,Yeti,NPC
a_drachnid_webstrander01,33,Ranger,Drachnid,NPC
a_petrifier_cockatrice13,40,Warrior,Cockatrice,NPC
a_tundra_yeti18,33,Warrior,Yeti,NPC
a_stonegazer_cockatrice26,37,Warrior,Cockatrice,NPC
a_drachnid_webstrander00,34,Ranger,Drachnid,NPC
a_drolvarg_gnasher11,35,Warrior,Drolvarg,NPC
a_stoneleer_cockatrice00,33,Warrior,Cockatrice,NPC
a_tundra_yeti19,32,Warrior,Yeti,NPC
a_petrifier_cockatrice01,38,Warrior,Cockatrice,NPC
a_drachnid_recluse04,37,Ranger,Drachnid,NPC
a_drachnid_silkstrander02,30,Ranger,Drachnid,NPC
a_drachnid_recluse03,40,Ranger,Drachnid,NPC
a_drachnid_webmaster03,33,Ranger,Drachnid,NPC
a_drachnid_widow03,38,Ranger,Drachnid,NPC
a_drachnid_widow02,38,Ranger,Drachnid,NPC
a_drachnid_webmaster02,35,Ranger,Drachnid,NPC
a_drachnid_webmaster01,36,Ranger,Drachnid,NPC
a_drachnid_silkmistress08,36,Ranger,Drachnid,NPC
a_drachnid_silkmistress07,37,Ranger,Drachnid,NPC
a_drolvarg_gnasher16,34,Warrior,Drolvarg,NPC
a_drachnid_silkmistress06,35,Ranger,Drachnid,NPC
a_stonegazer_cockatrice10,33,Warrior,Cockatrice,NPC
a_tundra_yeti00,33,Warrior,Yeti,NPC
a_mountain_giant_brae09,33,Warrior,Giant,NPC
a_mountain_giant_brae06,31,Warrior,Giant,NPC
a_mountain_giant_brae05,32,Warrior,Giant,NPC
a_drolvarg_gnasher10,36,Warrior,Drolvarg,NPC
a_stonegazer_cockatrice27,36,Warrior,Cockatrice,NPC
a_glacier_yeti04,39,Warrior,Yeti,NPC
a_glacier_yeti03,37,Warrior,Yeti,NPC
a_glacier_yeti02,38,Warrior,Yeti,NPC
a_glacier_yeti01,40,Warrior,Yeti,NPC
a_glacier_yeti00,39,Warrior,Yeti,NPC
a_drolvarg_gnasher03,37,Warrior,Drolvarg,NPC
a_tundra_yeti16,33,Warrior,Yeti,NPC
a_tundra_yeti15,32,Warrior,Yeti,NPC
a_tundra_yeti14,33,Warrior,Yeti,NPC
a_petrifier_cockatrice11,39,Warrior,Cockatrice,NPC
a_drolvarg_snarler00,32,Warrior,Drolvarg,NPC
a_tundra_yeti13,32,Warrior,Yeti,NPC
a_tundra_yeti12,35,Warrior,Yeti,NPC
a_drachnid_widow08,38,Ranger,Drachnid,NPC
a_tundra_yeti11,31,Warrior,Yeti,NPC
