Name,Level,Class,Race,Type
a_goblin_bone_trooper00,53,Warrior,Goblin,NPC
a_goblin_dirt_soldier00,54,Warrior,Goblin,NPC
a_goblin_slinker12,48,Rogue,Goblin,NPC
a_goblin_stone_mystic04,55,Shaman,Goblin,NPC
a_goblin_stone_mystic03,55,Shaman,Goblin,NPC
a_swift_drogan_spider01,53,Warrior,Spider,NPC
a_goblin_magic_adept02,55,Wizard,Goblin,NPC
a_goblin_stone_mystic02,55,Shaman,Goblin,NPC
a_goblin_bone_caller02,54,Necromancer,Goblin,NPC
a_goblin_stone_mystic01,53,Shaman,Goblin,NPC
a_goblin_stone_mystic00,55,Shaman,Goblin,NPC
a_goblin_bone_caller01,55,Necromancer,Goblin,NPC
a_goblin_magic_adept01,53,Wizard,Goblin,NPC
a_goblin_rock_sneak07,51,Rogue,Goblin,NPC
a_goblin_magic_adept00,55,Wizard,Goblin,NPC
a_goblin_bone_caller00,54,Necromancer,Goblin,NPC
a_swift_drogan_spider00,55,Warrior,Spider,NPC
a_goblin_earth_seer07,59,Shaman,Goblin,NPC
a_goblin_dirt_criminal05,56,Rogue,Goblin,NPC
a_goblin_bone_caster05,58,Necromancer,Goblin,NPC
a_goblin_dirt_criminal04,58,Rogue,Goblin,NPC
a_goblin_bone_caster04,58,Necromancer,Goblin,NPC
a_goblin_whip_cracker20,56,Warrior,Goblin,NPC
a_goblin_bone_knight04,56,Shadow Knight,Goblin,NPC
a_goblin_dirt_criminal03,58,Rogue,Goblin,NPC
a_goblin_earth_mystic09,57,Shaman,Goblin,NPC
a_goblin_whip_cracker19,57,Warrior,Goblin,NPC
a_goblin_bone_caster03,56,Necromancer,Goblin,NPC
a_goblin_ice_master07,60,Wizard,Goblin,NPC
a_goblin_flame_master08,57,Wizard,Goblin,NPC
a_goblin_flame_master07,58,Wizard,Goblin,NPC
a_goblin_bone_caster02,58,Necromancer,Goblin,NPC
a_deadly_drogan_spider03,58,Warrior,Spider,NPC
a_goblin_whip_cracker02,58,Warrior,Goblin,NPC
a_goblin_bone_knight03,56,Shadow Knight,Goblin,NPC
a_goblin_ice_master03,61,Wizard,Goblin,NPC
a_goblin_whip_cracker16,57,Warrior,Goblin,NPC
a_goblin_whip_cracker15,58,Warrior,Goblin,NPC
a_deadly_drogan_spider02,56,Warrior,Spider,NPC
a_goblin_earth_mystic07,57,Shaman,Goblin,NPC
a_goblin_cave_lord05,60,Warrior,Goblin,NPC
a_deadly_drogan_spider01,57,Warrior,Spider,NPC
a_goblin_whip_cracker10,57,Warrior,Goblin,NPC
a_goblin_earth_mystic05,56,Shaman,Goblin,NPC
a_goblin_earth_mystic04,57,Shaman,Goblin,NPC
Gillia_Brissok00,35,Warrior,High Elf,NPC
a_goblin_whip_cracker08,57,Warrior,Goblin,NPC
a_goblin_dust_mystic17,45,Shaman,Goblin,NPC
a_goblin_janitor00,45,Warrior,Goblin,NPC
a_goblin_whip_cracker07,57,Warrior,Goblin,NPC
a_goblin_flame_adept06,49,Wizard,Goblin,NPC
a_goblin_prison_warden00,61,Warrior,Goblin,NPC
a_goblin_master_alchemist00,61,Warrior,Goblin,NPC
a_goblin_food_supplier00,61,Warrior,Goblin,NPC
a_goblin_whip_cracker06,58,Warrior,Goblin,NPC
a_goblin_blood_ritualist04,48,Necromancer,Goblin,NPC
a_goblin_bone_knight18,56,Shadow Knight,Goblin,NPC
a_goblin_dirt_soldier08,55,Warrior,Goblin,NPC
a_goblin_dirt_soldier07,55,Warrior,Goblin,NPC
a_goblin_earth_mystic17,56,Shaman,Goblin,NPC
a_goblin_bone_trooper02,54,Warrior,Goblin,NPC
a_goblin_stone_mystic14,53,Shaman,Goblin,NPC
a_goblin_bone_knight01,57,Shadow Knight,Goblin,NPC
a_deadly_drogan_spider15,57,Warrior,Spider,NPC
a_goblin_ice_adept20,52,Wizard,Goblin,NPC
a_goblin_dirt_criminal01,58,Rogue,Goblin,NPC
a_goblin_cave_guardian23,50,Warrior,Goblin,NPC
a_goblin_bone_knight00,58,Shadow Knight,Goblin,NPC
a_goblin_whip_cracker01,56,Warrior,Goblin,NPC
a_goblin_whip_cracker00,58,Warrior,Goblin,NPC
Earth_Mystic_Gedak00,58,Shaman,Goblin,NPC
a_goblin_ice_adept18,51,Wizard,Goblin,NPC
a_goblin_dirt_criminal00,57,Rogue,Goblin,NPC
a_goblin_dirt_criminal02,57,Rogue,Goblin,NPC
