Name,Level,Class,Race,Type
a_Broken_Skull_guardian00,42,Warrior,Pirate,NPC
a_harbor_fisherman06,37,Warrior,Troll,NPC
a_Broken_Skull_scout12,35,Rogue,Pirate,NPC
an_armory_guardian00,35,Warrior,Pirate,NPC
a_Broken_Skull_scout11,35,Rogue,Pirate,NPC
a_drunken_pirate08,34,Warrior,Troll,NPC
a_Broken_Skull_scout10,35,Rogue,Pirate,NPC
a_Broken_Skull_Blackhand00,40,Warrior,Pirate,NPC
an_engineering_assistant01,36,Warrior,Pirate,NPC
a_Broken_Skull_mercenary11,37,Warrior,Troll,NPC
a_Broken_Skull_scout09,37,Rogue,Pirate,NPC
a_Broken_Skull_scout08,36,Rogue,Pirate,NPC
a_ship_blueprinter01,37,Warrior,Pirate,NPC
a_drunken_pirate06,35,Warrior,Troll,NPC
a_Broken_Skull_mercenary10,37,Warrior,Troll,NPC
a_Broken_Skull_scout07,35,Rogue,Pirate,NPC
a_Broken_Skull_scout05,36,Rogue,Pirate,NPC
a_ship_blueprinter00,36,Warrior,Pirate,NPC
a_drunken_pirate05,34,Warrior,Troll,NPC
a_Broken_Skull_scout04,35,Rogue,Pirate,NPC
a_Broken_Skull_scout03,37,Rogue,Pirate,NPC
an_engineering_assistant00,37,Warrior,Pirate,NPC
a_Windscorn_buccaneer07,48,Warrior,Iksar,NPC
a_Broken_Skull_scout02,37,Rogue,Pirate,NPC
a_Windscorn_buccaneer05,50,Warrior,Iksar,NPC
a_Broken_Skull_brigand14,35,Warrior,Pirate,NPC
a_Windscorn_initiate06,49,Warrior,Pirate,NPC
an_exhausted_pirate03,36,Warrior,Pirate,NPC
a_Windscorn_templar01,46,Cleric,Pirate,NPC
a_Broken_Skull_scout01,36,Rogue,Pirate,NPC
a_Broken_Skull_mercenary07,35,Warrior,Pirate,NPC
a_Windscorn_initiate04,48,Warrior,Pirate,NPC
a_buccaneer04,38,Warrior,Pirate,NPC
a_Windscorn_buccaneer03,49,Warrior,Iksar,NPC
a_Windscorn_templar00,44,Cleric,Pirate,NPC
a_Windscorn_buccaneer02,47,Warrior,Iksar,NPC
a_Windscorn_initiate02,48,Warrior,Pirate,NPC
a_deck_hand06,38,Warrior,Pirate,NPC
an_exhausted_pirate05,37,Warrior,Pirate,NPC
a_Windscorn_revenant00,44,Shadow Knight,Iksar,NPC
a_buccaneer02,38,Warrior,Pirate,NPC
a_barracks_officer01,40,Warrior,Pirate,NPC
a_Broken_Skull_lieutenant03,39,Warrior,Pirate,NPC
a_barracks_officer03,41,Warrior,Pirate,NPC
a_deck_hand05,40,Warrior,Pirate,NPC
a_crew_member04,38,Warrior,Iksar,NPC
a_barracks_officer00,40,Warrior,Pirate,NPC
a_barracks_officer02,41,Warrior,Pirate,NPC
a_Broken_Skull_guardian04,41,Warrior,Pirate,NPC
a_Broken_Skull_brigand12,36,Warrior,Pirate,NPC
a_wharf_rat03,40,Warrior,Rat,NPC
a_drunken_pirate07,35,Warrior,Troll,NPC
an_exhausted_pirate04,36,Warrior,Pirate,NPC
a_Broken_Skull_mercenary09,35,Warrior,Troll,NPC
a_lighthouse_operator05,38,Warrior,Pirate,NPC
a_shipyard_architect02,40,Warrior,Pirate,NPC
a_Broken_Skull_lieutenant01,40,Warrior,Pirate,NPC
a_crew_member01,38,Warrior,Iksar,NPC
a_Broken_Skull_mercenary04,35,Warrior,Troll,NPC
a_Broken_Skull_brigand09,37,Warrior,Troll,NPC
a_shark00,42,Warrior,Shark,NPC
an_Oceancrasher_initiate08,44,Warrior,Pirate,NPC
a_tavern_patron01,40,Warrior,Pirate,NPC
a_high_seas_assassin01,41,Warrior,Pirate,NPC
a_lighthouse_operator00,41,Warrior,Pirate,NPC
a_Broken_Skull_mercenary02,35,Warrior,Iksar,NPC
a_tavern_wench02,39,Warrior,Pirate,NPC
an_exhausted_pirate01,35,Warrior,Pirate,NPC
a_lighthouse_operator03,37,Warrior,Pirate,NPC
an_Oceancrasher_assassin01,45,Rogue,Pirate,NPC
a_lighthouse_operator02,38,Warrior,Pirate,NPC
a_lighthouse_operator01,38,Warrior,Pirate,NPC
a_bar_patron03,40,Warrior,Pirate,NPC
a_crew_member11,39,Warrior,Iksar,NPC
a_bar_patron02,40,Warrior,Pirate,NPC
a_tavern_wench01,41,Warrior,Pirate,NPC
a_bar_patron01,36,Warrior,Troll,NPC
a_boat_engineer05,38,Warrior,Pirate,NPC
a_chef01,42,Warrior,Pirate,NPC
a_boat_scrubber05,36,Warrior,Troll,NPC
a_chef00,42,Warrior,Pirate,NPC
a_tavern_wench00,40,Warrior,Pirate,NPC
a_bar_patron00,40,Warrior,Pirate,NPC
a_bartender00,39,Warrior,Pirate,NPC
a_boat_engineer03,38,Warrior,Pirate,NPC
a_fisherman02,41,Warrior,Pirate,NPC
a_boat_scrubber03,38,Warrior,Troll,NPC
a_harbor_fisherman03,36,Warrior,Troll,NPC
a_Broken_Skull_troubadour00,40,Warrior,Pirate,NPC
a_Broken_Skull_brigand08,37,Warrior,Troll,NPC
a_Broken_Skull_brigand07,35,Warrior,Troll,NPC
a_Broken_Skull_brigand06,36,Warrior,Pirate,NPC
a_Broken_Skull_brigand04,35,Warrior,Pirate,NPC
a_drunken_pirate01,36,Warrior,Troll,NPC
a_Broken_Skull_brigand03,37,Warrior,Troll,NPC
a_Broken_Skull_brigand02,37,Warrior,Troll,NPC
a_Broken_Skull_mercenary01,36,Warrior,Troll,NPC
a_Broken_Skull_brigand01,37,Warrior,Pirate,NPC
a_drunken_pirate00,36,Warrior,Troll,NPC
an_exhausted_pirate00,37,Warrior,Pirate,NPC
a_Broken_Skull_mercenary00,36,Warrior,Troll,NPC
a_harbor_fisherman01,36,Warrior,Troll,NPC
a_harbor_fisherman00,37,Warrior,Troll,NPC
a_bartender01,39,Warrior,Pirate,NPC
a_boat_scrubber02,38,Warrior,Pirate,NPC
a_Broken_Skull_brigand00,35,Warrior,Troll,NPC
a_fish_gutter02,40,Warrior,Troll,NPC
a_fish_gutter01,41,Warrior,Troll,NPC
Siska_the_Spurned00,40,Rogue,Pirate,NPC
a_fisherman01,39,Warrior,Pirate,NPC
a_fisherman00,41,Warrior,Pirate,NPC
a_storage_worker07,42,Warrior,Pirate,NPC
a_Dirulia_deck_hand01,40,Warrior,Pirate,NPC
a_fish_gutter00,42,Warrior,Troll,NPC
a_Dirulia_cannoneer02,42,Warrior,Pirate,NPC
a_Dirulia_cannoneer01,40,Warrior,Pirate,NPC
a_servant_of_hate12,39,Warrior,Luggald,NPC
a_Dirulia_crew_member05,40,Warrior,Pirate,NPC
a_nightmare_initiate04,41,Warrior,Luggald,NPC
a_Dirulia_deck_hand00,41,Warrior,Pirate,NPC
a_Dirulia_crew_member04,42,Warrior,Pirate,NPC
a_Dirulia_crew_member03,42,Warrior,Pirate,NPC
a_Dirulia_crew_member02,42,Warrior,Pirate,NPC
a_servant_of_hate11,38,Warrior,Luggald,NPC
a_Dirulia_crew_member01,42,Warrior,Pirate,NPC
an_archon_of_malevolence05,40,Cleric,Luggalds,NPC
a_Dirulia_cannoneer00,42,Warrior,Pirate,NPC
a_luggald_assassin00,51,Warrior,Luggald,NPC
a_servant_of_hate10,40,Warrior,Luggald,NPC
a_nightmare_initiate03,36,Warrior,Luggald,NPC
a_Stormwave_deck_hand03,42,Warrior,Pirate,NPC
an_archon_of_malevolence04,36,Cleric,Luggalds,NPC
a_servant_of_hate09,41,Warrior,Luggald,NPC
an_archon_of_malevolence03,41,Cleric,Luggalds,NPC
a_nightmare_initiate02,36,Warrior,Luggald,NPC
a_Stormwave_crew_member01,40,Warrior,Troll,NPC
a_servant_of_malevolence01,36,Warrior,Luggalds,NPC
a_hatebringer_initiate03,39,Shadow Knight,Luggald,NPC
a_blackblooded_nightmare07,50,Warrior,Luggald,NPC
a_swabby_bait_salesman00,42,Shopkeeper,Pirate,NPC
a_Stormwave_deck_hand01,41,Warrior,Pirate,NPC
a_servant_of_hate08,36,Warrior,Luggald,NPC
an_emissary_of_malevolence11,49,Warrior,Luggalds,NPC
a_Stormwave_deck_hand00,40,Warrior,Pirate,NPC
an_emissary_of_malevolence10,50,Warrior,Luggalds,NPC
a_blackblooded_nightmare06,47,Rogue,Luggald,NPC
an_emissary_of_hate19,50,Warrior,Luggald,NPC
an_emissary_of_hate17,49,Warrior,Luggald,NPC
an_emissary_of_malevolence07,48,Warrior,Luggalds,NPC
a_shady_treasure_sorter08,42,Warrior,Pirate,NPC
an_emissary_of_hate16,48,Warrior,Luggald,NPC
a_shady_treasure_sorter05,42,Warrior,Pirate,NPC
a_storage_attendant04,39,Warrior,Pirate,NPC
a_blackblooded_assassin02,47,Rogue,Luggald,NPC
a_storage_worker05,40,Warrior,Pirate,NPC
an_emissary_of_malevolence06,49,Warrior,Luggalds,NPC
a_shady_treasure_sorter07,42,Warrior,Pirate,NPC
an_emissary_of_hate15,50,Warrior,Luggald,NPC
a_storage_worker04,42,Warrior,Pirate,NPC
a_blackblooded_nightmare05,44,Warrior,Luggald,NPC
a_storage_worker03,40,Warrior,Pirate,NPC
a_boat_engineer01,38,Warrior,Pirate,NPC
a_blackblooded_nightmare04,43,Warrior,Luggald,NPC
a_shady_treasure_sorter06,42,Warrior,Pirate,NPC
an_Oceancrasher_initiate09,39,Warrior,Pirate,NPC
a_storage_attendant03,40,Warrior,Pirate,NPC
a_phantasmist_of_malevolence05,46,Enchanter,Luggalds,NPC
an_emissary_of_malevolence18,44,Warrior,Luggalds,NPC
an_emissary_of_hate12,43,Warrior,Luggald,NPC
a_Broken_Skull_mercenary08,35,Warrior,Troll,NPC
an_emissary_of_hate27,43,Warrior,Luggald,NPC
an_Oceancrasher_deckhand07,40,Warrior,Pirate,NPC
an_emissary_of_hate26,44,Warrior,Luggald,NPC
a_storage_worker02,42,Warrior,Pirate,NPC
a_Windscorn_initiate05,48,Warrior,Pirate,NPC
a_shady_treasure_sorter03,42,Warrior,Pirate,NPC
an_emissary_of_hate09,49,Warrior,Luggald,NPC
a_shady_treasure_sorter02,42,Warrior,Pirate,NPC
an_emissary_of_hate08,49,Warrior,Luggald,NPC
a_shady_treasure_sorter01,42,Warrior,Pirate,NPC
a_blackblooded_nightmare03,50,Warrior,Luggald,NPC
an_Oceancrasher_deckhand06,43,Warrior,Pirate,NPC
a_storage_worker01,41,Warrior,Pirate,NPC
a_Broken_Skull_scout15,36,Rogue,Pirate,NPC
an_emissary_of_hate07,49,Warrior,Luggald,NPC
a_storage_attendant02,41,Warrior,Pirate,NPC
a_shady_treasure_sorter00,42,Warrior,Pirate,NPC
an_emissary_of_suffering03,43,Warrior,Luggalds,NPC
a_blackblooded_nightmare02,48,Warrior,Luggald,NPC
a_nightmare_initiate01,36,Warrior,Luggald,NPC
a_storage_attendant01,40,Warrior,Pirate,NPC
a_blackblooded_assassin00,48,Rogue,Luggald,NPC
a_storage_attendant00,41,Warrior,Pirate,NPC
an_Oceancrasher_initiate05,46,Warrior,Pirate,NPC
an_emissary_of_hate04,49,Warrior,Luggald,NPC
an_Oceancrasher_deckhand00,40,Warrior,Pirate,NPC
an_Oceancrasher_initiate04,45,Warrior,Pirate,NPC
an_Oceancrasher_bloodclaw01,42,Rogue,Pirate,NPC
an_emissary_of_hate03,50,Warrior,Luggald,NPC
an_Oceancrasher_initiate02,39,Warrior,Pirate,NPC
a_servant_of_hate07,48,Warrior,Luggald,NPC
an_Oceancrasher_deckhand05,44,Warrior,Pirate,NPC
an_Oceancrasher_deckhand04,44,Warrior,Pirate,NPC
an_Oceancrasher_deckhand03,43,Warrior,Pirate,NPC
a_Windscorn_buccaneer01,47,Warrior,Iksar,NPC
an_Oceancrasher_initiate03,46,Warrior,Pirate,NPC
an_incantator_of_malevolence01,42,Wizard,Luggalds,NPC
an_Oceancrasher_bloodclaw00,42,Rogue,Pirate,NPC
an_Oceancrasher_initiate01,39,Warrior,Pirate,NPC
an_Oceancrasher_deckhand02,40,Warrior,Pirate,NPC
an_Oceancrasher_initiate00,41,Warrior,Pirate,NPC
#Chester_Steelblade00,49,Warrior,Ghost,NPC
