Name,Level,Class,Race,Type
a_gnoll_reaver08,15,Warrior,Gnoll,NPC
a_gnoll_reaver07,15,Warrior,Gnoll,NPC
a_gnoll_reaver06,15,Warrior,Gnoll,NPC
a_chasm_crawler26,11,Warrior,Snake,NPC
a_war_wolf02,12,Warrior,Ancient Wolf,NPC
a_war_wolf01,12,Warrior,Ancient Wolf,NPC
a_lion_patriarch05,12,Warrior,Lion,NPC
a_gnoll_reaver03,13,Warrior,Gnoll,NPC
a_gnoll_reaver00,13,Warrior,Gnoll,NPC
a_chasm_crawler07,12,Warrior,Snake,NPC
a_silvermist_wolf05,8,Warrior,Ancient Wolf,NPC
a_crag_spider05,20,Warrior,Spider,NPC
a_chasm_crawler06,12,Warrior,Snake,NPC
Guard_Peter00,35,Warrior,Barbarian,NPC
a_bandit05,11,Warrior,Barbarian,NPC
a_bandit02,11,Warrior,Barbarian,NPC
a_bandit04,10,Cleric,Human,NPC
a_bandit01,12,Cleric,Human,NPC
a_lion_patriarch08,14,Warrior,Lion,NPC
Burah_Mucktail00,11,Warrior,Gnoll,NPC
an_undead_reaver03,15,Warrior,Gnoll,NPC
a_lioness01,8,Warrior,Lion,NPC
a_bullnose_snake03,8,Warrior,Snake,NPC
a_lioness_matriarch03,12,Warrior,Lion,NPC
a_silvermist_wolf01,10,Warrior,Ancient Wolf,NPC
a_lion_patriarch22,13,Warrior,Lion,NPC
a_chasm_crawler34,13,Warrior,Snake,NPC
a_gnoll_reaver02,14,Warrior,Gnoll,NPC
a_lion03,10,Warrior,Lion,NPC
a_gorge_hound04,16,Warrior,Ancient Wolf,NPC
a_lion_patriarch04,13,Warrior,Lion,NPC
a_lioness_matriarch00,12,Warrior,Lion,NPC
a_lion_patriarch11,12,Warrior,Lion,NPC
a_crag_spider18,20,Warrior,Spider,NPC
a_lion13,10,Warrior,Lion,NPC
a_silvermist_wolf00,10,Warrior,Ancient Wolf,NPC
a_chasm_crawler21,12,Warrior,Snake,NPC
a_dark_stalker02,15,Warrior,Ancient Wolf,NPC
Nre`Loxe_Mucktail00,11,Shaman,Gnoll,NPC
a_silvermist_wolf12,8,Warrior,Ancient Wolf,NPC
Nra`Vren_Mucktail00,17,Warrior,Gnoll,NPC
Chief_SaNre`Rexsa00,21,Shaman,Gnoll,NPC
a_chasm_crawler29,12,Warrior,Snake,NPC
a_crag_spider10,20,Warrior,Spider,NPC
a_lioness_matriarch01,11,Warrior,Lion,NPC
a_chasm_crawler03,11,Warrior,Snake,NPC
a_chasm_crawler16,13,Warrior,Snake,NPC
a_dark_stalker08,16,Warrior,Ancient Wolf,NPC
a_chasm_crawler00,11,Warrior,Snake,NPC
a_gorge_hound05,16,Warrior,Ancient Wolf,NPC
a_lion10,9,Warrior,Lion,NPC
a_lion04,10,Warrior,Lion,NPC
a_crag_spider16,20,Warrior,Spider,NPC
a_chasm_crawler18,12,Warrior,Snake,NPC
a_gorge_hound08,17,Warrior,Ancient Wolf,NPC
a_bandit03,11,Cleric,Human,NPC
a_lioness_matriarch02,11,Warrior,Lion,NPC
a_silvermist_wolf09,10,Warrior,Ancient Wolf,NPC
a_gnoll_reaver05,15,Warrior,Gnoll,NPC
a_dark_stalker01,17,Warrior,Ancient Wolf,NPC
a_gnoll_reaver04,15,Warrior,Gnoll,NPC
a_chasm_crawler05,13,Warrior,Snake,NPC
