Name,Level,Class,Race,Type
a_snow_dervish07,32,Monk,Snow Dervish,NPC
a_dire_wolf07,29,Warrior,Ancient Wolf,NPC
a_tundra_kodiak05,29,Warrior,Ulthork,NPC
a_tundra_kodiak04,29,Warrior,Ulthork,NPC
a_snow_cougar06,29,Warrior,Puma,NPC
a_Ry`Gorr_legionaire02,38,Warrior,Orc,NPC
a_Ry`Gorr_elite_guard03,42,Warrior,Orc,NPC
a_Ry`Gorr_elite_guard02,44,Warrior,Orc,NPC
#Korrigain00,42,Paladin,Ghost,NPC
a_Ry`Gorr_clan_scout00,28,Warrior,Orc,NPC
a_Ry`Gorr_centurion14,33,Warrior,Orc,NPC
a_Ry`Gorr_centurion13,35,Warrior,Orc,NPC
mystic_of_Ry`Gorr03,31,Shaman,Orc,NPC
mystic_of_Ry`Gorr02,33,Shaman,Orc,NPC
mystic_of_Ry`Gorr01,34,Shaman,Orc,NPC
a_Ry`Gorr_centurion11,35,Warrior,Orc,NPC
a_Ry`Gorr_centurion10,32,Warrior,Orc,NPC
a_Ry`Gorr_minstrel00,38,Bard,Orc,NPC
a_Ry`Gorr_centurion07,33,Warrior,Orc,NPC
a_Ry`Gorr_legionaire00,38,Warrior,Orc,NPC
The_Fabled_Firbrand00,50,Warrior,Orc,NPC
Kromrif_guardsman01,44,Warrior,Giant,NPC
Kromrif_guardsman00,44,Warrior,Giant,NPC
a_Coldain_missionary03,39,Cleric,Coldain,NPC
a_Coldain_missionary02,42,Cleric,Coldain,NPC
a_tundra_kodiak24,35,Warrior,Ulthork,NPC
a_tundra_kodiak21,35,Warrior,Ulthork,NPC
a_Coldain_warrior07,31,Warrior,Coldain,NPC
a_Coldain_hunter04,35,Warrior,Coldain,NPC
Loremaster_Derrin00,42,Cleric,Coldain,NPC
a_Coldain_skinner00,33,Warrior,Coldain,NPC
a_Coldain_lookout01,40,Rogue,Coldain,NPC
a_snow_dervish27,33,Monk,Snow Dervish,NPC
a_snow_cougar01,31,Warrior,Puma,NPC
a_snow_cougar00,30,Warrior,Puma,NPC
a_Coldain_warrior06,33,Warrior,Coldain,NPC
a_Coldain_warrior05,33,Warrior,Coldain,NPC
a_frost_giant10,34,Warrior,Giant,NPC
a_Coldain_cook01,38,Warrior,Coldain,NPC
Dobbin_Crossaxe00,42,Warrior,Coldain,NPC
a_Coldain_missionary00,38,Cleric,Coldain,NPC
a_Coldain_hunter03,34,Warrior,Coldain,NPC
a_frost_giant_savage13,38,Warrior,Giant,NPC
a_frost_giant_savage12,39,Warrior,Giant,NPC
a_frost_giant_captain00,43,Warrior,Giant,NPC
a_frost_giant_savage11,37,Warrior,Giant,NPC
Captain_Berradin00,42,Paladin,Coldain,NPC
a_Coldain_warrior04,34,Warrior,Coldain,NPC
a_Coldain_hunter02,30,Warrior,Coldain,NPC
a_Coldain_hunter01,35,Warrior,Coldain,NPC
a_Coldain_cook00,34,Warrior,Coldain,NPC
a_Coldain_lookout00,35,Rogue,Coldain,NPC
Tain_Hammerfrost00,1,Cleric,Coldain,NPC
an_injured_warrior00,35,Warrior,Coldain,NPC
Gloradin_Coldheart00,40,Cleric,Coldain,NPC
a_Coldain_warrior03,35,Warrior,Coldain,NPC
a_Coldain_warrior02,35,Warrior,Coldain,NPC
a_dire_wolf10,36,Warrior,Ancient Wolf,NPC
a_Coldain_warrior01,35,Warrior,Coldain,NPC
a_Coldain_warrior00,34,Warrior,Coldain,NPC
Garadain_Glacierbane00,42,Warrior,Coldain,NPC
Interrogator_of_Ry`Gorr00,36,Cleric,Orc,NPC
a_Kromrif_prison_guard01,37,Warrior,Giant,NPC
a_Kromrif_prison_guard00,39,Warrior,Giant,NPC
a_Ry`Gorr_prison_guard01,35,Warrior,Orc,NPC
a_Ry`Gorr_prison_guard00,35,Warrior,Orc,NPC
Corbin_Blackwell00,41,Warrior,Coldain,NPC
The_Fabled_Chief_Ry`Gorr00,55,Warrior,Orc,NPC
a_Ry`Gorr_clan_lookout02,28,Warrior,Orc,NPC
a_Ry`Gorr_clan_lookout01,28,Warrior,Orc,NPC
a_frost_giant08,34,Warrior,Giant,NPC
a_frost_giant07,35,Warrior,Giant,NPC
a_Ry`Gorr_clan_lookout00,28,Warrior,Orc,NPC
a_frost_giant06,34,Warrior,Giant,NPC
mystic_of_Ry`Gorr00,33,Shaman,Orc,NPC
a_snow_bunny06,2,Warrior,Snow Rabbit,NPC
a_Ry`Gorr_centurion05,28,Warrior,Orc,NPC
a_snow_dervish06,32,Monk,Snow Dervish,NPC
a_snow_griffin02,38,Ranger,Griffin,NPC
a_snow_bunny05,4,Warrior,Snow Rabbit,NPC
a_dire_wolf06,36,Warrior,Ancient Wolf,NPC
a_snow_bunny04,4,Warrior,Snow Rabbit,NPC
a_frost_giant_scout04,35,Warrior,Giant,NPC
a_dire_wolf05,29,Warrior,Ancient Wolf,NPC
a_tundra_kodiak03,32,Warrior,Ulthork,NPC
a_snow_dervish05,32,Monk,Snow Dervish,NPC
a_snow_cougar05,31,Warrior,Puma,NPC
a_manticore08,40,Warrior,Manticore,NPC
a_frost_giant_savage10,37,Warrior,Giant,NPC
a_frost_giant_savage09,37,Warrior,Giant,NPC
a_frost_giant_savage08,37,Warrior,Giant,NPC
a_walrus07,30,Warrior,Walrus,NPC
an_ulthork_man_o_war02,40,Warrior,Ulthork,NPC
a_walrus06,37,Warrior,Walrus,NPC
a_walrus05,37,Warrior,Walrus,NPC
an_ulthork_man_o_war01,40,Warrior,Ulthork,NPC
a_walrus04,37,Warrior,Walrus,NPC
a_walrus03,31,Warrior,Walrus,NPC
a_walrus02,37,Warrior,Walrus,NPC
a_walrus01,31,Warrior,Walrus,NPC
an_ulthork_man_o_war00,41,Warrior,Ulthork,NPC
a_Ry`Gorr_centurion20,32,Warrior,Orc,NPC
