Name,Level,Class,Race,Type
#Agent_of_Change00,105,Warrior,Ancient Wolf,NPC
arisen_soldier04,47,Warrior,Skeleton,NPC
arisen_soldier03,49,Warrior,Skeleton,NPC
Nightmaster_Kelador00,61,Necromancer GM,Human,NPC
arisen_soldier02,48,Warrior,Skeleton,NPC
arisen_soldier01,47,Warrior,Skeleton,NPC
arisen_soldier00,48,Warrior,Skeleton,NPC
Trademaster_Korvesh00,99,Banker,Gnome,NPC
an_assassin_protector01,51,Shadow Knight,Human,NPC
an_assassin_protector00,51,Shadow Knight,Human,NPC
#The_Fabled_General_Jared_Blay,70,Warrior,Human,NPC
Master_Wirgus00,61,Enchanter GM,Gnome,NPC
Master_Yurian00,61,Magician GM,Gnome,NPC
Master_Celerik00,61,Wizard GM,Human,NPC
Master_Nochtar00,61,Necromancer GM,Human,NPC
a_scound03,45,Warrior,Human,NPC
a_scound02,45,Warrior,Human,NPC
an_archer01,45,Warrior,Half Elf,NPC
an_archer00,45,Warrior,Half Elf,NPC
Master_Assassin_Prasor00,61,Rogue GM,Half Elf,NPC
a_scound01,45,Warrior,Human,NPC
a_scound00,45,Warrior,Human,NPC
Duke_Norfin00,61,ShadowKnight GM,Human,NPC
Marshall_Galeron00,61,Warrior GM,Barbarian,NPC
Blademaster_Kelsitch00,45,Rogue,Dark Elf,NPC
Trainee_Barkis00,40,Warrior,Wood Elf,NPC
Trainee_Durvich00,40,Warrior,Barbarian,NPC
Pelinor_the_Arms_Merchant00,45,Shopkeeper,Dwarf,NPC
Bowmaster_Staniel00,45,Warrior,Wood Elf,NPC
Trainee_Robert00,40,Warrior,Human,NPC
Trainee_Kelwyn00,40,Warrior,Half Elf,NPC
Scound_Dralin00,45,Warrior,Dark Elf,NPC
Scound_Trevor00,45,Warrior,Human,NPC
an_outcast_mutant06,24,Warrior,Wretch,NPC
a_bogling_scout08,20,Warrior,Tegi,NPC
a_bogling_cultist03,33,Warrior,Tegi,NPC
a_bogling_cultist02,33,Warrior,Tegi,NPC
a_bogling_cultist01,33,Warrior,Tegi,NPC
a_bogling_cultist00,33,Warrior,Tegi,NPC
The_Great_Saprophyte00,35,Wizard,Shrieker,NPC
a_bogling_warrior03,30,Warrior,Tegi,NPC
a_bogling_warrior02,30,Warrior,Tegi,NPC
a_bogling_scout07,24,Warrior,Tegi,NPC
a_needlite08,26,Warrior,Mosquito,NPC
a_needlite07,26,Warrior,Mosquito,NPC
a_needlite06,25,Warrior,Mosquito,NPC
a_needlite05,26,Warrior,Mosquito,NPC
a_needlite04,23,Warrior,Mosquito,NPC
a_needlite03,24,Warrior,Mosquito,NPC
a_needlite02,24,Warrior,Mosquito,NPC
a_saprophyte_spawn03,27,Warrior,Shrieker,NPC
a_saprophyte_spawn02,27,Warrior,Shrieker,NPC
a_saprophyte_spawn01,27,Warrior,Shrieker,NPC
a_saprophyte_spawn00,27,Warrior,Shrieker,NPC
a_bogling_warrior00,29,Warrior,Tegi,NPC
an_outcast_mutant05,24,Warrior,Wretch,NPC
an_outcast_mutant04,23,Warrior,Wretch,NPC
Roy00,32,Necromancer,Recuso,NPC
Priestess_Tarafol00,30,Cleric,High Elf,NPC
Asther00,25,Warrior,Gnome,NPC
an_outcast_mutant03,21,Warrior,Wretch,NPC
#Murph_Cobblestone00,26,Warrior,Dwarf,NPC
#Adelin_Crow00,27,Warrior,Wood Elf,NPC
Crazy_Pete00,24,Druid,Recuso,NPC
a_festering_mushroom02,21,Warrior,Shrieker,NPC
a_festering_mushroom01,21,Warrior,Shrieker,NPC
