Name,Level,Class,Race,Type
a_giant_frenzied_leech10,38,Warrior,Leech,NPC
a_soulsipper11,38,Warrior,Mosquito,NPC
Erollisi_bloodthorn13,37,Warrior,Man-Eating Plant,NPC
a_trakaraptor12,40,Warrior,Raptor,NPC
a_giant_frenzied_leech00,38,Warrior,Leech,NPC
a_giant_frenzied_leech09,40,Warrior,Leech,NPC
plaguebone_skeleton05,37,Warrior,Iksar Skeleton,NPC
a_giant_frenzied_leech08,40,Warrior,Leech,NPC
spurbone_skeleton03,35,Warrior,Iksar Skeleton,NPC
greater_spurbone15,36,Warrior,Iksar Skeleton,NPC
a_raging_tiger04,36,Warrior,Ancient Tiger,NPC
plaguebone_skeleton08,33,Warrior,Iksar Skeleton,NPC
a_raging_gorilla12,35,Warrior,Gorilla,NPC
Erollisi_bloodthorn12,41,Warrior,Man-Eating Plant,NPC
a_soulsipper15,37,Warrior,Mosquito,NPC
a_trakaraptor10,39,Warrior,Raptor,NPC
Erollisi_bloodthorn26,38,Warrior,Man-Eating Plant,NPC
greater_spurbone13,39,Warrior,Iksar Skeleton,NPC
plaguebone_skeleton07,35,Warrior,Iksar Skeleton,NPC
a_soulsipper24,38,Warrior,Mosquito,NPC
greater_spurbone12,37,Warrior,Iksar Skeleton,NPC
a_giant_frenzied_leech05,37,Warrior,Leech,NPC
a_raging_gorilla11,35,Warrior,Gorilla,NPC
a_soulsipper27,35,Warrior,Mosquito,NPC
greater_spurbone11,37,Warrior,Iksar Skeleton,NPC
a_raging_gorilla17,37,Warrior,Gorilla,NPC
greater_spurbone00,39,Warrior,Iksar Skeleton,NPC
Erollisi_bloodthorn28,40,Warrior,Man-Eating Plant,NPC
a_raging_tiger11,36,Warrior,Ancient Tiger,NPC
a_soulsipper06,35,Warrior,Mosquito,NPC
a_tottering_gorilla00,39,Warrior,Gorilla,NPC
a_tottering_gorilla04,37,Warrior,Gorilla,NPC
#Spectral_Soldier00,50,Warrior,Iksar Spirit,NPC
a_tatterback_ape12,38,Warrior,Gorilla,NPC
a_tottering_gorilla31,41,Warrior,Gorilla,NPC
a_broken_chest36,25,LDoN Object,Chest,NPC
Erollisi_bloodthorn25,39,Warrior,Man-Eating Plant,NPC
a_raging_gorilla00,36,Warrior,Gorilla,NPC
a_trakaraptor19,36,Warrior,Raptor,NPC
a_raging_gorilla14,35,Warrior,Gorilla,NPC
a_broken_chest31,25,LDoN Object,Chest,NPC
a_tatterback_ape04,36,Warrior,Gorilla,NPC
a_raging_gorilla04,37,Warrior,Gorilla,NPC
a_trakaraptor27,36,Warrior,Raptor,NPC
Erollisi_bloodthorn08,40,Warrior,Man-Eating Plant,NPC
a_giant_frenzied_leech06,38,Warrior,Leech,NPC
a_soulsipper14,39,Warrior,Mosquito,NPC
a_tottering_gorilla08,38,Warrior,Gorilla,NPC
a_tottering_gorilla02,39,Warrior,Gorilla,NPC
a_trakaraptor03,38,Warrior,Raptor,NPC
greater_spurbone09,40,Warrior,Iksar Skeleton,NPC
a_tottering_gorilla03,38,Warrior,Gorilla,NPC
plaguebone_skeleton10,35,Warrior,Iksar Skeleton,NPC
a_trakaraptor25,36,Warrior,Raptor,NPC
a_tatterback_ape03,36,Warrior,Gorilla,NPC
a_soulsipper05,39,Warrior,Mosquito,NPC
a_tatterback_ape09,38,Warrior,Gorilla,NPC
giant_scourgewing_mosquito06,31,Warrior,Mosquito,NPC
Erollisi_mantrap03,33,Warrior,Man-Eating Plant,NPC
a_trakaraptor16,36,Warrior,Raptor,NPC
a_moldering_ape00,33,Warrior,Gorilla,NPC
Erollisi_bloodthorn04,38,Warrior,Man-Eating Plant,NPC
a_tottering_gorilla18,39,Warrior,Gorilla,NPC
Erollisi_mantrap01,33,Warrior,Man-Eating Plant,NPC
a_soulsipper04,35,Warrior,Mosquito,NPC
Erollisi_bloodthorn16,38,Warrior,Man-Eating Plant,NPC
plaguebone_skeleton09,33,Warrior,Iksar Skeleton,NPC
a_frenzied_gorilla02,31,Warrior,Gorilla,NPC
#Festering_Silverback00,50,Warrior,Gorilla,NPC
Erollisi_bloodthorn15,39,Warrior,Man-Eating Plant,NPC
a_raging_gorilla15,39,Warrior,Gorilla,NPC
a_trakaraptor05,39,Warrior,Raptor,NPC
greater_spurbone08,38,Warrior,Iksar Skeleton,NPC
a_trakaraptor23,40,Warrior,Raptor,NPC
a_soulsipper03,35,Warrior,Mosquito,NPC
a_trakaraptor04,37,Warrior,Raptor,NPC
a_raging_tiger10,40,Warrior,Ancient Tiger,NPC
a_raging_tiger09,37,Warrior,Ancient Tiger,NPC
a_soulsipper25,39,Warrior,Mosquito,NPC
plaguebone_skeleton03,33,Warrior,Iksar Skeleton,NPC
a_tottering_gorilla09,37,Warrior,Gorilla,NPC
a_tatterback_ape01,38,Warrior,Gorilla,NPC
a_trakanasaur00,35,Warrior,Raptor,NPC
plaguebone_skeleton12,35,Warrior,Iksar Skeleton,NPC
a_raging_gorilla10,38,Warrior,Gorilla,NPC
a_tottering_gorilla05,38,Warrior,Gorilla,NPC
a_raging_tiger00,39,Warrior,Ancient Tiger,NPC
Erollisi_bloodthorn38,40,Warrior,Man-Eating Plant,NPC
plaguebone_skeleton04,34,Warrior,Iksar Skeleton,NPC
a_giant_frenzied_leech12,38,Warrior,Leech,NPC
a_soulsipper02,36,Warrior,Mosquito,NPC
Erollisi_bloodthorn31,40,Warrior,Man-Eating Plant,NPC
a_raging_gorilla09,39,Warrior,Gorilla,NPC
