Name,Level,Class,Race,Type
Degynn_Dro00,50,Warrior,Human,NPC
Canrield_Starbourne00,50,Warrior,Human,NPC
undead_troll_sailor01,35,Warrior,Ancient Skeleton,NPC
undead_troll_sailor00,35,Warrior,Ancient Skeleton,NPC
undead_erudite_sailor01,35,Warrior,Ancient Skeleton,NPC
undead_erudite_sailor00,35,Warrior,Ancient Skeleton,NPC
Zombie_Sailor01,9,Warrior,Zombie,NPC
Zombie_Sailor00,11,Warrior,Zombie,NPC
Captain_Vekeros00,9,Warrior,Zombie,NPC
a_plague_shark00,35,Warrior,Shark,NPC
a_killer_shark03,41,Warrior,Shark,NPC
a_killer_shark02,42,Warrior,Shark,NPC
a_killer_shark01,38,Warrior,Shark,NPC
a_seahorse02,8,Warrior,Seahorse,NPC
a_seahorse01,8,Warrior,Seahorse,NPC
a_seahorse00,8,Warrior,Seahorse,NPC
a_shark19,16,Warrior,Shark,NPC
a_shark18,14,Warrior,Shark,NPC
a_shark17,15,Warrior,Shark,NPC
a_shark16,15,Warrior,Shark,NPC
a_shark15,17,Warrior,Shark,NPC
a_zombie_sailor00,9,Warrior,Zombie,NPC
a_shark26,15,Warrior,Shark,NPC
a_shark25,16,Warrior,Shark,NPC
a_shark14,14,Warrior,Shark,NPC
a_shark13,17,Warrior,Shark,NPC
a_shark12,17,Warrior,Shark,NPC
a_shark28,13,Warrior,Shark,NPC
a_shark11,17,Warrior,Shark,NPC
a_shark10,17,Warrior,Shark,NPC
a_shark09,13,Warrior,Shark,NPC
a_shark08,16,Warrior,Shark,NPC
a_shark07,16,Warrior,Shark,NPC
a_shark06,15,Warrior,Shark,NPC
a_shark05,13,Warrior,Shark,NPC
a_shark04,15,Warrior,Shark,NPC
a_shark27,16,Warrior,Shark,NPC
a_shark40,13,Warrior,Shark,NPC
a_shark39,13,Warrior,Shark,NPC
a_shark31,17,Warrior,Shark,NPC
a_shark36,14,Warrior,Shark,NPC
a_shark35,14,Warrior,Shark,NPC
a_shark34,17,Warrior,Shark,NPC
a_shark02,15,Warrior,Shark,NPC
a_shark01,13,Warrior,Shark,NPC
a_shark00,16,Warrior,Shark,NPC
a_willowisp05,11,Warrior,Will-O-Wisp,NPC
a_willowisp04,11,Warrior,Will-O-Wisp,NPC
a_willowisp03,9,Warrior,Will-O-Wisp,NPC
a_willowisp02,9,Warrior,Will-O-Wisp,NPC
a_willowisp01,11,Warrior,Will-O-Wisp,NPC
a_zombie_sailor06,10,Warrior,Zombie,NPC
a_zombie_sailor05,11,Warrior,Zombie,NPC
a_kerra_spider05,12,Warrior,Spider,NPC
a_kerra_snake06,7,Warrior,Snake,NPC
a_kerra_spider04,11,Warrior,Spider,NPC
a_kerra_spider03,11,Warrior,Spider,NPC
a_kerra_spider02,12,Warrior,Spider,NPC
a_shark33,17,Warrior,Shark,NPC
a_kerra_snake05,7,Warrior,Snake,NPC
a_kerra_snake04,7,Warrior,Snake,NPC
a_kerra_spider01,12,Warrior,Spider,NPC
a_shark32,14,Warrior,Shark,NPC
a_killer_shark00,41,Warrior,Shark,NPC
a_kerra_snake03,7,Warrior,Snake,NPC
#The_Sirensbane00,99,Warrior,Boat,NPC
a_kerra_snake02,9,Warrior,Snake,NPC
a_shark22,13,Warrior,Shark,NPC
a_kerra_snake01,9,Warrior,Snake,NPC
a_vampire_bat00,8,Warrior,Bat,NPC
a_shark23,14,Warrior,Shark,NPC
a_kerra_spider00,11,Warrior,Spider,NPC
a_kerra_snake00,8,Warrior,Snake,NPC
Hojo00,13,Warrior,Kerran,NPC
Milla00,14,Warrior,Kerran,NPC
Monala00,14,Warrior,Kerran,NPC
Nifta00,16,Warrior,Kerran,NPC
Renna00,13,Shopkeeper,Kerran,NPC
Kala00,17,Warrior,Kerran,NPC
Jarra00,16,Warrior,Kerran,NPC
Tolo00,14,Warrior,Kerran,NPC
Nomala00,4,Warrior,Kerran,NPC
a_willowisp00,10,Warrior,Will-O-Wisp,NPC
Yun_Assistant_Maldok00,20,Shaman,Froglok,NPC
a_zombie_guardian03,1,Warrior,Zombie,NPC
a_zombie_guardian02,1,Warrior,Zombie,NPC
a_shark03,14,Warrior,Shark,NPC
a_zombie_guardian01,1,Warrior,Zombie,NPC
a_zombie_guardian00,1,Warrior,Zombie,NPC
a_shark21,15,Warrior,Shark,NPC
a_shark20,17,Warrior,Shark,NPC
Yelesom_Paust00,20,Wizard,Erudite,NPC
Ooglyn00,45,Warrior,Ogre,NPC
#Translocator_Jempar00,1,Wizard,Gnome,NPC
a_shark38,14,Warrior,Shark,NPC
a_shark37,16,Warrior,Shark,NPC
a_shark24,17,Warrior,Shark,NPC
a_frantic_kerran00,19,Rogue,Kerran,NPC
a_kerra_spider08,12,Warrior,Spider,NPC
a_kerra_spider07,12,Warrior,Spider,NPC
a_kerra_spider06,11,Warrior,Spider,NPC
a_shark30,14,Warrior,Shark,NPC
a_shark29,14,Warrior,Shark,NPC
an_erudite_madman00,15,Wizard,Erudite,NPC
a_kerra_snake07,9,Warrior,Snake,NPC
a_vampire_bat01,8,Warrior,Bat,NPC
Raldoria_Deacon00,50,Warrior,Human,NPC
Doria_Dawncrest00,50,Warrior,Human,NPC
Bellorrana_Hanthan00,50,Warrior,Human,NPC
