Name,Level,Class,Race,Type
a_snow_leopard06,8,Warrior,Puma,NPC
a_wooly_mammoth01,25,Warrior,Mammoth,NPC
tainted_wooly_mammoth00,25,Warrior,Mammoth,NPC
a_snow_orc_trooper06,9,Warrior,Orc,NPC
a_wooly_mammoth_calf00,11,Warrior,Mammoth,NPC
a_snow_orc_trooper03,7,Warrior,Orc,NPC
a_snow_orc_shaman02,15,Shaman,Orc,NPC
an_ice_goblin_whelp06,1,Warrior,Goblin,NPC
a_snow_leopard05,8,Warrior,Puma,NPC
a_polar_bear00,9,Warrior,Bear,NPC
a_white_wolf29,2,Warrior,Ancient Wolf,NPC
a_snow_orc_shaman01,15,Shaman,Orc,NPC
a_snow_orc_shaman00,15,Shaman,Orc,NPC
a_decaying_skeleton08,2,Warrior,Ancient Skeleton,NPC
a_wooly_mammoth00,24,Warrior,Mammoth,NPC
an_ice_giant00,39,Warrior,Giant,NPC
a_snow_leopard04,8,Warrior,Puma,NPC
a_giant_wooly_spider08,9,Warrior,Spider,NPC
a_decaying_skeleton06,2,Warrior,Ancient Skeleton,NPC
an_ice_giant01,38,Warrior,Giant,NPC
a_white_wolf37,2,Warrior,Ancient Wolf,NPC
a_wooly_mammoth_calf06,13,Warrior,Mammoth,NPC
a_white_wolf27,2,Warrior,Ancient Wolf,NPC
a_snow_leopard01,9,Warrior,Puma,NPC
a_snow_orc_trooper21,8,Warrior,Orc,NPC
a_wooly_mammoth_calf08,14,Warrior,Mammoth,NPC
a_white_wolf10,2,Warrior,Ancient Wolf,NPC
a_gnoll_guard01,5,Warrior,Gnoll,NPC
a_white_wolf03,2,Warrior,Ancient Wolf,NPC
a_scrawny_gnoll_guard01,5,Warrior,Gnoll,NPC
an_orcish_mountaineer11,11,Warrior,Orc,NPC
a_skeleton01,6,Warrior,Ancient Skeleton,NPC
a_white_wolf08,2,Warrior,Ancient Wolf,NPC
a_white_wolf07,2,Warrior,Ancient Wolf,NPC
a_wooly_mammoth_calf05,14,Warrior,Mammoth,NPC
a_white_wolf02,2,Warrior,Ancient Wolf,NPC
a_white_wolf01,2,Warrior,Ancient Wolf,NPC
an_ice_goblin_scout08,3,Warrior,Goblin,NPC
a_wooly_spiderling12,2,Warrior,Spider,NPC
a_wooly_spiderling04,2,Warrior,Spider,NPC
