Name,Level,Class,Race,Type
phoboplasm08,50,Warrior,Gelatinous Cube,NPC
phoboplasm07,51,Warrior,Gelatinous Cube,NPC
phoboplasm06,49,Warrior,Gelatinous Cube,NPC
phoboplasm05,52,Warrior,Gelatinous Cube,NPC
phoboplasm04,50,Warrior,Gelatinous Cube,NPC
phoboplasm03,52,Warrior,Gelatinous Cube,NPC
phoboplasm02,50,Warrior,Gelatinous Cube,NPC
phoboplasm01,52,Warrior,Gelatinous Cube,NPC
phoboplasm00,50,Warrior,Gelatinous Cube,NPC
Irak_Altil00,51,Warrior,Skeleton,NPC
Cazic-Thule00,70,Shadow Knight,Cazic-Thule,NPC
Amygdalan_warrior14,48,Warrior,Amygdalan,NPC
Amygdalan_warrior13,49,Warrior,Amygdalan,NPC
Amygdalan_warrior12,52,Warrior,Amygdalan,NPC
Amygdalan_warrior11,49,Warrior,Amygdalan,NPC
Amygdalan_warrior10,51,Warrior,Amygdalan,NPC
Amygdalan_warrior09,48,Warrior,Amygdalan,NPC
Amygdalan_warrior08,52,Warrior,Amygdalan,NPC
Amygdalan_warrior07,48,Warrior,Amygdalan,NPC
Amygdalan_warrior06,48,Warrior,Amygdalan,NPC
Amygdalan_warrior05,51,Warrior,Amygdalan,NPC
Amygdalan_warrior04,52,Warrior,Amygdalan,NPC
Amygdalan_warrior03,51,Warrior,Amygdalan,NPC
Amygdalan_warrior02,48,Warrior,Amygdalan,NPC
Amygdalan_warrior01,48,Warrior,Amygdalan,NPC
Amygdalan_warrior00,51,Warrior,Amygdalan,NPC
Amygdalan_knight14,48,Shadow Knight,Amygdalan,NPC
Amygdalan_knight12,51,Shadow Knight,Amygdalan,NPC
Amygdalan_knight11,49,Shadow Knight,Amygdalan,NPC
Amygdalan_knight10,48,Shadow Knight,Amygdalan,NPC
Amygdalan_knight09,49,Shadow Knight,Amygdalan,NPC
Amygdalan_knight08,50,Shadow Knight,Amygdalan,NPC
Amygdalan_knight07,51,Shadow Knight,Amygdalan,NPC
Amygdalan_knight06,49,Shadow Knight,Amygdalan,NPC
Amygdalan_knight05,50,Shadow Knight,Amygdalan,NPC
Amygdalan_knight04,52,Shadow Knight,Amygdalan,NPC
Amygdalan_knight03,49,Shadow Knight,Amygdalan,NPC
Amygdalan_knight02,51,Shadow Knight,Amygdalan,NPC
Amygdalan_knight01,49,Shadow Knight,Amygdalan,NPC
Amygdalan_knight00,50,Shadow Knight,Amygdalan,NPC
a_worry_wraith11,52,Enchanter,Will-O-Wisp,NPC
a_worry_wraith10,49,Enchanter,Will-O-Wisp,NPC
a_worry_wraith09,49,Enchanter,Will-O-Wisp,NPC
a_worry_wraith08,49,Enchanter,Will-O-Wisp,NPC
a_worry_wraith07,50,Enchanter,Will-O-Wisp,NPC
a_worry_wraith06,48,Enchanter,Will-O-Wisp,NPC
a_worry_wraith05,51,Enchanter,Will-O-Wisp,NPC
a_worry_wraith04,48,Enchanter,Will-O-Wisp,NPC
a_worry_wraith03,48,Enchanter,Will-O-Wisp,NPC
a_worry_wraith02,52,Enchanter,Will-O-Wisp,NPC
a_worry_wraith01,51,Enchanter,Will-O-Wisp,NPC
a_worry_wraith00,49,Enchanter,Will-O-Wisp,NPC
a_turmoil_toad09,50,Warrior,Froglok,NPC
a_turmoil_toad08,49,Warrior,Froglok,NPC
a_turmoil_toad07,52,Warrior,Froglok,NPC
a_turmoil_toad06,48,Warrior,Froglok,NPC
a_turmoil_toad05,50,Warrior,Froglok,NPC
a_turmoil_toad04,52,Warrior,Froglok,NPC
a_turmoil_toad03,52,Warrior,Froglok,NPC
a_turmoil_toad02,48,Warrior,Froglok,NPC
a_turmoil_toad01,48,Warrior,Froglok,NPC
a_turmoil_toad00,49,Warrior,Froglok,NPC
a_tentacle_tormentor09,49,Warrior,Tentacle Terror,NPC
a_tentacle_tormentor08,48,Warrior,Tentacle Terror,NPC
a_tentacle_tormentor07,49,Warrior,Tentacle Terror,NPC
a_tentacle_tormentor06,52,Warrior,Tentacle Terror,NPC
a_tentacle_tormentor05,48,Warrior,Tentacle Terror,NPC
a_tentacle_tormentor04,50,Warrior,Tentacle Terror,NPC
a_tentacle_tormentor03,51,Warrior,Tentacle Terror,NPC
a_tentacle_tormentor02,49,Warrior,Tentacle Terror,NPC
a_tentacle_tormentor01,52,Warrior,Tentacle Terror,NPC
a_tentacle_tormentor00,50,Warrior,Tentacle Terror,NPC
a_spinechiller_spider06,52,Warrior,Spider,NPC
a_spinechiller_spider05,51,Warrior,Spider,NPC
a_spinechiller_spider04,50,Warrior,Spider,NPC
a_spinechiller_spider03,51,Warrior,Spider,NPC
a_spinechiller_spider02,51,Warrior,Spider,NPC
a_spinechiller_spider01,51,Warrior,Spider,NPC
a_spinechiller_spider00,50,Warrior,Spider,NPC
a_shiverback05,48,Warrior,Gorilla,NPC
a_shiverback04,49,Warrior,Gorilla,NPC
a_shiverback02,52,Warrior,Gorilla,NPC
a_shiverback01,51,Warrior,Gorilla,NPC
a_shiverback00,49,Warrior,Gorilla,NPC
a_scareling14,51,Rogue,Imp,NPC
a_scareling13,50,Rogue,Imp,NPC
a_scareling12,48,Rogue,Imp,NPC
a_scareling09,49,Rogue,Imp,NPC
a_scareling08,49,Rogue,Imp,NPC
a_scareling07,52,Rogue,Imp,NPC
a_scareling06,48,Rogue,Imp,NPC
a_scareling05,51,Rogue,Imp,NPC
a_scareling04,51,Rogue,Imp,NPC
a_scareling03,48,Rogue,Imp,NPC
a_scareling02,50,Rogue,Imp,NPC
a_scareling01,48,Rogue,Imp,NPC
a_scareling00,51,Rogue,Imp,NPC
a_samhain02,52,Warrior,Scarecrow,NPC
a_samhain01,50,Warrior,Scarecrow,NPC
a_samhain00,51,Warrior,Scarecrow,NPC
a_phantasm00,52,Warrior,Spectre,NPC
a_nightmare02,49,Warrior,Unicorn,NPC
a_nightmare01,48,Warrior,Unicorn,NPC
a_nightmare00,51,Warrior,Unicorn,NPC
a_gorgon07,52,Warrior,Gorgon,NPC
a_gorgon06,50,Warrior,Gorgon,NPC
a_gorgon05,51,Warrior,Gorgon,NPC
a_gorgon04,49,Warrior,Gorgon,NPC
a_gorgon03,52,Warrior,Gorgon,NPC
a_gorgon02,49,Warrior,Gorgon,NPC
a_gorgon01,52,Warrior,Gorgon,NPC
a_gorgon00,51,Warrior,Gorgon,NPC
a_glare_lord08,50,Magician,Evil Eye,NPC
a_glare_lord07,51,Magician,Evil Eye,NPC
a_glare_lord06,51,Magician,Evil Eye,NPC
a_glare_lord05,51,Magician,Evil Eye,NPC
a_glare_lord04,51,Magician,Evil Eye,NPC
a_glare_lord03,50,Magician,Evil Eye,NPC
a_glare_lord02,49,Magician,Evil Eye,NPC
a_glare_lord01,48,Magician,Evil Eye,NPC
a_glare_lord00,52,Magician,Evil Eye,NPC
a_frightfinger12,50,Wizard,Reanimated Hand,NPC
a_frightfinger11,48,Wizard,Reanimated Hand,NPC
a_frightfinger10,50,Wizard,Reanimated Hand,NPC
a_frightfinger09,50,Wizard,Reanimated Hand,NPC
a_frightfinger08,48,Wizard,Reanimated Hand,NPC
a_frightfinger07,52,Wizard,Reanimated Hand,NPC
a_frightfinger06,50,Wizard,Reanimated Hand,NPC
