Name,Level,Class,Race,Type
a_froglok_tad13,1,Warrior,Tadpole,NPC
a_Tae_Ew_protector00,27,Warrior,Lizard Man,NPC
a_dry_bones_skeleton01,18,Warrior,Ancient Skeleton,NPC
a_froglok_tad12,1,Warrior,Tadpole,NPC
a_dry_bones_skeleton00,16,Warrior,Ancient Skeleton,NPC
a_Tae_Ew_justicar00,31,Cleric,Lizard Man,NPC
a_skeleton01,5,Warrior,Ancient Skeleton,NPC
a_froglok_tad21,1,Warrior,Tadpole,NPC
a_skeleton12,6,Warrior,Ancient Skeleton,NPC
a_froglok_tad11,1,Warrior,Tadpole,NPC
a_froglok_tad20,1,Warrior,Tadpole,NPC
a_Tae_Ew_fanatic08,30,Warrior,Lizard Man,NPC
a_froglok_tad19,1,Warrior,Tadpole,NPC
a_Tae_Ew_fanatic07,32,Warrior,Lizard Man,NPC
a_decaying_skeleton32,1,Warrior,Ancient Skeleton,NPC
a_shadow_wolf05,5,Warrior,Ancient Wolf,NPC
a_froglok_tad31,1,Warrior,Tadpole,NPC
Tae_Ew_Archon00,34,Wizard,Lizard Man,NPC
a_lizardman_broodling59,1,Warrior,Lizard Man,NPC
a_froglok_tad30,1,Warrior,Tadpole,NPC
a_Tae_Ew_fanatic06,31,Warrior,Lizard Man,NPC
a_lizardman_broodling58,1,Warrior,Lizard Man,NPC
a_Tae_Ew_fanatic05,31,Warrior,Lizard Man,NPC
a_lizardman_broodling57,1,Warrior,Lizard Man,NPC
a_Tae_Ew_protector01,29,Warrior,Lizard Man,NPC
a_lizardman_broodling09,1,Warrior,Lizard Man,NPC
a_black_wolf24,1,Warrior,Ancient Wolf,NPC
a_froglok_tad29,1,Warrior,Tadpole,NPC
a_Tae_Ew_page00,23,Cleric,Lizard Man,NPC
Eleann_Morkul00,25,Warrior,Human,NPC
a_froglok_tad28,1,Warrior,Tadpole,NPC
a_minor_scarab10,6,Warrior,Beetle,NPC
a_shadow_wolf09,4,Warrior,Ancient Wolf,NPC
a_marsh_bear04,11,Warrior,Bear,NPC
a_froglok_tad10,1,Warrior,Tadpole,NPC
a_marsh_bear03,11,Warrior,Bear,NPC
a_lizardman_broodling06,1,Warrior,Lizard Man,NPC
a_Tae_Ew_defender00,22,Warrior,Lizard Man,NPC
a_Tae_Ew_sentinel05,24,Warrior,Lizard Man,NPC
a_shadow_wolf25,5,Warrior,Ancient Wolf,NPC
a_Tae_Ew_probationer02,21,Cleric,Lizard Man,NPC
a_black_wolf08,1,Warrior,Ancient Wolf,NPC
a_black_wolf26,1,Warrior,Ancient Wolf,NPC
a_skeleton09,4,Warrior,Ancient Skeleton,NPC
a_black_wolf25,1,Warrior,Ancient Wolf,NPC
a_froglok_tad09,1,Warrior,Tadpole,NPC
a_froglok_tad08,1,Warrior,Tadpole,NPC
a_black_wolf23,1,Warrior,Ancient Wolf,NPC
a_black_wolf14,1,Warrior,Ancient Wolf,NPC
a_black_wolf22,1,Warrior,Ancient Wolf,NPC
a_black_wolf21,1,Warrior,Ancient Wolf,NPC
a_Tae_Ew_warder01,18,Warrior,Lizard Man,NPC
a_large_piranha03,5,Warrior,Piranha,NPC
a_Tae_Ew_probationer01,21,Cleric,Lizard Man,NPC
Kogg00,5,Shopkeeper,Ogre,NPC
a_lizardman_broodling42,1,Warrior,Lizard Man,NPC
a_lizardman_broodling41,1,Warrior,Lizard Man,NPC
a_Tae_Ew_sentinel04,25,Warrior,Lizard Man,NPC
