Name,Level,Class,Race,Type
a_scaled_wolf_pup21,1,Warrior,Chokidai,NPC
a_scorpion16,2,Warrior,Scorpion,NPC
carrion_shredder04,5,Warrior,Beetle,NPC
a_scaled_wolf05,7,Warrior,Chokidai,NPC
a_scorpion09,2,Warrior,Scorpion,NPC
a_scalebone_skeleton07,7,Warrior,Iksar Skeleton,NPC
a_burynai_excavator17,13,Warrior,Burynai,NPC
a_scaled_wolf_pup13,1,Warrior,Chokidai,NPC
a_scorpion35,2,Warrior,Scorpion,NPC
a_decaying_skeleton16,1,Warrior,Iksar Skeleton,NPC
a_scorpion20,2,Warrior,Scorpion,NPC
a_burynai_excavator09,15,Warrior,Burynai,NPC
a_scaled_wolf_hunter05,11,Warrior,Chokidai,NPC
a_scaled_wolf_pup18,1,Warrior,Chokidai,NPC
a_large_scorpion04,6,Warrior,Scorpion,NPC
a_large_scorpion16,4,Warrior,Scorpion,NPC
a_burynai_excavator14,13,Warrior,Burynai,NPC
a_scaled_wolf_pup02,1,Warrior,Chokidai,NPC
a_bonecrawler_hatchling23,2,Warrior,Spider,NPC
a_large_scorpion11,6,Warrior,Scorpion,NPC
a_scaled_wolf_pup06,1,Warrior,Chokidai,NPC
a_decaying_skeleton13,1,Warrior,Iksar Skeleton,NPC
a_burynai_excavator13,15,Warrior,Burynai,NPC
a_decaying_skeleton09,1,Warrior,Iksar Skeleton,NPC
a_burynai_burrower07,11,Warrior,Burynai,NPC
a_scaled_wolf_hunter04,10,Warrior,Chokidai,NPC
a_scaled_wolf_pup03,1,Warrior,Chokidai,NPC
a_scaled_wolf_cub00,2,Warrior,Chokidai,NPC
a_heartsting_scorpion12,12,Warrior,Scorpion,NPC
a_scaled_wolf_pup08,1,Warrior,Chokidai,NPC
a_large_scorpion07,5,Warrior,Scorpion,NPC
a_skeleton02,6,Warrior,Iksar Skeleton,NPC
a_heartsting_scorpion09,14,Warrior,Scorpion,NPC
a_carrion_beetle_hatchling06,1,Warrior,Beetle,NPC
a_decaying_skeleton05,1,Warrior,Iksar Skeleton,NPC
an_iksar_marauder10,15,Warrior,Iksar,NPC
a_decaying_skeleton03,1,Warrior,Iksar Skeleton,NPC
a_large_heartsting_scorpion02,17,Warrior,Scorpion,NPC
a_scaled_wolf_pup14,1,Warrior,Chokidai,NPC
a_scaled_wolf_pup41,1,Warrior,Chokidai,NPC
a_bonebinder_hatchling04,4,Warrior,Spider,NPC
a_scorpion29,2,Warrior,Scorpion,NPC
a_burynai_burrower04,12,Warrior,Burynai,NPC
a_large_heartsting_scorpion01,17,Warrior,Scorpion,NPC
a_carrion_beetle_hatchling05,1,Warrior,Beetle,NPC
a_decaying_skeleton00,1,Warrior,Iksar Skeleton,NPC
a_scaled_wolf_pup01,1,Warrior,Chokidai,NPC
a_large_scorpion14,4,Warrior,Scorpion,NPC
an_iksar_brigand00,11,Warrior,Iksar,NPC
a_heartsting_scorpion10,12,Warrior,Scorpion,NPC
a_greater_skeleton08,12,Warrior,Iksar Skeleton,NPC
a_scaled_wolf_tracker01,19,Warrior,Chokidai,NPC
a_burynai_sapper00,18,Warrior,Burynai,NPC
a_burynai_excavator12,13,Warrior,Burynai,NPC
a_scaled_wolf_hunter13,10,Warrior,Chokidai,NPC
a_scaled_wolf_stalker00,15,Warrior,Chokidai,NPC
a_bonebinder_hatchling03,4,Warrior,Spider,NPC
a_burynai_excavator10,14,Warrior,Burynai,NPC
a_giant_scorpion00,10,Warrior,Scorpion,NPC
Trooper_Taer00,50,Warrior,Iksar,NPC
a_scorpion33,2,Warrior,Scorpion,NPC
a_scaled_wolf_hunter01,10,Warrior,Chokidai,NPC
a_large_scorpion10,5,Warrior,Scorpion,NPC
a_scaled_wolf_hunter22,11,Warrior,Chokidai,NPC
a_bonecrawler_hatchling13,4,Warrior,Spider,NPC
a_bonecrawler_hatchling12,2,Warrior,Spider,NPC
a_rotting_flesh_hunter00,15,Warrior,Undead Chokidai,NPC
a_bonecrawler_hatchling10,3,Warrior,Spider,NPC
a_bonecrawler_hatchling14,4,Warrior,Spider,NPC
a_bonecrawler_hatchling11,3,Warrior,Spider,NPC
a_burynai_excavator08,15,Warrior,Burynai,NPC
a_scaled_wolf_pup29,1,Warrior,Chokidai,NPC
a_scaled_wolf_hunter29,10,Warrior,Chokidai,NPC
a_scorpion15,2,Warrior,Scorpion,NPC
a_decaying_skeleton04,1,Warrior,Iksar Skeleton,NPC
a_carrion_beetle_hatchling04,1,Warrior,Beetle,NPC
a_scorpion11,2,Warrior,Scorpion,NPC
a_bonecrawler_hatchling00,2,Warrior,Spider,NPC
a_scaled_wolf_hunter10,9,Warrior,Chokidai,NPC
a_decaying_skeleton06,1,Warrior,Iksar Skeleton,NPC
a_bonecrawler_hatchling02,4,Warrior,Spider,NPC
a_bonecrawler_hatchling05,4,Warrior,Spider,NPC
a_bonecrawler_hatchling03,2,Warrior,Spider,NPC
a_bonecrawler_hatchling04,2,Warrior,Spider,NPC
skeleton03,6,Warrior,Iksar Skeleton,NPC
an_iksar_brigand02,11,Warrior,Iksar,NPC
bonecrawler05,6,Warrior,Spider,NPC
skeleton00,6,Warrior,Iksar Skeleton,NPC
a_scaled_wolf_hunter31,10,Warrior,Chokidai,NPC
