Name,Level,Class,Race,Type
Arial_Fern00,45,Shopkeeper,Wood Elf,NPC
Firiona_drixie23,30,Ranger,Drixie,NPC
Firiona_drixie13,31,Warrior,Drixie,NPC
froglok_ton_knight08,31,Warrior,Froglok,NPC
froglok_shin_warrior10,29,Warrior,Froglok,NPC
froglok_nok_shaman09,25,Shaman,Froglok,NPC
a_drolvarg_growler13,29,Warrior,Drolvarg,NPC
goblin_battlemaster00,33,Warrior,Goblin,NPC
froglok_tsu_shaman08,29,Shaman,Froglok,NPC
Firiona_drixie14,31,Rogue,Drixie,NPC
a_drolvarg_growler04,32,Warrior,Drolvarg,NPC
Shelae_Wolfkin00,45,Shopkeeper,Barbarian,NPC
froglok_ton_knight07,35,Warrior,Froglok,NPC
froglok_shin_warrior09,31,Warrior,Froglok,NPC
a_pilgrim20,27,Paladin,High Elf,NPC
froglok_ton_knight06,34,Warrior,Froglok,NPC
froglok_nok_shaman08,29,Shaman,Froglok,NPC
a_drachnid_weblurker01,28,Ranger,Drachnid,NPC
a_cliff_golem02,53,Warrior,Golem,NPC
froglok_nok_shaman07,26,Shaman,Froglok,NPC
a_drolvarg_growler12,33,Warrior,Drolvarg,NPC
a_pilgrim00,29,Cleric,Dwarf,NPC
Quizan_Gaxx00,40,Shopkeeper,High Elf,NPC
froglok_tsu_shaman05,29,Shaman,Froglok,NPC
a_drolvarg_growler02,33,Warrior,Drolvarg,NPC
froglok_nok_shaman06,26,Shaman,Froglok,NPC
a_drolvarg_scavenger19,29,Warrior,Drolvarg,NPC
froglok_shin_warrior07,30,Warrior,Froglok,NPC
a_drolvarg_scavenger01,27,Warrior,Drolvarg,NPC
froglok_ton_knight05,33,Warrior,Froglok,NPC
a_drolvarg_snarler04,32,Warrior,Drolvarg,NPC
froglok_shin_warrior06,32,Warrior,Froglok,NPC
froglok_ton_knight04,34,Warrior,Froglok,NPC
froglok_ton_knight03,33,Warrior,Froglok,NPC
froglok_nok_shaman05,27,Shaman,Froglok,NPC
a_drolvarg_savage00,27,Warrior,Drolvarg,NPC
froglok_ton_knight02,31,Warrior,Froglok,NPC
Firiona_drixie20,32,Ranger,Drixie,NPC
froglok_tsu_shaman03,31,Shaman,Froglok,NPC
a_pilgrim18,28,Rogue,Half Elf,NPC
a_frenzied_leech01,34,Warrior,Leech,NPC
froglok_shin_warrior05,29,Warrior,Froglok,NPC
froglok_tsu_shaman02,32,Shaman,Froglok,NPC
a_pilgrim11,30,Rogue,Half Elf,NPC
Firiona_drixie07,31,Wizard,Drixie,NPC
froglok_shin_warrior04,29,Warrior,Froglok,NPC
froglok_nok_shaman04,28,Shaman,Froglok,NPC
froglok_shin_warrior03,29,Warrior,Froglok,NPC
froglok_shin_warrior02,31,Warrior,Froglok,NPC
froglok_shin_knight01,34,Warrior,Froglok,NPC
froglok_tsu_shaman01,31,Shaman,Froglok,NPC
a_frenzied_leech05,33,Warrior,Leech,NPC
a_drolvarg_snarler02,33,Warrior,Drolvarg,NPC
froglok_nok_shaman03,29,Shaman,Froglok,NPC
froglok_nok_shaman02,29,Shaman,Froglok,NPC
a_drachnid_webspinner08,28,Ranger,Drachnid,NPC
froglok_nok_shaman01,26,Shaman,Froglok,NPC
a_drolvarg_scavenger15,28,Warrior,Drolvarg,NPC
froglok_tsu_shaman00,29,Shaman,Froglok,NPC
a_drolvarg_growler00,30,Warrior,Drolvarg,NPC
froglok_shin_warrior01,30,Warrior,Froglok,NPC
a_drachnid_webstrander06,34,Ranger,Drachnid,NPC
froglok_ton_knight01,33,Warrior,Froglok,NPC
a_drachnid_webspinner13,25,Ranger,Drachnid,NPC
froglok_shin_warrior00,28,Warrior,Froglok,NPC
froglok_nok_shaman00,25,Shaman,Froglok,NPC
a_drolvarg_growler03,32,Warrior,Drolvarg,NPC
froglok_ton_knight00,32,Warrior,Froglok,NPC
a_pilgrim13,28,Rogue,Half Elf,NPC
froglok_shin_knight00,35,Warrior,Froglok,NPC
a_drolvarg_growler11,29,Warrior,Drolvarg,NPC
a_frenzied_leech00,31,Warrior,Leech,NPC
a_drachnid_webspinner12,26,Ranger,Drachnid,NPC
Wella_Fargin00,99,Banker,High Elf,NPC
a_drolvarg_scavenger09,26,Warrior,Drolvarg,NPC
Wellford_Fargin00,99,Banker,High Elf,NPC
Firiona_drixie15,28,Ranger,Drixie,NPC
Lenka_Stoutheart00,45,Warrior,Barbarian,NPC
Shieldbearer_Relios00,24,Warrior,Guard,NPC
Private_Blackbark00,30,Rogue,Wood Elf,NPC
Scout_Tallstump00,45,Warrior,Wood Elf,NPC
a_drolvarg_savage05,23,Warrior,Drolvarg,NPC
Scout_Treekill00,45,Warrior,Wood Elf,NPC
a_drolvarg_scavenger08,29,Warrior,Drolvarg,NPC
goblin_spirit_caller00,23,Shaman,Goblin,NPC
Private_Goldtouch00,30,Druid,Wood Elf,NPC
a_drachnid_webspinner09,26,Ranger,Drachnid,NPC
Lieutenant_Feardeep00,61,Rogue GM,Wood Elf,NPC
a_pilgrim10,27,Paladin,High Elf,NPC
Guard_Eldarn00,50,Paladin,Guard,NPC
Guard_Degada00,50,Paladin,Guard,NPC
a_drolvarg_scavenger00,29,Warrior,Drolvarg,NPC
Guard_Razear00,50,Paladin,Guard,NPC
a_pilgrim31,27,Paladin,High Elf,NPC
a_drolvarg_scavenger05,27,Warrior,Drolvarg,NPC
a_drachnid_silkspinner04,27,Ranger,Drachnid,NPC
