Name,Level,Class,Race,Type
#Gooey_Ooze00,12,Warrior,Goo,NPC
a_sewer_rat04,11,Warrior,Rat,NPC
a_sewer_rat01,10,Warrior,Rat,NPC
a_scorpion00,9,Warrior,Scorpion,NPC
an_undead_citizen00,9,Warrior,Skeleton,NPC
a_Shadowhand_thief13,21,Necromancer,Human,NPC
a_Shadowhand_thief12,19,Warrior,Human,NPC
a_Shadowhand_thief11,20,Shadow Knight,Human,NPC
a_Shadowhand_thief10,20,Shadow Knight,Human,NPC
a_scorpion02,11,Warrior,Scorpion,NPC
a_rotting_rat01,20,Warrior,Rat,NPC
a_Shadowhand_thief09,20,Warrior,Human,NPC
a_Shadowhand_thief08,19,Shadow Knight,Human,NPC
a_Shadowhand_dealer00,19,Warrior,Human,NPC
a_sewer_bat07,10,Warrior,Bat,NPC
a_gutter_larva05,10,Warrior,Worm,NPC
Brewer_Bessie_Bobbin00,45,Shopkeeper,Halfling,NPC
a_forgotten_stonemason00,16,Rogue,Zombie,NPC
a_forgotten_merchant05,14,Warrior,Zombie,NPC
a_forgotten_merchant04,16,Warrior,Zombie,NPC
a_forgotten_shopkeeper00,15,Cleric,Zombie,NPC
a_forgotten_merchant03,15,Warrior,Zombie,NPC
a_sewer_bat06,9,Warrior,Bat,NPC
a_drowned_citizen05,10,Warrior,Zombie,NPC
a_drowned_citizen04,10,Warrior,Zombie,NPC
a_drowned_citizen03,11,Warrior,Zombie,NPC
a_drowned_citizen02,11,Warrior,Zombie,NPC
a_sewer_bat05,10,Warrior,Bat,NPC
a_sewer_bat04,11,Warrior,Bat,NPC
a_sewer_rat03,10,Warrior,Rat,NPC
a_sewer_bat03,11,Warrior,Bat,NPC
a_sewer_rat02,10,Warrior,Rat,NPC
an_undead_citizen09,9,Warrior,Skeleton,NPC
an_undead_citizen08,9,Warrior,Skeleton,NPC
a_piranha01,11,Warrior,Piranha,NPC
a_drowned_citizen01,11,Warrior,Zombie,NPC
a_piranha00,11,Warrior,Piranha,NPC
a_drowned_citizen00,11,Warrior,Zombie,NPC
an_infectious_mosquito03,15,Warrior,Malarian,NPC
a_gutter_larva04,11,Warrior,Worm,NPC
a_gutter_larva03,11,Warrior,Worm,NPC
a_diseased_bat02,16,Warrior,Bat,NPC
an_undead_citizen07,11,Warrior,Skeleton,NPC
an_undead_citizen06,10,Warrior,Skeleton,NPC
an_undead_citizen05,11,Warrior,Skeleton,NPC
a_festering_mosquito00,20,Warrior,Malarian,NPC
a_Shadowhand_thief07,21,Warrior,Human,NPC
a_skeletal_citizen02,16,Warrior,Skeleton,NPC
a_plague_rat01,16,Warrior,Rat,NPC
a_grimy_ooze02,16,Warrior,Goo,NPC
a_diseased_bat01,16,Warrior,Bat,NPC
a_forgotten_merchant02,15,Warrior,Zombie,NPC
a_dark_spirit00,14,Shadow Knight,Spectre,NPC
a_lost_spirit01,16,Warrior,Spectre,NPC
a_lost_spirit00,16,Warrior,Spectre,NPC
a_poisonous_scorpion00,21,Warrior,Scorpion,NPC
a_scorpion04,10,Warrior,Scorpion,NPC
a_skeletal_citizen01,15,Warrior,Skeleton,NPC
a_Shadowhand_thief06,20,Necromancer,Human,NPC
a_fetid_bat00,20,Warrior,Bat,NPC
an_ooze08,10,Warrior,Goo,NPC
an_ooze07,10,Warrior,Goo,NPC
an_infectious_mosquito02,16,Warrior,Malarian,NPC
an_undead_citizen04,9,Warrior,Skeleton,NPC
a_bubbling_ooze00,19,Warrior,Goo,NPC
a_mosquito02,9,Warrior,Malarian,NPC
a_sewer_bat02,11,Warrior,Bat,NPC
a_forgotten_merchant01,16,Warrior,Zombie,NPC
a_forgotten_merchant00,16,Warrior,Zombie,NPC
a_skeletal_citizen00,15,Warrior,Skeleton,NPC
a_tainted_scorpion00,16,Warrior,Scorpion,NPC
a_plague_rat00,14,Warrior,Rat,NPC
a_grimy_ooze01,16,Warrior,Goo,NPC
an_infectious_mosquito01,15,Warrior,Malarian,NPC
a_diseased_bat00,16,Warrior,Bat,NPC
an_ooze06,9,Warrior,Goo,NPC
an_ooze05,10,Warrior,Goo,NPC
a_scorpion03,11,Warrior,Scorpion,NPC
an_ooze04,10,Warrior,Goo,NPC
a_gutter_larva02,9,Warrior,Worm,NPC
a_gutter_larva01,9,Warrior,Worm,NPC
a_gutter_larva00,9,Warrior,Worm,NPC
an_infectious_mosquito00,15,Warrior,Malarian,NPC
a_rotting_rat00,19,Warrior,Rat,NPC
a_Shadowhand_thief05,20,Warrior,Human,NPC
a_Shadowhand_thief04,20,Rogue,Human,NPC
a_Shadowhand_thief03,20,Necromancer,Human,NPC
a_Shadowhand_thief02,21,Cleric,Human,NPC
a_Shadowhand_thief01,20,Warrior,Human,NPC
a_Shadowhand_thief00,19,Wizard,Human,NPC
an_undead_citizen03,9,Warrior,Skeleton,NPC
a_grimy_ooze00,16,Warrior,Goo,NPC
a_mosquito01,9,Warrior,Malarian,NPC
an_undead_citizen02,10,Warrior,Skeleton,NPC
an_undead_citizen01,11,Warrior,Skeleton,NPC
a_scorpion01,9,Warrior,Scorpion,NPC
an_ooze03,10,Warrior,Goo,NPC
an_ooze02,10,Warrior,Goo,NPC
an_ooze00,11,Warrior,Goo,NPC
a_mosquito00,11,Warrior,Malarian,NPC
a_sewer_bat01,11,Warrior,Bat,NPC
a_sewer_rat00,11,Warrior,Rat,NPC
Trader_Shady_Bobbin00,45,Shopkeeper,Halfling,NPC
a_sewer_bat00,11,Warrior,Bat,NPC
