Name,Level,Class,Race,Type
a_minnow01,1,Warrior,Piranha,NPC
a_minnow00,1,Warrior,Piranha,NPC
Shintl_Lowbrew00,7,Wizard,Halfling,NPC
Pandos_Flintside00,28,Warrior,Dwarf,NPC
Lady_Shae00,12,Warrior,High Elf,NPC
Jenna_Smith00,50,Shopkeeper,Human,NPC
Lynda_Tapper00,50,Shopkeeper,Human,NPC
Slan_O`Donner00,50,Shopkeeper,Guard,NPC
Jillian_Dayson00,50,Shopkeeper,Human,NPC
Aimie_Moonspin00,50,Shopkeeper,Human,NPC
Kyrin_Steelbone00,50,Shopkeeper,Human,NPC
Krystin_Charcoal00,50,Shopkeeper,Human,NPC
Hyrill_Pon00,8,Rogue,Human,NPC
a_snake07,1,Warrior,Snake,NPC
a_large_rat07,1,Warrior,Rat,NPC
a_large_rat19,1,Warrior,Rat,NPC
a_myotis_bat01,1,Warrior,Bat,NPC
a_Deathfist_pawn01,2,Warrior,Orc,NPC
a_decaying_skeleton03,2,Warrior,Ancient Skeleton,NPC
a_decaying_skeleton00,2,Warrior,Ancient Skeleton,NPC
a_myotis_bat00,1,Warrior,Bat,NPC
Ilolista_Enitia00,50,Shopkeeper,Human,NPC
Mevah_Toklius00,50,Shopkeeper,Guard,NPC
a_snake17,1,Warrior,Snake,NPC
Ping_Fuzzlecutter00,50,Shopkeeper,Gnome,NPC
Valla_Strongbranch00,50,Shopkeeper,Half Elf,NPC
a_large_rat05,1,Warrior,Rat,NPC
Bondl_Felligan00,45,Warrior,Barbarian,NPC
Arem_Ulosia00,70,Paladin GM,Human,NPC
Lanis_Herion00,70,Paladin GM,Human,NPC
Thurion_Desius00,70,Paladin GM,Human,NPC
Gygus_Remnara00,70,Paladin GM,Human,NPC
Serna_Tasknon00,70,Cleric GM,Human,NPC
Ghonic_Erharn00,70,Cleric GM,Human,NPC
Plur_Etinu00,70,Cleric GM,Human,NPC
Dulia_Jestes00,50,Shopkeeper,Human,NPC
Voglan_Dransed00,50,Shopkeeper,Human,NPC
Nusk_Treton00,70,Wizard GM,Human,NPC
Asnod_Marnoc00,50,Shopkeeper,Human,NPC
Brother_Velan_Torresk00,70,Monk GM,Human,NPC
Lysa_Truegreen00,50,Shopkeeper,Human,NPC
Glyssa_Sonshaw00,70,Enchanter GM,Erudite,NPC
Shana_Liskia00,70,Enchanter GM,High Elf,NPC
Romiak_Jusathorn00,70,Enchanter GM,Aviak,NPC
Zasrin_Blueflame00,50,Shopkeeper,Human,NPC
Hemia_Skemner00,70,Wizard GM,Human,NPC
Palon_Deskeb00,70,Wizard GM,Erudite,NPC
Opal_Darkbriar00,70,Wizard GM,High Elf,NPC
Mekoma_Buma00,50,Shopkeeper,Human,NPC
Lysin_Smokkan00,50,Shopkeeper,Human,NPC
Dooly_Jonkers00,70,Magician GM,Gnome,NPC
a_large_rat10,1,Warrior,Rat,NPC
Tara_Neklene00,70,Magician GM,Human,NPC
Lorme_Tredore00,70,Magician GM,Human,NPC
Bello_Fruegnos00,35,Magician,High Elf,NPC
Olyna_Mudel00,50,Shopkeeper,Human,NPC
Torlig_Mudel00,50,Shopkeeper,Guard,NPC
Fania_Esruc00,50,Shopkeeper,Human,NPC
Reyia_Beslin00,70,Monk GM,Human,NPC
Klom_Jysun00,70,Monk GM,Human,NPC
Puab_Closk00,70,Monk GM,Human,NPC
Thena_Lonnes00,55,Monk,Human,NPC
Ran`un00,55,Monk,Human,NPC
Pincia_Brownloe00,50,Shopkeeper,Human,NPC
Ran_Brownloe00,50,Shopkeeper,Guard,NPC
Arinna_Trueblade00,70,Warrior GM,Human,NPC
Trissa_Whistlesong00,35,Bard,Half Elf,NPC
Swin_Blackeye00,50,Shopkeeper,Guard,NPC
Rashinda_Elore00,50,Shopkeeper,Human,NPC
Besklor_Tyrenson00,70,Enchanter GM,Human,NPC
Respin_Yawg00,70,Magician GM,High Elf,NPC
Celsar_Vestagon00,70,Cleric GM,Human,NPC
Palious_Jarten00,70,Cleric GM,Human,NPC
a_Deathfist_pawn08,1,Warrior,Orc,NPC
Merko_Quetalis00,70,Paladin GM,Human,NPC
Sir_Xantille00,35,Paladin,Guard,NPC
Hulos_Ghenar00,50,Shopkeeper,Guard,NPC
Markin_Ironwhite00,50,Shopkeeper,Guard,NPC
Jemoz_Lerkarson00,70,Cleric GM,Human,NPC
Eestyana_Naestra00,70,Cleric GM,Human,NPC
Tholius_Quey00,70,Cleric GM,Human,NPC
Sentry_Warren00,35,Paladin,Human,NPC
Sentry_Theo00,37,Paladin,Human,NPC
Sentry_Meighan00,34,Paladin,Human,NPC
Sentry_Gallius00,35,Paladin,Human,NPC
Sentry_Janeal00,30,Paladin,Human,NPC
Sentry_Boris00,33,Paladin,Human,NPC
Sentry_Andlin00,35,Paladin,Human,NPC
Zigg_Flin00,25,Rogue,Gnome,NPC
Amber00,50,Shopkeeper,Human,NPC
Rhensa_Steadirt00,50,Shopkeeper,Dwarf,NPC
Ardiflah_Steadirt00,50,Shopkeeper,Dwarf,NPC
Huttlin_Hillbot00,6,Warrior,Halfling,NPC
Gibbon_Morfield00,50,Shopkeeper,Guard,NPC
Yellus_Gravien00,50,Shopkeeper,Guard,NPC
Sir_Artanis00,30,Paladin,Guard,NPC
Theron_Rolius00,70,Paladin GM,Human,NPC
Kalatrina_Plossen00,70,Paladin GM,Human,NPC
Valeron_Dushire00,70,Paladin GM,Human,NPC
Jusia_Vapious00,50,Shopkeeper,Human,NPC
a_snake12,1,Warrior,Snake,NPC
Sir_Iot00,35,Paladin,Guard,NPC
a_snake11,1,Warrior,Snake,NPC
Sir_Hogo00,30,Paladin,Guard,NPC
Sir_Glimmon00,30,Paladin,Guard,NPC
Sir_Folon00,30,Paladin,Guard,NPC
Tradesman_Lyna00,50,Shopkeeper,Human,NPC
Tradesman_Tulan00,50,Shopkeeper,Guard,NPC
a_snake09,1,Warrior,Snake,NPC
Innkeep_Palola00,50,Shopkeeper,Human,NPC
Galio00,50,Shopkeeper,Guard,NPC
Bran_Greenglade00,50,Shopkeeper,Half Elf,NPC
Alec_Greenglade00,50,Shopkeeper,Half Elf,NPC
Wahnig_Nooz00,50,Shopkeeper,Guard,NPC
Jallen_Nooz00,50,Shopkeeper,Human,NPC
Soris_Silverfield00,60,Banker,Guard,NPC
Peran_Silverfield00,60,Banker,Guard,NPC
a_large_rat04,1,Warrior,Rat,NPC
Lystyn_Wyspin00,50,Shopkeeper,Gnome,NPC
a_snake10,1,Warrior,Snake,NPC
Svinal_Wyspin00,50,Shopkeeper,Gnome,NPC
Dunore_Moorwing00,10,Rogue,Human,NPC
Judicla_Riverfield00,50,Shopkeeper,Human,NPC
