Name,Level,Class,Race,Type
a_ravenous_brute07,31,Warrior,Yeti,NPC
a_gorging_brute11,27,Warrior,Yeti,NPC
a_burynai_digmaster12,32,Warrior,Burynai,NPC
a_gorging_brute10,27,Warrior,Yeti,NPC
a_mountain_giant_hillock08,26,Warrior,Giant,NPC
a_burynai_cenobite03,36,Cleric,Burynai,NPC
a_mountain_giant_hillock07,28,Warrior,Giant,NPC
a_ravenous_brute06,32,Warrior,Yeti,NPC
a_mountain_giant_craig02,35,Warrior,Giant,NPC
a_goblin_dirtcaller03,31,Magician,Goblin,NPC
a_goblin_rockchanter00,29,Cleric,Goblin,NPC
a_sarnak_knight06,33,Warrior,Sarnak,NPC
a_gorging_brute32,26,Warrior,Yeti,NPC
a_gorging_brute08,27,Warrior,Yeti,NPC
a_burynai_miner27,24,Warrior,Burynai,NPC
a_mountain_giant_hillock04,26,Warrior,Giant,NPC
a_burynai_cenobite02,32,Cleric,Burynai,NPC
a_ravenous_brute05,31,Warrior,Yeti,NPC
a_sarnak_knight03,36,Warrior,Sarnak,NPC
a_gorging_brute06,26,Warrior,Yeti,NPC
a_burynai_digmaster11,29,Warrior,Burynai,NPC
a_goblin_whipcracker14,31,Warrior,Goblin,NPC
a_goblin_boneslaver00,35,Necromancer,Goblin,NPC
a_goblin_stonechanter00,33,Cleric,Goblin,NPC
a_mountain_giant_craig01,37,Warrior,Giant,NPC
a_goblin_rockchanter02,30,Cleric,Goblin,NPC
a_gorging_brute03,27,Warrior,Yeti,NPC
a_burynai_rockshaper03,35,Warrior,Burynai,NPC
a_goblin_taskmaster01,35,Warrior,Goblin,NPC
a_ravenous_brute04,31,Warrior,Yeti,NPC
a_burynai_digmaster28,32,Warrior,Burynai,NPC
a_burynai_cenobite01,32,Cleric,Burynai,NPC
a_ravenous_brute03,31,Warrior,Yeti,NPC
a_burynai_rockshaper02,36,Warrior,Burynai,NPC
a_burynai_cenobite00,33,Cleric,Burynai,NPC
a_burynai_rockshaper01,32,Warrior,Burynai,NPC
a_goblin_legate00,35,Cleric,Goblin,NPC
a_ravenous_brute02,31,Warrior,Yeti,NPC
a_mountain_giant_brae00,34,Warrior,Giant,NPC
a_goblin_legate01,34,Cleric,Goblin,NPC
a_mountain_giant_hillock23,26,Warrior,Giant,NPC
a_burynai_rockshaper00,33,Warrior,Burynai,NPC
a_loyal_follower00,40,Warrior,Sarnak,NPC
a_mountain_giant_craig00,33,Warrior,Giant,NPC
a_sarnak_knight05,37,Warrior,Sarnak,NPC
a_ravenous_brute01,33,Warrior,Yeti,NPC
a_goblin_whipcracker03,30,Warrior,Goblin,NPC
a_ravenous_brute00,34,Warrior,Yeti,NPC
a_burynai_digmaster10,32,Warrior,Burynai,NPC
a_burynai_miner11,28,Warrior,Burynai,NPC
a_mountain_giant_hillock13,24,Warrior,Giant,NPC
a_mountain_giant_tump11,29,Warrior,Giant,NPC
a_gorging_brute22,26,Warrior,Yeti,NPC
a_gorging_brute21,28,Warrior,Yeti,NPC
a_burynai_digmaster09,31,Warrior,Burynai,NPC
Dustback00,23,Warrior,Burynai,NPC
a_mountain_giant_tump10,27,Warrior,Giant,NPC
a_burynai_digmaster08,28,Warrior,Burynai,NPC
a_burynai_miner10,28,Warrior,Burynai,NPC
a_mountain_giant_tump09,27,Warrior,Giant,NPC
a_gorging_brute20,30,Warrior,Yeti,NPC
Miner_Bordakn00,38,Warrior,Giant,NPC
a_mountain_giant_hillock12,28,Warrior,Giant,NPC
a_gorging_brute19,27,Warrior,Yeti,NPC
a_mountain_giant_hillock11,25,Warrior,Giant,NPC
a_gorging_brute18,28,Warrior,Yeti,NPC
a_burynai_digmaster07,31,Warrior,Burynai,NPC
a_burynai_miner09,24,Warrior,Burynai,NPC
a_mountain_giant_hillock10,24,Warrior,Giant,NPC
a_burynai_miner08,24,Warrior,Burynai,NPC
a_mountain_giant_tump08,30,Warrior,Giant,NPC
a_mountain_giant_hillock09,28,Warrior,Giant,NPC
a_gorging_brute17,27,Warrior,Yeti,NPC
a_goblin_dirtcaller02,31,Magician,Goblin,NPC
a_burynai_miner29,28,Warrior,Burynai,NPC
