Name,Level,Class,Race,Type
a_shadowbone04,25,Warrior,Ancient Skeleton,NPC
a_shadowbone03,27,Warrior,Ancient Skeleton,NPC
a_shadowbone02,25,Warrior,Ancient Skeleton,NPC
a_shadowbone01,26,Warrior,Ancient Skeleton,NPC
a_shadowbone00,26,Warrior,Ancient Skeleton,NPC
a_ghostly_student27,29,Necromancer,Ghost,NPC
a_ghostly_teacher00,36,Magician,Ghost,NPC
a_ghostly_student25,28,Necromancer,Ghost,NPC
a_ghostly_scholar11,30,Enchanter,Ghost,NPC
a_ghostly_scholar10,31,Enchanter,Ghost,NPC
a_ghostly_student23,27,Necromancer,Ghost,NPC
a_shrouded_bat07,41,Warrior,Bat,NPC
a_ghostly_student20,30,Necromancer,Ghost,NPC
a_shrouded_bat06,40,Warrior,Bat,NPC
a_shrouded_bat05,40,Warrior,Bat,NPC
#a_shrouded_bat00,34,Warrior,Bat,NPC
a_shadowbone09,27,Warrior,Ancient Skeleton,NPC
a_ghostly_student12,28,Necromancer,Ghost,NPC
a_ghostly_scholar07,32,Enchanter,Ghost,NPC
a_ghostly_student09,29,Necromancer,Ghost,NPC
a_ghostly_student08,28,Necromancer,Ghost,NPC
a_ghostly_student07,29,Necromancer,Ghost,NPC
a_ghostly_scholar06,32,Enchanter,Ghost,NPC
a_ghostly_student04,28,Necromancer,Ghost,NPC
a_ghostly_student00,28,Necromancer,Ghost,NPC
a_shadow_beast06,26,Warrior,Drolvarg,NPC
a_ghostly_scholar05,32,Enchanter,Ghost,NPC
a_ghostly_scholar03,31,Enchanter,Ghost,NPC
a_ghostly_student05,27,Necromancer,Ghost,NPC
a_ghostly_student01,30,Necromancer,Ghost,NPC
a_lesser_ice_shade01,28,Warrior,Ice Spectre,NPC
a_shadow_beast03,26,Warrior,Drolvarg,NPC
a_shadow_beast02,24,Warrior,Drolvarg,NPC
a_shadow_beast01,23,Warrior,Drolvarg,NPC
#a_shadow_beast00,24,Warrior,Drolvarg,NPC
a_shadow_beast00,26,Warrior,Drolvarg,NPC
a_ghostly_student18,27,Necromancer,Ghost,NPC
a_ghostly_student17,30,Necromancer,Ghost,NPC
a_ghostly_student16,27,Necromancer,Ghost,NPC
a_ghostly_student13,26,Necromancer,Ghost,NPC
a_ghostly_student11,30,Necromancer,Ghost,NPC
a_ghostly_student03,29,Necromancer,Ghost,NPC
