Name,Level,Class,Race,Type
Shik`nar_Worker02,53,Warrior,Shik'Nar,NPC
Shik`nar_Worker01,53,Warrior,Shik'Nar,NPC
Shik`nar_Worker00,53,Warrior,Shik'Nar,NPC
Tzi`ik_Underbulk07,50,Warrior,Underbulk,NPC
Tzi`ik_Underbulk06,50,Warrior,Underbulk,NPC
Tzi`ik_Underbulk05,50,Warrior,Underbulk,NPC
Tzi`ik_Underbulk04,50,Warrior,Underbulk,NPC
Tzi`ik_Underbulk03,50,Warrior,Underbulk,NPC
Tzi`ik_Underbulk02,50,Warrior,Underbulk,NPC
Tzi`ik_Underbulk01,50,Warrior,Underbulk,NPC
Tzi`ik_Underbulk00,50,Warrior,Underbulk,NPC
Shik`nar_Herdmaster01,52,Warrior,Shik'Nar,NPC
Shik`nar_Herdmaster00,52,Warrior,Shik'Nar,NPC
Shik`nar_Warrior01,60,Warrior,Shik'Nar,NPC
Shik`nar_Warrior00,60,Warrior,Shik'Nar,NPC
#The_Fabled_Warlord_Tk`kik`tth,75,Paladin,Shik'Nar,NPC
Shik`nar_Royal_Advisor05,48,Cleric,Shik'Nar,NPC
Shik`nar_Royal_Advisor04,48,Cleric,Shik'Nar,NPC
Shik`nar_Royal_Advisor03,48,Cleric,Shik'Nar,NPC
Shik`nar_Royal_Advisor02,48,Cleric,Shik'Nar,NPC
Shik`nar_Royal_Advisor01,48,Cleric,Shik'Nar,NPC
Shik`nar_Royal_Advisor00,48,Cleric,Shik'Nar,NPC
Shik`nar_Royal_Guard01,60,Paladin,Shik'Nar,NPC
Shik`nar_Royal_Guard00,60,Paladin,Shik'Nar,NPC
a_deep_cavern_lotus15,48,Wizard,Sunflower,NPC
a_deep_cavern_lotus14,48,Wizard,Sunflower,NPC
a_deep_cavern_lotus13,48,Wizard,Sunflower,NPC
a_deep_cavern_lotus12,48,Wizard,Sunflower,NPC
a_deep_cavern_lotus11,48,Wizard,Sunflower,NPC
a_deep_cavern_lotus10,48,Wizard,Sunflower,NPC
a_deep_cavern_lotus09,48,Wizard,Sunflower,NPC
a_deep_cavern_lotus08,48,Wizard,Sunflower,NPC
a_deep_cavern_lotus07,48,Wizard,Sunflower,NPC
a_deep_cavern_lotus06,48,Wizard,Sunflower,NPC
a_deep_cavern_lotus05,48,Wizard,Sunflower,NPC
a_deep_cavern_lotus04,48,Wizard,Sunflower,NPC
Sir_Karzad00,52,Warrior,Human,NPC
a_deep_cavern_lotus03,48,Wizard,Sunflower,NPC
a_deep_cavern_lotus02,48,Wizard,Sunflower,NPC
Thorgi_Mullet00,52,Warrior,Human,NPC
a_deep_cavern_lotus01,48,Wizard,Sunflower,NPC
a_deep_cavern_lotus00,48,Wizard,Sunflower,NPC
a_small_mushroom70,47,Warrior,Shrieker,NPC
a_small_mushroom69,49,Warrior,Shrieker,NPC
a_small_mushroom68,48,Warrior,Shrieker,NPC
a_small_mushroom67,49,Warrior,Shrieker,NPC
a_small_mushroom66,47,Warrior,Shrieker,NPC
a_small_mushroom65,47,Warrior,Shrieker,NPC
a_small_mushroom64,47,Warrior,Shrieker,NPC
a_small_mushroom63,49,Warrior,Shrieker,NPC
a_small_mushroom62,48,Warrior,Shrieker,NPC
a_small_mushroom61,48,Warrior,Shrieker,NPC
a_small_mushroom60,48,Warrior,Shrieker,NPC
a_small_mushroom59,49,Warrior,Shrieker,NPC
a_small_mushroom58,47,Warrior,Shrieker,NPC
a_small_mushroom57,48,Warrior,Shrieker,NPC
a_small_mushroom56,49,Warrior,Shrieker,NPC
a_small_mushroom55,48,Warrior,Shrieker,NPC
a_small_mushroom54,49,Warrior,Shrieker,NPC
a_small_mushroom53,49,Warrior,Shrieker,NPC
a_small_mushroom52,47,Warrior,Shrieker,NPC
a_small_mushroom51,49,Warrior,Shrieker,NPC
a_small_mushroom50,48,Warrior,Shrieker,NPC
a_small_mushroom49,48,Warrior,Shrieker,NPC
a_small_mushroom48,49,Warrior,Shrieker,NPC
a_small_mushroom47,47,Warrior,Shrieker,NPC
