Name,Level,Class,Race,Type
orc_centurion04,5,Warrior,Orc,NPC
orc_pawn12,2,Warrior,Orc,NPC
Guard_Crystalwind00,50,Warrior,Guard,NPC
a_decaying_skeleton12,1,Warrior,Ancient Skeleton,NPC
Guard_Highmoon00,50,Warrior,Guard,NPC
a_decaying_skeleton03,1,Warrior,Ancient Skeleton,NPC
Guard_Orcflayer00,38,Warrior,Guard,NPC
Guard_Fayfear00,50,Warrior,Guard,NPC
Guard_Frostfallen00,41,Warrior,Guard,NPC
a_giant_wasp_worker10,5,Warrior,Wasp,NPC
Guard_Rainstrider00,50,Warrior,Guard,NPC
Guard_Fireblight00,50,Warrior,Guard,NPC
Guard_Sunweaver00,42,Warrior,Guard,NPC
a_pixie_trickster00,2,Rogue,Pixie,NPC
Stefan_Marsinger00,65,Warrior,Half Elf,NPC
an_orc_footman01,8,Warrior,Orc,NPC
Seana_Marsinger00,65,Warrior,Half Elf,NPC
an_orc_footman00,8,Warrior,Orc,NPC
Merchant_Niwiny00,50,Shopkeeper,Wood Elf,NPC
an_orc_witchdoctor03,6,Shaman,Orc,NPC
an_orc_conscript05,6,Warrior,Orc,NPC
Bilrio_Surecut00,50,Shopkeeper,Wood Elf,NPC
orc_pawn21,2,Warrior,Orc,NPC
Grynn00,10,Warrior,Drixie,NPC
a_giant_wasp_drone01,1,Warrior,Wasp,NPC
Horth_Evergreen00,50,Shopkeeper,Guard,NPC
Gallin_Woodwind00,70,Warrior GM,Wood Elf,NPC
Zelli_Starsfire00,50,Shopkeeper,Guard,NPC
Sindl_Talonstrike00,70,Warrior GM,Wood Elf,NPC
Ran_Sunfire00,70,Ranger GM,Wood Elf,NPC
a_black_wolf14,1,Warrior,Ancient Wolf,NPC
Dill_Fireshine00,70,Ranger GM,Wood Elf,NPC
a_basilisk_hatchling17,9,Warrior,Alligator,NPC
a_drunkard00,10,Warrior,High Elf,NPC
Captain_Silverwind00,44,Warrior,Guard,NPC
Lieutenant_Leafstalker00,46,Warrior,Guard,NPC
a_basilisk_hatchling16,9,Warrior,Alligator,NPC
Guard_Treestrider00,40,Warrior,Guard,NPC
Guard_Valewatcher00,39,Warrior,Guard,NPC
Guard_Eaglesong00,41,Warrior,Guard,NPC
Guard_Briarstorm00,41,Warrior,Guard,NPC
a_spell_research_merchant00,60,Shopkeeper,Wood Elf,NPC
Guard_Oakwillow00,39,Warrior,Guard,NPC
an_elven_skeleton03,7,Warrior,Ancient Skeleton,NPC
a_black_wolf04,1,Warrior,Ancient Wolf,NPC
Guard_Noonshadow00,40,Warrior,Guard,NPC
Guard_Pineshade00,50,Warrior,Guard,NPC
a_decaying_skeleton15,1,Warrior,Ancient Skeleton,NPC
a_giant_wasp_worker07,4,Warrior,Wasp,NPC
Guard_Tangleroot00,39,Warrior,Guard,NPC
Guard_Dayblaze00,38,Warrior,Guard,NPC
a_giant_wasp_warrior04,9,Warrior,Wasp,NPC
Guard_Nitegazer00,39,Warrior,Guard,NPC
Guard_Starstrike00,42,Warrior,Guard,NPC
Guard_Sunblaze00,40,Warrior,Guard,NPC
an_orc_conscript02,6,Warrior,Orc,NPC
Guard_Fayfield00,42,Warrior,Guard,NPC
Guard_Brookrock00,50,Warrior,Guard,NPC
Guard_Pinebramble00,42,Shopkeeper,Guard,NPC
Guard_Streamtree00,40,Warrior,Guard,NPC
Gurleg_Bribgok00,12,Warrior,Orc,NPC
a_decaying_skeleton02,2,Warrior,Ancient Skeleton,NPC
an_orc_arsonist00,12,Warrior,Orc,NPC
an_ebon_mask_spy00,10,Rogue,Dark Elf,NPC
a_black_wolf28,1,Warrior,Ancient Wolf,NPC
a_black_wolf36,1,Warrior,Ancient Wolf,NPC
Josylyn_Greenblade00,70,Warrior GM,Wood Elf,NPC
a_black_wolf21,1,Warrior,Ancient Wolf,NPC
