Name,Level,Class,Race,Type
a_furious_tizmak_warrior26,29,Warrior,Yakkar,NPC
a_furious_tizmak_warrior25,30,Warrior,Yakkar,NPC
a_tizmak_champion37,28,Warrior,Yakkar,NPC
a_tizmak_champion36,29,Warrior,Yakkar,NPC
a_furious_tizmak_warrior24,29,Warrior,Yakkar,NPC
a_furious_tizmak_warrior23,29,Warrior,Yakkar,NPC
a_tizmak_champion35,28,Warrior,Yakkar,NPC
a_tizmak_champion34,27,Warrior,Yakkar,NPC
a_tizmak_champion33,29,Warrior,Yakkar,NPC
a_tizmak_champion32,29,Warrior,Yakkar,NPC
a_tizmak_champion31,29,Warrior,Yakkar,NPC
a_furious_tizmak_warrior22,30,Warrior,Yakkar,NPC
a_tizmak_warrior15,25,Warrior,Yakkar,NPC
a_tizmak_champion30,27,Warrior,Yakkar,NPC
a_tizmak_champion29,29,Warrior,Yakkar,NPC
a_tizmak_champion28,29,Warrior,Yakkar,NPC
a_furious_tizmak_warrior21,29,Warrior,Yakkar,NPC
a_furious_tizmak_warrior20,30,Warrior,Yakkar,NPC
a_tizmak_champion27,29,Warrior,Yakkar,NPC
a_tizmak_augur02,27,Shaman,Yakkar,NPC
a_tizmak_champion26,28,Warrior,Yakkar,NPC
a_furious_tizmak_warrior19,30,Warrior,Yakkar,NPC
a_furious_tizmak_warrior18,30,Warrior,Yakkar,NPC
a_tizmak_champion25,29,Warrior,Yakkar,NPC
a_furious_tizmak_warrior17,29,Warrior,Yakkar,NPC
a_tizmak_champion24,28,Warrior,Yakkar,NPC
a_tizmak_champion23,29,Warrior,Yakkar,NPC
a_tizmak_champion22,29,Warrior,Yakkar,NPC
a_tizmak_champion21,29,Warrior,Yakkar,NPC
a_frost_giant_berserker03,38,Warrior,Giant,NPC
a_tizmak_champion20,28,Warrior,Yakkar,NPC
a_tizmak_champion19,27,Warrior,Yakkar,NPC
a_tizmak_champion18,28,Warrior,Yakkar,NPC
a_furious_tizmak_warrior16,30,Warrior,Yakkar,NPC
a_furious_tizmak_warrior15,30,Warrior,Yakkar,NPC
a_tizmak_champion17,29,Warrior,Yakkar,NPC
a_frost_giant_scout10,34,Warrior,Giant,NPC
a_tizmak_warrior14,26,Warrior,Yakkar,NPC
a_frost_giant_elite00,43,Warrior,Giant,NPC
a_tizmak_champion16,29,Warrior,Yakkar,NPC
a_tizmak_warrior13,25,Warrior,Yakkar,NPC
a_tizmak_warrior12,26,Warrior,Yakkar,NPC
a_furious_tizmak_warrior14,31,Warrior,Yakkar,NPC
a_furious_tizmak_warrior13,29,Warrior,Yakkar,NPC
a_tizmak_champion15,27,Warrior,Yakkar,NPC
a_furious_tizmak_warrior12,30,Warrior,Yakkar,NPC
a_tizmak_champion14,27,Warrior,Yakkar,NPC
a_tizmak_champion13,28,Warrior,Yakkar,NPC
a_furious_tizmak_warrior11,29,Warrior,Yakkar,NPC
a_furious_tizmak_warrior10,29,Warrior,Yakkar,NPC
a_tizmak_champion12,27,Warrior,Yakkar,NPC
a_tizmak_champion11,29,Warrior,Yakkar,NPC
a_tizmak_champion10,27,Warrior,Yakkar,NPC
a_tizmak_champion09,27,Warrior,Yakkar,NPC
a_tizmak_champion08,29,Warrior,Yakkar,NPC
a_furious_tizmak_warrior09,30,Warrior,Yakkar,NPC
a_furious_tizmak_warrior08,30,Warrior,Yakkar,NPC
a_furious_tizmak_warrior07,29,Warrior,Yakkar,NPC
a_tizmak_champion07,28,Warrior,Yakkar,NPC
a_tizmak_warrior11,27,Warrior,Yakkar,NPC
a_tizmak_champion06,29,Warrior,Yakkar,NPC
a_tizmak_shaman01,26,Shaman,Yakkar,NPC
a_feral_cave_kodiak15,31,Warrior,Ulthork,NPC
a_tizmak_champion05,29,Warrior,Yakkar,NPC
a_ferocious_cave_kodiak06,35,Warrior,Ulthork,NPC
a_tizmak_augur01,28,Shaman,Yakkar,NPC
a_feral_cave_kodiak09,30,Warrior,Ulthork,NPC
a_furious_tizmak_warrior06,29,Warrior,Yakkar,NPC
a_savage_cave_kodiak00,33,Warrior,Ulthork,NPC
a_tizmak_champion04,27,Warrior,Yakkar,NPC
a_feral_cave_kodiak08,31,Warrior,Ulthork,NPC
a_furious_tizmak_warrior05,29,Warrior,Yakkar,NPC
a_feral_cave_kodiak02,32,Warrior,Ulthork,NPC
a_furious_tizmak_warrior04,29,Warrior,Yakkar,NPC
a_tizmak_champion03,27,Warrior,Yakkar,NPC
a_tizmak_champion02,28,Warrior,Yakkar,NPC
a_ferocious_cave_kodiak05,35,Warrior,Ulthork,NPC
a_furious_tizmak_warrior03,31,Warrior,Yakkar,NPC
a_tizmak_augur00,29,Shaman,Yakkar,NPC
a_tizmak_warrior10,27,Warrior,Yakkar,NPC
a_tizmak_warrior09,26,Warrior,Yakkar,NPC
a_young_shardwurm07,31,Warrior,Wurm,NPC
a_tizmak_champion01,29,Warrior,Yakkar,NPC
a_tizmak_shaman00,26,Shaman,Yakkar,NPC
a_tizmak_warrior06,26,Warrior,Yakkar,NPC
a_tizmak_warrior05,26,Warrior,Yakkar,NPC
a_tizmak_warrior04,26,Warrior,Yakkar,NPC
a_tizmak_warrior03,25,Warrior,Yakkar,NPC
a_tizmak_warrior02,26,Warrior,Yakkar,NPC
a_tizmak_warrior01,27,Warrior,Yakkar,NPC
a_tizmak_warrior00,25,Warrior,Yakkar,NPC
a_furious_tizmak_warrior02,31,Warrior,Yakkar,NPC
a_Coldain_tracking_wolf12,27,Warrior,Ancient Wolf,NPC
a_Coldain_tracking_wolf11,29,Warrior,Ancient Wolf,NPC
a_Coldain_tracking_wolf10,29,Warrior,Ancient Wolf,NPC
a_Coldain_tracking_wolf09,29,Warrior,Ancient Wolf,NPC
a_Coldain_tracking_wolf08,29,Warrior,Ancient Wolf,NPC
a_Coldain_tracking_wolf07,30,Warrior,Ancient Wolf,NPC
a_Coldain_tracking_wolf06,27,Warrior,Ancient Wolf,NPC
a_Coldain_tracking_wolf05,28,Warrior,Ancient Wolf,NPC
Herga_Ratgur00,50,Warrior,Coldain,NPC
