Name,Level,Class,Race,Type
a_belligerent_guardsman04,57,Warrior,Shade,NPC
a_belligerent_guardsman03,58,Warrior,Shade,NPC
a_tormented_mercenary17,54,Warrior,Thought Horror,NPC
a_tormented_mercenary16,55,Warrior,Thought Horror,NPC
a_tormented_mercenary15,54,Warrior,Thought Horror,NPC
a_tormented_pugilist45,53,Warrior,Recuso,NPC
a_tormented_pugilist16,54,Warrior,Recuso,NPC
a_tormented_pugilist13,53,Warrior,Recuso,NPC
a_mangled_clairvoyant03,53,Necromancer,Recuso,NPC
a_tormented_mercenary21,54,Warrior,Thought Horror,NPC
a_defiled_dreamweaver09,54,Shaman,Thought Horror,NPC
a_tormented_mercenary10,55,Warrior,Thought Horror,NPC
a_tormented_mercenary09,54,Warrior,Thought Horror,NPC
a_tormented_mercenary08,55,Warrior,Thought Horror,NPC
a_defiled_dreamweaver05,54,Shaman,Thought Horror,NPC
a_defiled_dreamweaver04,53,Shaman,Thought Horror,NPC
a_tormented_pugilist15,55,Warrior,Recuso,NPC
a_tormented_mercenary07,55,Warrior,Thought Horror,NPC
#Deoreo_Bexuarrana00,55,Warrior,Sunflower,NPC
a_tormented_pugilist27,55,Warrior,Recuso,NPC
a_tormented_pugilist18,54,Warrior,Recuso,NPC
a_mangled_clairvoyant04,54,Necromancer,Recuso,NPC
a_deadly_dreamweaver03,54,Necromancer,Thought Horror,NPC
a_tormented_pugilist17,54,Warrior,Recuso,NPC
a_tormented_mercenary00,53,Warrior,Thought Horror,NPC
a_shrouded_willsapper26,53,Necromancer,Shade,NPC
a_shrouded_willsapper25,54,Warrior,Shade,NPC
a_shrouded_willsapper24,53,Necromancer,Shade,NPC
a_tormented_pugilist11,54,Warrior,Recuso,NPC
a_shrouded_willsapper11,53,Warrior,Shade,NPC
a_tormented_pugilist10,54,Warrior,Recuso,NPC
a_deadly_dreamweaver09,55,Necromancer,Thought Horror,NPC
a_tormented_pugilist09,54,Warrior,Recuso,NPC
a_shrouded_willsapper10,55,Necromancer,Shade,NPC
a_tormented_pugilist08,53,Warrior,Recuso,NPC
a_tormented_pugilist07,53,Warrior,Recuso,NPC
a_shadowy_figure14,56,Warrior,Shade,NPC
a_tormented_pugilist06,54,Warrior,Recuso,NPC
servant_of_the_magistrate19,58,Warrior,Vampire,NPC
a_mangled_clairvoyant02,54,Necromancer,Recuso,NPC
a_wretched_servant05,58,Warrior,Wretch,NPC
a_tormented_pugilist32,53,Warrior,Recuso,NPC
servant_of_the_magistrate18,57,Warrior,Vampire,NPC
a_tormented_pugilist25,55,Warrior,Recuso,NPC
a_shadowy_figure12,56,Warrior,Shade,NPC
a_darkened_occultist03,58,Necromancer,Shade,NPC
servant_of_the_magistrate16,56,Warrior,Vampire,NPC
servant_of_the_magistrate21,57,Warrior,Vampire,NPC
servant_of_the_magistrate15,57,Warrior,Vampire,NPC
servant_of_the_magistrate14,58,Warrior,Vampire,NPC
a_shadowy_figure13,57,Warrior,Shade,NPC
a_wretched_servant04,57,Warrior,Wretch,NPC
servant_of_the_magistrate13,57,Warrior,Vampire,NPC
a_tormented_pugilist04,54,Warrior,Recuso,NPC
a_tormented_pugilist03,54,Warrior,Recuso,NPC
a_tormented_pugilist23,54,Warrior,Recuso,NPC
a_tormented_pugilist20,55,Warrior,Recuso,NPC
a_wretched_servant03,56,Warrior,Wretch,NPC
a_darkened_occultist08,58,Necromancer,Shade,NPC
servant_of_the_magistrate12,57,Warrior,Vampire,NPC
#Khemot_Agarthizar00,59,Warrior,Ogre,NPC
a_wretched_servant00,56,Warrior,Wretch,NPC
servant_of_the_magistrate09,57,Warrior,Vampire,NPC
a_shrouded_willsapper13,53,Warrior,Shade,NPC
a_shadowy_figure15,58,Warrior,Shade,NPC
servant_of_the_magistrate11,58,Warrior,Vampire,NPC
a_shrouded_willsapper09,55,Necromancer,Shade,NPC
#The_Fabled_Khemot_Agarthizar0,75,Warrior,Dwarf,NPC
a_shrouded_willsapper06,54,Warrior,Shade,NPC
#The_Fabled_Servitor_of_Luclin,75,Warrior,Shade,NPC
a_shrouded_willsapper03,53,Warrior,Shade,NPC
a_shrouded_willsapper02,55,Warrior,Shade,NPC
a_shadowy_figure09,58,Warrior,Shade,NPC
a_shrouded_minion03,75,Warrior,Shade,NPC
#Grieg_Veneficus00,65,Ranger,Grieg Veneficus,NPC
a_shrouded_minion02,75,Warrior,Shade,NPC
a_shrouded_minion01,75,Warrior,Shade,NPC
an_ancient_necromantic_shade00,80,Necromancer,Shade,NPC
a_shrouded_minion00,75,Warrior,Shade,NPC
a_darkened_occultist04,56,Necromancer,Shade,NPC
#Bronus00,40,Cleric,Gnome,NPC
a_shadowy_figure08,58,Warrior,Shade,NPC
a_shadow_master10,60,Warrior,Akheva,NPC
a_shadow_master09,60,Warrior,Akheva,NPC
a_belligerent_guardsman07,58,Warrior,Shade,NPC
a_shadow_master08,60,Warrior,Akheva,NPC
a_shadow_master07,60,Warrior,Akheva,NPC
a_shadow_master06,60,Warrior,Akheva,NPC
a_belligerent_guardsman06,58,Warrior,Shade,NPC
a_shadow_master05,60,Warrior,Akheva,NPC
a_shadow_master04,60,Warrior,Akheva,NPC
a_shadow_master03,60,Warrior,Akheva,NPC
a_shadowy_figure18,56,Warrior,Shade,NPC
a_shadow_master02,60,Warrior,Akheva,NPC
a_shadow_master01,60,Warrior,Akheva,NPC
a_shadow_master00,60,Warrior,Akheva,NPC
servant_of_the_magistrate23,56,Warrior,Vampire,NPC
a_belligerent_guardsman01,56,Warrior,Shade,NPC
a_belligerent_guardsman00,57,Warrior,Shade,NPC
a_defiled_dreamweaver06,53,Shaman,Thought Horror,NPC
a_tormented_mercenary27,53,Warrior,Thought Horror,NPC
a_deadly_dreamweaver00,54,Necromancer,Thought Horror,NPC
a_tormented_mercenary22,53,Warrior,Thought Horror,NPC
servant_of_the_magistrate04,57,Warrior,Vampire,NPC
a_tormented_mercenary11,55,Warrior,Thought Horror,NPC
a_wretched_servant07,58,Warrior,Wretch,NPC
a_shadowy_figure23,56,Warrior,Shade,NPC
a_wretched_servant06,57,Warrior,Wretch,NPC
a_mangled_clairvoyant21,53,Necromancer,Recuso,NPC
a_soldier_of_madness10,54,Warrior,Shadel,NPC
a_mangled_clairvoyant20,54,Necromancer,Recuso,NPC
a_mangled_clairvoyant19,53,Necromancer,Recuso,NPC
a_tormented_pugilist44,55,Warrior,Recuso,NPC
a_mangled_clairvoyant18,55,Necromancer,Recuso,NPC
a_mangled_clairvoyant17,54,Necromancer,Recuso,NPC
a_mangled_clairvoyant16,54,Necromancer,Recuso,NPC
a_tormented_pugilist46,53,Warrior,Recuso,NPC
a_tormented_mercenary13,55,Warrior,Thought Horror,NPC
a_tormented_mercenary32,55,Warrior,Thought Horror,NPC
a_tormented_pugilist43,55,Warrior,Recuso,NPC
a_tormented_mercenary12,55,Warrior,Thought Horror,NPC
a_deadly_dreamweaver08,53,Necromancer,Thought Horror,NPC
a_tormented_mercenary31,55,Warrior,Thought Horror,NPC
a_shrouded_willsapper23,54,Warrior,Shade,NPC
a_tormented_pugilist35,54,Warrior,Recuso,NPC
a_tormented_pugilist34,54,Warrior,Recuso,NPC
a_tormented_pugilist33,53,Warrior,Recuso,NPC
a_tormented_pugilist54,54,Warrior,Recuso,NPC
a_tormented_pugilist53,55,Warrior,Recuso,NPC
a_mangled_clairvoyant22,55,Necromancer,Recuso,NPC
a_tormented_mercenary29,54,Warrior,Thought Horror,NPC
a_tormented_mercenary30,53,Warrior,Thought Horror,NPC
a_defiled_dreamweaver00,53,Shaman,Thought Horror,NPC
a_defiled_dreamweaver10,54,Shaman,Thought Horror,NPC
a_tormented_mercenary20,55,Warrior,Thought Horror,NPC
a_tormented_mercenary18,54,Warrior,Thought Horror,NPC
a_defiled_dreamweaver08,53,Shaman,Thought Horror,NPC
a_tormented_pugilist31,55,Warrior,Recuso,NPC
a_deadly_dreamweaver07,54,Necromancer,Thought Horror,NPC
a_tormented_pugilist30,53,Warrior,Recuso,NPC
a_mangled_clairvoyant15,53,Necromancer,Recuso,NPC
a_soldier_of_madness06,55,Warrior,Shadel,NPC
a_soldier_of_madness05,54,Warrior,Shadel,NPC
a_soldier_of_madness04,55,Warrior,Shadel,NPC
a_tormented_mercenary19,53,Warrior,Thought Horror,NPC
a_soldier_of_madness03,54,Warrior,Shadel,NPC
a_tormented_mercenary06,53,Warrior,Thought Horror,NPC
a_soldier_of_madness02,54,Warrior,Shadel,NPC
a_soldier_of_madness01,54,Warrior,Shadel,NPC
a_soldier_of_madness00,54,Warrior,Shadel,NPC
a_defiled_dreamweaver11,54,Shaman,Thought Horror,NPC
a_dark_practitioner00,54,Necromancer,Shadel,NPC
a_deadly_dreamweaver06,55,Necromancer,Thought Horror,NPC
a_tormented_pugilist29,53,Warrior,Recuso,NPC
a_tormented_mercenary05,55,Warrior,Thought Horror,NPC
a_defiled_dreamweaver03,53,Shaman,Thought Horror,NPC
a_mangled_clairvoyant14,54,Necromancer,Recuso,NPC
a_tormented_pugilist28,54,Warrior,Recuso,NPC
a_mangled_clairvoyant13,54,Necromancer,Recuso,NPC
a_tormented_pugilist26,53,Warrior,Recuso,NPC
