Name,Level,Class,Race,Type
a_grimling_veteran03,41,Warrior,Grimling,NPC
a_grimling_fleshsoother11,36,Cleric,Grimling,NPC
a_grimling_skullsplitter15,39,Warrior,Grimling,NPC
a_sonic_mangler01,40,Warrior,Sonic Wolf,NPC
a_grimling_bonecracker18,35,Warrior,Grimling,NPC
a_grimling_fleshsoother10,38,Cleric,Grimling,NPC
a_grimling_skirmisher01,31,Warrior,Grimling,NPC
#a_grimling_warfiend00,42,Warrior,Grimling,NPC
#Avisiris00,43,Warrior,Owlbear,NPC
a_grimling_painsoother11,31,Cleric,Grimling,NPC
a_grimling_painsoother10,31,Cleric,Grimling,NPC
a_grimling_bloodreaver08,39,Warrior,Grimling,NPC
a_grimling_bloodreaver07,42,Warrior,Grimling,NPC
a_grimling_twistblade17,40,Warrior,Grimling,NPC
a_grimling_skullsplitter14,38,Warrior,Grimling,NPC
a_grimling_nightknife03,36,Rogue,Grimling,NPC
a_grimling_fleshsoother09,35,Cleric,Grimling,NPC
a_grimling_skullsplitter13,36,Warrior,Grimling,NPC
a_grimling_fleshsoother08,33,Cleric,Grimling,NPC
a_grimling_spinetapper10,37,Rogue,Grimling,NPC
a_grimling_spinetapper09,41,Rogue,Grimling,NPC
a_grimling_bonecracker17,34,Warrior,Grimling,NPC
a_grimling_spinetapper08,38,Rogue,Grimling,NPC
a_grimling_skullsplitter12,40,Warrior,Grimling,NPC
a_grimling_skullsplitter11,33,Warrior,Grimling,NPC
a_grimling_skullsplitter10,37,Warrior,Grimling,NPC
a_grimling_nightknife02,39,Rogue,Grimling,NPC
a_grimling_spiritcaller10,42,Shaman,Grimling,NPC
a_grimling_bloodreaver04,41,Warrior,Grimling,NPC
a_grimling_nightknife01,33,Rogue,Grimling,NPC
a_grimling_spinetapper06,36,Warrior,Grimling,NPC
a_grimling_nightknife00,42,Rogue,Grimling,NPC
a_grimling_bloodreaver06,40,Warrior,Grimling,NPC
a_grimling_corpsecaller03,36,Shaman,Grimling,NPC
a_grimling_gruntling18,28,Warrior,Grimling,NPC
a_grimling_spiritcaller09,39,Warrior,Grimling,NPC
a_grimling_corpsecaller02,40,Necromancer,Grimling,NPC
a_grimling_bloodreaver05,37,Rogue,Grimling,NPC
a_grimling_bloodreaver03,38,Warrior,Grimling,NPC
a_grimling_fleshsoother07,34,Cleric,Grimling,NPC
a_grimling_bloodreaver02,42,Warrior,Grimling,NPC
a_grimling_fleshsoother06,37,Cleric,Grimling,NPC
a_grimling_painsoother09,31,Cleric,Grimling,NPC
a_grimling_gruntling17,34,Warrior,Grimling,NPC
a_grimling_twistblade16,36,Rogue,Grimling,NPC
a_grimling_spinetapper07,37,Rogue,Grimling,NPC
a_grimling_skullsplitter09,38,Warrior,Grimling,NPC
a_grimling_skullsplitter08,38,Warrior,Grimling,NPC
a_grimling_fleshsoother05,36,Cleric,Grimling,NPC
a_grimling_fleshsoother04,34,Cleric,Grimling,NPC
a_grimling_spiritcaller07,34,Shaman,Grimling,NPC
a_grimling_corpsecaller01,35,Necromancer,Grimling,NPC
a_grimling_skullsplitter07,34,Warrior,Grimling,NPC
a_grimling_guard04,36,Warrior,Grimling,NPC
a_grimling_guard03,34,Warrior,Grimling,NPC
a_grimling_spinetapper05,39,Rogue,Grimling,NPC
a_grimling_spiritcaller06,38,Shaman,Grimling,NPC
a_grimling_fleshsoother03,34,Cleric,Grimling,NPC
a_grimling_bonecracker16,32,Warrior,Grimling,NPC
a_grimling_skullsplitter06,36,Warrior,Grimling,NPC
a_grimling_spinetapper04,38,Rogue,Grimling,NPC
a_grimling_skullsplitter05,36,Warrior,Grimling,NPC
a_grimling_fleshsoother02,35,Cleric,Grimling,NPC
a_grimling_skullsplitter04,37,Warrior,Grimling,NPC
a_grimling_skullsplitter03,35,Warrior,Grimling,NPC
a_grimling_skullsplitter02,33,Warrior,Grimling,NPC
a_grimling_spiritcaller05,35,Shaman,Grimling,NPC
a_grimling_guard02,33,Warrior,Grimling,NPC
a_beaming_grimling00,44,Warrior,Grimling,NPC
a_grimling_twistblade15,35,Rogue,Grimling,NPC
a_grimling_spiritcaller04,38,Shaman,Grimling,NPC
a_grimling_bonecracker15,36,Warrior,Grimling,NPC
a_grimling_bonecracker14,36,Warrior,Grimling,NPC
a_grimling_spinetapper03,35,Rogue,Grimling,NPC
a_grimling_spiritcaller03,36,Shaman,Grimling,NPC
a_grimling_spinetapper02,37,Rogue,Grimling,NPC
a_grimling_bonecracker13,36,Warrior,Grimling,NPC
a_grimling_twistblade14,38,Rogue,Grimling,NPC
a_grimling_spiritchanter03,36,Shaman,Grimling,NPC
a_grimling_twistblade13,33,Rogue,Grimling,NPC
a_grimling_bonecracker12,39,Warrior,Grimling,NPC
a_grimling_dartspitter05,37,Warrior,Grimling,NPC
a_grimling_dartspitter04,32,Warrior,Grimling,NPC
a_grimling_dartspitter03,35,Warrior,Grimling,NPC
a_grimling_painsoother08,34,Cleric,Grimling,NPC
a_grimling_guard01,33,Warrior,Grimling,NPC
a_grimling_bonecracker11,35,Warrior,Grimling,NPC
a_grimling_spiritcaller02,34,Shaman,Grimling,NPC
a_grimling_warrior00,27,Warrior,Grimling,NPC
a_grimling_twistblade12,35,Rogue,Grimling,NPC
a_grimling_twistblade11,31,Rogue,Grimling,NPC
a_grimling_twistblade10,31,Shaman,Grimling,NPC
a_grimling_painsoother07,37,Cleric,Grimling,NPC
a_grimling_bonecracker10,33,Warrior,Grimling,NPC
a_grimling_bonecracker09,32,Warrior,Grimling,NPC
a_grimling_bonecracker08,35,Warrior,Grimling,NPC
a_grimling_pickpocket00,34,Rogue,Grimling,NPC
a_grimling_herbalist01,32,Shaman,Grimling,NPC
#a_grimling_warblood00,43,Warrior,Grimling,NPC
a_grimling_bonecracker07,36,Warrior,Grimling,NPC
a_grimling_bonecracker06,36,Warrior,Grimling,NPC
a_grimling_bonecracker05,32,Warrior,Grimling,NPC
a_grimling_bonecracker04,32,Warrior,Grimling,NPC
a_grimling_dedicant00,31,Cleric,Grimling,NPC
a_grimling_warblood01,31,Warrior,Grimling,NPC
a_grimling_twistblade09,33,Rogue,Grimling,NPC
a_grimling_herbalist00,34,Shaman,Grimling,NPC
a_grimling_bonecracker03,31,Warrior,Grimling,NPC
a_grimling_fleshsoother01,37,Cleric,Grimling,NPC
a_grimling_guard00,24,Warrior,Grimling,NPC
a_grimling_gruntling16,25,Warrior,Grimling,NPC
a_grimling_gruntling15,25,Warrior,Grimling,NPC
a_grimling_gruntling14,25,Warrior,Grimling,NPC
a_grimling_gruntling13,22,Warrior,Grimling,NPC
a_grimling_twistblade08,31,Rogue,Grimling,NPC
a_grimling_twistblade07,29,Rogue,Grimling,NPC
a_grimling_spiritcaller01,29,Shaman,Grimling,NPC
a_grimling_skullsplitter01,37,Warrior,Grimling,NPC
a_grimling_veteran02,41,Warrior,Grimling,NPC
a_grimling_warblood00,31,Warrior,Grimling,NPC
a_grimling_gruntling12,34,Warrior,Grimling,NPC
a_grimling_gruntling11,31,Warrior,Grimling,NPC
a_grimling_bonecracker02,32,Warrior,Grimling,NPC
a_grimling_twistblade06,35,Rogue,Grimling,NPC
a_grimling_spiritcaller00,28,Shaman,Grimling,NPC
a_grimling_bloodguard04,42,Warrior,Grimling,NPC
a_grimling_skullsplitter00,35,Warrior,Grimling,NPC
a_grimling_gruntling10,32,Warrior,Grimling,NPC
a_grimling_twistblade05,31,Rogue,Grimling,NPC
a_grimling_bloodreaver01,41,Warrior,Grimling,NPC
a_grimling_gruntling09,29,Warrior,Grimling,NPC
a_grimling_spiritchanter02,34,Shaman,Grimling,NPC
a_grimling_spinetapper01,30,Rogue,Grimling,NPC
a_grimling_corpsecaller00,29,Warrior,Grimling,NPC
a_grimling_gruntling08,24,Warrior,Grimling,NPC
a_grimling_gruntling07,26,Warrior,Grimling,NPC
a_grimling_painsoother06,28,Cleric,Grimling,NPC
a_grimling_painsoother05,28,Cleric,Grimling,NPC
a_grimling_twistblade04,26,Rogue,Grimling,NPC
a_grimling_painsoother04,31,Cleric,Grimling,NPC
a_grimling_twistblade03,30,Rogue,Grimling,NPC
a_grimling_gruntling06,30,Warrior,Grimling,NPC
a_grimling_gruntling05,25,Warrior,Grimling,NPC
a_grimling_spiritchanter01,27,Shaman,Grimling,NPC
a_grimling_spinetapper00,29,Rogue,Grimling,NPC
a_grimling_gruntling04,28,Warrior,Grimling,NPC
a_grimling_gruntling03,29,Warrior,Grimling,NPC
