Name,Level,Class,Race,Type
a_huge_water_elemental00,39,Warrior,Elemental,NPC
a_froglok_vis_knight05,32,Warrior,Froglok,NPC
a_basilisk00,28,Warrior,Alligator,NPC
a_froglok_wan_knight15,35,Warrior,Froglok,NPC
a_froglok_wan_knight14,34,Warrior,Froglok,NPC
a_froglok_zol_knight04,39,Warrior,Froglok,NPC
a_froglok_wan_knight20,35,Warrior,Froglok,NPC
a_froglok_vis_knight04,32,Warrior,Froglok,NPC
a_froglok_slave09,2,Warrior,Froglok,NPC
a_froglok_slave08,2,Warrior,Froglok,NPC
a_froglok_slave07,2,Warrior,Froglok,NPC
a_zol_ghoul_knight04,38,Warrior,Froglok,NPC
a_froglok_slave06,4,Warrior,Froglok,NPC
a_froglok_slave05,3,Warrior,Froglok,NPC
a_zol_ghoul_knight03,36,Warrior,Froglok,NPC
a_zol_ghoul_knight02,37,Warrior,Froglok,NPC
a_froglok_slave04,2,Warrior,Froglok,NPC
a_clay_gargoyle01,28,Warrior,Gargoyle,NPC
a_basalt_gargoyle01,33,Warrior,Gargoyle,NPC
a_froglok_wan_knight08,34,Warrior,Froglok,NPC
a_basalt_gargoyle00,31,Warrior,Gargoyle,NPC
a_froglok_dar_knight00,39,Warrior,Froglok,NPC
a_froglok_tal_shaman00,34,Shaman,Froglok,NPC
a_froglok_shin_knight03,30,Warrior,Froglok,NPC
a_froglok_tsu_shaman03,31,Shaman,Froglok,NPC
a_froglok_wan_knight12,33,Warrior,Froglok,NPC
a_froglok_tal_shaman03,33,Shaman,Froglok,NPC
a_froglok_wan_knight06,35,Warrior,Froglok,NPC
a_froglok_wan_knight05,36,Warrior,Froglok,NPC
a_froglok_tal_shaman01,30,Shaman,Froglok,NPC
a_froglok_wan_knight23,34,Warrior,Froglok,NPC
a_froglok_zol_knight07,40,Warrior,Froglok,NPC
a_froglok_guk_shaman00,49,Shaman,Froglok,NPC
a_greater_minotaur13,33,Warrior,Minotaur,NPC
a_froglok_kor_shaman02,43,Shaman,Froglok,NPC
a_froglok_kor_shaman00,40,Shaman,Froglok,NPC
a_froglok_zol_knight03,36,Warrior,Froglok,NPC
a_froglok_dar_knight02,42,Warrior,Froglok,NPC
a_froglok_zol_knight02,39,Warrior,Froglok,NPC
a_froglok_yun_shaman02,38,Shaman,Froglok,NPC
a_froglok_urd_shaman04,34,Shaman,Froglok,NPC
a_clay_gargoyle00,28,Warrior,Gargoyle,NPC
a_basalt_gargoyle03,30,Warrior,Gargoyle,NPC
a_froglok_urd_shaman02,36,Shaman,Froglok,NPC
a_tal_ghoul_wizard02,32,Wizard,Froglok,NPC
a_wan_ghoul_knight16,35,Warrior,Froglok,NPC
a_tal_ghoul_wizard00,32,Wizard,Froglok,NPC
a_greater_minotaur10,34,Warrior,Minotaur,NPC
a_greater_minotaur09,36,Warrior,Minotaur,NPC
