Name,Level,Class,Race,Type
a_froglok_ton_shaman01,17,Shaman,Froglok,NPC
a_froglok_sentinel00,8,Warrior,Froglok,NPC
a_froglok_vis_shaman00,25,Shaman,Froglok,NPC
a_heart_spider08,13,Warrior,Spider,NPC
a_heart_spider07,13,Warrior,Spider,NPC
a_heart_spider06,15,Warrior,Spider,NPC
a_froglok_shin_knight01,31,Warrior,Froglok,NPC
a_heart_spider05,11,Warrior,Spider,NPC
a_froglok_ton_shaman06,18,Shaman,Froglok,NPC
a_heart_spider04,13,Warrior,Spider,NPC
a_heart_spider03,14,Warrior,Spider,NPC
a_large_heart_spider00,17,Warrior,Spider,NPC
a_heart_spider02,14,Warrior,Spider,NPC
a_heart_spider01,15,Warrior,Spider,NPC
a_froglok_gaz_knight15,18,Warrior,Froglok,NPC
a_heart_spider00,13,Warrior,Spider,NPC
a_froglok_gaz_warrior20,15,Warrior,Froglok,NPC
a_swampwater_crocodile02,11,Warrior,Alligator,NPC
a_froglok_ton_shaman04,19,Shaman,Froglok,NPC
a_froglok_sentry09,5,Warrior,Froglok,NPC
a_froglok_sentry02,5,Warrior,Froglok,NPC
a_froglok_sentry01,6,Warrior,Froglok,NPC
a_froglok_gaz_warrior19,17,Warrior,Froglok,NPC
a_froglok_realist00,22,Shaman,Froglok,NPC
a_froglok_tuk_knight07,15,Warrior,Froglok,NPC
a_froglok_tuk_knight06,13,Warrior,Froglok,NPC
a_froglok_tuk_knight05,14,Warrior,Froglok,NPC
a_froglok_tuk_knight04,15,Warrior,Froglok,NPC
a_froglok_tuk_warrior11,12,Warrior,Froglok,NPC
a_froglok_tuk_warrior10,13,Warrior,Froglok,NPC
a_froglok_tuk_warrior09,13,Warrior,Froglok,NPC
a_froglok_tuk_knight03,14,Warrior,Froglok,NPC
a_froglok_tuk_knight02,15,Warrior,Froglok,NPC
a_froglok_tuk_warrior08,13,Warrior,Froglok,NPC
a_froglok_tuk_warrior06,13,Warrior,Froglok,NPC
a_froglok_tuk_warrior05,13,Warrior,Froglok,NPC
a_froglok_tuk_warrior04,11,Warrior,Froglok,NPC
a_froglok_tuk_knight01,15,Warrior,Froglok,NPC
a_froglok_tuk_warrior03,11,Warrior,Froglok,NPC
a_froglok_tuk_warrior02,13,Warrior,Froglok,NPC
a_froglok_guard04,11,Warrior,Froglok,NPC
a_froglok_guard03,10,Warrior,Froglok,NPC
a_fungus_soldier00,20,Warrior,Fungusman,NPC
a_froglok_tuk_warrior01,13,Warrior,Froglok,NPC
a_froglok_witch_doctor01,12,Shaman,Froglok,NPC
a_froglok_tad02,4,Warrior,Froglok,NPC
a_swampwater_crocodile08,15,Warrior,Alligator,NPC
a_swampwater_crocodile07,14,Warrior,Alligator,NPC
a_froglok_gaz_warrior02,17,Warrior,Froglok,NPC
a_troll_prisoner02,10,Warrior,Troll,NPC
a_froglok_gaz_shaman00,17,Shaman,Froglok,NPC
a_froglok_tuk_knight00,15,Warrior,Froglok,NPC
a_froglok_gaz_warrior01,17,Warrior,Froglok,NPC
a_froglok_gaz_warrior00,17,Warrior,Froglok,NPC
a_froglok_guard07,11,Warrior,Froglok,NPC
a_froglok_witch_doctor00,12,Shaman,Froglok,NPC
a_froglok_tuk_warrior00,11,Warrior,Froglok,NPC
a_froglok_guard06,11,Warrior,Froglok,NPC
a_froglok_sentry11,7,Warrior,Froglok,NPC
a_froglok_sentinel04,7,Warrior,Froglok,NPC
a_swampwater_crocodile06,15,Warrior,Alligator,NPC
a_froglok_guard02,10,Warrior,Froglok,NPC
a_swampwater_crocodile05,14,Warrior,Alligator,NPC
a_froglok_guard01,9,Warrior,Froglok,NPC
a_froglok_gaz_knight08,17,Warrior,Froglok,NPC
a_froglok_gaz_warrior14,17,Warrior,Froglok,NPC
a_fungus_drone00,14,Ranger,Fungusman,NPC
a_froglok_ton_shaman08,18,Shaman,Froglok,NPC
a_froglok_gaz_shaman01,17,Shaman,Froglok,NPC
a_froglok_ton_shaman03,19,Shaman,Froglok,NPC
a_froglok_gaz_knight22,18,Warrior,Froglok,NPC
a_froglok_gaz_shaman05,15,Shaman,Froglok,NPC
a_froglok_ton_warrior15,19,Warrior,Froglok,NPC
a_swampwater_crocodile04,13,Warrior,Alligator,NPC
a_froglok_gaz_knight21,19,Warrior,Froglok,NPC
a_swampwater_crocodile03,10,Warrior,Alligator,NPC
a_froglok_gaz_warrior10,17,Warrior,Froglok,NPC
a_froglok_gaz_knight20,19,Warrior,Froglok,NPC
a_froglok_neophyte00,11,Shaman,Froglok,NPC
a_froglok_gaz_warrior09,16,Warrior,Froglok,NPC
a_froglok_ton_warrior04,20,Warrior,Froglok,NPC
a_froglok_gaz_knight11,19,Warrior,Froglok,NPC
a_froglok_ton_knight12,22,Warrior,Froglok,NPC
a_froglok_gaz_shaman12,16,Shaman,Froglok,NPC
a_froglok_ton_warrior00,18,Warrior,Froglok,NPC
a_froglok_gaz_knight26,19,Warrior,Froglok,NPC
a_froglok_gaz_knight07,17,Warrior,Froglok,NPC
a_froglok_gaz_knight04,17,Warrior,Froglok,NPC
a_froglok_ton_warrior14,18,Warrior,Froglok,NPC
a_fungus_soldier01,17,Warrior,Fungusman,NPC
a_froglok_sentry03,6,Warrior,Froglok,NPC
a_froglok_sentry00,6,Warrior,Froglok,NPC
a_swampwater_crocodile01,11,Warrior,Alligator,NPC
a_froglok_tad01,3,Warrior,Froglok,NPC
a_froglok_novice01,9,Shaman,Froglok,NPC
a_swampwater_crocodile00,8,Warrior,Alligator,NPC
a_froglok_shin_warrior12,26,Warrior,Froglok,NPC
a_froglok_shin_warrior11,27,Warrior,Froglok,NPC
a_froglok_vis_shaman03,21,Shaman,Froglok,NPC
a_froglok_shin_warrior10,26,Warrior,Froglok,NPC
a_froglok_shin_knight04,29,Warrior,Froglok,NPC
a_froglok_shin_warrior09,24,Warrior,Froglok,NPC
a_froglok_shin_warrior08,26,Warrior,Froglok,NPC
a_froglok_gaz_warrior16,15,Warrior,Froglok,NPC
a_froglok_shin_knight03,28,Warrior,Froglok,NPC
a_froglok_shin_warrior06,25,Warrior,Froglok,NPC
a_froglok_gaz_knight25,17,Warrior,Froglok,NPC
a_froglok_gaz_shaman10,16,Shaman,Froglok,NPC
a_froglok_nok_shaman02,26,Shaman,Froglok,NPC
a_froglok_gaz_knight24,18,Warrior,Froglok,NPC
a_froglok_gaz_knight12,19,Warrior,Froglok,NPC
a_froglok_ton_knight26,21,Warrior,Froglok,NPC
a_froglok_shin_warrior04,24,Warrior,Froglok,NPC
a_froglok_gaz_shaman08,17,Shaman,Froglok,NPC
a_froglok_ton_knight25,23,Warrior,Froglok,NPC
a_froglok_gaz_knight14,17,Warrior,Froglok,NPC
a_froglok_shin_warrior03,28,Warrior,Froglok,NPC
a_froglok_gaz_warrior03,16,Warrior,Froglok,NPC
a_froglok_gaz_shaman07,17,Shaman,Froglok,NPC
a_froglok_ton_knight01,21,Warrior,Froglok,NPC
a_froglok_gaz_warrior15,15,Warrior,Froglok,NPC
a_froglok_gaz_knight01,19,Warrior,Froglok,NPC
a_froglok_ton_knight22,21,Warrior,Froglok,NPC
a_froglok_ton_knight00,21,Warrior,Froglok,NPC
a_froglok_ton_knight21,21,Warrior,Froglok,NPC
a_froglok_gaz_warrior05,15,Warrior,Froglok,NPC
a_froglok_ton_knight19,25,Warrior,Froglok,NPC
a_froglok_ton_warrior16,20,Warrior,Froglok,NPC
a_froglok_ton_warrior13,21,Warrior,Froglok,NPC
a_froglok_ton_knight18,21,Warrior,Froglok,NPC
a_froglok_ton_warrior12,20,Warrior,Froglok,NPC
a_froglok_ton_knight17,23,Warrior,Froglok,NPC
a_froglok_vis_shaman02,23,Shaman,Froglok,NPC
a_froglok_shin_warrior02,26,Warrior,Froglok,NPC
a_froglok_ton_knight16,22,Warrior,Froglok,NPC
a_froglok_ton_knight15,21,Warrior,Froglok,NPC
a_froglok_gaz_knight17,17,Warrior,Froglok,NPC
a_froglok_ton_warrior11,22,Warrior,Froglok,NPC
a_froglok_gaz_knight16,17,Warrior,Froglok,NPC
a_froglok_gaz_knight13,18,Warrior,Froglok,NPC
a_froglok_ton_shaman07,19,Shaman,Froglok,NPC
a_froglok_gaz_warrior22,16,Warrior,Froglok,NPC
a_froglok_sentinel02,8,Warrior,Froglok,NPC
a_froglok_gaz_warrior21,17,Warrior,Froglok,NPC
a_froglok_novice00,7,Shaman,Froglok,NPC
a_froglok_shin_shaman04,20,Shaman,Froglok,NPC
a_froglok_gaz_knight10,18,Warrior,Froglok,NPC
a_froglok_sentry06,7,Warrior,Froglok,NPC
a_froglok_ton_knight08,23,Warrior,Froglok,NPC
a_froglok_sentinel01,9,Warrior,Froglok,NPC
a_froglok_sentry05,5,Warrior,Froglok,NPC
a_froglok_sentry04,5,Warrior,Froglok,NPC
a_froglok_gaz_warrior11,15,Warrior,Froglok,NPC
a_froglok_ton_warrior08,18,Warrior,Froglok,NPC
a_froglok_gaz_knight06,19,Warrior,Froglok,NPC
a_froglok_gaz_knight02,19,Warrior,Froglok,NPC
a_froglok_ton_shaman00,18,Shaman,Froglok,NPC
a_froglok_ton_knight11,23,Warrior,Froglok,NPC
a_froglok_ton_knight10,22,Warrior,Froglok,NPC
a_froglok_shin_warrior01,25,Warrior,Froglok,NPC
a_froglok_shin_knight00,30,Warrior,Froglok,NPC
a_fungus_mutant00,23,Ranger,Fungusman,NPC
a_froglok_ton_knight09,24,Warrior,Froglok,NPC
a_froglok_shin_warrior00,25,Warrior,Froglok,NPC
a_froglok_ton_knight07,22,Warrior,Froglok,NPC
a_froglok_shin_shaman01,19,Shaman,Froglok,NPC
a_froglok_ton_knight06,25,Warrior,Froglok,NPC
a_froglok_ton_knight05,21,Warrior,Froglok,NPC
a_froglok_shin_shaman00,20,Shaman,Froglok,NPC
a_froglok_ton_warrior07,22,Warrior,Froglok,NPC
a_froglok_ton_knight04,22,Warrior,Froglok,NPC
a_froglok_ton_warrior06,18,Warrior,Froglok,NPC
a_froglok_ton_warrior05,20,Warrior,Froglok,NPC
a_froglok_ton_warrior03,20,Warrior,Froglok,NPC
a_froglok_ton_knight03,24,Warrior,Froglok,NPC
a_froglok_vis_shaman05,21,Shaman,Froglok,NPC
a_froglok_ton_knight02,23,Warrior,Froglok,NPC
a_froglok_vis_shaman04,21,Shaman,Froglok,NPC
a_froglok_gaz_knight09,19,Warrior,Froglok,NPC
a_froglok_ton_warrior01,21,Warrior,Froglok,NPC
a_froglok_gaz_warrior13,15,Warrior,Froglok,NPC
a_froglok_ton_shaman05,17,Shaman,Froglok,NPC
a_fungus_soldier03,17,Warrior,Fungusman,NPC
a_fungus_drone01,15,Ranger,Fungusman,NPC
a_froglok_sentry10,6,Warrior,Froglok,NPC
a_froglok_tuk_warrior07,13,Warrior,Froglok,NPC
a_froglok_tuk_knight08,15,Warrior,Froglok,NPC
a_froglok_gaz_shaman04,15,Shaman,Froglok,NPC
a_froglok_gaz_knight03,19,Warrior,Froglok,NPC
a_froglok_gaz_shaman03,16,Shaman,Froglok,NPC
a_froglok_tuk_shaman00,15,Shaman,Froglok,NPC
a_froglok_gaz_shaman02,17,Shaman,Froglok,NPC
a_froglok_necromancer00,9,Necromancer,Froglok,NPC
a_froglok_gaz_warrior08,15,Warrior,Froglok,NPC
a_froglok_gaz_warrior06,17,Warrior,Froglok,NPC
a_froglok_ton_shaman02,17,Shaman,Froglok,NPC
a_froglok_shin_knight02,27,Warrior,Froglok,NPC
a_froglok_tad00,3,Warrior,Froglok,NPC
a_froglok_gaz_warrior04,15,Warrior,Froglok,NPC
a_froglok_guard00,10,Warrior,Froglok,NPC
a_froglok_gaz_knight00,18,Warrior,Froglok,NPC
a_troll_prisoner01,11,Warrior,Troll,NPC
a_froglok_vis_shaman01,24,Shaman,Froglok,NPC
a_froglok_shin_shaman03,18,Shaman,Froglok,NPC
a_froglok_priest00,22,Cleric,Froglok,NPC
a_troll_prisoner00,11,Warrior,Troll,NPC
a_froglok_gaz_warrior18,17,Warrior,Froglok,NPC
a_froglok_gaz_knight05,19,Warrior,Froglok,NPC
a_decrepit_froglok00,50,Warrior,Froglok,NPC
a_froglok_gaz_warrior17,16,Warrior,Froglok,NPC
a_skeleton_monk00,25,Monk,Ancient Skeleton,NPC
a_froglok_gaz_warrior07,17,Warrior,Froglok,NPC
a_froglok_vis_shaman06,25,Shaman,Froglok,NPC
a_heart_spider12,15,Warrior,Spider,NPC
a_heart_spider11,13,Warrior,Spider,NPC
a_heart_spider10,13,Warrior,Spider,NPC
a_heart_spider09,13,Warrior,Spider,NPC
a_swampwater_crocodile16,14,Warrior,Alligator,NPC
a_swampwater_crocodile15,13,Warrior,Alligator,NPC
a_froglok_witch_doctor03,13,Shaman,Froglok,NPC
a_swampwater_crocodile14,13,Warrior,Alligator,NPC
a_froglok_guard05,11,Warrior,Froglok,NPC
Tempus00,26,Necromancer,Dark Elf,NPC
a_froglok_shin_warrior07,28,Warrior,Froglok,NPC
a_froglok_gaz_knight19,18,Warrior,Froglok,NPC
