Name,Level,Class,Race,Type
an_ogre_plunderer02,32,Warrior,Pirate,NPC
a_Broken_Skull_augur03,44,Shaman,Troll,NPC
a_luggald_soldier00,39,Warrior,Luggalds,NPC
a_luggald_warrior00,42,Warrior,Luggalds,NPC
a_luggald_novitiate00,42,Warrior,Luggalds,NPC
a_mutant_henchman00,44,Warrior,Wretch,NPC
a_mutant_sycophant00,42,Warrior,Wretch,NPC
a_luggald_postulant00,45,Warrior,Luggalds,NPC
a_Broken_Skull_augur02,44,Shaman,Troll,NPC
a_human_initiate02,39,Warrior,Pirate,NPC
an_ogre_initiate01,39,Warrior,Pirate,NPC
an_erudite_initiate01,39,Rogue,Pirate,NPC
a_human_initiate01,41,Warrior,Pirate,NPC
an_ogre_initiate00,40,Warrior,Pirate,NPC
a_Broken_Skull_mystic01,42,Shaman,Troll,NPC
a_human_initiate00,40,Warrior,Pirate,NPC
a_diseased_drogmor08,35,Warrior,Drogmor,NPC
a_foul_mushroom14,36,Warrior,Shrieker,NPC
an_escaped_drogmor16,31,Warrior,Drogmor,NPC
an_escaped_drogmor15,33,Warrior,Drogmor,NPC
a_foul_mushroom13,34,Warrior,Shrieker,NPC
a_foul_mushroom12,36,Warrior,Shrieker,NPC
a_foul_mushroom10,34,Warrior,Shrieker,NPC
a_foul_mushroom09,36,Warrior,Shrieker,NPC
a_foul_mushroom07,35,Warrior,Shrieker,NPC
a_diseased_drogmor07,35,Warrior,Drogmor,NPC
a_foul_mushroom06,36,Warrior,Shrieker,NPC
an_erudite_initiate00,40,Rogue,Pirate,NPC
a_foul_mushroom05,35,Warrior,Shrieker,NPC
a_foul_mushroom04,34,Warrior,Shrieker,NPC
a_savage_drogmor02,41,Warrior,Drogmor,NPC
a_savage_skeletal_sailor07,30,Warrior,Ancient Skeleton,NPC
a_vicious_skeleton13,33,Warrior,Ancient Skeleton,NPC
a_savage_skeletal_sailor06,29,Warrior,Ancient Skeleton,NPC
a_diseased_drogmor06,33,Warrior,Drogmor,NPC
a_feral_drogmor00,37,Warrior,Drogmor,NPC
a_deadly_skeletal_sailor08,35,Warrior,Ancient Skeleton,NPC
a_vicious_skeleton12,31,Warrior,Ancient Skeleton,NPC
an_emaciated_zombie08,31,Warrior,Troll Zombie,NPC
a_foul_mushroom02,34,Warrior,Shrieker,NPC
a_savage_drogmor01,39,Warrior,Drogmor,NPC
a_vicious_skeleton11,32,Warrior,Ancient Skeleton,NPC
an_escaped_drogmor13,33,Warrior,Drogmor,NPC
a_savage_drogmor00,41,Warrior,Drogmor,NPC
a_Broken_Skull_seer07,39,Shaman,Troll,NPC
a_Broken_Skull_seer06,39,Shaman,Troll,NPC
a_Broken_Skull_seer05,39,Shaman,Troll,NPC
a_Broken_Skull_seer04,41,Shaman,Troll,NPC
a_Broken_Skull_seer03,41,Shaman,Troll,NPC
a_gnome_resident02,40,Warrior,Pirate,NPC
an_ogre_commoner01,37,Warrior,Pirate,NPC
a_human_citizen05,39,Rogue,Pirate,NPC
an_ogre_commoner00,37,Warrior,Pirate,NPC
an_ogre_citizen01,37,Warrior,Pirate,NPC
a_troll_resident02,40,Warrior,Troll,NPC
a_dark_elf_commoner02,35,Warrior,Pirate,NPC
a_human_citizen04,39,Rogue,Pirate,NPC
an_erudite_commoner00,35,Warrior,Pirate,NPC
a_luggald_subverter07,39,Enchanter,Luggalds,NPC
a_troll_commoner01,35,Warrior,Troll,NPC
a_human_commoner01,36,Rogue,Pirate,NPC
a_troll_citizen02,37,Shadow Knight,Troll,NPC
a_luggald_concealer03,39,Wizard,Luggalds,NPC
a_luggald_subverter06,39,Enchanter,Luggalds,NPC
an_erudite_resident02,40,Rogue,Pirate,NPC
a_raging_Broken_Skull_boar01,41,Warrior,War Boar,NPC
a_raging_Broken_Skull_boar00,41,Warrior,War Boar,NPC
a_deep_rock_lotus09,36,Warrior,Man-Eating Plant,NPC
Blood_Tusk00,40,Warrior,War Boar,NPC
a_ferocious_Broken_Skull_boar0,37,Warrior,War Boar,NPC
an_erudite_resident01,39,Rogue,Pirate,NPC
a_tamed_Broken_Skull_boar00,36,Warrior,War Boar,NPC
a_troll_commoner00,37,Warrior,Troll,NPC
a_luggald_concealer02,37,Wizard,Luggalds,NPC
an_erudite_pillager01,35,Warrior,Pirate,NPC
a_luggald_concealer01,39,Wizard,Luggalds,NPC
an_erudite_marauder02,36,Warrior,Pirate,NPC
a_luggald_subverter05,39,Enchanter,Luggalds,NPC
an_erudite_plunderer06,34,Rogue,Pirate,NPC
a_human_plunderer06,34,Rogue,Pirate,NPC
a_gnome_plunderer04,33,Rogue,Pirate,NPC
a_human_pillager01,35,Warrior,Pirate,NPC
an_erudite_plunderer05,32,Rogue,Pirate,NPC
an_ogre_marauder02,38,Shadow Knight,Pirate,NPC
a_gnome_pillager01,36,Warrior,Pirate,NPC
a_human_plunderer05,32,Rogue,Pirate,NPC
an_ogre_marauder01,36,Shadow Knight,Pirate,NPC
a_troll_resident01,40,Warrior,Troll,NPC
a_human_marauder01,37,Warrior,Pirate,NPC
a_Broken_Skull_warrior11,36,Warrior,Troll,NPC
#Greysong_ship_debris00,70,LDoN Object,Human,NPC
a_Broken_Skull_warrior10,38,Warrior,Troll,NPC
