Name,Level,Class,Race,Type
thought_destroyer00,55,Bard,Zombie,NPC
Maestro_of_Rancor00,75,Warrior,Vampire,NPC
an_ire_ghast23,51,Shadow Knight,Ghoul,NPC
an_ire_ghast22,52,Shadow Knight,Ghoul,NPC
an_ire_ghast21,54,Shadow Knight,Ghoul,NPC
an_ire_ghast20,52,Shadow Knight,Ghoul,NPC
an_ire_ghast19,52,Shadow Knight,Ghoul,NPC
an_ire_ghast18,51,Shadow Knight,Ghoul,NPC
an_ire_ghast17,54,Shadow Knight,Ghoul,NPC
an_ire_ghast16,53,Shadow Knight,Ghoul,NPC
an_ire_ghast15,49,Shadow Knight,Ghoul,NPC
an_ire_ghast14,50,Shadow Knight,Ghoul,NPC
an_ire_ghast13,55,Shadow Knight,Ghoul,NPC
an_ire_ghast12,52,Shadow Knight,Ghoul,NPC
an_ire_ghast11,54,Shadow Knight,Ghoul,NPC
an_ire_ghast10,54,Shadow Knight,Ghoul,NPC
an_ire_ghast09,54,Shadow Knight,Ghoul,NPC
an_ire_ghast08,54,Shadow Knight,Ghoul,NPC
an_ire_ghast07,52,Shadow Knight,Ghoul,NPC
an_ire_ghast06,55,Shadow Knight,Ghoul,NPC
an_ire_ghast05,51,Shadow Knight,Ghoul,NPC
an_ire_ghast04,51,Shadow Knight,Ghoul,NPC
an_ire_ghast03,52,Shadow Knight,Ghoul,NPC
an_ire_ghast02,55,Shadow Knight,Ghoul,NPC
an_ire_ghast01,53,Shadow Knight,Ghoul,NPC
an_ire_ghast00,49,Shadow Knight,Ghoul,NPC
an_assassin_of_hate13,63,Rogue,Knight of Hate,NPC
an_assassin_of_hate11,64,Rogue,Knight of Hate,NPC
an_assassin_of_hate10,64,Rogue,Knight of Hate,NPC
an_assassin_of_hate09,63,Rogue,Knight of Hate,NPC
an_assassin_of_hate08,64,Rogue,Knight of Hate,NPC
an_assassin_of_hate07,64,Rogue,Knight of Hate,NPC
an_assassin_of_hate06,63,Rogue,Knight of Hate,NPC
an_assassin_of_hate05,64,Rogue,Knight of Hate,NPC
an_assassin_of_hate04,63,Rogue,Knight of Hate,NPC
an_assassin_of_hate03,63,Rogue,Knight of Hate,NPC
an_assassin_of_hate02,64,Rogue,Knight of Hate,NPC
an_assassin_of_hate01,64,Rogue,Knight of Hate,NPC
an_assassin_of_hate00,64,Rogue,Knight of Hate,NPC
an_ashenbone_drake10,51,Necromancer,Dragon,NPC
an_ashenbone_drake08,51,Necromancer,Dragon,NPC
an_ashenbone_drake07,52,Necromancer,Dragon,NPC
an_ashenbone_drake04,49,Necromancer,Dragon,NPC
an_ashenbone_drake03,52,Necromancer,Dragon,NPC
an_ashenbone_drake02,52,Necromancer,Dragon,NPC
an_ashenbone_drake01,53,Necromancer,Dragon,NPC
an_ashenbone_drake00,51,Necromancer,Dragon,NPC
an_agent_of_hate12,61,Rogue,Knight of Hate,NPC
an_agent_of_hate11,62,Rogue,Knight of Hate,NPC
an_agent_of_hate10,62,Rogue,Knight of Hate,NPC
an_agent_of_hate09,61,Rogue,Knight of Hate,NPC
an_agent_of_hate08,62,Rogue,Knight of Hate,NPC
an_agent_of_hate07,61,Rogue,Knight of Hate,NPC
an_agent_of_hate06,61,Rogue,Knight of Hate,NPC
an_agent_of_hate05,62,Rogue,Knight of Hate,NPC
an_agent_of_hate04,62,Rogue,Knight of Hate,NPC
an_agent_of_hate03,62,Rogue,Knight of Hate,NPC
an_agent_of_hate02,62,Rogue,Knight of Hate,NPC
an_agent_of_hate01,61,Rogue,Knight of Hate,NPC
an_agent_of_hate00,61,Rogue,Knight of Hate,NPC
an_abhorrent11,51,Rogue,Gargoyle,NPC
an_abhorrent10,54,Rogue,Gargoyle,NPC
