Name,Level,Class,Race,Type
#Ralo_the_Black00,55,Rogue,Gnome,NPC
a_luggald_seditionist12,56,Warrior,Luggald,NPC
a_Broken_Skull_blademaster06,55,Warrior,Troll,NPC
a_luggald_saboteur01,52,Warrior,Luggald,NPC
lascar_second_class05,52,Warrior,Troll,NPC
a_luggald_harpooner10,54,Warrior,Luggald,NPC
a_Broken_Skull_blademaster05,55,Warrior,Troll,NPC
a_stowaway_rat17,52,Warrior,Rat,NPC
a_stowaway_rat16,54,Warrior,Rat,NPC
a_stowaway_rat15,52,Warrior,Rat,NPC
a_stowaway_rat14,54,Warrior,Rat,NPC
a_stowaway_rat13,53,Warrior,Rat,NPC
a_stowaway_rat12,53,Warrior,Rat,NPC
a_stowaway_rat11,52,Warrior,Rat,NPC
a_stowaway_rat10,53,Warrior,Rat,NPC
a_stowaway_rat09,54,Warrior,Rat,NPC
a_stowaway_rat08,54,Warrior,Rat,NPC
a_stowaway_rat07,53,Warrior,Rat,NPC
a_stowaway_rat06,52,Warrior,Rat,NPC
a_stowaway_rat05,53,Warrior,Rat,NPC
a_stowaway_rat04,52,Warrior,Rat,NPC
a_stowaway_rat03,53,Warrior,Rat,NPC
a_stowaway_rat02,53,Warrior,Rat,NPC
a_stowaway_rat01,54,Warrior,Rat,NPC
a_stowaway_rat00,52,Warrior,Rat,NPC
Attendant_Mi`Ta00,75,Warrior,Pirate,NPC
a_Broken_Skull_blademaster04,55,Warrior,Troll,NPC
a_luggald_seditionist11,55,Warrior,Luggald,NPC
a_luggald_priest01,56,Cleric,Luggald,NPC
lascar_first_class08,54,Warrior,Troll,NPC
a_Broken_Skull_scrounger07,55,Warrior,Troll,NPC
a_luggald_seditionist10,56,Warrior,Luggald,NPC
a_luggald_seditionist09,54,Warrior,Luggald,NPC
a_Broken_Skull_blademaster03,55,Warrior,Troll,NPC
lascar_first_class07,54,Warrior,Troll,NPC
a_Broken_Skull_scrounger06,55,Warrior,Troll,NPC
a_Broken_Skull_scrounger05,54,Warrior,Troll,NPC
a_Broken_Skull_blademaster02,55,Warrior,Troll,NPC
a_Broken_Skull_plunderer01,55,Warrior,Troll,NPC
a_loremaster01,54,Shaman,Troll,NPC
a_treasure_room_guard01,54,Warrior,Troll,NPC
Shoqui_the_Forgotten00,58,Shadow Knight,Troll Zombie,NPC
a_Broken_Skull_plunderer00,55,Warrior,Troll,NPC
a_reanimated_loader00,55,Warrior,Troll Zombie,NPC
a_loremaster00,53,Shaman,Troll,NPC
