Name,Level,Class,Race,Type
a_guard00,26,Warrior,Human,NPC
Guard_Kovan00,24,Warrior,Human,NPC
Guard_Duras00,27,Warrior,Human,NPC
Guard_Bicker00,27,Warrior,Human,NPC
Guard_Queztin01,24,Warrior,Human,NPC
Guard_Antilles00,27,Warrior,Human,NPC
Guard_Bach00,23,Warrior,Human,NPC
Guard_Heltch00,23,Warrior,Human,NPC
Guard_Drugan00,23,Warrior,Human,NPC
Guard_Rance00,30,Warrior,Human,NPC
Guard_Queztin00,23,Warrior,Human,NPC
Guard_Lancel00,23,Warrior,Human,NPC
Guard_Xantar00,26,Warrior,Human,NPC
Guard_Mytin00,31,Warrior,Human,NPC
Guard_Jaxon00,30,Warrior,Human,NPC
Guard_Clyzen00,23,Warrior,Human,NPC
Guard_Bonner00,27,Warrior,Human,NPC
a_guard06,25,Warrior,Human,NPC
Guard_Diff00,27,Warrior,Human,NPC
Guard_Yeltin00,25,Warrior,Human,NPC
Guard_Golgon00,23,Warrior,Human,NPC
Guard_Folton00,23,Warrior,Human,NPC
Guard_Dister00,26,Warrior,Human,NPC
Captain_Bosec00,34,Warrior,Human,NPC
a_guard05,24,Warrior,Human,NPC
Guard_Blayle00,20,Warrior,Human,NPC
Guard_Qanyl00,29,Warrior,Human,NPC
Guard_Dwight00,32,Warrior,Human,NPC
Guard_Gechop00,27,Warrior,Human,NPC
Guard_Anleal00,29,Warrior,Human,NPC
Guard_Sydl00,30,Warrior,Human,NPC
Guard_Lorton00,27,Warrior,Human,NPC
Tarn_Visilin00,45,Shopkeeper,Erudite,NPC
Justin_Ryhmes00,45,Shopkeeper,Human,NPC
Assistant_Kiolna00,25,Warrior,Half Elf,NPC
Miner_Harton00,45,Shopkeeper,Human,NPC
Isabella_Cellus00,40,Warrior,Human,NPC
a_prisoner05,8,Warrior,Beggar,NPC
a_prisoner03,9,Warrior,Beggar,NPC
Baker_Jena00,40,Shopkeeper,Human,NPC
Dealer_Shonta00,20,Shopkeeper,Human,NPC
Merchant_Edina00,40,Shopkeeper,Human,NPC
Merchant_Dominik00,40,Shopkeeper,Human,NPC
Ran_Flamespinner00,61,Wizard GM,Human,NPC
a_maid00,12,Rogue,Human,NPC
Dulcyna_Blackhand00,45,Monk,Human,NPC
a_kitchen_drudge02,8,Rogue,Human,NPC
a_kitchen_drudge01,8,Rogue,Human,NPC
a_kitchen_drudge00,9,Rogue,Human,NPC
Flayer_Hopkins00,25,Warrior,Human,NPC
Dyrna_N`lith00,38,Necromancer,Dark Elf,NPC
Purchin_Oddsbot00,33,Wizard,Human,NPC
a_prisoner00,12,Warrior,Beggar,NPC
Bank_Clerk_Jaylin00,99,Banker,Human,NPC
Jail_Clerk_Maryl00,40,Warrior,Human,NPC
a_clerk00,45,Shopkeeper,Human,NPC
a_dealer00,45,Shopkeeper,Human,NPC
Dealer_Maeline00,45,Shopkeeper,Human,NPC
a_guard04,25,Warrior,Human,NPC
a_guard03,23,Warrior,Human,NPC
a_crazed_goblin02,22,Warrior,Goblin,NPC
a_crazed_goblin01,23,Warrior,Goblin,NPC
a_pickclaw_lookout02,24,Warrior,Goblin,NPC
a_guard01,23,Warrior,Human,NPC
a_pickclaw_lookout01,22,Warrior,Goblin,NPC
Treasurer_Lynn00,30,Warrior,Human,NPC
a_pickclaw_cabalist03,23,Shaman,Goblin,NPC
a_Pickclaw_seer00,31,Shaman,Goblin,NPC
a_pickclaw_raider00,33,Warrior,Goblin,NPC
a_Pickclaw_warrior01,32,Warrior,Goblin,NPC
a_pickclaw_visionary00,26,Shaman,Goblin,NPC
a_pickclaw_cabalist02,25,Shaman,Goblin,NPC
a_crazed_goblin00,22,Warrior,Goblin,NPC
a_pickclaw_cabalist01,24,Shaman,Goblin,NPC
Guard_Handy00,29,Warrior,Human,NPC
a_Pickclaw_warrior00,31,Warrior,Goblin,NPC
a_Pickclaw_guard01,27,Warrior,Goblin,NPC
a_pickclaw_lookout00,24,Warrior,Goblin,NPC
a_Pickclaw_guard00,27,Warrior,Goblin,NPC
a_pickclaw_cabalist00,23,Shaman,Goblin,NPC
Guard_Bolton00,27,Warrior,Human,NPC
Guard_Chin00,29,Warrior,Human,NPC
Guard_Onto00,24,Warrior,Human,NPC
Guard_Kheb00,29,Warrior,Human,NPC
Guard_Ruan00,24,Warrior,Human,NPC
Tearon_Bleanix00,30,Paladin,Ancient Skeleton,NPC
Rodrick_Marslett00,13,Warrior,High Elf,NPC
Captain_Boshinko00,40,Warrior,Human,NPC
Guard_Sintra00,30,Warrior,Human,NPC
Lislia_Goldtune00,25,Bard,Human,NPC
Krystalle_Corsair00,30,Shopkeeper,Erudite,NPC
Grahm_Embersmith00,40,Shopkeeper,Human,NPC
a_prisoner04,10,Warrior,Beggar,NPC
Princess_Lenia00,19,Necromancer,High Elf,NPC
Lucky_the_Beggar00,6,Rogue,Beggar,NPC
a_prisoner01,11,Warrior,Beggar,NPC
a_noble02,40,Rogue,Human,NPC
Osargen00,22,Rogue,Human,NPC
Tyrana_Slil00,31,Necromancer,Dark Elf,NPC
Mistress_Anna00,35,Rogue,Human,NPC
Storm_Dragonchaser00,40,Bard,Human,NPC
Starr_DreamSpinner00,40,Bard,Human,NPC
Guard_Wextr00,26,Warrior,Human,NPC
a_prisoner02,8,Warrior,Beggar,NPC
a_noble01,38,Rogue,Human,NPC
a_noble00,40,Rogue,Human,NPC
Guard_Chopin00,24,Warrior,Human,NPC
a_guard02,23,Warrior,Human,NPC
Aeris_Greymalkyn00,37,Necromancer,Human,NPC
