Name,Level,Class,Race,Type
a_guard22,24,Warrior,Human,NPC
#Barkeep_Eddrix00,60,Warrior,Gnome,NPC
Creq_Trinkem00,30,Warrior,Human,NPC
Vranol_Blackguard00,50,Necromancer,Human,NPC
Guard_Draugdin00,70,Warrior,Human,NPC
Alhareen_the_Just00,61,Shaman,Barbarian,NPC
a_smuggler13,19,Rogue,Human,NPC
a_smuggler12,17,Rogue,Human,NPC
a_smuggler11,17,Rogue,Human,NPC
a_smuggler10,14,Rogue,Human,NPC
a_smuggler09,17,Rogue,Human,NPC
a_smuggler08,15,Rogue,Human,NPC
a_smuggler07,14,Rogue,Human,NPC
a_smuggler06,16,Rogue,Human,NPC
a_smuggler05,16,Rogue,Human,NPC
a_smuggler04,16,Rogue,Human,NPC
a_smuggler03,17,Rogue,Human,NPC
a_smuggler02,17,Rogue,Human,NPC
a_smuggler01,17,Rogue,Human,NPC
Malik_Zaren00,16,Wizard,Erudite,NPC
a_Highpass_citizen36,24,Warrior,Human,NPC
a_Highpass_citizen35,24,Warrior,Human,NPC
a_Highpass_citizen34,25,Warrior,Half Elf,NPC
a_Highpass_citizen33,20,Warrior,Human,NPC
Wres_Corber00,34,Rogue,Human,NPC
a_Highpass_citizen32,20,Warrior,Half Elf,NPC
a_Highpass_citizen31,23,Warrior,Human,NPC
a_Highpass_citizen30,23,Warrior,Half Elf,NPC
a_Highpass_citizen29,23,Warrior,Half Elf,NPC
a_Highpass_citizen28,25,Warrior,Half Elf,NPC
a_Highpass_citizen27,23,Warrior,Human,NPC
a_Highpass_citizen26,24,Warrior,Half Elf,NPC
a_Highpass_citizen25,23,Warrior,Human,NPC
a_Highpass_citizen24,24,Warrior,Half Elf,NPC
a_Highpass_citizen23,24,Warrior,Half Elf,NPC
a_Highpass_citizen22,24,Warrior,Human,NPC
a_Highpass_citizen21,24,Warrior,Human,NPC
a_Highpass_citizen20,23,Warrior,Human,NPC
a_Highpass_citizen19,23,Warrior,Half Elf,NPC
a_Highpass_citizen18,25,Warrior,Human,NPC
a_Highpass_citizen17,14,Warrior,Half Elf,NPC
a_Highpass_citizen16,19,Warrior,Human,NPC
a_Highpass_citizen15,17,Warrior,Half Elf,NPC
a_Highpass_citizen14,17,Warrior,Human,NPC
a_Highpass_citizen13,19,Warrior,Half Elf,NPC
a_guard04,24,Warrior,Human,NPC
a_Highpass_citizen12,17,Warrior,Human,NPC
a_Highpass_citizen11,19,Warrior,Human,NPC
