Name,Level,Class,Race,Type
a_Guardian_of_Marr55,61,Warrior,Ancient Animated Armor,NPC
a_Guardian_of_Marr24,61,Warrior,Ancient Animated Armor,NPC
a_Guardian_of_Marr06,61,Warrior,Ancient Animated Armor,NPC
a_Valiant_Spirit28,62,Warrior,Ancient Animated Armor,NPC
a_Guardian_of_Marr20,61,Warrior,Ancient Animated Armor,NPC
a_Guardian_of_Marr02,61,Warrior,Ancient Animated Armor,NPC
a_Valiant_Spirit27,62,Warrior,Ancient Animated Armor,NPC
a_Guardian_of_Marr00,61,Warrior,Ancient Animated Armor,NPC
a_Guardian_of_Marr01,61,Warrior,Ancient Animated Armor,NPC
an_animated_Guardian00,61,Warrior,Ancient Animated Armor,NPC
a_Protector_of_Marr03,61,Warrior,Ancient Animated Armor,NPC
a_Guardian_of_Marr14,61,Warrior,Ancient Animated Armor,NPC
a_Valorian_Guard22,62,Warrior,Human,NPC
Lieutenant_Noton_Jurnnes00,65,Warrior,Human,NPC
a_Valorian_Guard01,62,Warrior,Human,NPC
a_Valorian_Guardian24,62,Warrior,Human,NPC
a_Wrulon_Guard11,61,Warrior,Wrulon,NPC
a_Valorian_Guard11,62,Warrior,Human,NPC
a_Wrulon_Guard02,61,Warrior,Wrulon,NPC
a_Valorian_Guardian22,62,Warrior,Human,NPC
an_animated_Guardian09,61,Warrior,Ancient Animated Armor,NPC
a_Wrulon_Guard01,61,Warrior,Wrulon,NPC
an_animated_Guardian08,61,Warrior,Ancient Animated Armor,NPC
a_Wrulon_Guard00,61,Warrior,Wrulon,NPC
an_Undead_Inhabitant10,66,Shadow Knight,Ancient Animated Armor,NPC
Lieutenant_Keded_Merdunk00,65,Warrior,Human,NPC
a_Guardian_of_Marr13,61,Warrior,Ancient Animated Armor,NPC
a_Guardian_of_Marr78,61,Warrior,Ancient Animated Armor,NPC
a_Guardian_of_Marr77,61,Warrior,Ancient Animated Armor,NPC
a_Recuso_Degenerate06,66,Warrior,Recuso,NPC
Lieutenant_Fihat_Rythad00,65,Warrior,Human,NPC
a_Rabid_Wrulon05,66,Warrior,Wrulon,NPC
a_Valorian_Guardian21,62,Warrior,Human,NPC
a_Rabid_Wrulon04,66,Warrior,Wrulon,NPC
a_Guardian_of_Marr76,61,Warrior,Ancient Animated Armor,NPC
a_Guardian_of_Marr73,61,Warrior,Ancient Animated Armor,NPC
a_Rabid_Wrulon03,66,Warrior,Wrulon,NPC
a_Guardian_of_Marr72,61,Warrior,Ancient Animated Armor,NPC
a_Recuso_Degenerate05,66,Warrior,Recuso,NPC
a_Guardian_of_Marr45,61,Warrior,Ancient Animated Armor,NPC
a_Rabid_Wrulon02,66,Warrior,Wrulon,NPC
a_Guardian_of_Marr39,61,Warrior,Ancient Animated Armor,NPC
an_Undead_Inhabitant08,66,Shadow Knight,Ancient Animated Armor,NPC
a_Guardian_of_Marr38,61,Warrior,Ancient Animated Armor,NPC
a_Valorian_Guardian16,62,Warrior,Human,NPC
a_Valorian_Guardian15,62,Warrior,Human,NPC
an_Undead_Inhabitant05,66,Shadow Knight,Ancient Animated Armor,NPC
an_Undead_Inhabitant04,66,Shadow Knight,Ancient Animated Armor,NPC
a_Valiant_Spirit19,62,Warrior,Ancient Animated Armor,NPC
an_Undead_Inhabitant03,66,Shadow Knight,Ancient Animated Armor,NPC
a_Valiant_Spirit18,62,Warrior,Ancient Animated Armor,NPC
an_animated_Guardian01,61,Warrior,Ancient Animated Armor,NPC
a_Recuso_Degenerate04,66,Warrior,Recuso,NPC
a_Valorian_Guardian18,62,Warrior,Human,NPC
a_Recuso_Degenerate03,66,Warrior,Recuso,NPC
Eldon_Starkorp00,60,Warrior,Human,NPC
a_Rabid_Wrulon01,66,Warrior,Wrulon,NPC
a_Recuso_Degenerate02,66,Warrior,Recuso,NPC
a_Rabid_Wrulon00,66,Warrior,Wrulon,NPC
a_Valorian_Guardian14,62,Warrior,Human,NPC
A_Valiant_Squire01,46,Warrior,Ancient Animated Armor,NPC
an_Undead_Inhabitant01,66,Shadow Knight,Ancient Animated Armor,NPC
a_Recuso_Degenerate01,66,Warrior,Recuso,NPC
a_Recuso_Degenerate00,66,Warrior,Recuso,NPC
Alekson_Garn00,70,Warrior,Human,NPC
a_Valorian_Guard20,62,Warrior,Human,NPC
a_Valorian_Guard19,62,Warrior,Human,NPC
a_Valorian_Guard18,62,Warrior,Human,NPC
a_Valorian_Guard17,62,Warrior,Human,NPC
A_Wrulon_Youngling01,46,Warrior,Wrulon,NPC
a_Valorian_Guardian37,62,Warrior,Human,NPC
a_Valorian_Guardian36,62,Warrior,Human,NPC
a_Valorian_Sentry_07,63,Warrior,Human,NPC
