Name,Level,Class,Race,Type
An_Honorable_Protector_of_Marr,64,Warrior,Wrulon,NPC
An_Honorable_Protector_of_Marr,64,Warrior,Wrulon,NPC
an_Honorable_Protector07,64,Warrior,Wrulon,NPC
an_Honorable_Protector06,64,Warrior,Wrulon,NPC
an_Honorable_Protector05,64,Warrior,Wrulon,NPC
an_Honorable_Protector04,64,Warrior,Wrulon,NPC
an_Honorable_Protector03,64,Warrior,Wrulon,NPC
an_Honorable_Protector02,64,Warrior,Wrulon,NPC
an_Honorable_Protector01,67,Warrior,Wrulon,NPC
an_Honorable_Protector00,67,Warrior,Wrulon,NPC
a_Guardian_Wrulon09,67,Warrior,Wrulon,NPC
a_Guardian_Wrulon08,67,Warrior,Wrulon,NPC
a_Guardian_Wrulon07,67,Warrior,Wrulon,NPC
a_Guardian_Wrulon06,67,Warrior,Wrulon,NPC
a_Guardian_Wrulon05,67,Warrior,Wrulon,NPC
a_Guardian_Wrulon04,67,Warrior,Wrulon,NPC
a_Guardian_Wrulon03,67,Warrior,Wrulon,NPC
a_Guardian_Wrulon02,67,Warrior,Wrulon,NPC
a_Guardian_Wrulon01,67,Warrior,Wrulon,NPC
a_Guardian_Wrulon00,67,Warrior,Wrulon,NPC
#The_Fabled_Lord_Mithaniel_Mar,90,Warrior,Mithaniel Marr,NPC
Edium_Guardian_of_Marr00,75,Paladin,Human,NPC
Halon_of_Marr00,75,Beastlord,Barbarian,NPC
Ralthazor_Champion_of_Marr00,75,Paladin,Froglok,NPC
a_Temple_Guardian10,67,Warrior,Human,NPC
a_Temple_Guardian09,67,Warrior,Human,NPC
a_Temple_Guardian08,67,Warrior,Human,NPC
a_Wrulon_Guard14,61,Warrior,Wrulon,NPC
a_Wrulon_Guard13,61,Warrior,Wrulon,NPC
a_Wrulon_Guard12,61,Warrior,Wrulon,NPC
a_Wrulon_Guard11,61,Warrior,Wrulon,NPC
Druhar_Gandoc00,69,Warrior,Valorian,NPC
a_Wrulon_Guard10,61,Warrior,Wrulon,NPC
a_Wrulon_Guard09,61,Warrior,Wrulon,NPC
Dogan_Merlok00,68,Warrior,Human,NPC
a_Wrulon_Guard08,61,Warrior,Wrulon,NPC
a_Wrulon_Guard07,61,Warrior,Wrulon,NPC
Bromal_Rythat00,69,Warrior,Valorian,NPC
a_Wrulon_Guard06,61,Warrior,Wrulon,NPC
A_Wrulon_Protector00,61,Warrior,Wrulon,NPC
Rhodoc_Sorenby00,68,Warrior,Human,NPC
a_Wrulon_Guard05,61,Warrior,Wrulon,NPC
a_Wrulon_Guard04,61,Warrior,Wrulon,NPC
a_Temple_Guardian07,67,Warrior,Human,NPC
a_Temple_Guardian06,67,Warrior,Human,NPC
a_Temple_Guardian05,67,Warrior,Human,NPC
a_Temple_Guardian04,67,Warrior,Human,NPC
a_Temple_Guardian03,67,Warrior,Human,NPC
a_Temple_Guardian02,67,Warrior,Human,NPC
a_Wrulon_Guard03,61,Warrior,Wrulon,NPC
a_Wrulon_Guard02,61,Warrior,Wrulon,NPC
a_Temple_Guardian01,67,Warrior,Human,NPC
a_Temple_Guardian00,67,Warrior,Human,NPC
a_Wrulon_Guard01,61,Warrior,Wrulon,NPC
a_Wrulon_Guard00,61,Warrior,Wrulon,NPC
