Name,Level,Class,Race,Type
a_destroyed_construct20,47,Warrior,Golem,NPC
an_elemental_warrior14,38,Warrior,Elemental,NPC
a_spirit_of_the_ruins47,46,Warrior,Ghost,NPC
a_spirit_of_the_ruins46,47,Warrior,Ghost,NPC
a_broken_gargoyle16,58,Warrior,Nightmare Gargoyle,NPC
a_spirit_of_the_ruins45,47,Warrior,Ghost,NPC
a_spirit_of_the_ruins44,46,Warrior,Ghost,NPC
a_spirit_of_the_ruins43,47,Warrior,Ghost,NPC
a_templebound_spirit03,57,Paladin,Ghost,NPC
a_spirit_of_the_ruins42,47,Shadow Knight,Ghost,NPC
a_spirit_of_the_ruins41,45,Warrior,Ghost,NPC
a_spirit_of_the_ruins40,45,Paladin,Ghost,NPC
a_spirit_of_the_ruins39,46,Warrior,Ghost,NPC
a_spirit_of_the_ruins38,45,Warrior,Ghost,NPC
a_spirit_of_the_ruins36,46,Warrior,Ghost,NPC
a_spirit_of_the_ruins35,45,Warrior,Ghost,NPC
a_spirit_of_the_ruins34,47,Warrior,Ghost,NPC
a_spirit_of_the_ruins33,46,Warrior,Ghost,NPC
a_spirit_of_the_ruins31,47,Warrior,Ghost,NPC
a_spirit_of_the_ruins28,45,Warrior,Ghost,NPC
a_spirit_of_the_ruins27,47,Shadow Knight,Ghost,NPC
a_spirit_of_the_ruins26,45,Warrior,Ghost,NPC
a_spirit_of_the_ruins25,47,Warrior,Ghost,NPC
a_spirit_of_the_ruins24,46,Warrior,Ghost,NPC
a_spirit_of_the_ruins23,46,Warrior,Ghost,NPC
a_spirit_of_the_ruins22,46,Warrior,Ghost,NPC
a_spirit_of_the_ruins21,45,Warrior,Ghost,NPC
a_spirit_of_the_ruins20,47,Warrior,Ghost,NPC
a_spirit_of_the_ruins19,46,Warrior,Ghost,NPC
a_spirit_of_the_ruins18,46,Warrior,Ghost,NPC
a_spirit_of_the_ruins17,47,Warrior,Ghost,NPC
a_spirit_of_the_old_city64,52,Shadow Knight,Ghost,NPC
