Name,Level,Class,Race,Type
a_grimling_spiritist09,26,Shaman,Grimling,NPC
a_grimling_overseer03,27,Warrior,Grimling,NPC
a_grimling_lookout05,20,Warrior,Grimling,NPC
a_grimling_fisherman24,16,Warrior,Grimling,NPC
a_grimling_fisherman23,17,Warrior,Grimling,NPC
a_grimling_fisherman22,19,Warrior,Grimling,NPC
a_grimling_fisherman21,20,Warrior,Grimling,NPC
a_grimling_fisherman20,18,Warrior,Grimling,NPC
a_grimling_fisherman19,20,Warrior,Grimling,NPC
a_grimling_fisherman18,20,Warrior,Grimling,NPC
a_grimling_lookout04,18,Warrior,Grimling,NPC
a_grimling_pickpocket04,18,Rogue,Grimling,NPC
a_grimling_pickpocket03,19,Rogue,Grimling,NPC
a_grimling_spiritist08,27,Shaman,Grimling,NPC
a_grimling_mystic13,19,Shaman,Grimling,NPC
a_grimling_mystic12,18,Shaman,Grimling,NPC
a_grimling_recruit05,20,Warrior,Grimling,NPC
a_grimling_mystic04,19,Shaman,Grimling,NPC
a_grimling_overseer00,24,Warrior,Grimling,NPC
a_grimling_recruit06,20,Warrior,Grimling,NPC
a_grimling_mystic10,18,Shaman,Grimling,NPC
a_grimling_fisherman13,20,Warrior,Grimling,NPC
a_grimling_fisherman12,16,Warrior,Grimling,NPC
a_grimling_pickpocket01,18,Rogue,Grimling,NPC
a_grimling_mystic09,19,Shaman,Grimling,NPC
a_grimling_overseer02,28,Warrior,Grimling,NPC
a_grimling_thief08,28,Rogue,Grimling,NPC
a_grimling_mystic08,18,Shaman,Grimling,NPC
a_grimling_recruit04,16,Warrior,Grimling,NPC
a_grimling_pickpocket00,16,Rogue,Grimling,NPC
a_grimling_thief07,26,Rogue,Grimling,NPC
a_grimling_overseer01,25,Warrior,Grimling,NPC
a_grimling_mystic05,17,Shaman,Grimling,NPC
a_grimling_lookout03,17,Warrior,Grimling,NPC
a_grimling_herder04,16,Warrior,Grimling,NPC
a_grimling_fisherman17,20,Warrior,Grimling,NPC
a_grimling_fisherman16,19,Warrior,Grimling,NPC
a_grimling_fisherman15,17,Warrior,Grimling,NPC
a_grimling_fisherman14,20,Warrior,Grimling,NPC
a_grimling_fisherman11,19,Warrior,Grimling,NPC
a_grimling_fisherman10,17,Warrior,Grimling,NPC
a_grimling_herder02,17,Warrior,Grimling,NPC
a_grimling_herder08,16,Warrior,Grimling,NPC
a_grimling_herder07,17,Warrior,Grimling,NPC
a_grimling_herder06,19,Warrior,Grimling,NPC
a_grimling_herder05,20,Warrior,Grimling,NPC
a_grimling_herder03,18,Warrior,Grimling,NPC
a_patrolling_recruit01,20,Warrior,Grimling,NPC
a_grimling_recruit03,17,Warrior,Grimling,NPC
a_grimling_recruit02,17,Warrior,Grimling,NPC
a_grimling_fisherman09,19,Warrior,Grimling,NPC
a_grimling_fisherman08,19,Warrior,Grimling,NPC
a_grimling_lookout02,17,Warrior,Grimling,NPC
a_grimling_fisherman07,18,Warrior,Grimling,NPC
a_grimling_mystic03,19,Shaman,Grimling,NPC
a_grimling_soldier05,28,Warrior,Grimling,NPC
a_grimling_recruit01,16,Warrior,Grimling,NPC
a_grimling_fisherman06,18,Warrior,Grimling,NPC
a_grimling_mystic02,16,Shaman,Grimling,NPC
a_grimling_thief06,24,Rogue,Grimling,NPC
a_grimling_fisherman05,18,Warrior,Grimling,NPC
a_grimling_fisherman04,16,Warrior,Grimling,NPC
a_grimling_fisherman03,19,Warrior,Grimling,NPC
a_grimling_fisherman02,20,Warrior,Grimling,NPC
a_patrolling_recruit00,18,Warrior,Grimling,NPC
a_grimling_thief05,26,Rogue,Grimling,NPC
a_grimling_recruit00,19,Warrior,Grimling,NPC
a_grimling_mystic01,19,Shaman,Grimling,NPC
a_grimling_mystic00,17,Shaman,Grimling,NPC
a_grimling_fisherman01,19,Warrior,Grimling,NPC
a_grimling_fisherman00,17,Warrior,Grimling,NPC
a_grimling_thief04,25,Rogue,Grimling,NPC
a_grimling_herder00,26,Rogue,Grimling,NPC
a_patrolling_grimling02,24,Rogue,Grimling,NPC
a_patrolling_grimling01,27,Rogue,Grimling,NPC
a_patrolling_grimling00,26,Rogue,Grimling,NPC
a_grimling_lookout01,25,Rogue,Grimling,NPC
a_grimling_lookout00,27,Rogue,Grimling,NPC
a_grimling_spiritist07,27,Shaman,Grimling,NPC
a_grimling_thief03,25,Rogue,Grimling,NPC
a_grimling_spiritist06,24,Shaman,Grimling,NPC
a_grimling_soldier04,26,Warrior,Grimling,NPC
a_grimling_soldier03,27,Warrior,Grimling,NPC
a_grimling_soldier02,26,Warrior,Grimling,NPC
a_grimling_spiritist05,27,Shaman,Grimling,NPC
a_grimling_spiritist04,27,Shaman,Grimling,NPC
a_grimling_thief02,27,Rogue,Grimling,NPC
a_grimling_spiritist03,27,Shaman,Grimling,NPC
a_grimling_soldier01,26,Warrior,Grimling,NPC
a_grimling_soldier00,24,Warrior,Grimling,NPC
a_grimling_spiritist02,25,Shaman,Grimling,NPC
a_grimling_thief01,27,Rogue,Grimling,NPC
a_grimling_thief00,28,Rogue,Grimling,NPC
a_grimling_priest00,28,Shaman,Grimling,NPC
a_grimling_bodyguard01,28,Warrior,Grimling,NPC
a_grimling_bodyguard00,25,Warrior,Grimling,NPC
a_grimling_spiritist01,27,Shaman,Grimling,NPC
a_grimling_spiritist00,28,Shaman,Grimling,NPC
a_grimling_chieftain00,33,Warrior,Grimling,NPC
Sellenna_Helmark00,50,Warrior,Vah Shir,NPC
Lezeara_Veristar00,50,Warrior,Vah Shir,NPC
Brysta_Ducorran00,50,Warrior,Vah Shir,NPC
Kallistar_Crestborune00,50,Warrior,Erudite,NPC
Brenyon_Seng00,50,Warrior,Erudite,NPC
a_blackfin_minnow07,16,Warrior,Wetfang Minnow,NPC
a_blackfin_minnow06,14,Warrior,Wetfang Minnow,NPC
a_blackfin_minnow05,12,Warrior,Wetfang Minnow,NPC
a_blackfin_minnow04,15,Warrior,Wetfang Minnow,NPC
a_blackfin_minnow03,16,Warrior,Wetfang Minnow,NPC
a_blackfin_minnow02,13,Warrior,Wetfang Minnow,NPC
a_blackfin_minnow01,12,Warrior,Wetfang Minnow,NPC
a_blackfin_minnow00,12,Warrior,Wetfang Minnow,NPC
a_moor_tortoise28,14,Warrior,Sea Turtle,NPC
a_moor_tortoise27,16,Warrior,Sea Turtle,NPC
a_moor_tortoise26,15,Warrior,Sea Turtle,NPC
a_moor_tortoise25,14,Warrior,Sea Turtle,NPC
a_moor_tortoise24,15,Warrior,Sea Turtle,NPC
a_moor_tortoise23,15,Warrior,Sea Turtle,NPC
a_moor_tortoise22,14,Warrior,Sea Turtle,NPC
a_moor_tortoise21,15,Warrior,Sea Turtle,NPC
a_moor_tortoise20,14,Warrior,Sea Turtle,NPC
a_moor_tortoise19,16,Warrior,Sea Turtle,NPC
a_moor_tortoise18,15,Warrior,Sea Turtle,NPC
a_moor_tortoise17,16,Warrior,Sea Turtle,NPC
a_moor_tortoise16,15,Warrior,Sea Turtle,NPC
a_moor_tortoise15,16,Warrior,Sea Turtle,NPC
a_moor_tortoise14,15,Warrior,Sea Turtle,NPC
a_moor_tortoise13,15,Warrior,Sea Turtle,NPC
a_moor_tortoise12,16,Warrior,Sea Turtle,NPC
a_moor_tortoise11,16,Warrior,Sea Turtle,NPC
a_moor_tortoise10,15,Warrior,Sea Turtle,NPC
a_moor_tortoise09,14,Warrior,Sea Turtle,NPC
a_moor_tortoise08,16,Warrior,Sea Turtle,NPC
a_rhinobeetle10,12,Rogue,Rhino Beetle,NPC
a_moor_tortoise06,14,Warrior,Sea Turtle,NPC
a_moor_tortoise05,15,Warrior,Sea Turtle,NPC
a_moor_tortoise04,16,Warrior,Sea Turtle,NPC
a_moor_tortoise03,16,Warrior,Sea Turtle,NPC
a_moor_tortoise02,14,Warrior,Sea Turtle,NPC
a_moor_tortoise01,16,Warrior,Sea Turtle,NPC
a_moor_tortoise00,15,Warrior,Sea Turtle,NPC
a_rhinobeetle08,10,Rogue,Rhino Beetle,NPC
a_rhinobeetle07,12,Rogue,Rhino Beetle,NPC
a_rockhopper15,8,Warrior,Rockhopper,NPC
a_rockhopper14,9,Warrior,Rockhopper,NPC
a_rhinobeetle06,13,Rogue,Rhino Beetle,NPC
a_rockhopper12,9,Warrior,Rockhopper,NPC
a_rockhopper10,11,Warrior,Rockhopper,NPC
a_rockhopper09,8,Warrior,Rockhopper,NPC
a_rhinobeetle05,8,Rogue,Rhino Beetle,NPC
a_rockhopper08,8,Warrior,Rockhopper,NPC
a_rockhopper07,8,Warrior,Rockhopper,NPC
a_rockhopper06,13,Warrior,Rockhopper,NPC
