Name,Level,Class,Race,Type
#pulsating_icestorm00,34,Warrior,Snow Dervish,NPC
a_dire_wolf14,33,Warrior,Ancient Wolf,NPC
a_dire_wolf13,32,Warrior,Ancient Wolf,NPC
a_dire_wolf12,32,Warrior,Ancient Wolf,NPC
pirate_lookout01,26,Rogue,Gnome,NPC
a_dire_wolf09,31,Warrior,Ancient Wolf,NPC
a_dire_wolf07,31,Warrior,Ancient Wolf,NPC
a_dire_wolf06,32,Warrior,Ancient Wolf,NPC
a_shadow_guardian21,27,Monk,Snow Dervish,NPC
Lodizal00,60,Warrior,Sea Turtle,NPC
a_frost_giant_scout01,34,Warrior,Giant,NPC
a_snow_cougar04,27,Warrior,Puma,NPC
a_frost_giant_scout00,34,Warrior,Giant,NPC
a_shadow_guardian18,27,Monk,Snow Dervish,NPC
a_shadow_guardian17,30,Monk,Snow Dervish,NPC
a_shadow_guardian16,27,Monk,Snow Dervish,NPC
a_shadow_guardian06,29,Monk,Snow Dervish,NPC
a_snow_cougar33,27,Warrior,Puma,NPC
#Midnight00,32,Warrior,Puma,NPC
a_snow_cougar32,30,Warrior,Puma,NPC
a_shadow_guardian01,31,Monk,Snow Dervish,NPC
a_snow_cougar30,27,Warrior,Puma,NPC
a_snow_cougar29,30,Warrior,Puma,NPC
a_snow_cougar28,28,Warrior,Puma,NPC
a_snow_cougar27,29,Warrior,Puma,NPC
a_snow_cougar26,29,Warrior,Puma,NPC
a_frost_giant_elite00,36,Warrior,Giant,NPC
a_snow_cougar25,27,Warrior,Puma,NPC
a_snow_cougar22,29,Warrior,Puma,NPC
a_snow_cougar18,27,Warrior,Puma,NPC
a_snow_cougar16,27,Warrior,Puma,NPC
a_snow_cougar07,27,Warrior,Puma,NPC
a_shadow_guardian22,29,Monk,Snow Dervish,NPC
a_snow_cougar14,27,Warrior,Puma,NPC
a_snow_cougar05,30,Warrior,Puma,NPC
Balix_Misteyes00,51,Shaman,Gnoll,NPC
a_dire_wolf05,33,Warrior,Ancient Wolf,NPC
a_dire_wolf04,33,Warrior,Ancient Wolf,NPC
