Name,Level,Class,Race,Type
a_froglok_forager00,5,Warrior,Froglok,NPC
Stragak00,45,Shopkeeper,Troll,NPC
giant_water_moccasin04,9,Warrior,Snake,NPC
giant_water_moccasin01,8,Warrior,Snake,NPC
a_large_rat06,1,Warrior,Rat,NPC
a_young_water_moccasin07,1,Warrior,Snake,NPC
a_snake09,1,Warrior,Snake,NPC
a_fungus_spore04,1,Ranger,Fungusman,NPC
a_snake07,1,Warrior,Snake,NPC
#Basher_Nkekta00,50,Warrior,Troll,NPC
a_lesser_kobold01,2,Warrior,Kobold,NPC
a_decaying_skeleton02,1,Warrior,Ancient Skeleton,NPC
a_bull_alligator07,9,Warrior,Alligator,NPC
a_swamp_alligator03,3,Warrior,Alligator,NPC
a_kobold_hunter19,7,Warrior,Kobold,NPC
a_kobold_hunter17,8,Warrior,Kobold,NPC
a_kobold_hunter15,6,Warrior,Kobold,NPC
a_large_rat09,1,Warrior,Rat,NPC
a_lesser_kobold02,2,Warrior,Kobold,NPC
a_froglok_forager04,5,Warrior,Froglok,NPC
a_large_rat08,1,Warrior,Rat,NPC
a_froglok_forager03,5,Warrior,Froglok,NPC
a_lesser_kobold26,2,Warrior,Kobold,NPC
a_lesser_kobold23,2,Warrior,Kobold,NPC
a_giant_rat11,2,Warrior,Rat,NPC
a_froglok27,4,Warrior,Froglok,NPC
a_giant_rat02,2,Warrior,Rat,NPC
a_froglok25,3,Warrior,Froglok,NPC
fungus_man_tracker14,4,Ranger,Fungusman,NPC
fungus_man_tracker10,6,Ranger,Fungusman,NPC
a_froglok18,2,Warrior,Froglok,NPC
a_swamp_alligator19,4,Warrior,Alligator,NPC
a_froglok_tad01,1,Warrior,Tadpole,NPC
a_water_moccasin20,6,Warrior,Snake,NPC
a_froglok_guard02,5,Warrior,Froglok,NPC
a_froglok_guard01,5,Warrior,Froglok,NPC
a_froglok_guard00,4,Warrior,Froglok,NPC
a_froglok_fisherman15,5,Warrior,Froglok,NPC
a_froglok_fisherman00,6,Warrior,Froglok,NPC
a_froglok07,4,Warrior,Froglok,NPC
a_fungus_spore02,1,Ranger,Fungusman,NPC
a_lesser_kobold05,2,Warrior,Kobold,NPC
a_lesser_kobold20,2,Warrior,Kobold,NPC
a_large_rat07,1,Warrior,Rat,NPC
a_lesser_kobold15,2,Warrior,Kobold,NPC
