Name,Level,Class,Race,Type
a_Darkpaw_warrior29,43,Warrior,Gnoll,NPC
a_Darkpaw_warrior28,42,Warrior,Gnoll,NPC
a_potamide_wildling21,40,Warrior,Nymph,NPC
a_potamide_guardian06,39,Warrior,Nymph,NPC
a_Darkpaw_warrior25,44,Warrior,Gnoll,NPC
a_potamide_maiden03,38,Warrior,Nymph,NPC
#a_deformed_basilisk00,31,Warrior,Alligator,NPC
a_Darkpaw_warrior57,44,Warrior,Gnoll,NPC
a_Darkpaw_oracle02,40,Shaman,Gnoll,NPC
a_Darkpaw_warrior20,43,Warrior,Gnoll,NPC
a_Darkpaw_warrior55,43,Warrior,Gnoll,NPC
a_Darkpaw_warrior19,42,Warrior,Gnoll,NPC
a_Darkpaw_warrior54,42,Warrior,Gnoll,NPC
a_Darkpaw_warrior53,43,Warrior,Gnoll,NPC
a_Darkpaw_warrior52,42,Warrior,Gnoll,NPC
a_Darkpaw_warrior51,44,Warrior,Gnoll,NPC
a_Darkpaw_warrior15,43,Warrior,Gnoll,NPC
a_Darkpaw_warrior50,42,Warrior,Gnoll,NPC
a_potamide_maiden00,38,Warrior,Nymph,NPC
a_Darkpaw_warrior49,44,Warrior,Gnoll,NPC
a_Darkpaw_warrior14,43,Warrior,Gnoll,NPC
a_Darkpaw_warrior48,42,Warrior,Gnoll,NPC
a_Darkpaw_warrior47,44,Warrior,Gnoll,NPC
a_Darkpaw_warrior46,42,Warrior,Gnoll,NPC
a_potamide_guardian01,39,Warrior,Nymph,NPC
a_Darkpaw_warrior45,44,Warrior,Gnoll,NPC
a_Darkpaw_warrior11,42,Warrior,Gnoll,NPC
a_Darkpaw_defiler03,42,Necromancer,Gnoll,NPC
a_Darkpaw_warrior44,44,Warrior,Gnoll,NPC
a_cave_basilisk14,31,Warrior,Alligator,NPC
a_cave_basilisk13,32,Warrior,Alligator,NPC
a_cave_basilisk_genitor05,30,Warrior,Alligator,NPC
a_cave_basilisk12,34,Warrior,Alligator,NPC
a_cave_basilisk11,32,Warrior,Alligator,NPC
a_cave_basilisk_genitor04,32,Warrior,Alligator,NPC
a_river_turtle14,30,Warrior,Sea Turtle,NPC
a_cave_basilisk10,32,Warrior,Alligator,NPC
a_river_turtle12,29,Warrior,Sea Turtle,NPC
a_cave_basilisk09,34,Warrior,Alligator,NPC
a_river_turtle11,29,Warrior,Sea Turtle,NPC
a_cave_basilisk08,33,Warrior,Alligator,NPC
a_cave_basilisk07,34,Warrior,Alligator,NPC
a_river_turtle10,29,Warrior,Sea Turtle,NPC
a_cave_basilisk_genitor03,33,Warrior,Alligator,NPC
a_Darkpaw_warrior02,43,Warrior,Gnoll,NPC
a_cave_basilisk_genitor02,34,Warrior,Alligator,NPC
a_cave_basilisk06,34,Warrior,Alligator,NPC
a_Darkpaw_warrior00,44,Warrior,Gnoll,NPC
a_cave_basilisk05,33,Warrior,Alligator,NPC
a_cave_basilisk04,34,Warrior,Alligator,NPC
a_cave_basilisk03,34,Warrior,Alligator,NPC
a_river_turtle03,29,Warrior,Sea Turtle,NPC
a_cave_basilisk02,30,Warrior,Alligator,NPC
a_river_turtle02,29,Warrior,Sea Turtle,NPC
a_cave_basilisk_genitor01,33,Warrior,Alligator,NPC
a_river_turtle00,31,Warrior,Sea Turtle,NPC
a_cave_basilisk01,34,Warrior,Alligator,NPC
a_cave_basilisk00,32,Warrior,Alligator,NPC
a_cave_basilisk_genitor00,32,Warrior,Alligator,NPC
Chef_Brargus00,25,Shopkeeper,Gnoll,NPC
Ervonis_Leaflow00,38,Rogue,Half Elf,NPC
Karka00,30,Shopkeeper,Gnoll,NPC
a_potamide_matriarch01,49,Warrior,Nymph,NPC
Dunarl00,30,Shopkeeper,Gnoll,NPC
a_potamide_matriarch00,49,Warrior,Nymph,NPC
Banker_Rarrgar00,99,Banker,Gnoll,NPC
a_potamide_wildling13,44,Warrior,Nymph,NPC
Quartermaster_Grarucks00,30,Shopkeeper,Gnoll,NPC
a_potamide_protector14,42,Warrior,Nymph,NPC
Oracle_Jaarl00,42,Shaman,Gnoll,NPC
Snarla_the_Fang00,40,Warrior,Gnoll,NPC
The_flame11,1,Warrior,Ground Shaker,NPC
The_flame10,1,Warrior,Ground Shaker,NPC
