Name,Level,Class,Race,Type
Staff_Sergeant_Drioc00,50,Paladin,Giant,NPC
#Senior_Guard_Redbones00,49,Wizard,Giant,NPC
#Guard_Thunderfall00,48,Warrior,Giant,NPC
#Senior_Guard_Akurr00,53,Warrior,Giant,NPC
#Senior_Guard_Whiteaxe00,51,Warrior,Giant,NPC
#Guard_Kelldrevn00,49,Warrior,Giant,NPC
#Guard_Rolkin00,48,Warrior,Giant,NPC
#Guard_Nokjri00,45,Warrior,Giant,NPC
#Guard_Rojeihm00,47,Warrior,Giant,NPC
#Sentinel_Lergremor00,45,Warrior,Giant,NPC
#Watchman_Gardal00,43,Warrior,Giant,NPC
#Sentinel_Fhaard00,45,Warrior,Giant,NPC
#Watchman_Vedravik00,43,Warrior,Giant,NPC
#Sergeant_Fjrak00,45,Warrior,Giant,NPC
#Sergeant_Miidenaer00,45,Warrior,Giant,NPC
#Sergeant_Windrager00,45,Warrior,Giant,NPC
#Sergeant_Khleed00,45,Warrior,Giant,NPC
#Sergeant_Squallsounder00,45,Warrior,Giant,NPC
#Lieutenant_Frostbite00,47,Warrior,Giant,NPC
#Watchman_Tylem00,43,Warrior,Giant,NPC
#Watchman_Sunderthorn00,43,Warrior,Giant,NPC
#Watchman_Gemmarel00,43,Warrior,Giant,NPC
Yimmrek_the_Herald00,35,Bard,Giant,NPC
#Watchman_Erendor00,32,Warrior,Giant,NPC
a_storm_giant_commoner02,36,Warrior,Giant,NPC
a_storm_giant_commoner01,37,Warrior,Giant,NPC
a_Kromzek_sorcerer00,45,Enchanter,Giant,NPC
a_domesticated_direwolf04,31,Warrior,Ancient Wolf,NPC
a_storm_giant_commoner00,36,Warrior,Giant,NPC
Bygloirn_Omorden00,30,Bard,Giant,NPC
Jaglorm_Ygorr00,30,Druid,Giant,NPC
Mjeldor_Felstorm00,30,Magician,Giant,NPC
Ulkar_Jollkarek00,30,Wizard,Giant,NPC
Dagron_Stonecutter00,30,Monk,Giant,NPC
Kelenek_Bluadfeth00,30,Rogue,Giant,NPC
Regbor_Vallgerthon00,30,Berserker,Giant,NPC
a_Drakkel_Dire_Wolf06,56,Warrior,Ancient Wolf,NPC
Stoem_Lekbar00,30,Enchanter,Giant,NPC
a_Drakkel_Dire_Wolf05,53,Warrior,Ancient Wolf,NPC
Bjarorm_Mjlorn00,30,Necromancer,Giant,NPC
a_Drakkel_Dire_Wolf04,52,Warrior,Ancient Wolf,NPC
Gragek_Mjlorkigar00,30,Ranger,Giant,NPC
a_Drakkel_Dire_Wolf03,56,Warrior,Ancient Wolf,NPC
Barlek_Stonefist00,30,Paladin,Giant,NPC
a_Drakkel_Dire_Wolf02,56,Warrior,Ancient Wolf,NPC
a_Kromrif_recruiter00,1,Warrior,Giant,NPC
Kragek_Thunderforge00,30,Warrior,Giant,NPC
Veldern_Blackhammer00,30,Shadow Knight,Giant,NPC
Vylleam_Vyaeltor00,30,Cleric,Giant,NPC
Nerik_Wolfsoul00,30,Beastlord,Giant,NPC
Weyen_Stonetrader00,99,Banker,Giant,NPC
Weyrevar_Bluehammer00,60,Shopkeeper,Giant,NPC
#Iceweaver_Cavestrider00,44,Shaman,Giant,NPC
#Iceweaver_Beldikan00,44,Shaman,Giant,NPC
#Sentinel_Vllejenar00,45,Warrior,Giant,NPC
#Sentinel_Tyorpen00,41,Warrior,Giant,NPC
Icecrafter_Uthyeor00,46,Shaman,Giant,NPC
#Sentinel_Belstaerm00,42,Warrior,Giant,NPC
#Iceweaver_Maldekil00,44,Shaman,Giant,NPC
#Sentinel_Mjrakkor00,42,Warrior,Giant,NPC
Iceweaver_Fjhorr00,44,Shaman,Giant,NPC
#Ice_Chanter_Ijelin00,44,Wizard,Giant,NPC
#Sentinel_Bvakkren00,42,Warrior,Giant,NPC
#Sentinel_Felshrefh00,45,Warrior,Giant,NPC
Chanter_Kjrellor00,44,Wizard,Giant,NPC
#Sentinel_Bjhern00,45,Warrior,Giant,NPC
#Sentinel_Dekrendar00,43,Warrior,Giant,NPC
#Lieutenant_Lorhjorn00,36,Shadow Knight,Giant,NPC
#Watcher_Yeldor00,34,Warrior,Giant,NPC
#Sergeant_Boryek00,34,Warrior,Giant,NPC
#Sergeant_Heblaen00,34,Warrior,Giant,NPC
a_frost_giant_commoner06,32,Shaman,Giant,NPC
Wenglawks_Kkeak00,45,Rogue,Giant,NPC
a_frost_giant_commoner05,33,Shaman,Giant,NPC
a_frost_giant_commoner04,35,Warrior,Giant,NPC
a_domesticated_direwolf03,31,Warrior,Ancient Wolf,NPC
