Name,Level,Class,Race,Type
spectral_guardian20,35,Warrior,Sarnak Spirit,NPC
bristleweb_spider02,29,Warrior,Spider,NPC
strathbone_healer08,30,Cleric,Spider,NPC
strathbone_healer07,30,Cleric,Spider,NPC
minion_of_Xalgoz14,33,Warrior,Sarnak Skeleton,NPC
minion_of_Xalgoz13,33,Warrior,Iksar Skeleton,NPC
briarweb_spider04,33,Warrior,Spider,NPC
strathbone_healer01,30,Cleric,Spider,NPC
strathbone_healer00,30,Cleric,Spider,NPC
skeletal_guardian09,34,Warrior,Sarnak Skeleton,NPC
skeletal_guardian08,34,Warrior,Iksar Skeleton,NPC
guardian_of_Xalgoz03,36,Warrior,Sarnak Spirit,NPC
skeletal_guardian07,34,Warrior,Sarnak Skeleton,NPC
spectral_guardian23,32,Warrior,Iksar Spirit,NPC
spectral_guardian19,34,Warrior,Iksar Spirit,NPC
minion_of_Xalgoz12,31,Warrior,Sarnak Skeleton,NPC
spectral_guardian15,34,Warrior,Iksar Spirit,NPC
spectral_guardian14,34,Warrior,Iksar Spirit,NPC
strathbone_spider03,34,Necromancer,Spider,NPC
strathbone_spider02,34,Necromancer,Spider,NPC
briarweb_spider01,34,Warrior,Spider,NPC
enraged_ravener00,33,Warrior,Devourer,NPC
minion_of_Xalgoz06,33,Warrior,Iksar Skeleton,NPC
minion_of_Xalgoz05,31,Warrior,Sarnak Skeleton,NPC
skeletal_guardian02,34,Warrior,Sarnak Skeleton,NPC
spectral_guardian22,33,Warrior,Iksar Spirit,NPC
skeletal_guardian01,34,Warrior,Sarnak Skeleton,NPC
skeletal_guardian00,34,Warrior,Sarnak Skeleton,NPC
spectral_guardian08,34,Warrior,Iksar Spirit,NPC
skeletal_minion14,33,Warrior,Iksar Skeleton,NPC
minion_of_Xalgoz04,34,Warrior,Iksar Skeleton,NPC
skeletal_minion13,29,Warrior,Sarnak Skeleton,NPC
spectral_guardian07,33,Warrior,Sarnak Spirit,NPC
minion_of_Xalgoz03,32,Warrior,Sarnak Skeleton,NPC
skeletal_minion12,31,Warrior,Iksar Skeleton,NPC
skeletal_minion11,29,Warrior,Sarnak Skeleton,NPC
gorged_ravener00,36,Warrior,Devourer,NPC
spectral_guardian06,32,Warrior,Sarnak Spirit,NPC
skeletal_minion10,29,Warrior,Iksar Skeleton,NPC
skeletal_minion09,29,Warrior,Sarnak Skeleton,NPC
skeletal_warder05,33,Cleric,Iksar Skeleton,NPC
minion_of_Xalgoz02,34,Warrior,Iksar Skeleton,NPC
spectral_guardian05,33,Warrior,Sarnak Spirit,NPC
minion_of_Xalgoz01,35,Warrior,Iksar Skeleton,NPC
skeletal_minion08,30,Warrior,Sarnak Skeleton,NPC
skeletal_minion07,30,Warrior,Iksar Skeleton,NPC
spectral_guardian13,33,Warrior,Sarnak Spirit,NPC
spectral_guardian12,32,Warrior,Sarnak Spirit,NPC
skeletal_warder04,29,Cleric,Iksar Skeleton,NPC
skeletal_warder03,29,Cleric,Iksar Skeleton,NPC
skeletal_minion06,32,Warrior,Sarnak Skeleton,NPC
minion_of_Xalgoz00,33,Warrior,Sarnak Skeleton,NPC
spectral_guardian03,35,Warrior,Sarnak Spirit,NPC
spectral_guardian02,35,Warrior,Sarnak Spirit,NPC
spectral_guardian01,33,Warrior,Iksar Spirit,NPC
strathbone_healer04,30,Cleric,Spider,NPC
bristleweb_spider06,31,Warrior,Spider,NPC
bristleweb_spider05,31,Warrior,Spider,NPC
bristleweb_spider04,31,Warrior,Spider,NPC
strathbone_spider05,30,Necromancer,Spider,NPC
an_iksar_spectre00,36,Warrior,Iksar Spirit,NPC
briarweb_spider03,35,Warrior,Spider,NPC
strathbone_spider04,30,Necromancer,Spider,NPC
bristleweb_spider03,29,Warrior,Spider,NPC
a_frenzied_gnawer00,30,Warrior,Devourer,NPC
briarweb_spider02,34,Warrior,Spider,NPC
bristleweb_spider00,31,Warrior,Spider,NPC
famished_ravener00,35,Warrior,Devourer,NPC
ravener02,33,Warrior,Devourer,NPC
The_Fabled_Xalgoz00,55,Necromancer,Xalgoz,NPC
minion_of_Xalgoz21,32,Warrior,Sarnak Skeleton,NPC
guardian_of_Xalgoz06,35,Warrior,Sarnak Spirit,NPC
guardian_of_Xalgoz05,37,Warrior,Iksar Spirit,NPC
spectral_guardian16,34,Warrior,Sarnak Spirit,NPC
guardian_of_Xalgoz04,36,Warrior,Iksar Spirit,NPC
guardian_of_Xalgoz02,36,Warrior,Iksar Spirit,NPC
guardian_of_Xalgoz00,35,Warrior,Iksar Spirit,NPC
minion_of_Xalgoz20,34,Warrior,Sarnak Skeleton,NPC
guardian_of_Xalgoz01,37,Warrior,Iksar Spirit,NPC
spectral_guardian11,33,Warrior,Iksar Spirit,NPC
minion_of_Xalgoz19,32,Warrior,Iksar Skeleton,NPC
minion_of_Xalgoz15,34,Warrior,Sarnak Skeleton,NPC
skeletal_warder08,30,Cleric,Iksar Skeleton,NPC
spectral_guardian10,30,Warrior,Iksar Spirit,NPC
minion_of_Xalgoz11,33,Warrior,Sarnak Skeleton,NPC
Nastiria_Kithlan00,35,Enchanter,High Elf,NPC
minion_of_Xalgoz10,34,Warrior,Iksar Skeleton,NPC
minion_of_Xalgoz07,33,Warrior,Sarnak Skeleton,NPC
skeletal_warder06,33,Cleric,Iksar Skeleton,NPC
strathbone_healer03,30,Cleric,Spider,NPC
strathbone_healer02,30,Cleric,Spider,NPC
bristleweb_spider01,31,Warrior,Spider,NPC
minion_of_Xalgoz09,32,Warrior,Sarnak Skeleton,NPC
spectral_guardian09,32,Warrior,Iksar Spirit,NPC
skeletal_warder07,29,Cleric,Iksar Skeleton,NPC
bristleweb_spider08,28,Warrior,Spider,NPC
guardian_of_Xalgoz07,37,Warrior,Sarnak Spirit,NPC
skeletal_minion01,33,Warrior,Iksar Skeleton,NPC
skeletal_warder02,31,Cleric,Iksar Skeleton,NPC
skeletal_warder01,33,Cleric,Iksar Skeleton,NPC
spectral_guardian04,34,Warrior,Iksar Spirit,NPC
skeletal_minion00,29,Warrior,Sarnak Skeleton,NPC
minion_of_Xalgoz18,34,Warrior,Sarnak Skeleton,NPC
spectral_guardian00,34,Warrior,Sarnak Spirit,NPC
minion_of_Xalgoz17,35,Warrior,Iksar Skeleton,NPC
minion_of_Xalgoz16,33,Warrior,Iksar Skeleton,NPC
minion_of_Xalgoz08,33,Warrior,Iksar Skeleton,NPC
skeletal_warder00,33,Cleric,Iksar Skeleton,NPC
strathbone_spider06,30,Necromancer,Spider,NPC
bristleweb_spider07,30,Warrior,Spider,NPC
ravener00,31,Warrior,Devourer,NPC
strathbone_spider01,30,Necromancer,Spider,NPC
strathbone_spider00,31,Necromancer,Spider,NPC
a_corrupt_spiritualist00,40,Warrior,Iksar Spirit,NPC
