Name,Level,Class,Race,Type
spectral_curate03,41,Cleric,Iksar Spirit,NPC
decayed_prisoner10,42,Warrior,Sarnak Skeleton,NPC
a_drolvarg_sentry33,40,Warrior,Drolvarg,NPC
skeletal_guardian08,46,Warrior,Sarnak Skeleton,NPC
a_human_skeleton00,39,Wizard,Ancient Skeleton,NPC
a_drolvarg_sentry32,43,Warrior,Drolvarg,NPC
skeletal_guardian06,46,Warrior,Sarnak Skeleton,NPC
a_drolvarg_sentry30,44,Warrior,Drolvarg,NPC
skeletal_guardian04,46,Warrior,Sarnak Skeleton,NPC
a_drolvarg_sentry29,43,Warrior,Drolvarg,NPC
a_cursed_hand02,48,Warrior,Animated Hand,NPC
a_drolvarg_sentry28,44,Warrior,Drolvarg,NPC
a_drolvarg_sentry27,44,Warrior,Drolvarg,NPC
a_drolvarg_sentry26,40,Warrior,Drolvarg,NPC
a_drolvarg_sentry25,42,Warrior,Drolvarg,NPC
a_cursed_hand01,48,Warrior,Animated Hand,NPC
a_drolvarg_guardian02,45,Warrior,Drolvarg,NPC
a_drolvarg_sentry36,39,Warrior,Drolvarg,NPC
a_drolvarg_sentry24,44,Warrior,Drolvarg,NPC
a_drolvarg_guardian01,45,Warrior,Drolvarg,NPC
a_drolvarg_sentry23,39,Warrior,Drolvarg,NPC
spectral_caller02,40,Shaman,Sarnak Spirit,NPC
a_drolvarg_sentry34,39,Warrior,Drolvarg,NPC
spectral_knight03,49,Warrior,Sarnak Spirit,NPC
a_cursed_hand00,45,Warrior,Animated Hand,NPC
spectral_protector01,49,Warrior,Iksar Spirit,NPC
a_drolvarg_sentry21,41,Warrior,Drolvarg,NPC
decayed_prisoner18,44,Warrior,Iksar Skeleton,NPC
The_Fabled_Skeletal_Captain00,65,Warrior,Sarnak Skeleton,NPC
skeletal_scryer01,47,Wizard,Iksar Skeleton,NPC
spectral_curate01,42,Cleric,Iksar Spirit,NPC
a_drolvarg_sentry02,43,Warrior,Drolvarg,NPC
skeletal_guardian02,44,Warrior,Sarnak Skeleton,NPC
a_drolvarg_sentry46,40,Warrior,Drolvarg,NPC
spectral_curate02,42,Cleric,Iksar Spirit,NPC
a_drolvarg_sentry01,39,Warrior,Drolvarg,NPC
a_drolvarg_sentry20,43,Warrior,Drolvarg,NPC
skeletal_guardian03,41,Warrior,Iksar Skeleton,NPC
a_drolvarg_sentry19,44,Warrior,Drolvarg,NPC
a_drolvarg_sentry18,44,Warrior,Drolvarg,NPC
decayed_soldier08,45,Warrior,Sarnak Skeleton,NPC
a_drolvarg_sentry17,44,Warrior,Drolvarg,NPC
sentry_of_Sathir00,47,Warrior,Iksar Spirit,NPC
decayed_soldier07,47,Warrior,Iksar Skeleton,NPC
