Name,Level,Class,Race,Type
Legionnaire_Bonosus00,35,Warrior,Human,NPC
Zyleea_Geerlok00,35,Shopkeeper,Gnome,NPC
Legionnaire_Decmitius00,36,Warrior,Human,NPC
Blaylok_Geerlok00,35,Shopkeeper,Gnome,NPC
Legionnaire_Belisarius00,37,Warrior,Human,NPC
Bella_Helsin00,99,Banker,Human,NPC
Legionnaire_Aponius00,37,Warrior,Human,NPC
Heracus_Helsin00,99,Banker,Human,NPC
Sentinel_Yora00,51,Warrior,Barbarian,NPC
Sentinel_Kerry00,50,Warrior,Barbarian,NPC
Sentinel_Majandra00,51,Warrior,Barbarian,NPC
Sentinel_Helga00,54,Warrior,Barbarian,NPC
Legionnaire_Akixok00,44,Warrior,Gnome,NPC
Legionnaire_Veak00,42,Warrior,Gnome,NPC
Legionnaire_Leemnix00,46,Warrior,Gnome,NPC
Legionnaire_Cobnoggin00,42,Warrior,Gnome,NPC
#Miller00,46,Warrior,Half Elf,NPC
Legionnaire_Ximbl00,46,Warrior,Gnome,NPC
Legionnaire_Xaldivious00,38,Warrior,Human,NPC
Centurion_Engrov00,51,Warrior,Human,NPC
Centurion_Vengor00,52,Warrior,Human,NPC
Centurion_Dalaction00,53,Warrior,Human,NPC
Centurion_Veridious00,51,Warrior,Human,NPC
Legionnaire_Mixltik00,44,Warrior,Gnome,NPC
Legionnaire_Koaltok00,43,Warrior,Gnome,NPC
Legionnaire_Garrok00,43,Warrior,Dwarf,NPC
Legionnaire_Zalobnokin00,44,Warrior,Gnome,NPC
Legionnaire_Plixltob00,45,Warrior,Gnome,NPC
Legionnaire_Rokgar00,42,Warrior,Dwarf,NPC
Erikal_Wolfeye00,61,Ranger GM,Wood Elf,NPC
Legionnaire_Berplugle00,44,Warrior,Gnome,NPC
Fallar_Grolden00,35,Shopkeeper,Human,NPC
Legionnaire_Axlox00,45,Warrior,Gnome,NPC
Kitty_Barleou00,35,Shopkeeper,Human,NPC
Legionnaire_Eldopop00,44,Warrior,Gnome,NPC
Shay_Aristos00,35,Shopkeeper,Human,NPC
Maria_Whispersong00,35,Shopkeeper,Half Elf,NPC
Marko_Wolfeye00,35,Shopkeeper,Half Elf,NPC
Gundal_Bronzebrow00,35,Shopkeeper,Dwarf,NPC
