Name,Level,Class,Race,Type
Estrella_of_Gloomwater00,51,Druid,Mermaid,NPC
a_gloomwater_mermaid10,42,Druid,Mermaid,NPC
a_gloomwater_mermaid09,39,Druid,Mermaid,NPC
a_gloomwater_mermaid04,43,Druid,Mermaid,NPC
a_gloomwater_mermaid02,40,Druid,Mermaid,NPC
Phinigel_Autropos00,53,Wizard,Kedge,NPC
#Auraline00,50,Enchanter,Mermaid,NPC
Cauldronbubble00,49,Warrior,Shark,NPC
a_stiletto_fang_piranha00,42,Warrior,Piranha,NPC
a_gloomstalker_mermaid04,46,Ranger,Mermaid,NPC
a_swirlspine_seahorse03,51,Cleric,Seahorse,NPC
a_swirlspine_seahorse02,51,Cleric,Seahorse,NPC
a_swirlspine_seahorse01,50,Cleric,Seahorse,NPC
a_swirlspine_seahorse00,51,Cleric,Seahorse,NPC
a_cauldron_hammerhead05,45,Warrior,Shark,NPC
a_soothebrine_seahorse00,41,Cleric,Seahorse,NPC
a_squallsurge_seahorse00,44,Wizard,Seahorse,NPC
a_cauldron_shark03,41,Warrior,Shark,NPC
a_cauldron_shark02,34,Warrior,Shark,NPC
a_cauldron_shark00,41,Warrior,Shark,NPC
a_gloomwater_mermaid07,42,Druid,Mermaid,NPC
a_bull_shark00,34,Warrior,Shark,NPC
a_shimmering_sailfin03,2,Warrior,Fish,NPC
a_stiletto_tooth_piranha04,40,Warrior,Piranha,NPC
a_stiletto_tooth_piranha03,38,Warrior,Piranha,NPC
a_cauldron_hammerhead01,44,Warrior,Shark,NPC
a_lancer_swordfish05,28,Warrior,Swordfish,NPC
an_impaler_swordfish00,40,Warrior,Swordfish,NPC
a_lancer_swordfish04,29,Warrior,Swordfish,NPC
a_stiletto_tooth_piranha01,38,Warrior,Piranha,NPC
a_piercer_swordfish02,37,Warrior,Swordfish,NPC
a_lancer_swordfish03,32,Warrior,Swordfish,NPC
a_lancer_swordfish02,31,Warrior,Swordfish,NPC
a_lancer_swordfish01,29,Warrior,Swordfish,NPC
a_lancer_swordfish00,30,Warrior,Swordfish,NPC
a_piercer_swordfish01,37,Warrior,Swordfish,NPC
an_emerald_sailfin02,1,Warrior,Fish,NPC
a_crimson_sailfin05,1,Warrior,Fish,NPC
a_gloomstalker_mermaid03,38,Ranger,Mermaid,NPC
a_gloomstalker_mermaid02,42,Ranger,Mermaid,NPC
a_gloomwater_mermaid06,43,Druid,Mermaid,NPC
a_cobalt_sailfin10,1,Warrior,Fish,NPC
a_cobalt_sailfin09,1,Warrior,Fish,NPC
a_shimmering_sailfin02,2,Warrior,Fish,NPC
#Nyrein_the_Beguiled00,52,Warrior,Mermaid,NPC
a_cobalt_sailfin08,1,Warrior,Fish,NPC
a_gloomwater_mermaid05,43,Druid,Mermaid,NPC
a_cerulean_sailfin06,1,Warrior,Fish,NPC
a_gloomstalker_mermaid01,38,Ranger,Mermaid,NPC
a_cobalt_sailfin07,1,Warrior,Fish,NPC
a_crimson_sailfin06,1,Warrior,Fish,NPC
a_gloomwater_mermaid03,43,Druid,Mermaid,NPC
a_cobalt_sailfin06,1,Warrior,Fish,NPC
a_cerulean_sailfin03,1,Warrior,Fish,NPC
an_emerald_sailfin13,1,Warrior,Fish,NPC
a_gloomwater_mermaid01,43,Druid,Mermaid,NPC
a_shimmering_sailfin04,5,Wizard,Fish,NPC
an_emerald_sailfin06,1,Warrior,Fish,NPC
a_shimmering_sailfin01,5,Wizard,Fish,NPC
an_emerald_sailfin12,1,Warrior,Fish,NPC
a_gloomwater_mermaid00,45,Druid,Mermaid,NPC
a_gloomstalker_mermaid00,46,Ranger,Mermaid,NPC
a_crimson_sailfin00,1,Warrior,Fish,NPC
an_emerald_sailfin10,1,Warrior,Fish,NPC
a_crimson_sailfin03,1,Warrior,Fish,NPC
an_emerald_sailfin09,1,Warrior,Fish,NPC
a_cauldron_hammerhead04,38,Warrior,Shark,NPC
a_cauldron_hammerhead03,39,Warrior,Shark,NPC
an_emerald_sailfin07,1,Warrior,Fish,NPC
a_cauldron_hammerhead00,43,Warrior,Shark,NPC
a_crimson_sailfin02,1,Warrior,Fish,NPC
a_cauldron_hammerhead02,45,Warrior,Shark,NPC
an_emerald_sailfin05,1,Warrior,Fish,NPC
a_cauldron_shark01,34,Warrior,Shark,NPC
a_cerulean_sailfin02,1,Warrior,Fish,NPC
a_stiletto_tooth_piranha00,40,Warrior,Piranha,NPC
a_stingtooth_piranha07,37,Warrior,Piranha,NPC
a_crimson_sailfin01,1,Warrior,Fish,NPC
a_cerulean_sailfin01,1,Warrior,Fish,NPC
a_stingtooth_piranha06,35,Warrior,Piranha,NPC
a_cobalt_sailfin05,1,Warrior,Fish,NPC
an_emerald_sailfin04,1,Warrior,Fish,NPC
a_crimson_sailfin07,1,Warrior,Fish,NPC
a_soothebrine_seahorse03,41,Cleric,Seahorse,NPC
a_spinereef_seahorse04,41,Ranger,Seahorse,NPC
a_soothebrine_seahorse02,39,Cleric,Seahorse,NPC
tainted_seahorse000,51,Cleric,Seahorse,NPC
a_soothebrine_seahorse01,40,Cleric,Seahorse,NPC
a_spinereef_seahorse03,42,Ranger,Seahorse,NPC
a_spinereef_seahorse02,39,Ranger,Seahorse,NPC
a_spinereef_seahorse01,44,Ranger,Seahorse,NPC
a_gloomwater_mermaid08,45,Druid,Mermaid,NPC
a_stingtooth_piranha04,37,Warrior,Piranha,NPC
a_stingtooth_piranha03,35,Warrior,Piranha,NPC
a_stingtooth_piranha02,35,Warrior,Piranha,NPC
a_stingtooth_piranha01,35,Warrior,Piranha,NPC
a_stingtooth_piranha00,36,Warrior,Piranha,NPC
The_Fabled_Undertow00,65,Wizard,Seahorse,NPC
a_cobalt_sailfin04,1,Warrior,Fish,NPC
a_cobalt_sailfin03,1,Warrior,Fish,NPC
a_stiletto_tooth_piranha02,39,Warrior,Piranha,NPC
aqua_goblin_prisoner01,10,Warrior,Goblin,NPC
a_shimmering_sailfin00,2,Warrior,Fish,NPC
a_cobalt_sailfin02,1,Warrior,Fish,NPC
a_cerulean_sailfin00,1,Warrior,Fish,NPC
a_cobalt_sailfin01,1,Warrior,Fish,NPC
a_cobalt_sailfin00,1,Warrior,Fish,NPC
an_emerald_sailfin01,1,Warrior,Fish,NPC
an_emerald_sailfin00,1,Warrior,Fish,NPC
a_piercer_swordfish00,37,Warrior,Swordfish,NPC
a_crimson_sailfin04,1,Warrior,Fish,NPC
an_emerald_sailfin11,1,Warrior,Fish,NPC
Priestess_Auraia00,52,Cleric,Mermaid,NPC
