Name,Level,Class,Race,Type
dread_wolf08,30,Warrior,Ancient Wolf,NPC
zombie_trooper15,30,Shadow Knight,Zombie,NPC
zombie_trooper13,29,Shadow Knight,Zombie,NPC
Leaf_Falldim00,35,Ranger,Human,NPC
Thumper00,35,Warrior,Bear,NPC
#Tasi_V`ghera00,56,Shadow Knight,Dark Elf,NPC
#Advisor_C`zatl00,55,Cleric,Dark Elf,NPC
skeleton_infantry09,35,Warrior,Ancient Skeleton,NPC
#Coercer_Q`ioul00,58,Enchanter,Dark Elf,NPC
dread_wolf03,31,Warrior,Ancient Wolf,NPC
#Ioltos_V`ghera00,54,Shadow Knight,Dark Elf,NPC
zombie_trooper03,31,Shadow Knight,Zombie,NPC
Chief_Gan`Shralok00,19,Shaman,Orc,NPC
#Adjutant_D`kan00,53,Warrior,Dark Elf,NPC
skeleton_infantry05,30,Warrior,Ancient Skeleton,NPC
dread_wolf00,30,Warrior,Ancient Wolf,NPC
skeleton_infantry03,35,Warrior,Ancient Skeleton,NPC
zombie_trooper01,30,Shadow Knight,Zombie,NPC
zombie_infantry00,30,Shadow Knight,Zombie,NPC
Nura_Starwatcher00,30,Ranger,Human,NPC
Innkeep_Morgan00,30,Shopkeeper,Human,NPC
Innkeep_Min00,30,Shopkeeper,Human,NPC
Morin_Shadowbane00,61,Ranger GM,Human,NPC
Mune_Woodchopper00,50,Shopkeeper,Human,NPC
Kithicor00,61,Ranger GM,Wood Elf,NPC
Elsbyth00,50,Shopkeeper,Human,NPC
Innkeep_Lynnie00,30,Shopkeeper,Human,NPC
Innkeep_Jurn00,30,Shopkeeper,Human,NPC
a_tree_snake01,4,Warrior,Snake,NPC
Lena_Leatherspinner00,45,Shopkeeper,Human,NPC
Krile_Arrowsmith00,50,Shopkeeper,Human,NPC
Jeena_Firechaser00,30,Shopkeeper,High Elf,NPC
Irin_Lunis00,25,Ranger,Half Elf,NPC
Ged_Twigborn00,25,Warrior,Human,NPC
Innkeep_Grace00,30,Shopkeeper,Human,NPC
Innkeep_Darvon00,30,Shopkeeper,Human,NPC
Eithne_Walker00,50,Shopkeeper,Human,NPC
Gandari00,35,Ranger,Human,NPC
a_large_piranha05,11,Warrior,Piranha,NPC
a_large_piranha04,10,Warrior,Piranha,NPC
a_large_piranha03,13,Warrior,Piranha,NPC
a_large_piranha02,11,Warrior,Piranha,NPC
a_large_piranha01,12,Warrior,Piranha,NPC
a_giant_bat00,10,Warrior,Bat,NPC
a_large_piranha00,10,Warrior,Piranha,NPC
Clomen_Walker00,45,Shopkeeper,Human,NPC
a_teir`dal_assassin00,12,Rogue,Dark Elf,NPC
Renkil_Shralok00,12,Warrior,Orc,NPC
Tarnamil00,33,Warrior,Skeleton,NPC
Grigga_Shralok00,11,Warrior,Orc,NPC
Shamus_Gull00,50,Warrior,Gnome,NPC
an_orc_scout00,3,Warrior,Orc,NPC
a_goblin_worker15,1,Warrior,Goblin,NPC
a_goblin05,6,Warrior,Goblin,NPC
a_bixie27,1,Ranger,Bixie,NPC
a_bixie15,1,Ranger,Bixie,NPC
a_bixie26,1,Ranger,Bixie,NPC
a_bixie04,1,Ranger,Bixie,NPC
a_bixie01,1,Ranger,Bixie,NPC
